,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.0133,-0.3761,-0.5396,-0.5385,-0.5385,-40.2033,0.0321,-0.0439,0.1977,1.9704,0.0,0.0,-40.2033,0.0,-0.0144,-0.0521,-0.0154,63591000.0,-0.0468,16296000.0,47295000.0,0.0,4171000.0,2315000.0,44980000.0,13576000.0,13250000.0,0.0,0.0,0.0,13250000.0,0.0,13250000.0,0.06,0.06,216312096.0,0.15,0.7437,0.422,0.4219,0.208,-4.3801,26826000.0,26826000.0,13250000.0,256295000.0,-0.0511,72906000.0,183389000.0,0.0,16453000.0,-111000.0,183500000.0,52401000.0,71497000.0,0.0,0.0,0.0,71497000.0,0.0,71497000.0,0.33,0.33,216312096.0,0.6,0.7155,0.483,0.4834,0.279,-0.0311,123898000.0,123898000.0,71497000.0,6.431,11.897,-1.288,5.0976,0.0537,0.7926,0.4285,1.976,-21.0214,2.5,0.0,0.0656,0.0,2573371000.0,3664438000.0,15832000.0,68830000.0,0.0,0.0,0.0,0.0,0.0,0.05,0.029,0.483,0.105,-0.1116,87.2314,33.7365,0.0,16.1884,3.7236,0.0,1.818,16.0,0.0642,0.0,3328426750.0,1430725500.0,2437539750.0,-0.037,1.185,2.3644,0.0,0.0,0.0,0.0,AINV,5.57,5.664000000000001,1204858374.72
2018-03-31,-0.1284,0.5008,1.5617,2.3333,2.3333,-0.1903,-0.0408,-0.0291,-0.0691,-0.8985,0.0,0.0,-0.1903,0.0,-0.0028,-0.1347,-0.0144,61489000.0,-0.0725,16751000.0,44738000.0,0.0,5015000.0,374000.0,44364000.0,12560000.0,20627000.0,0.0,0.0,0.0,20627000.0,0.0,20627000.0,0.1,0.1,216523796.0,0.15,0.7276,0.54,0.5397,0.335,2.3693,33187000.0,33187000.0,20627000.0,259287000.0,-0.0735,76647000.0,182640000.0,0.0,16514000.0,-3204000.0,185844000.0,53039000.0,87029000.0,0.0,0.0,0.0,87029000.0,0.0,87029000.0,0.4,0.4,216523796.0,0.6,0.7044,0.54,0.5402,0.336,1.0174,140068000.0,140068000.0,87029000.0,6.549,10.677,0.673,3.6478,0.0648,0.557,0.3417,2.6423,7.0628,1.5,0.0,0.0816,0.0,2311810000.0,3087621000.0,25727500.0,77044500.0,0.0,0.0,0.0,0.0,0.0,0.06,0.036,0.54,0.107,3.0312,127.9028,6.6725,0.0,10.0782,3.3654,0.0,1.5,14.0,0.0637,0.0,3258383250.0,1452340000.0,2417557750.0,1.218,1.197,2.6408,0.0,0.0,0.0,0.0,AINV,5.22,5.398823529411764,1130254215.12
2017-12-31,-0.085,-0.291,-0.4833,-0.4,-0.4,0.0678,-0.0834,-0.0378,-0.1536,-0.2139,0.0,0.0,0.0678,0.0,0.0069,-0.0885,-0.0061,64753000.0,-0.0487,19532000.0,45221000.0,0.0,3955000.0,-1031000.0,46252000.0,12433000.0,5833000.0,0.0,0.0,0.0,5833000.0,0.0,5833000.0,0.03,0.03,218442554.0,0.15,0.6984,0.282,0.2821,0.09,0.238,18266000.0,18266000.0,5833000.0,264222000.0,-0.116,74864000.0,189358000.0,0.0,16528000.0,-3517000.0,192875000.0,54541000.0,74453000.0,0.0,0.0,0.0,74453000.0,0.0,74453000.0,0.33,0.33,218442554.0,0.6,0.7167,0.488,0.4882,0.282,1.128,128994000.0,128994000.0,74453000.0,6.597,11.058,0.071,4.0064,0.056,0.6073,0.3623,1.4692,2.642,5.0,0.0,0.0611,0.0,2415572000.0,3278515000.0,4719000.0,76397500.0,0.0,0.0,0.0,0.0,0.0,0.051,0.03,0.488,0.108,4.0032,113.3961,5.7384,0.0,55.9911,3.4585,0.0,1.818,16.0,0.0626,0.0,3298674500.0,1468267750.0,2442135250.0,1.364,1.21,2.3651,0.0,0.0,0.0,0.0,AINV,5.66,5.923030303030302,1236384855.64
2017-09-30,-0.1422,-0.1788,-0.2269,-0.2222,-0.2222,-0.2848,-0.0773,-0.0219,-0.1477,0.5959,0.0,0.0,-0.2848,0.0,-0.3621,-0.1111,-0.0237,66462000.0,-0.0371,20327000.0,46135000.0,0.0,3312000.0,-1769000.0,47904000.0,13832000.0,31787000.0,0.0,0.0,0.0,31787000.0,0.0,31787000.0,0.14,0.14,219694654.0,0.15,0.6942,0.686,0.6864,0.478,1.647,45619000.0,45619000.0,31787000.0,267540000.0,-0.1772,73980000.0,193560000.0,0.0,16501000.0,-3804000.0,197364000.0,56581000.0,79910000.0,0.0,0.0,0.0,79910000.0,0.0,79910000.0,0.35,0.35,219694654.0,0.6,0.7235,0.51,0.5102,0.299,1.1104,136491000.0,136491000.0,79910000.0,6.703,11.149,0.498,3.9369,0.1419,0.5873,0.3531,3.2981,3.4436,1.071,0.0,0.0498,0.0,2449406000.0,3283133000.0,9167500.0,85946500.0,0.0,0.0,0.0,0.0,0.0,0.054,0.032,0.51,0.107,3.7175,125.6545,15.3782,0.0,29.1835,3.1129,0.0,1.714,16.0,0.0617,0.0,3382055750.0,1484680000.0,2497109500.0,1.352,1.218,2.4123,0.0,0.0,0.0,0.0,AINV,6.11,6.056285714285713,1342334335.94
2017-06-30,-0.1295,2.6999,1.6839,1.6842,1.6842,-1.0229,-0.1052,-0.0201,-0.1622,-0.8481,0.0,-0.25,-1.0229,0.0,-0.3553,-0.1008,-0.0286,66711000.0,-0.1276,20037000.0,46674000.0,0.0,4232000.0,-777000.0,47451000.0,14215000.0,28781000.0,0.0,0.0,0.0,28781000.0,0.0,28781000.0,0.13,0.13,219694654.0,0.15,0.6996,0.645,0.6445,0.431,-0.1013,42996000.0,42996000.0,28781000.0,270104000.0,-0.2382,68898000.0,201206000.0,0.0,18381000.0,-2145000.0,203351000.0,57187000.0,89237000.0,0.0,0.0,0.0,89237000.0,0.0,89237000.0,0.39,0.39,219694654.0,0.6,0.7449,0.542,0.5421,0.33,1.2612,146424000.0,146424000.0,89237000.0,6.726,11.35,-0.031,4.1907,0.1359,0.6231,0.3692,3.0247,-0.2349,1.154,0.0,0.0634,0.0,2493443000.0,3384264000.0,30246500.0,70866500.0,0.0,0.0,0.0,0.0,0.0,0.059,0.035,0.542,0.106,3.8175,103.2525,10.7769,0.0,8.9301,3.8114,0.0,1.538,15.0,0.0681,0.0,3462176000.0,1502014500.0,2548399000.0,1.551,1.229,2.5604,0.0,0.0,0.0,0.0,AINV,6.39,6.375,1403848839.06
2017-03-31,-0.1382,4.6358,1.3441,1.3,1.3,0.4903,-0.2171,-0.073,-0.3538,-0.4759,0.0,-0.25,0.4903,0.0,0.7432,-0.1714,-0.0286,66296000.0,-0.2231,14968000.0,51328000.0,0.0,5029000.0,60000.0,51268000.0,14061000.0,8052000.0,0.0,0.0,0.0,8052000.0,0.0,8052000.0,0.03,0.03,219694654.0,0.15,0.7742,0.334,0.3335,0.121,2.7141,22113000.0,22113000.0,8052000.0,279862000.0,-0.263,71710000.0,208152000.0,0.0,20713000.0,-520000.0,208672000.0,59765000.0,18370000.0,0.0,0.0,0.0,18370000.0,0.0,18370000.0,0.08,0.08,219694654.0,0.65,0.7438,0.279,0.2792,0.066,2.2955,78135000.0,78135000.0,18370000.0,6.745,10.97,0.819,3.8619,0.0445,0.5726,0.352,1.5726,22.3464,5.0,0.0,0.0759,0.0,2410120000.0,3248786000.0,67924500.0,82338000.0,0.0,0.0,0.0,0.0,0.0,0.012,0.007,0.279,0.107,34.971,82.4655,60.9264,0.0,4.1202,3.3989,0.0,8.125,31.0,0.074,0.0,3573129500.0,1520710750.0,2621687500.0,2.924,1.274,1.3074,0.0,0.0,0.0,0.0,AINV,6.56,6.309722222222224,1441196930.24
2016-12-31,-0.2591,5.0023,1.4381,1.4545,1.4545,-0.7419,-0.1814,-0.0719,-0.2533,-0.9265,0.0,-0.25,-0.7419,0.0,-0.0943,-0.2468,-0.0584,68071000.0,-0.2783,18648000.0,49423000.0,0.0,3928000.0,-1318000.0,50741000.0,14473000.0,11290000.0,0.0,0.0,0.0,11290000.0,0.0,11290000.0,0.05,0.05,219779154.0,0.15,0.7261,0.378,0.3785,0.166,0.212,25763000.0,25763000.0,11290000.0,298901000.0,-0.2462,82521000.0,216380000.0,0.0,18569000.0,-2899000.0,219279000.0,63019000.0,-13079000.0,0.0,0.0,0.0,-13079000.0,0.0,-13079000.0,-0.06,-0.06,219779154.0,0.7,0.7239,0.167,0.1671,-0.044,1.9512,49940000.0,49940000.0,-13079000.0,6.856,11.991,0.066,4.7045,0.2611,0.6862,0.3923,1.7801,1.2784,3.0,0.0,0.0577,0.0,2635469000.0,3612040000.0,38591000.0,53038000.0,0.0,0.0,0.0,0.0,0.0,-0.008,-0.005,0.167,0.107,-44.5919,86.3444,6.4525,0.0,7.7454,5.6356,0.0,-11.667,45.0,0.0621,0.0,3854702000.0,1561656750.0,2788816750.0,2.654,1.36,0.7925,0.0,0.0,0.0,0.0,AINV,5.86,6.007352941176471,1287905842.44
2016-09-30,-0.2417,1.7752,24.5341,19.0,19.0,0.8493,-0.1963,-0.112,-0.2594,-0.7771,0.0,-0.25,0.8493,0.0,0.1867,-0.2438,-0.0495,69026000.0,-0.2987,15245000.0,53781000.0,0.0,5192000.0,-110000.0,53891000.0,14438000.0,41114000.0,0.0,0.0,0.0,41114000.0,0.0,41114000.0,0.18,0.18,225018221.0,0.15,0.7791,0.805,0.8048,0.596,2.2173,55552000.0,55552000.0,41114000.0,325155000.0,-0.2112,91493000.0,233662000.0,0.0,18978000.0,-2243000.0,235905000.0,67881000.0,-50141000.0,0.0,0.0,0.0,-50141000.0,0.0,-50141000.0,-0.22,-0.22,225018221.0,0.75,0.7186,0.055,0.0546,-0.154,1.9212,17740000.0,17740000.0,-50141000.0,6.853,11.797,0.68,4.5098,0.2922,0.6581,0.3823,3.8476,3.7227,0.833,0.0,0.0752,0.0,2654564000.0,3603614000.0,19374000.0,54871500.0,0.0,0.0,0.0,0.0,0.0,-0.031,-0.017,0.055,0.111,-12.4588,89.5676,7.9285,0.0,16.7831,5.9258,0.0,-3.409,132.0,0.0584,0.0,4100091750.0,1616034250.0,2934773000.0,2.776,1.445,0.2613,0.0,0.0,0.0,0.0,AINV,5.8,6.002500000000002,1305105681.8
2016-06-30,-0.2599,-1.8774,-7.5862,-7.3333,-7.3333,0.6687,-0.1932,-0.1432,-0.2099,-0.1451,0.0,0.0,0.6687,0.0,0.8249,-0.2807,-0.0447,76469000.0,-0.2478,22849000.0,53620000.0,0.0,6564000.0,847000.0,52773000.0,16793000.0,-42086000.0,0.0,0.0,0.0,-42086000.0,0.0,-42086000.0,-0.19,-0.19,226156496.0,0.2,0.7012,-0.331,-0.3308,-0.55,3.8577,-25293000.0,-25293000.0,-42086000.0,354549000.0,-0.1806,103749000.0,250800000.0,0.0,18161000.0,-2480000.0,253280000.0,75207000.0,-93002000.0,0.0,0.0,0.0,-93002000.0,0.0,-93002000.0,-0.41,-0.41,226156496.0,0.8,0.7074,-0.05,-0.0502,-0.262,1.5637,-17795000.0,-17795000.0,-93002000.0,6.864,12.322,1.304,4.8594,0.2542,0.7079,0.3944,-1.5062,-7.0094,-1.053,0.0,0.0858,0.0,2786597000.0,3828078000.0,56973500.0,73530500.0,0.0,0.0,0.0,0.0,0.0,-0.055,-0.03,-0.05,0.114,-5.9612,67.2506,54.0661,0.0,6.2231,4.8218,0.0,-1.951,-144.0,0.0512,0.0,4364588250.0,1687264750.0,3096845750.0,2.451,1.568,-0.2366,0.0,0.0,0.0,0.0,AINV,5.54,5.448055555555554,1252906987.84
2016-03-31,-0.1746,-1.6446,-0.9946,-1.5,-1.5,0.0542,-0.1354,-0.1109,-0.124,-0.2591,0.0,0.0,0.0542,0.0,0.0874,-0.1545,-0.0447,85335000.0,-0.1643,25779000.0,59556000.0,0.0,2885000.0,-2318000.0,61874000.0,17315000.0,-23397000.0,0.0,0.0,0.0,-23397000.0,0.0,-23397000.0,-0.1,-0.1,226156496.0,0.2,0.6979,-0.071,-0.0713,-0.274,1.4148,-6082000.0,-6082000.0,-23397000.0,379745000.0,-0.1243,110119000.0,269626000.0,0.0,15194000.0,-4246000.0,273872000.0,80850000.0,-44526000.0,0.0,0.0,0.0,-44526000.0,0.0,-44526000.0,-0.19,-0.19,226156496.0,0.8,0.71,0.096,0.0957,-0.117,1.1486,36324000.0,36324000.0,-44526000.0,7.276,13.613,0.534,5.8055,0.0731,0.7979,0.4265,-0.3513,-5.1602,-2.0,0.0,0.0338,0.0,3078637000.0,4375076000.0,104721500.0,74771500.0,0.0,0.0,0.0,0.0,0.0,-0.025,-0.014,0.096,0.116,-9.7964,97.507,85.673,0.0,3.6262,5.0787,0.0,-4.211,72.0,0.04,0.0,4616300250.0,1773325000.0,3263695000.0,1.929,1.679,0.4493,0.0,0.0,0.0,0.0,AINV,5.55,5.196571428571429,1255168552.8
