,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-04-30,0.5493,0.4377,0.1015,0.0374,0.0377,0.0152,0.491,2.2823,0.5306,47.2337,1.1604,1.4453,0.0,0.2026,0.0,0.6308,0.453,0.0783,405887000.0,0.5687,316692000.0,89195000.0,0.0,50859000.0,50859000.0,38336000.0,8451000.0,28161000.0,9052000.0,0.0,0.0,19109000.0,0.0,19109000.0,1.11,1.1,17503330.0,16690760.0,0.0,0.2198,0.148,0.0902,0.047,0.0516,59954000.0,36612000.0,19109000.0,1250274000.0,0.2136,994871000.0,255403000.0,0.0,147698000.0,147698000.0,107705000.0,13054000.0,94760000.0,31619000.0,0.0,0.0,63141000.0,0.0,63141000.0,3.8,3.77,17503330.0,0.0,0.2043,0.122,0.0862,0.051,0.0295,152818000.0,107814000.0,63141000.0,33.232,49.648,1.196,46.5077,5.0225,1.3995,0.4948,4.3323,2.138,1.983,0.0,0.4718,0.1253,0.0,193912000.0,869005000.0,-699313000.0,1424680000.0,99735000.0,56204000.0,73830000.0,-0.4476,0.0015,12.1115,-0.0418,-0.7266,0.133,0.058,0.0484,0.086,3.0,1.142,1.3743,20.7555,39.8069,30.5952,12.536,22.2453,16.9345,0.0,20.0,0.1181,0.0,752459000.0,472968750.0,1094462000.0,2.109,71.431,8.2591,0.1488,-0.5747,0.0025,-0.0399,-1.108,AMWD,82.199997,96.37142837142856,1438773673.49001
2018-01-31,-0.0236,-0.6282,-0.8628,-0.8667,-0.8652,-0.0069,-0.3885,2.4709,0.6803,33.4258,1.0471,1.6171,0.0,-1.6551,0.0,0.4222,-0.6426,0.0207,292791000.0,0.1745,242412000.0,50379000.0,0.0,42659000.0,42659000.0,7720000.0,4498000.0,3764000.0,1768000.0,0.0,0.0,1996000.0,0.0,1996000.0,0.12,0.12,16578235.0,16268078.0,0.0,0.1721,0.065,0.0282,0.007,-0.0144,18947000.0,8262000.0,1996000.0,1103124000.0,0.0896,879345000.0,223779000.0,0.0,128026000.0,128026000.0,95753000.0,3306000.0,93361000.0,31981000.0,0.0,0.0,61380000.0,0.0,61380000.0,3.78,3.75,16578235.0,0.0,0.2029,0.112,0.0876,0.056,0.0303,123292000.0,96667000.0,61380000.0,33.939,39.59,-0.255,54.0739,9.0555,1.5933,0.5267,1.8368,2.272,3.5286,0.0,0.6144,0.1457,0.0,232372000.0,656330000.0,-724275000.0,1219959000.0,90632500.0,48976500.0,74635500.0,-1.6,0.0031,39.3901,-0.0385,-1.0547,0.148,0.076,0.0432,0.088,3.0,1.365,1.2104,21.5243,40.2934,35.7359,12.1714,22.5235,14.7802,0.0,20.0,0.1161,0.0,438145250.0,415664750.0,808444000.0,2.014,66.54,29.2399,0.1346,-0.5507,0.0032,-0.0371,-1.5367,AMWD,135.850006,131.87499958823526,2252153324.21941
2017-10-31,0.0211,0.1009,0.1201,0.1296,0.1308,-0.0062,1.1209,0.038,0.1972,-0.302,-0.0311,0.1467,0.0,14.0425,0.0,-0.0468,0.0877,-0.0061,274769000.0,0.0405,217434000.0,57335000.0,0.0,26520000.0,26520000.0,30815000.0,24000.0,31463000.0,11708000.0,0.0,0.0,19755000.0,0.0,19755000.0,1.22,1.21,16197088.0,16355045.0,0.0,0.2087,0.134,0.1146,0.072,0.0193,36928000.0,31487000.0,19755000.0,1059618000.0,0.0793,834622000.0,224996000.0,0.0,115362000.0,115362000.0,109634000.0,-745000.0,111370000.0,37433000.0,0.0,0.0,73937000.0,0.0,73937000.0,4.56,4.52,16197088.0,0.0,0.2123,0.124,0.1044,0.07,0.0416,131411000.0,110625000.0,73937000.0,23.161,31.691,0.328,1.0988,15.0826,0.0474,0.0347,1311.9583,3.415,0.7729,0.0,0.0,0.0965,0.0,241958000.0,513305000.0,204006000.0,186597000.0,67272500.0,38314000.0,43733500.0,-0.6522,0.0024,-6.1335,-0.0362,-1.8302,0.207,0.146,0.4019,0.104,7.0,2.096,1.0654,13.3442,22.8073,16.0944,15.7511,27.6562,24.229,0.0,12.0,0.1089,0.0,177854750.0,357014250.0,505536500.0,2.72,65.42,-148.4899,0.2007,-0.4407,0.0032,-0.0328,-1.67,AMWD,96.599998,94.70135145945946,1564638668.405824
2017-07-31,-0.0139,-0.0207,0.0286,0.0301,0.0303,-0.0055,-0.1936,0.055,0.2339,-0.2654,0.0902,0.1132,0.0,-0.456,0.0,0.0097,-0.0341,0.0005,276827000.0,0.0723,218333000.0,58494000.0,0.0,27660000.0,27660000.0,30834000.0,81000.0,31372000.0,9091000.0,0.0,0.0,22281000.0,0.0,22281000.0,1.37,1.36,16271788.0,16381223.0,0.0,0.2113,0.134,0.1136,0.08,0.0538,36989000.0,31453000.0,22281000.0,1048925000.0,0.0769,825112000.0,223813000.0,0.0,116663000.0,116663000.0,107150000.0,-599000.0,108337000.0,36518000.0,0.0,0.0,71819000.0,0.0,71819000.0,4.42,4.38,16271788.0,0.0,0.2134,0.122,0.1027,0.068,0.0373,127459000.0,107738000.0,71819000.0,22.888,31.786,0.915,1.1002,15.8155,0.0481,0.0346,388.3086,3.453,1.1925,0.0,0.0,0.0999,0.0,243259000.0,517209000.0,197635000.0,178600000.0,60175500.0,39911500.0,42215500.0,-0.4395,0.0034,-6.4734,-0.0422,-2.1095,0.21,0.143,0.4124,0.103,5.0,2.094,0.9845,14.2329,21.8428,15.4769,17.4311,26.2813,24.8469,0.0,13.0,0.1112,0.0,177729500.0,342045750.0,500837750.0,2.403,64.463,-179.8631,0.1971,-0.447,0.0034,-0.0301,-1.6024,AMWD,98.150002,96.90285759999999,1597076024.743576
2017-04-30,0.178,0.2273,0.2973,0.3049,0.3086,0.0012,0.2078,0.0749,0.2587,-0.2885,0.1308,0.09,0.0,-0.0025,0.0,0.1676,0.1906,-0.0026,258737000.0,0.0739,201166000.0,57571000.0,0.0,31187000.0,31187000.0,26384000.0,-1297000.0,26762000.0,9414000.0,0.0,0.0,17348000.0,0.0,17348000.0,1.07,1.06,16232625.0,16440321.0,0.0,0.2225,0.118,0.0984,0.067,0.0673,30428000.0,25465000.0,17348000.0,1030248000.0,0.0879,805612000.0,224636000.0,0.0,116398000.0,116398000.0,108238000.0,-521000.0,108925000.0,37726000.0,0.0,0.0,71199000.0,0.0,71199000.0,4.38,4.34,16232625.0,0.0,0.218,0.123,0.1052,0.069,0.0501,127086000.0,108404000.0,71199000.0,21.712,30.881,1.072,1.0397,15.3535,0.0479,0.0337,-19.6338,3.342,1.4651,0.0,0.0,0.1205,0.0,237731000.0,501273000.0,190404000.0,167425000.0,59464000.0,38161500.0,41089000.0,-0.3152,0.0038,-7.6361,-0.031,-1.6139,0.22,0.144,0.4446,0.105,8.0,2.085,1.0826,14.6362,22.3606,15.1842,17.3256,26.9971,25.0736,0.0,12.0,0.113,0.0,177148000.0,324364500.0,494097000.0,3.178,63.468,-208.0691,0.2026,-0.3307,0.0034,-0.0247,-1.3646,AMWD,91.900002,88.41176470588236,1491778269.96525
2017-01-31,0.1569,0.1818,0.2114,0.2162,0.2192,0.0155,-0.0048,0.0977,0.1848,0.033,0.2011,0.0833,0.0,-0.1027,0.0,0.16,0.1526,-0.0033,249285000.0,0.1402,197689000.0,51596000.0,0.0,29995000.0,29995000.0,21601000.0,447000.0,21773000.0,7220000.0,0.0,0.0,14553000.0,0.0,14553000.0,0.9,0.89,16241670.0,16380983.0,0.0,0.207,0.109,0.0891,0.058,0.0259,27066000.0,22220000.0,14553000.0,1012434000.0,0.1089,796498000.0,215936000.0,0.0,111922000.0,111922000.0,104014000.0,675000.0,103012000.0,35789000.0,0.0,0.0,67223000.0,0.0,67223000.0,4.13,4.09,16241670.0,0.0,0.2133,0.121,0.1024,0.066,0.051,122058000.0,103687000.0,67223000.0,20.198,30.191,0.397,1.6033,14.8671,0.0794,0.0531,49.7092,3.409,0.7915,0.0,0.0,0.1203,0.0,231601000.0,490359000.0,165422000.0,178797000.0,54508500.0,33528000.0,39682000.0,-0.4399,0.0033,-7.9593,-0.0203,-1.0456,0.219,0.138,0.4212,0.102,8.0,2.086,1.0816,11.8614,21.4465,14.8778,18.5739,30.1967,25.5137,0.0,9.0,0.1105,0.0,180117500.0,306442500.0,485368750.0,3.179,62.336,153.6104,0.1968,-0.2899,0.0032,-0.0208,-1.1474,AMWD,71.199997,75.13235264705881,1156406855.2749898
2016-10-31,0.0018,0.0003,-0.0299,-0.0357,-0.0273,0.0311,-0.7041,0.0988,0.1801,0.1294,0.1165,0.0779,0.0,-0.973,0.0,0.0111,-0.0072,0.0008,264076000.0,0.0304,207924000.0,56152000.0,0.0,27821000.0,27821000.0,28331000.0,170000.0,28430000.0,10793000.0,0.0,0.0,17637000.0,0.0,17637000.0,1.08,1.07,16295948.0,16457308.0,0.0,0.2126,0.125,0.1083,0.067,0.0013,32976000.0,28600000.0,17637000.0,981781000.0,0.1114,772843000.0,208938000.0,0.0,107784000.0,107784000.0,101154000.0,347000.0,99922000.0,35239000.0,0.0,0.0,64683000.0,0.0,64683000.0,3.97,3.93,16295948.0,0.0,0.2128,0.12,0.1021,0.066,0.0533,118085000.0,100269000.0,64683000.0,19.346,30.346,0.022,1.5646,14.583,0.0809,0.0516,168.2353,3.458,0.4082,0.0,0.0,0.1054,0.0,236625000.0,494510000.0,153650000.0,186096000.0,64769500.0,38873000.0,39272500.0,-0.951,0.003,-6.4334,-0.0259,-1.5644,0.22,0.136,0.3898,0.102,6.0,2.069,1.1249,14.0861,25.4048,15.1475,15.1581,25.2561,24.9992,0.0,10.0,0.1098,0.0,180144750.0,293879250.0,474458000.0,3.213,60.247,288.9597,0.187,-0.2803,0.0021,-0.0208,-1.1448,AMWD,74.699997,78.69388875000001,1217307266.712156
2016-07-31,0.1822,0.351,0.429,0.4149,0.4348,0.0446,0.8662,0.1601,0.2041,0.069,0.0842,0.0797,0.0,4.9384,0.0,0.0357,0.3456,0.0052,258150000.0,0.1166,198833000.0,59317000.0,0.0,27395000.0,27395000.0,31922000.0,159000.0,31960000.0,10299000.0,0.0,0.0,21661000.0,0.0,21661000.0,1.33,1.32,16264380.0,16472645.0,0.0,0.2298,0.142,0.1244,0.084,0.106,36616000.0,32119000.0,21661000.0,973997000.0,0.153,765159000.0,208838000.0,0.0,107479000.0,107479000.0,101359000.0,234000.0,100025000.0,34799000.0,0.0,0.0,65226000.0,0.0,65226000.0,4.01,3.96,16264380.0,0.0,0.2144,0.121,0.1029,0.067,0.0668,117654000.0,100259000.0,65226000.0,18.549,30.142,1.683,1.4984,14.8523,0.0808,0.0497,202.0063,3.333,1.521,0.0,0.0,0.1061,0.0,225794000.0,490246000.0,134023000.0,176274000.0,55343000.0,36876000.0,38479000.0,-0.1691,0.0033,-5.9316,-0.0216,-1.2388,0.231,0.141,0.4127,0.103,7.0,2.102,1.3782,14.5854,21.5778,14.9725,17.5993,26.4128,25.3124,0.0,10.0,0.1103,0.0,175974750.0,281793750.0,463343750.0,4.002,59.885,428.4573,0.1965,-0.2759,0.0008,-0.0255,-1.4256,AMWD,74.230003,69.78970570588234,1207304976.19314
2016-04-30,0.1281,0.146,0.1825,0.1549,0.1739,0.0375,-0.1293,0.1691,0.1936,0.0333,0.2096,0.0926,0.0,0.1025,0.0,0.0456,0.2297,0.0234,240923000.0,0.1645,192052000.0,48871000.0,0.0,26711000.0,26711000.0,22160000.0,-101000.0,20849000.0,7477000.0,0.0,0.0,13372000.0,0.0,13372000.0,0.82,0.81,16275661.0,16421230.0,0.0,0.2028,0.105,0.0861,0.056,0.0724,25400000.0,20748000.0,13372000.0,947045000.0,0.1473,747351000.0,199694000.0,0.0,106534000.0,106534000.0,93160000.0,129000.0,91786000.0,33063000.0,0.0,0.0,58723000.0,0.0,58723000.0,3.61,3.57,16275661.0,0.0,0.2109,0.114,0.0971,0.062,0.0447,108371000.0,91915000.0,58723000.0,17.25,28.654,1.072,1.4573,13.4227,0.0845,0.0509,-205.4257,3.274,1.5737,0.0,0.0,0.1109,0.0,209896000.0,466360000.0,116610000.0,179303000.0,50977500.0,34649500.0,37653500.0,-0.1708,0.0031,-7.6671,-0.0149,-0.7726,0.219,0.132,0.3705,0.097,7.0,2.121,1.2704,13.4936,21.5109,15.1539,18.5777,27.3321,25.1516,0.0,11.0,0.1125,0.0,173044750.0,268685750.0,446430500.0,2.601,58.188,712.5194,0.1867,-0.4326,-0.0014,-0.0341,-1.9612,AMWD,72.839996,73.76799925714288,1185519082.137356
2016-01-31,0.27,0.6928,0.6497,0.6087,0.6222,0.0353,-0.3334,0.2294,0.1948,0.161,0.0281,0.0925,0.0,-0.3654,0.0,0.0745,0.696,0.0275,218632000.0,0.157,174034000.0,44598000.0,0.0,25857000.0,25857000.0,18741000.0,119000.0,18683000.0,6670000.0,0.0,0.0,12013000.0,0.0,12013000.0,0.74,0.73,16294889.0,16131140.0,0.0,0.204,0.106,0.086,0.055,0.0329,23093000.0,18802000.0,12013000.0,913014000.0,0.1308,718871000.0,194143000.0,0.0,105369000.0,105123000.0,89020000.0,300000.0,88972000.0,32313000.0,0.0,0.0,56659000.0,0.0,56659000.0,3.51,3.44,16294889.0,0.0,0.2126,0.115,0.0978,0.062,0.0446,104691000.0,89272000.0,56659000.0,17.048,27.414,0.441,1.547,12.5916,0.0907,0.0564,158.0,3.357,0.9634,0.0,0.0,0.1183,0.0,207001000.0,446716000.0,125915000.0,178906000.0,48851000.0,32063000.0,36483500.0,-0.3788,-0.0014,-7.7933,-0.0201,-1.0217,0.221,0.132,0.3583,0.098,7.0,2.125,1.3719,13.6543,19.8004,15.2298,18.6898,28.4756,25.0254,0.0,11.0,0.1154,0.0,166226000.0,255956000.0,429566500.0,2.498,56.031,297.5733,0.1797,-0.4763,-0.0033,-0.0405,-2.4009,AMWD,69.0,74.25156328125001,1124347341.0
