,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.1297,-0.0505,-0.1442,-0.1442,-0.1485,0.0096,-0.0655,0.2096,0.0331,8.0965,0.1677,0.0721,0.0,-0.3297,0.0,0.1221,-0.0521,-0.0037,710608000.0,0.1503,464244000.0,246364000.0,0.0,107111000.0,165426000.0,80938000.0,7964000.0,74892000.0,19117000.0,6000.0,0.0,55775000.0,0.0,55775000.0,0.89,0.86,62402000.0,64850000.0,0.32,0.3467,0.173,0.1166,0.078,0.0744,122957000.0,82856000.0,55781000.0,2664179000.0,0.1348,1739361000.0,924818000.0,0.0,410678000.0,596833000.0,327985000.0,40642000.0,301899000.0,83788000.0,-7000.0,0.0,218111000.0,0.0,218111000.0,3.49,3.38,62402000.0,1.28,0.3471,0.189,0.1286,0.082,0.0577,502338000.0,342541000.0,218104000.0,21.589,43.16,0.847,1.15,11.5075,0.0533,0.0223,10.4038,3.012,1.8555,0.36,0.1642,0.1507,0.0,1168875000.0,2693268000.0,-124988000.0,1466059000.0,541596500.0,490144500.0,331626000.0,-0.4891,0.162,0.067,0.1028,0.129,5.0,0.816,1.5144,69.7506,79.9406,47.0153,4.9191,5.4355,8.0337,0.367,15.0,0.1541,0.0,1446508750.0,1346233000.0,3263156500.0,2.462,42.694,8.4283,0.1071,-0.5348,ATR,93.379997,93.59657094285717,5827098572.794001
2018-03-31,0.1426,0.1482,0.1443,0.1446,0.1358,-0.0043,0.3364,0.3012,0.1364,6.0783,0.235,0.1234,0.0,2.2078,0.0,0.1104,0.1274,-0.0036,703350000.0,0.1697,455822000.0,247528000.0,0.0,112461000.0,159572000.0,87956000.0,8055000.0,81229000.0,21929000.0,-12000.0,0.0,59300000.0,0.0,59300000.0,0.95,0.92,62128000.0,64414000.0,0.32,0.3519,0.185,0.1269,0.084,0.0197,130459000.0,89284000.0,59288000.0,2571317000.0,0.0942,1674781000.0,896536000.0,0.0,399023000.0,564105000.0,332431000.0,40390000.0,306560000.0,79050000.0,2000.0,0.0,227510000.0,0.0,227510000.0,3.64,3.53,62128000.0,1.28,0.3487,0.196,0.1349,0.088,0.0699,503888000.0,346950000.0,227512000.0,22.606,44.066,0.223,1.1322,11.928,0.0501,0.0214,11.0843,3.164,0.8604,0.337,0.1663,0.1599,0.0,1226370000.0,2737706000.0,-85795000.0,1500235000.0,530774500.0,449701000.0,328691500.0,-0.7286,0.17,0.073,0.1016,0.135,5.0,0.823,1.4838,70.4656,83.2671,49.3691,4.8445,5.7178,7.8229,0.352,14.0,0.1552,0.0,1412680250.0,1336649000.0,3123558750.0,2.892,41.387,8.59,0.1078,-0.4678,ATR,89.83000200000001,89.4644116764706,5580958364.2560005
2017-12-31,0.1548,0.3027,-0.0014,0.0,0.0,0.0006,-0.5152,0.2037,0.1245,-0.6193,0.1785,0.1357,0.0,-0.7272,0.0,0.1669,0.2044,-0.0063,625895000.0,0.1615,411214000.0,214681000.0,0.0,95358000.0,136000000.0,78681000.0,14890000.0,76266000.0,26753000.0,-7000.0,0.0,49513000.0,0.0,49513000.0,0.79,0.77,62293828.0,64821000.0,0.32,0.343,0.207,0.1456,0.079,0.0374,129590000.0,91156000.0,49506000.0,2469283000.0,0.0594,1604181000.0,865102000.0,0.0,388281000.0,543583000.0,321519000.0,40597000.0,294826000.0,74796000.0,-1000.0,0.0,220030000.0,0.0,220030000.0,3.52,3.41,62293828.0,1.28,0.3503,0.198,0.1358,0.089,0.0689,488517000.0,335423000.0,220029000.0,21.057,41.713,0.376,1.0622,11.44,0.0504,0.0211,6.122,3.165,1.2031,0.405,0.1719,0.1524,0.0,1142325000.0,2598476000.0,-155702000.0,1424257000.0,471776500.0,415359000.0,317065000.0,-0.6065,0.17,0.075,0.1024,0.136,6.0,0.842,1.4758,68.2288,75.4492,49.846,5.234,5.9449,7.7879,0.364,14.0,0.1572,0.0,1370535500.0,1295616750.0,2933545000.0,2.731,39.639,8.2623,0.1095,-0.4761,ATR,86.279999,86.6730307878788,5374711417.546172
2017-09-30,0.0362,-0.0538,0.008,0.0238,0.0122,-0.0036,-0.0166,0.2696,0.0319,-0.732,0.1007,0.0043,0.0667,-0.2383,0.0,0.1044,-0.0233,-0.0042,624326000.0,0.0587,408081000.0,216245000.0,0.0,95748000.0,135835000.0,80410000.0,9733000.0,69512000.0,15989000.0,6000.0,0.0,53523000.0,0.0,53523000.0,0.86,0.83,62592000.0,64828000.0,0.32,0.3464,0.191,0.1269,0.086,0.1017,119332000.0,79245000.0,53529000.0,2382256000.0,0.0186,1545392000.0,836864000.0,0.0,374207000.0,527725000.0,309139000.0,34397000.0,279847000.0,59749000.0,12000.0,0.0,220098000.0,0.0,220098000.0,3.52,3.42,62592000.0,1.28,0.3513,0.196,0.1319,0.092,0.0976,467762000.0,314244000.0,220110000.0,21.113,45.9,1.015,3.934,16.2747,0.1863,0.0722,8.1419,2.754,2.1718,0.372,0.1572,0.1534,0.0,1236358000.0,2872947000.0,-145635000.0,1395484000.0,486808000.0,410577500.0,322716000.0,-0.4536,0.175,0.079,0.1001,0.132,7.0,0.851,1.763,70.2951,78.1623,49.5507,4.8936,5.8022,7.3819,0.364,16.0,0.1571,0.0,1331808250.0,1261169750.0,2800785500.0,3.716,38.06,9.1358,0.1051,-0.4006,ATR,86.309998,83.97142908571429,5402315394.816
2017-06-30,-0.0524,-0.0673,0.1037,0.1064,0.1099,-0.0034,0.5309,0.0064,0.0472,-0.9911,0.0227,-0.0173,0.0667,0.9805,0.0,-0.007,-0.0879,-0.0067,617746000.0,-0.0036,399664000.0,218082000.0,0.0,95456000.0,132698000.0,85384000.0,7712000.0,79553000.0,14379000.0,15000.0,0.0,65174000.0,0.0,65174000.0,1.04,1.01,62631000.0,64234000.0,0.32,0.353,0.202,0.1413,0.106,0.1277,124507000.0,87265000.0,65189000.0,2347659000.0,0.0052,1518352000.0,829307000.0,0.0,365154000.0,518252000.0,311055000.0,33417000.0,285334000.0,65661000.0,8000.0,0.0,219673000.0,0.0,219673000.0,3.5,3.41,62631000.0,1.26,0.3532,0.201,0.1358,0.094,0.1075,471849000.0,318751000.0,219681000.0,20.898,34.15,1.259,0.126,5.3794,0.006,0.003,11.3155,2.598,1.6992,0.308,0.1971,0.1545,0.0,765409000.0,2138831000.0,-110219000.0,1330745000.0,494144000.0,426523500.0,322903000.0,-0.2878,0.175,0.084,0.1048,0.136,7.0,0.896,1.7754,73.2549,77.6899,49.7644,4.751,5.5042,7.2705,0.36,16.0,0.1555,0.0,1517890750.0,1252304000.0,2619792500.0,4.031,37.484,9.5386,0.1375,-0.3526,ATR,86.860001,85.09055597222222,5440128722.631
2017-03-31,0.0408,0.1363,0.1814,0.1857,0.209,0.0064,2.2143,-0.058,-0.0155,-0.989,-0.0184,-0.0178,0.0667,1.3887,0.0,-0.0168,0.1269,-0.0059,601316000.0,0.0326,384684000.0,216632000.0,0.0,101282000.0,138613000.0,78019000.0,8262000.0,69495000.0,17675000.0,-15000.0,0.0,51820000.0,0.0,51820000.0,0.83,0.81,62355000.0,64690000.0,0.32,0.3603,0.191,0.1293,0.086,0.0072,115088000.0,77757000.0,51805000.0,2349912000.0,0.0174,1508551000.0,841361000.0,0.0,365829000.0,522075000.0,319286000.0,34908000.0,290136000.0,76589000.0,-4000.0,0.0,213547000.0,0.0,213547000.0,3.4,3.31,62355000.0,1.24,0.358,0.205,0.1383,0.091,0.0908,481290000.0,325044000.0,213543000.0,19.892,32.385,0.069,0.1594,4.5662,0.008,0.0039,9.4114,2.801,0.7367,0.386,0.1998,0.1684,0.0,743803000.0,2019376000.0,-126288000.0,1331656000.0,479403500.0,395880500.0,312395500.0,-0.8869,0.172,0.082,0.1087,0.138,8.0,0.898,1.6465,62.5949,73.7727,48.0874,4.9017,5.9359,7.5222,0.365,14.0,0.1557,0.0,1722651750.0,1239659250.0,2615557000.0,3.423,37.686,9.3114,0.1384,-0.393,ATR,76.989998,75.72916694444444,4800711325.29
2016-12-31,-0.0048,-0.0132,0.1427,0.1286,0.1324,0.0045,0.3299,0.0696,0.0174,2.0512,0.1061,0.0068,0.0667,0.7139,0.0,-0.0339,-0.0247,0.0039,538868000.0,-0.0145,352963000.0,185905000.0,0.0,81721000.0,120579000.0,65326000.0,8690000.0,61287000.0,11706000.0,6000.0,0.0,49581000.0,0.0,49581000.0,0.79,0.77,62691462.0,64785000.0,0.32,0.345,0.202,0.1299,0.092,0.1594,108835000.0,69977000.0,49587000.0,2330934000.0,0.0059,1498070000.0,832864000.0,0.0,367562000.0,522364000.0,310500000.0,35237000.0,280483000.0,74893000.0,14000.0,0.0,205590000.0,0.0,205590000.0,3.27,3.17,62691462.0,1.22,0.3573,0.202,0.1354,0.088,0.0849,470522000.0,315720000.0,205604000.0,18.726,33.574,1.37,2.7726,7.4378,0.1481,0.0667,8.0526,2.339,2.4783,0.405,0.1926,0.1517,0.0,727215000.0,2104774000.0,-162373000.0,1269348000.0,412349000.0,362033500.0,295913000.0,-0.3009,0.165,0.077,0.1096,0.135,5.0,0.878,1.5823,57.8033,67.8232,46.4936,5.6528,6.4384,7.8771,0.373,16.0,0.1577,0.0,1924910250.0,1246413500.0,2654405500.0,3.158,37.181,8.9599,0.136,-0.3913,ATR,73.449997,73.98470617647057,4604687695.825614
2016-09-30,0.0187,-0.0516,-0.0028,-0.0118,-0.012,-0.0267,0.2963,0.0775,0.1095,0.0984,0.096,0.036,0.0714,0.9262,0.0,0.0654,-0.0651,-0.0004,589729000.0,0.0059,381041000.0,208688000.0,0.0,86695000.0,126362000.0,82326000.0,8753000.0,74999000.0,21901000.0,2000.0,0.0,53098000.0,0.0,53098000.0,0.84,0.82,62858000.0,65063000.0,0.3,0.3539,0.209,0.142,0.09,0.1414,123419000.0,83752000.0,53100000.0,2338839000.0,-0.013,1505076000.0,833763000.0,0.0,370433000.0,521606000.0,312157000.0,35716000.0,280938000.0,81538000.0,10000.0,0.0,199400000.0,0.0,199400000.0,3.18,3.08,62858000.0,1.2,0.3565,0.2,0.1354,0.085,0.0694,467827000.0,316654000.0,199410000.0,20.46,34.334,1.327,14.6167,6.8844,0.7144,0.3422,9.5684,0.858,2.2261,0.357,0.1962,0.147,0.0,-71633000.0,2158143000.0,-965799000.0,2139814000.0,443183500.0,363909000.0,316436000.0,-0.2946,0.161,0.076,0.1033,0.135,5.0,0.895,1.4785,56.5497,72.3296,50.2558,5.2774,6.427,7.3912,0.377,17.0,0.1584,0.0,1920185000.0,1240278750.0,2611970500.0,2.581,37.208,8.8659,0.2672,-0.4497,ATR,77.410004,77.81250044444444,4865838031.432
2016-06-30,0.0509,-0.0146,0.0262,0.0217,0.0111,-0.0442,-0.2796,0.0683,0.1098,0.0642,0.122,0.0335,0.0714,-0.4067,0.0,0.0764,-0.0199,0.0057,619999000.0,0.0433,389863000.0,230136000.0,0.0,96131000.0,136521000.0,93615000.0,9203000.0,84355000.0,25307000.0,3000.0,0.0,59048000.0,0.0,59048000.0,0.94,0.91,63053000.0,64454000.0,0.3,0.3712,0.216,0.1509,0.095,0.0642,133948000.0,93558000.0,59051000.0,2335400000.0,-0.041,1505459000.0,829941000.0,0.0,365108000.0,512053000.0,317888000.0,35911000.0,285301000.0,85752000.0,23000.0,0.0,199549000.0,0.0,199549000.0,3.19,3.09,63053000.0,1.18,0.3554,0.2,0.1375,0.085,0.0523,468157000.0,321212000.0,199572000.0,19.956,33.648,0.632,14.1254,5.7359,0.7078,0.3365,10.166,0.722,1.2251,0.319,0.1985,0.1551,0.0,-139164000.0,2121634000.0,-1026666000.0,2149789000.0,462019500.0,379722500.0,320451000.0,-0.4494,0.165,0.078,0.1044,0.138,5.0,0.911,1.342,59.6835,76.362,50.9075,5.0548,6.1503,7.2879,0.37,17.0,0.1563,0.0,1911345000.0,1208667500.0,2563688000.0,1.937,37.039,8.9447,0.2946,-0.544,ATR,79.129997,76.86361069444445,4989383700.841001
2016-03-31,0.0211,-0.0884,-0.029,-0.0411,-0.0429,-0.058,-0.7013,0.1473,0.2263,0.0867,0.1478,0.1076,0.0714,-1.7545,0.0,0.071,-0.0591,0.0069,582338000.0,-0.0127,374203000.0,208135000.0,0.0,103015000.0,138902000.0,69233000.0,8591000.0,59842000.0,15979000.0,3000.0,0.0,43863000.0,0.0,43863000.0,0.7,0.67,62722000.0,64276000.0,0.3,0.3574,0.179,0.1175,0.075,-0.0191,104320000.0,68433000.0,43866000.0,2309676000.0,-0.0804,1490874000.0,818802000.0,0.0,358289000.0,499009000.0,319793000.0,35903000.0,286699000.0,88659000.0,22000.0,0.0,198040000.0,0.0,198040000.0,3.17,3.08,62722000.0,1.16,0.3545,0.201,0.1397,0.086,0.0647,463322000.0,322602000.0,198062000.0,20.206,34.155,-0.177,14.4635,6.1537,0.7158,0.3386,7.9657,0.738,0.2708,0.429,0.2004,0.1769,0.0,-136794000.0,2142248000.0,-1025407000.0,2140690000.0,452705000.0,364551000.0,299889000.0,-1.9352,0.168,0.079,0.105,0.14,6.0,0.916,1.494,61.4373,76.4632,49.8112,5.1019,6.3357,7.7018,0.366,16.0,0.1551,0.0,1916113750.0,1175942750.0,2521409000.0,2.382,36.824,8.9854,0.2846,-0.4949,ATR,78.410004,75.54085780000003,4918032270.8880005
