,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.1363,1.0115,8.0549,8.1111,8.1111,-0.1587,0.0241,0.0744,-0.0343,4.054,0.0,0.0769,-1.1763,0.0,-0.1624,0.9864,-0.0041,204276000.0,-0.1383,1561000.0,202715000.0,0.0,18583000.0,94764000.0,107951000.0,57398000.0,53335000.0,3132000.0,0.0,0.0,50203000.0,0.0,50203000.0,0.64,0.64,78388985.0,0.28,0.9924,0.915,0.5421,0.246,-0.2848,186914000.0,110733000.0,50203000.0,775769000.0,-0.078,6352000.0,769417000.0,0.0,71668000.0,364087000.0,405330000.0,230997000.0,226290000.0,5989000.0,0.0,0.0,220301000.0,0.0,220301000.0,2.8,2.79,78388985.0,1.1,0.9918,0.966,0.5895,0.284,-0.0096,749706000.0,457287000.0,220301000.0,25.047,92.017,-0.742,53.4602,2.0824,2.1344,0.581,1.9292,1.9407,0.438,0.0,0.091,0.0,7213148000.0,11240599000.0,11593500.0,131616000.0,0.0,-1.5971,0.0151,-0.7618,-2.0426,0.115,0.031,0.589,0.109,2.1939,61.8069,9.1075,0.0,66.9141,5.8942,0.0,0.393,12.0,0.0924,0.0,11006122750.0,1920099500.0,7114072000.0,-0.095,9.896,1.9796,-1.0154,0.0135,-0.6326,-1.6783,AYR,20.5,21.34971442857142,1606974192.5
2018-03-31,-0.002,0.0602,0.356,0.3519,0.3519,0.0824,-0.0739,0.0422,-0.152,0.0505,0.0,0.0769,23.2197,0.0,0.1032,0.0244,0.0015,202680000.0,-0.0115,988000.0,201692000.0,0.0,17835000.0,92837000.0,108855000.0,57108000.0,56703000.0,-844000.0,0.0,0.0,57547000.0,0.0,57547000.0,0.73,0.73,78676917.0,0.28,0.9951,0.932,0.5615,0.284,0.5266,188813000.0,113811000.0,57547000.0,808552000.0,0.0179,7134000.0,801418000.0,0.0,75272000.0,449694000.0,351724000.0,235271000.0,166334000.0,3352000.0,0.0,0.0,162982000.0,0.0,162982000.0,2.07,2.06,78676917.0,1.08,0.9912,0.861,0.4967,0.202,0.4709,696097000.0,401605000.0,162982000.0,24.625,91.121,1.357,53.5788,2.9531,2.1757,0.588,1.9929,2.4747,0.384,0.0,0.088,0.0,7169099000.0,11152173000.0,7630000.0,142172500.0,0.0,-0.2505,0.0117,-0.176,-0.4757,0.086,0.023,0.497,0.114,3.0783,63.1818,3.5292,0.0,105.9701,5.6871,0.0,0.522,14.0,0.0931,0.0,10908985250.0,1888020250.0,7071620000.0,4.839,10.277,1.707,-0.2411,0.0166,-0.1496,-0.4107,AYR,19.860001,20.144117735294113,1562523650.296917
2017-12-31,-0.1295,-0.2163,-0.1861,-0.186,-0.1977,-0.0324,-0.0063,0.039,-0.0427,1.1234,0.0,0.0769,-2.0768,0.0,0.2084,-0.2011,0.0009,177402000.0,-0.1332,1231000.0,176171000.0,0.0,18113000.0,89331000.0,86840000.0,55855000.0,52626000.0,-2494000.0,0.0,0.0,55120000.0,0.0,55120000.0,0.7,0.69,78707968.0,0.28,0.9931,1.013,0.6115,0.311,-2.8887,179699000.0,108481000.0,55120000.0,796620000.0,0.0306,9077000.0,787543000.0,0.0,73604000.0,452698000.0,334845000.0,241231000.0,153916000.0,6042000.0,0.0,0.0,147874000.0,0.0,147874000.0,1.88,1.87,78707968.0,1.06,0.9886,0.871,0.496,0.186,0.3495,693811000.0,395147000.0,147874000.0,24.236,91.466,-6.511,54.8052,2.9712,2.2613,0.5992,1.9422,1.7673,0.4,0.0,0.1021,0.0,7199083000.0,11278832000.0,9425000.0,133874000.0,0.0,-6.2607,0.0142,-3.4378,-8.5635,0.079,0.02,0.496,0.11,3.3195,64.2473,5.8717,0.0,84.522,5.9505,0.0,0.564,13.0,0.0924,0.0,11068312500.0,1867677750.0,7214572750.0,3.537,10.121,1.638,-0.4328,0.0165,-0.2667,-0.7113,AYR,23.389999,23.626666515151516,1840979292.812032
2017-09-30,-0.0206,0.3552,1.0932,1.0857,1.0857,0.1006,-0.0429,0.0476,-0.085,0.0839,0.0,0.0833,13.4992,0.0,0.0721,0.1277,0.001,191411000.0,-0.0167,2572000.0,188839000.0,0.0,17137000.0,87155000.0,101684000.0,60636000.0,63626000.0,6195000.0,0.0,0.0,57431000.0,0.0,57431000.0,0.73,0.73,78713705.0,0.26,0.9866,1.015,0.6492,0.3,2.3848,194280000.0,124262000.0,57431000.0,838155000.0,0.0793,10115000.0,828040000.0,0.0,70480000.0,457054000.0,370986000.0,252546000.0,172539000.0,12061000.0,0.0,0.0,160478000.0,0.0,160478000.0,2.04,2.04,78713705.0,1.04,0.9879,0.871,0.5072,0.191,0.7449,729829000.0,425085000.0,160478000.0,23.782,87.341,5.799,52.8639,8.6794,2.2228,0.6053,2.0493,2.5434,0.356,0.0,0.0895,0.0,6874958000.0,10352887000.0,5487000.0,144915500.0,0.0,2.125,0.0131,1.6217,4.4332,0.087,0.022,0.507,0.116,3.0792,63.4456,2.4857,0.0,152.7529,5.7837,0.0,0.51,13.0,0.0841,0.0,11059127750.0,1849365250.0,7225968250.0,7.932,10.648,1.6832,0.2635,0.0152,0.1553,0.4272,AYR,22.290001,21.899143,1754528563.163705
2017-06-30,0.2503,-0.3513,-1.3553,-1.36,-1.36,0.021,0.014,0.0342,-0.0054,-0.1489,0.0,0.0833,2.3911,0.0,0.4402,-0.3251,-0.0012,237059000.0,0.2478,2343000.0,234716000.0,0.0,22187000.0,180371000.0,54345000.0,61672000.0,-6621000.0,495000.0,0.0,0.0,-7116000.0,0.0,-7116000.0,-0.09,-0.09,78713705.0,0.26,0.9901,0.562,0.2322,-0.03,1.3921,133305000.0,55051000.0,-7116000.0,841396000.0,0.0597,9377000.0,832019000.0,0.0,69328000.0,472547000.0,359472000.0,253707000.0,138808000.0,8324000.0,0.0,0.0,130484000.0,0.0,130484000.0,1.66,1.66,78713705.0,1.02,0.9889,0.836,0.4665,0.155,0.1561,703442000.0,392515000.0,130484000.0,23.313,89.48,4.192,55.1284,6.7415,2.3647,0.6161,0.8926,-16.275,-2.889,0.0,0.0936,0.0,7043340000.0,10852049000.0,4165000.0,133615500.0,0.0,1.8494,0.0254,0.9035,2.7371,0.071,0.018,0.467,0.115,3.6846,57.2047,1.6615,0.0,202.0158,6.2971,0.0,0.614,15.0,0.0824,0.0,11225990000.0,1827645750.0,7302942750.0,1.669,10.689,1.5471,-0.7268,0.0146,-0.4153,-1.1239,AYR,21.75,21.948055388888886,1712023083.75
2017-03-31,0.1088,0.0279,0.1703,0.1739,0.1739,0.085,0.1549,0.0482,0.1699,0.0073,0.0,0.0833,-0.9864,0.0,0.0436,0.1791,-0.0001,205032000.0,0.1163,2931000.0,202101000.0,0.0,16167000.0,95841000.0,106260000.0,63068000.0,44285000.0,1846000.0,0.0,0.0,42439000.0,0.0,42439000.0,0.54,0.54,78556466.0,0.26,0.9857,0.91,0.5236,0.207,0.0215,186527000.0,107353000.0,42439000.0,794325000.0,-0.0176,9301000.0,785024000.0,0.0,62547000.0,399375000.0,385649000.0,254487000.0,167844000.0,10214000.0,0.0,0.0,157630000.0,0.0,157630000.0,2.0,2.0,78556466.0,1.0,0.9883,0.919,0.5317,0.198,-0.5488,730074000.0,422331000.0,157630000.0,23.627,98.539,0.056,63.2817,11.7446,2.6783,0.6422,1.7022,3.1004,0.481,0.0,0.0789,0.0,7740910000.0,11789482000.0,7415000.0,142994000.0,0.0,-0.9665,0.0103,-0.6202,-1.6062,0.087,0.022,0.532,0.109,3.035,66.3458,3.4197,0.0,107.1241,5.555,0.0,0.5,14.0,0.0787,0.0,11203982250.0,1812995000.0,7278576500.0,-5.549,10.112,1.6595,-1.9111,0.0105,-1.151,-2.971,AYR,24.129998999999998,23.907777805555565,1895567446.0235338
2016-12-31,-0.017,0.2483,0.3373,0.3871,0.3871,-0.1454,0.1027,0.0643,0.0974,-0.2955,0.0,0.0833,-4.4108,0.0,0.1074,0.1609,-0.0315,204653000.0,-0.0174,2269000.0,202384000.0,0.0,14989000.0,93687000.0,108697000.0,67170000.0,71249000.0,3525000.0,0.0,0.0,67724000.0,0.0,67724000.0,0.86,0.86,78634132.0,0.26,0.9889,1.054,0.6764,0.331,-0.8138,215717000.0,138419000.0,67724000.0,772958000.0,-0.0565,7773000.0,765185000.0,0.0,61872000.0,395673000.0,369512000.0,255660000.0,163760000.0,12307000.0,0.0,0.0,151453000.0,0.0,151453000.0,1.92,1.92,78634132.0,0.98,0.9899,0.937,0.5426,0.196,-0.151,724636000.0,419420000.0,151453000.0,23.327,92.131,-2.118,57.3065,6.4707,2.4566,0.622,2.0607,1.4866,0.302,0.0,0.0732,0.0,7244665000.0,11242093000.0,7300500.0,129292500.0,0.0,-2.6543,0.0103,-1.3058,-3.4572,0.085,0.022,0.543,0.11,3.0907,60.2198,2.8498,0.0,105.8774,5.9784,0.0,0.51,13.0,0.08,0.0,10826897750.0,1791695000.0,7019057000.0,-1.484,9.83,1.6405,-1.2493,0.0102,-0.7566,-1.916,AYR,20.85,21.82500005882353,1639521652.2
2016-09-30,-0.0799,0.8674,2.9613,3.0588,3.0588,-0.1646,0.107,0.0469,0.1201,0.7288,0.0,0.0909,-2.1542,0.0,0.1392,1.836,-0.0314,194652000.0,-0.0822,1834000.0,192818000.0,0.0,15985000.0,102648000.0,90170000.0,61797000.0,29895000.0,2458000.0,0.0,0.0,27437000.0,0.0,27437000.0,0.35,0.35,78634132.0,0.24,0.9906,0.863,0.4711,0.141,-0.1876,167893000.0,91692000.0,27437000.0,776572000.0,-0.0855,7880000.0,768692000.0,0.0,60418000.0,414243000.0,354449000.0,248004000.0,143886000.0,9516000.0,0.0,0.0,134370000.0,0.0,134370000.0,1.68,1.68,78634132.0,0.96,0.9899,0.903,0.5046,0.173,0.1271,701053000.0,391890000.0,134370000.0,22.701,91.345,-0.464,57.834,9.0323,2.5476,0.6331,1.4838,4.8371,0.686,0.0,0.0821,0.0,7182856000.0,11020336000.0,4156000.0,149174500.0,0.0,-1.2752,0.0106,-0.8694,-2.2209,0.076,0.02,0.505,0.113,3.6111,67.7479,2.4751,0.0,186.8556,5.2058,0.0,0.571,14.0,0.0778,0.0,10621894250.0,1777991500.0,6850381750.0,1.255,9.876,1.5802,-0.7966,0.0095,-0.4978,-1.2503,AYR,19.860001,20.680277833333335,1561673940.1541321
2016-06-30,-0.0656,-0.2129,-0.5209,-0.5098,-0.5098,-0.0278,0.0209,0.0248,0.0047,-0.0993,0.0,0.0909,-0.0006,0.0,0.0481,-0.0513,-0.0292,189988000.0,-0.0713,2267000.0,187721000.0,0.0,15406000.0,107199000.0,80522000.0,62452000.0,22415000.0,2385000.0,0.0,0.0,20030000.0,0.0,20030000.0,0.25,0.25,78810706.0,0.24,0.9881,0.842,0.4467,0.105,-1.2487,159937000.0,84867000.0,20030000.0,793994000.0,-0.0254,8566000.0,785428000.0,0.0,58465000.0,489354000.0,296074000.0,246588000.0,102711000.0,9767000.0,0.0,0.0,92944000.0,0.0,92944000.0,1.16,1.16,78810706.0,0.94,0.9892,0.841,0.4399,0.117,0.2101,667585000.0,349299000.0,92944000.0,22.541,88.134,-3.01,55.3579,6.9109,2.4559,0.6281,1.3589,5.6632,0.96,0.0,0.0811,0.0,6945875000.0,10764018000.0,4748000.0,145704000.0,0.0,-3.0914,0.011,-1.8457,-4.6711,0.052,0.014,0.44,0.119,5.502,62.2265,2.0687,0.0,167.227,5.4494,0.0,0.81,15.0,0.0736,0.0,10445639500.0,1771820250.0,6676766750.0,2.117,10.075,1.4165,-0.6737,0.0085,-0.4339,-1.0824,AYR,19.559998999999998,20.71722197222222,1541537330.5492938
2016-03-31,-0.0475,-0.0528,-0.1619,-0.1321,-0.1321,-0.0877,0.0274,0.0405,0.0344,2.0964,0.0,0.0909,4.9432,0.0,0.112,-0.1214,-0.0295,183665000.0,-0.0547,1403000.0,182262000.0,0.0,15492000.0,92139000.0,90123000.0,64241000.0,40201000.0,3939000.0,0.0,0.0,36262000.0,0.0,36262000.0,0.46,0.46,78564901.0,0.24,0.9924,0.986,0.5687,0.197,1.7619,181089000.0,104442000.0,36262000.0,808571000.0,-0.0332,9962000.0,798609000.0,0.0,57758000.0,498177000.0,300432000.0,245687000.0,126569000.0,11847000.0,0.0,0.0,114722000.0,0.0,114722000.0,1.42,1.42,78564901.0,0.92,0.9877,0.857,0.4604,0.142,0.2065,692840000.0,372256000.0,114722000.0,22.54,85.316,4.119,54.0875,8.5416,2.3996,0.634,1.6258,3.3441,0.522,0.0,0.0843,0.0,6702832000.0,10281144000.0,4887000.0,149389500.0,0.0,1.6686,0.0089,1.1017,2.6399,0.065,0.017,0.46,0.122,4.4858,63.922,3.335,0.0,165.4534,5.4125,0.0,0.648,15.0,0.0714,0.0,10439948500.0,1774088250.0,6641216750.0,2.126,10.292,1.5152,-0.6755,0.0074,-0.4299,-1.0843,AYR,22.24,20.348285742857144,1747283398.2399998
