,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.099,-0.3673,-0.2373,-0.2444,-0.2444,-0.0516,0.0458,0.0048,-0.4504,0.0,0.0,0.0,-0.2196,0.0,0.0702,-0.3673,0.0044,30951000.0,-0.099,0.0,30951000.0,0.0,19949000.0,22507000.0,8444000.0,0.0,8444000.0,1701000.0,0.0,0.0,6743000.0,0.0,6743000.0,0.34,0.34,19791373.0,0.23,1.0,0.312,0.2728,0.218,0.3427,9650000.0,8444000.0,6743000.0,131880000.0,-0.0111,0.0,131880000.0,0.0,77059000.0,95530000.0,36350000.0,0.0,36350000.0,15007000.0,0.0,0.0,21343000.0,0.0,21343000.0,1.08,1.08,19791373.0,0.92,1.0,0.282,0.2756,0.162,0.3557,37169000.0,36350000.0,21343000.0,22.22,217.467,0.536,19.2514,5.3504,0.8664,0.0863,0.0,2.0351,0.676,0.0251,0.6445,0.0,4303969000.0,4579089000.0,0.0,0.0,0.0,-0.227,0.0324,-0.1006,-2.5829,0.049,0.005,0.276,0.03,2.4237,0.0,0.0,0.0,0.0,0.0,0.0,0.852,33.0,0.5843,0.0,4754163000.0,436054250.0,4407422250.0,2.37,6.664,0.0,-0.0932,0.0231,-0.0365,-5.884,BDGE,35.950001,36.84571408571427,711499879.141373
2018-03-31,0.1204,0.131,0.3164,0.2979,0.2979,0.5935,0.1072,0.0044,-0.0335,0.0,0.0,0.0,0.5899,0.0,0.1086,0.131,0.0045,37852000.0,0.1204,0.0,37852000.0,0.0,19872000.0,22598000.0,15254000.0,0.0,15254000.0,3181000.0,0.0,0.0,12073000.0,0.0,12073000.0,0.61,0.61,19780705.0,0.23,1.0,0.434,0.403,0.319,0.3659,16433000.0,15254000.0,12073000.0,135281000.0,0.0174,0.0,135281000.0,0.0,75750000.0,94029000.0,41252000.0,0.0,41252000.0,17811000.0,0.0,0.0,23441000.0,0.0,23441000.0,1.19,1.19,19780705.0,0.92,1.0,0.311,0.3049,0.173,0.3688,42091000.0,41252000.0,23441000.0,21.906,221.917,0.7,30.3144,5.0055,1.3838,0.1332,0.0,1.2565,0.377,0.0247,0.525,0.0,4389671000.0,4890299000.0,0.0,0.0,0.0,-0.087,0.0207,-0.0349,-1.1196,0.054,0.005,0.305,0.031,2.2386,0.0,0.0,0.0,0.0,0.0,0.0,0.773,29.0,0.5599,0.0,4788920000.0,435042250.0,4359089250.0,2.522,6.839,0.0,-0.0492,0.0204,-0.0191,-3.0751,BDGE,33.549999,34.02058841176471,663642632.969295
2017-12-31,-0.1493,-1.1068,-1.755,-1.6863,-1.7,-0.3549,0.0926,-0.067,-0.0871,0.0,0.0,0.0,-0.2361,0.0,0.1655,-1.1068,0.1276,27660000.0,-0.1493,0.0,27660000.0,0.0,18557000.0,29154000.0,-1494000.0,0.0,-1494000.0,5422000.0,0.0,0.0,-6916000.0,0.0,-6916000.0,-0.35,-0.35,19709972.0,0.23,1.0,-0.088,-0.054,-0.25,0.3878,-2443000.0,-1494000.0,-6916000.0,131212000.0,-0.0012,0.0,131212000.0,0.0,73412000.0,91727000.0,39485000.0,0.0,39485000.0,18946000.0,0.0,0.0,20539000.0,0.0,20539000.0,1.04,1.04,19709972.0,0.92,1.0,0.278,0.3009,0.157,0.3411,36423000.0,39485000.0,20539000.0,21.776,219.119,0.544,32.0088,4.8071,1.4699,0.1424,0.0,-1.475,-0.657,0.0251,0.6709,0.0,4318838000.0,4854983000.0,0.0,0.0,0.0,0.0516,0.0222,0.019,-0.5543,0.047,0.005,0.301,0.031,2.2799,0.0,0.0,0.0,0.0,0.0,0.0,0.885,31.0,0.5595,0.0,4692054250.0,434076000.0,4250177750.0,2.271,6.657,0.0,-0.0442,0.0197,-0.0158,0.6757,BDGE,35.0,35.16515139393938,689849020.0
2017-09-30,0.0825,0.0468,0.0669,-0.04,-0.04,0.0973,0.1174,0.0802,0.1783,0.0,0.0,0.0,0.0855,0.0,0.1235,0.0468,0.1283,35417000.0,0.0825,0.0,35417000.0,0.0,18681000.0,21271000.0,14146000.0,0.0,14146000.0,4703000.0,0.0,0.0,9443000.0,0.0,9443000.0,0.48,0.48,19712220.0,0.23,1.0,0.382,0.3994,0.267,0.3311,13529000.0,14146000.0,9443000.0,136065000.0,0.0534,0.0,136065000.0,0.0,71168000.0,81102000.0,54963000.0,0.0,54963000.0,18348000.0,0.0,0.0,36615000.0,0.0,36615000.0,1.91,1.9,19712220.0,0.92,1.0,0.411,0.4039,0.269,0.3533,55891000.0,54963000.0,36615000.0,22.42,211.702,0.595,30.7487,4.4111,1.3715,0.1415,0.0,1.3381,0.479,0.0259,0.5275,0.0,4173108000.0,4692281000.0,0.0,0.0,0.0,-0.072,0.0183,-0.0257,1.4749,0.085,0.009,0.404,0.033,1.4321,0.0,0.0,0.0,0.0,0.0,0.0,0.482,23.0,0.523,0.0,4608324000.0,428772750.0,4156319750.0,2.439,6.903,0.0,-0.0832,0.0185,-0.0321,-4.7037,BDGE,33.950001,31.45571431428571,669229888.71222
2017-06-30,0.0116,-0.0127,-0.0015,-0.1176,-0.1,0.9116,0.1277,0.0782,0.4043,0.0,0.0,0.0,1.0159,0.0,0.0687,-0.0127,0.1286,34352000.0,0.0116,0.0,34352000.0,0.0,18640000.0,21006000.0,13346000.0,0.0,13346000.0,4505000.0,0.0,0.0,8841000.0,0.0,8841000.0,0.45,0.45,19703865.0,0.23,1.0,0.424,0.3885,0.257,0.3957,14572000.0,13346000.0,8841000.0,133366000.0,0.0422,0.0,133366000.0,0.0,69115000.0,79035000.0,54331000.0,0.0,54331000.0,18308000.0,0.0,0.0,36023000.0,0.0,36023000.0,1.93,1.92,19703865.0,0.92,1.0,0.411,0.4074,0.27,0.3535,54765000.0,54331000.0,36023000.0,22.113,208.588,0.69,35.1848,4.3216,1.5912,0.1642,0.0,1.6366,0.511,0.0264,0.5426,0.0,4109993000.0,4718117000.0,0.0,0.0,0.0,-0.0605,0.0208,-0.0255,-0.7145,0.088,0.009,0.407,0.033,1.4246,0.0,0.0,0.0,0.0,0.0,0.0,0.477,22.0,0.5182,0.0,4478035000.0,408938500.0,4043750500.0,2.393,6.769,0.0,-0.0812,0.018,-0.0313,-9.606,BDGE,33.299999,33.80416627777778,656138684.796135
2017-03-31,0.0499,0.0164,0.0632,-0.0408,-0.0408,0.0194,0.0387,0.0843,0.0708,0.0,0.0,0.0,0.0396,0.0,0.099,0.0164,0.1286,33783000.0,0.0499,0.0,33783000.0,0.0,17925000.0,20296000.0,13487000.0,0.0,13487000.0,4316000.0,0.0,0.0,9171000.0,0.0,9171000.0,0.47,0.47,19692088.0,0.23,1.0,0.436,0.3992,0.271,0.2579,14714000.0,13487000.0,9171000.0,132973000.0,0.1438,0.0,132973000.0,0.0,67916000.0,78470000.0,54503000.0,0.0,54503000.0,18467000.0,0.0,0.0,36036000.0,0.0,36036000.0,1.99,1.97,19692088.0,0.92,1.0,0.393,0.4099,0.271,0.3031,52239000.0,54503000.0,36036000.0,21.809,200.76,0.442,31.5061,3.6037,1.4447,0.1526,0.0,1.0381,0.489,0.0275,0.5306,0.0,3953379000.0,4502836000.0,0.0,0.0,0.0,-0.085,0.0181,-0.0239,-0.6593,0.093,0.009,0.41,0.034,1.2326,0.0,0.0,0.0,0.0,0.0,0.0,0.462,23.0,0.5108,0.0,4309592000.0,389532000.0,3924208500.0,2.046,6.753,0.0,-0.0927,0.0169,-0.031,1.8193,BDGE,35.0,35.459722055555545,689223080.0
2016-12-31,0.0725,0.1517,0.1457,0.0408,0.0204,0.0191,0.0721,0.1895,0.2283,0.0,0.0,0.0,-0.0483,0.0,0.0854,0.1517,0.0054,32513000.0,0.0725,0.0,32513000.0,0.0,15922000.0,18529000.0,13984000.0,0.0,13984000.0,4824000.0,0.0,0.0,9160000.0,0.0,9160000.0,0.51,0.5,17479121.0,0.23,1.0,0.402,0.4301,0.282,0.4319,13076000.0,13984000.0,9160000.0,131367000.0,0.2538,0.0,131367000.0,0.0,66302000.0,77081000.0,54286000.0,0.0,54286000.0,18795000.0,0.0,0.0,35491000.0,0.0,35491000.0,2.01,2.0,17479121.0,0.92,1.0,0.382,0.4132,0.27,0.3042,50177000.0,54286000.0,35491000.0,23.341,225.572,0.803,39.5388,6.5128,1.6939,0.1705,0.0,1.7262,0.451,0.0276,0.4897,0.0,3942796000.0,4520062000.0,0.0,0.0,0.0,-0.1119,0.0168,-0.0544,1.9493,0.096,0.009,0.413,0.034,1.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.458,20.0,0.5047,0.0,4261909500.0,369902000.0,3886353000.0,2.286,7.516,0.0,-0.0965,0.0163,-0.0325,1.0392,BDGE,37.900002,35.14117641176471,662458720.858242
2016-09-30,0.0383,0.1134,0.1218,0.1111,0.1111,-0.2157,0.0931,0.0594,1.2057,0.0,0.0,0.0,-0.2166,0.0,0.0634,0.1134,0.0054,32718000.0,0.0383,0.0,32718000.0,0.0,16628000.0,19204000.0,13514000.0,0.0,13514000.0,4663000.0,0.0,0.0,8851000.0,0.0,8851000.0,0.5,0.5,17470686.0,0.23,1.0,0.379,0.413,0.271,0.3302,12403000.0,13514000.0,8851000.0,129169000.0,0.3711,0.0,129169000.0,0.0,65049000.0,76725000.0,52444000.0,0.0,52444000.0,18118000.0,0.0,0.0,34326000.0,0.0,34326000.0,1.99,1.98,17470686.0,0.92,1.0,0.382,0.406,0.266,0.3149,49311000.0,52444000.0,34326000.0,20.755,213.012,0.618,29.4439,3.7062,1.4187,0.1342,0.0,1.3011,0.46,0.0294,0.5082,0.0,3721468000.0,4171125000.0,0.0,0.0,0.0,-0.062,0.0162,-0.0218,0.6427,0.097,0.009,0.406,0.034,1.2801,0.0,0.0,0.0,0.0,0.0,0.0,0.462,17.0,0.5036,0.0,4165198750.0,353187250.0,3818200250.0,2.328,7.393,0.0,-0.0742,0.016,-0.0253,1.0412,BDGE,28.59,29.51611097222222,499486912.74
2016-06-30,0.526,60.4455,18.1231,11.75,11.5,3.2621,0.0919,-0.2807,0.7157,0.0,0.0,0.0,2.3622,0.0,0.4471,60.4455,0.4909,33959000.0,0.526,0.0,33959000.0,0.0,17441000.0,20441000.0,13518000.0,0.0,13518000.0,4664000.0,0.0,0.0,8854000.0,0.0,8854000.0,0.51,0.5,17458781.0,0.23,1.0,0.355,0.3981,0.261,0.1986,12046000.0,13518000.0,8854000.0,127962000.0,0.5582,0.0,127962000.0,0.0,64057000.0,76894000.0,51068000.0,0.0,51068000.0,17703000.0,0.0,0.0,33365000.0,0.0,33365000.0,1.94,1.93,17458781.0,0.92,1.0,0.377,0.3991,0.261,0.3412,48190000.0,51068000.0,33365000.0,20.51,207.932,0.386,28.2777,4.5591,1.3787,0.1319,0.0,0.8549,0.451,0.0302,0.5136,0.0,3630247000.0,4044345000.0,0.0,0.0,0.0,-0.1091,0.0165,-0.0243,0.5611,0.096,0.009,0.399,0.034,1.4119,0.0,0.0,0.0,0.0,0.0,0.0,0.474,20.0,0.5006,0.0,4004959000.0,347647250.0,3736528250.0,2.501,7.329,0.0,-0.0731,0.0157,-0.0269,1.1963,BDGE,28.4,29.38472216666667,495829380.4
2016-03-31,0.5545,0.7959,0.811,0.1951,0.1951,0.9989,0.711,0.3067,1.2816,0.0,0.0,0.0,1.3223,0.0,0.4049,0.7959,0.4908,32177000.0,0.5545,0.0,32177000.0,0.0,16311000.0,18907000.0,13270000.0,0.0,13270000.0,4644000.0,0.0,0.0,8626000.0,0.0,8626000.0,0.49,0.49,17448227.0,0.23,1.0,0.393,0.4124,0.268,0.2604,12652000.0,13270000.0,8626000.0,116257000.0,0.4814,0.0,116257000.0,0.0,58668000.0,78487000.0,37770000.0,0.0,37770000.0,12796000.0,0.0,0.0,24974000.0,0.0,24974000.0,1.47,1.47,17448227.0,0.92,1.0,0.305,0.3249,0.215,0.275,35407000.0,37770000.0,24974000.0,20.113,217.781,0.48,33.2077,3.8519,1.651,0.1481,0.0,1.0827,0.469,0.029,0.5069,0.0,3799899000.0,4312106000.0,0.0,0.0,0.0,-0.1028,0.0157,-0.0298,1.5534,0.073,0.007,0.325,0.032,1.4492,0.0,0.0,0.0,0.0,0.0,0.0,0.626,26.0,0.5046,0.0,3877648000.0,341603750.0,3657733250.0,1.832,6.663,0.0,-0.1166,0.0159,-0.0363,1.7863,BDGE,30.469998999999998,29.00171408571428,531647459.24177295
