,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.0838,0.3905,0.6679,0.6452,0.7,-0.0434,0.0047,-0.0538,-0.0661,-0.011,0.0116,0.012,0.0333,0.4028,-0.1532,-0.0183,0.4129,-0.0106,1033300000.0,0.0209,831600000.0,201700000.0,9400000.0,96800000.0,123000000.0,78700000.0,18700000.0,60700000.0,14000000.0,0.0,0.0,46700000.0,0.0,46700000.0,0.51,0.51,90977220.0,101015000.0,0.31,0.1952,0.118,0.0768,0.045,0.0691,121900000.0,79400000.0,46700000.0,4099400000.0,0.0191,3298300000.0,801100000.0,38700000.0,381900000.0,672100000.0,129000000.0,71400000.0,60500000.0,-48700000.0,0.0,0.0,109200000.0,0.0,109200000.0,1.2,1.2,90977220.0,1.22,0.1954,0.074,0.0322,0.027,0.0441,302400000.0,131900000.0,109200000.0,12.845,29.074,0.785,16.6954,0.5606,1.2998,0.4191,4.246,1.857,2.2805,0.608,0.2702,0.0937,0.0091,573100000.0,2645100000.0,-1214000000.0,3444300000.0,478050000.0,495650000.0,612150000.0,-0.3296,0.089,0.029,0.0276,0.032,6.0,1.096,3.1071,43.1208,42.8092,54.8292,8.5753,8.2708,6.6967,1.017,41.0,0.0932,0.0094,3511950000.0,1220975000.0,3738700000.0,1.987,45.06,1.8473,0.0592,-0.4671,BMS,42.209998999999996,42.58114305714285,3840148365.2227798
2018-03-31,-0.0015,-0.0986,-0.0685,-0.0545,-0.0545,,-0.4254,-0.0066,-0.0028,0.0108,0.0507,0.0824,0.0333,-0.845,-0.2,0.0094,-0.0894,-0.016,1027400000.0,0.0321,829400000.0,198000000.0,10000000.0,96900000.0,117500000.0,80500000.0,18900000.0,62500000.0,14900000.0,0.0,0.0,47600000.0,0.0,47600000.0,0.52,0.52,90975529.0,,0.31,0.1927,0.121,0.0792,0.046,0.008,124600000.0,81400000.0,47600000.0,4078200000.0,0.0115,3292700000.0,785500000.0,40400000.0,383700000.0,679500000.0,106000000.0,68700000.0,40900000.0,-49600000.0,0.0,0.0,90500000.0,0.0,90500000.0,1.0,0.99,90975529.0,1.21,0.1926,0.069,0.0269,0.022,0.0393,280800000.0,109600000.0,90500000.0,13.61,30.322,0.09,17.2563,0.6562,1.2679,0.4182,4.3069,1.883,1.1408,0.596,0.2651,0.0943,0.0097,602500000.0,2758600000.0,-1230400000.0,3586100000.0,487750000.0,468500000.0,604200000.0,-0.849,0.073,0.024,0.0218,0.027,5.0,1.076,3.7436,43.6045,44.7322,56.2151,8.3613,8.7048,6.7498,1.21,50.0,0.0941,0.0099,3508500000.0,1245000000.0,3790175000.0,1.762,44.827,1.5953,0.0469,-0.5269,BMS,43.52,44.58852929411765,3959255022.0800004
2017-12-31,-0.1016,-2.2106,-1.6727,-1.6769,-1.6875,,-0.1067,-0.0043,-0.0159,0.0118,-0.0286,0.1289,0.0345,2.0,-0.2119,-0.0311,-2.2245,-0.031,1003600000.0,0.0158,809900000.0,193700000.0,9300000.0,93600000.0,321900000.0,-128200000.0,17100000.0,-144700000.0,-104000000.0,0.0,0.0,-40700000.0,0.0,-40700000.0,-0.44,-0.44,90805017.0,,0.3,0.193,-0.085,-0.1271,-0.041,0.0418,-85300000.0,-127600000.0,-40700000.0,4046200000.0,0.0104,3261000000.0,785200000.0,42900000.0,380400000.0,669500000.0,115700000.0,65800000.0,52700000.0,-41300000.0,0.0,0.0,94000000.0,0.0,94000000.0,1.03,1.02,90805017.0,1.2,0.1941,0.071,0.0293,0.023,0.0507,288300000.0,118500000.0,94000000.0,13.228,29.788,0.463,17.2171,0.783,1.3015,0.4226,-7.462,1.857,-1.9533,-0.682,0.2689,0.0933,0.0093,571000000.0,2704900000.0,-1261600000.0,3531100000.0,455300000.0,427600000.0,584800000.0,-0.4717,0.075,0.025,0.0242,0.029,4.0,1.066,4.0319,43.0473,40.4764,55.9471,8.8869,9.4626,6.9189,1.165,49.0,0.094,0.0106,3478525000.0,1250900000.0,3796425000.0,2.258,44.559,1.8009,0.0498,-0.4591,BMS,47.790001000000004,46.593636212121204,4339571853.235018
2017-09-30,-0.0761,-0.155,-0.1895,-0.1644,-0.1528,,-0.4933,0.0329,0.0373,0.0321,0.0398,0.1031,0.0345,-0.609,-0.1379,-0.0125,-0.1566,-0.0412,1035100000.0,0.0077,827400000.0,207700000.0,10000000.0,94600000.0,109700000.0,98000000.0,16700000.0,82000000.0,26400000.0,0.0,0.0,55600000.0,0.0,55600000.0,0.61,0.61,90804503.0,,0.3,0.2007,0.136,0.0954,0.054,0.0572,141200000.0,98700000.0,55600000.0,4030600000.0,0.0079,3222900000.0,807700000.0,45400000.0,385800000.0,460900000.0,346800000.0,64400000.0,287100000.0,91900000.0,0.0,0.0,195200000.0,0.0,195200000.0,2.12,2.1,90804503.0,1.19,0.2004,0.129,0.0872,0.048,0.0439,519700000.0,351500000.0,195200000.0,14.051,29.549,0.652,17.0862,0.4923,1.216,0.4002,5.9102,1.797,1.7806,0.492,0.3079,0.0914,0.0097,561200000.0,2683200000.0,-1335900000.0,3486300000.0,484150000.0,464650000.0,597900000.0,-0.402,0.154,0.051,0.0688,0.087,5.0,1.061,1.9903,45.8854,44.6991,56.7975,8.3251,8.6745,6.7413,0.561,16.0,0.0957,0.0113,3452375000.0,1265525000.0,3800375000.0,1.949,44.388,5.4581,0.1036,-0.5444,BMS,45.57,44.42428542857142,4137961201.71
2017-06-30,-0.1424,-0.3627,-0.4499,-0.4259,-0.434,,0.0558,0.0167,0.0038,-0.0117,-0.0886,0.1044,0.0345,-0.0432,-0.0431,-0.0179,-0.3742,-0.0289,1012100000.0,-0.009,826000000.0,186100000.0,11100000.0,98600000.0,130400000.0,55700000.0,16000000.0,41100000.0,13100000.0,0.0,0.0,28000000.0,0.0,28000000.0,0.31,0.3,91950959.0,,0.3,0.1839,0.099,0.0564,0.028,0.0503,100300000.0,57100000.0,28000000.0,4022700000.0,0.0081,3197900000.0,824800000.0,47000000.0,387000000.0,459800000.0,365000000.0,62800000.0,306800000.0,98600000.0,0.0,0.0,208200000.0,0.0,208200000.0,2.24,2.21,91950959.0,1.18,0.205,0.133,0.0919,0.052,0.0669,535400000.0,369600000.0,208200000.0,13.754,28.763,0.554,16.7024,0.5981,1.2144,0.401,3.5688,1.784,3.7857,0.968,0.3095,0.0974,0.011,545100000.0,2644800000.0,-1325400000.0,3430500000.0,498400000.0,443050000.0,579750000.0,-0.5198,0.164,0.055,0.0736,0.092,5.0,1.067,2.329,46.0027,43.1264,55.2123,8.0712,9.0796,6.9387,0.527,16.0,0.0962,0.0117,3419200000.0,1267300000.0,3769475000.0,2.928,43.748,5.8854,0.1121,-0.4448,BMS,46.25,45.05972241666667,4252731853.75
2017-03-31,-0.0503,-0.0906,-0.0907,-0.0678,-0.0678,,0.7966,0.0576,0.0486,0.0662,-0.0284,0.0638,0.0345,1.3937,0.087,-0.0342,-0.1107,-0.0236,995400000.0,0.0284,797100000.0,198300000.0,12500000.0,96000000.0,109900000.0,88400000.0,16000000.0,74300000.0,23200000.0,0.0,0.0,51100000.0,0.0,51100000.0,0.55,0.55,92450468.0,,0.3,0.1992,0.133,0.0907,0.051,0.0531,132100000.0,90300000.0,51100000.0,4031900000.0,0.0082,3176200000.0,855700000.0,47500000.0,388800000.0,457400000.0,398300000.0,60800000.0,341300000.0,110200000.0,0.0,0.0,231100000.0,0.0,231100000.0,2.47,2.44,92450468.0,1.17,0.2122,0.14,0.0997,0.057,0.0673,565200000.0,402100000.0,231100000.0,13.648,28.007,0.572,16.8003,0.5495,1.2309,0.411,5.6438,1.912,1.8493,0.545,0.3148,0.0964,0.0126,570500000.0,2589300000.0,-1321000000.0,3466200000.0,482650000.0,408350000.0,562900000.0,-0.4402,0.181,0.062,0.0798,0.1,4.0,1.074,2.074,40.7195,43.0642,52.5334,8.3537,9.8736,7.1627,0.474,15.0,0.0964,0.0118,3428150000.0,1275475000.0,3753725000.0,2.937,43.611,6.6135,0.1234,-0.4335,BMS,48.860001000000004,49.06416647222221,4517129958.930469
2016-12-31,0.0127,0.0711,0.0651,0.1017,0.1034,,-0.3661,0.0647,0.0684,0.1121,0.0235,0.0447,0.0357,-0.7974,0.1456,-0.1047,0.0772,-0.0236,988000000.0,0.0054,772400000.0,215600000.0,11800000.0,96600000.0,110900000.0,104700000.0,15700000.0,89700000.0,29200000.0,0.0,0.0,60500000.0,0.0,60500000.0,0.65,0.64,93711399.0,,0.29,0.2182,0.148,0.1067,0.061,0.0142,146100000.0,105400000.0,60500000.0,4004400000.0,-0.0165,3138200000.0,866200000.0,46500000.0,392200000.0,456900000.0,409300000.0,60200000.0,350900000.0,114700000.0,0.0,0.0,236200000.0,0.0,236200000.0,2.51,2.48,93711399.0,1.16,0.2163,0.143,0.1027,0.059,0.0601,573200000.0,411100000.0,236200000.0,13.442,27.016,0.149,16.4879,0.7918,1.2266,0.4158,6.7134,2.023,1.4711,0.446,0.3186,0.0978,0.0119,589400000.0,2531700000.0,-1290500000.0,3426500000.0,456600000.0,356400000.0,537650000.0,-0.8427,0.186,0.064,0.083,0.103,6.0,1.082,1.8518,34.4546,42.1021,50.0777,8.77,11.2357,7.448,0.462,14.0,0.0979,0.0116,3388050000.0,1268125000.0,3702300000.0,2.569,42.731,6.8289,0.1261,-0.4497,BMS,47.82,49.309117500000006,4481279100.18
2016-09-30,0.0135,0.0957,0.0976,0.1231,0.125,,0.0098,0.0885,0.0511,0.1564,0.0279,0.0565,0.0357,0.0521,0.0545,-0.0589,0.0983,-0.0182,1027200000.0,0.0087,802400000.0,224800000.0,11600000.0,95800000.0,108600000.0,116200000.0,15100000.0,101700000.0,33100000.0,0.0,0.0,68600000.0,0.0,68600000.0,0.73,0.72,94710925.0,,0.29,0.2188,0.153,0.1137,0.067,0.1474,156900000.0,116800000.0,68600000.0,3999100000.0,-0.0344,3135600000.0,863500000.0,45000000.0,403500000.0,461700000.0,401800000.0,57700000.0,346400000.0,113900000.0,0.0,0.0,232500000.0,0.0,232500000.0,2.45,2.42,94710925.0,1.15,0.2159,0.141,0.101,0.058,0.074,565500000.0,404100000.0,232500000.0,13.546,26.969,1.599,15.8725,0.8352,1.1717,0.4005,7.7351,1.919,2.8484,0.397,0.3194,0.0933,0.0113,574100000.0,2554300000.0,-1271100000.0,3353600000.0,468250000.0,385650000.0,553400000.0,-0.2252,0.185,0.064,0.0819,0.101,5.0,1.097,2.1024,38.5709,43.3261,51.8964,8.5405,10.3698,7.2264,0.469,16.0,0.1009,0.0113,3314300000.0,1255050000.0,3645825000.0,3.123,42.224,7.0035,0.1262,-0.3948,BMS,51.009997999999996,51.35500005555555,4831204094.82815
2016-06-30,-0.019,-0.1957,-0.2241,-0.2059,-0.209,,-0.2468,0.0541,-0.0049,0.1229,0.0466,-0.0108,0.0357,-0.3342,0.0087,-0.0337,-0.185,-0.0283,1021300000.0,-0.0087,804300000.0,217000000.0,11600000.0,100400000.0,128000000.0,89000000.0,14000000.0,75600000.0,24700000.0,0.0,0.0,50900000.0,0.0,50900000.0,0.54,0.53,94687563.0,,0.29,0.2125,0.127,0.0877,0.05,0.0521,130100000.0,89600000.0,50900000.0,3990200000.0,-0.0547,3129700000.0,860500000.0,44400000.0,409500000.0,469100000.0,391400000.0,55200000.0,338700000.0,112300000.0,0.0,0.0,226400000.0,0.0,226400000.0,2.37,2.34,94687563.0,1.14,0.2157,0.139,0.0987,0.057,0.0723,553200000.0,393900000.0,226400000.0,13.702,27.053,0.562,16.4119,0.6527,1.1978,0.4125,6.4,2.075,1.9725,0.537,0.32,0.0983,0.0114,631500000.0,2561600000.0,-1250900000.0,3466300000.0,509900000.0,339200000.0,554000000.0,-0.4701,0.182,0.063,0.0779,0.099,6.0,1.118,2.1506,34.6778,47.7037,50.4022,7.8255,11.7636,7.2025,0.481,16.0,0.1026,0.0111,3238400000.0,1245125000.0,3569525000.0,3.045,42.141,7.1359,0.1198,-0.4079,BMS,51.490002000000004,49.93750013888889,4875462808.245127
2016-03-31,-0.04,0.028,0.0331,0.0727,0.0727,,-0.3826,0.0007,-0.0451,0.0508,-0.1389,-0.0445,0.0357,-0.5553,0.0177,-0.0658,0.0205,-0.0285,967900000.0,-0.0694,759100000.0,208800000.0,11500000.0,99400000.0,109400000.0,99400000.0,15400000.0,83900000.0,27700000.0,0.0,0.0,56200000.0,0.0,56200000.0,0.59,0.59,94687104.0,,0.29,0.2157,0.145,0.1026,0.058,0.0228,140100000.0,99300000.0,56200000.0,3999200000.0,-0.0675,3134500000.0,864700000.0,44300000.0,413000000.0,453100000.0,411600000.0,54000000.0,361700000.0,120600000.0,0.0,0.0,241100000.0,0.0,241100000.0,2.51,2.48,94687104.0,1.13,0.2162,0.144,0.1039,0.06,0.0788,574900000.0,415700000.0,241100000.0,13.015,26.021,0.233,15.3854,0.5291,1.1821,0.4077,6.4481,2.062,0.9359,0.492,0.3104,0.1027,0.0119,599800000.0,2463900000.0,-1176100000.0,3305800000.0,529100000.0,338900000.0,558200000.0,-0.5798,0.192,0.068,0.0864,0.104,7.0,1.136,2.156,33.4863,44.6849,49.7868,7.5585,11.8005,7.1645,0.45,15.0,0.1033,0.0111,3189975000.0,1256200000.0,3521150000.0,3.327,42.236,7.6981,0.1323,-0.394,BMS,51.779999,50.37342888571428,4902898150.432896
