,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.3421,0.9102,1.9262,1.9149,1.9043,-0.0676,0.1526,-0.0007,-0.0501,0.2167,0.0,0.0,-0.1103,0.0,0.128,0.9038,0.0029,588891000.0,0.3421,0.0,588891000.0,0.0,291471000.0,337668000.0,251223000.0,0.0,250292000.0,-28560000.0,931000.0,0.0,278852000.0,0.0,278852000.0,2.74,2.73,102285819.0,0.25,1.0,0.451,0.425,0.474,0.2795,265355000.0,250292000.0,279783000.0,1744017000.0,0.1064,0.0,1744017000.0,0.0,1104114000.0,1298713000.0,445304000.0,0.0,441581000.0,155687000.0,3723000.0,0.0,285894000.0,0.0,285894000.0,2.81,2.8,102285819.0,1.0,1.0,0.287,0.2532,0.164,0.328,500930000.0,441581000.0,289617000.0,51.715,458.293,1.609,18.2799,88.2724,0.3535,0.0393,0.0,0.6493,0.091,0.0138,0.4949,0.0,46876860000.0,39717624000.0,150848000.0,0.0,0.0,-0.0909,0.0003,-0.0279,-1.0924,0.055,0.006,0.253,0.039,2.192,0.0,34.6562,0.0,11.5614,0.0,0.0,0.356,-1.0,0.6331,0.0,39434343750.0,5185976500.0,45042635500.0,5.593,17.05,0.0,-0.0871,0.0019,-0.0313,-0.9201,BPOP,45.209998999999996,46.57514262857143,4624341774.704181
2018-03-31,-0.0041,-0.0998,-0.0176,0.0,0.0,0.018,0.1366,-0.0086,0.0685,0.229,0.0,0.0,0.0525,0.0,0.0753,-0.099,-0.0157,435481000.0,-0.0041,0.0,435481000.0,0.0,277662000.0,322002000.0,113479000.0,0.0,112548000.0,22155000.0,931000.0,0.0,90393000.0,0.0,90393000.0,0.89,0.89,102173601.0,0.25,1.0,0.293,0.2584,0.208,0.4135,127709000.0,112548000.0,91324000.0,1593919000.0,0.0165,0.0,1593919000.0,0.0,1071045000.0,1267880000.0,326039000.0,0.0,322316000.0,219979000.0,3723000.0,0.0,102337000.0,0.0,102337000.0,1.01,1.01,102173601.0,1.0,1.0,0.239,0.2022,0.064,0.3717,381075000.0,322316000.0,106060000.0,49.572,441.368,1.762,20.8514,71.0955,0.4206,0.0466,0.0,2.1028,0.281,0.0144,0.6376,0.0,45096120000.0,39962499000.0,142679000.0,0.0,0.0,-0.0527,0.0071,-0.023,-0.6604,0.02,0.002,0.202,0.037,6.2518,0.0,36.0301,0.0,11.1714,0.0,0.0,0.99,2.0,0.672,0.0,38984466500.0,5183072500.0,43469508500.0,5.799,15.6,0.0,-0.074,0.0009,-0.0297,-0.8054,BPOP,41.619999,42.75470579411765,4252465171.446399
2017-12-31,0.2804,12.6103,-19.4696,-19.2,-19.2,-1.056,0.1453,-0.0016,-0.0156,0.5491,0.0,0.6667,-1.2173,0.0,-0.0144,12.4051,-0.0166,401859000.0,0.2804,0.0,401859000.0,0.0,274394000.0,321955000.0,79904000.0,0.0,78973000.0,182058000.0,931000.0,0.0,-103085000.0,0.0,-103085000.0,-1.01,-1.01,102059726.0,0.25,1.0,0.233,0.1965,-0.257,-0.0698,93715000.0,78973000.0,-102154000.0,1595707000.0,0.0295,0.0,1595707000.0,0.0,1055347000.0,1257196000.0,338511000.0,0.0,334788000.0,230830000.0,3723000.0,0.0,103958000.0,0.0,103958000.0,1.02,1.02,102059726.0,1.0,1.0,0.246,0.2098,0.065,0.3651,392530000.0,334788000.0,107681000.0,50.009,427.342,-0.275,19.8265,55.4379,0.3965,0.0457,0.0,0.0802,-0.248,0.015,0.6828,0.0,43614371000.0,39979880000.0,175943000.0,0.0,0.0,2.3918,0.0,-0.0492,-1.3409,0.02,0.002,0.21,0.038,6.1132,0.0,48.9144,0.0,9.0695,0.0,0.0,0.98,-1.0,0.6614,0.0,38391240750.0,5214398500.0,42095138750.0,5.708,15.635,0.0,-0.0833,0.0,-0.0332,-0.9169,BPOP,35.490002000000004,35.12333324242425,3622099879.8594522
2017-09-30,-0.1774,-1.0038,-0.5699,-0.5682,-0.5682,2.3291,0.0908,-0.001,-0.0921,0.2226,0.0,0.6667,2.9683,0.0,-0.0344,-0.9889,-0.0167,317786000.0,-0.1774,0.0,317786000.0,0.0,260587000.0,317088000.0,698000.0,0.0,-232000.0,-19966000.0,930000.0,0.0,19734000.0,0.0,19734000.0,0.19,0.19,102010797.0,0.25,1.0,0.045,-0.0007,0.062,0.8038,14151000.0,-232000.0,20664000.0,1507713000.0,-0.0931,0.0,1507713000.0,0.0,1055610000.0,1256112000.0,251601000.0,0.0,249013000.0,47006000.0,3723000.0,-1135000.0,202007000.0,0.0,202007000.0,1.97,1.97,102010797.0,0.9,1.0,0.204,0.1652,0.134,0.4912,306998000.0,249013000.0,205730000.0,51.812,411.093,2.504,21.0474,58.8727,0.4062,0.0504,0.0,13.3675,1.316,0.0156,0.82,0.0,41935957000.0,38077372000.0,133015000.0,0.0,0.0,-0.0317,0.0,-0.0263,-0.5819,0.039,0.005,0.165,0.037,3.9224,0.0,35.427,0.0,11.3349,0.0,0.0,0.457,4.0,0.7001,0.0,37594303500.0,5237911500.0,40691206750.0,7.259,14.78,0.0,-0.0654,-0.0011,-0.0344,-0.8937,BPOP,35.939999,39.39428602857143,3666267942.169203
2017-06-30,0.0191,0.0873,0.0822,0.1059,0.1059,0.053,0.0967,0.0013,-0.1895,0.125,0.0,0.6667,0.1547,0.0,-0.0219,0.0867,-0.0166,438793000.0,0.0191,0.0,438793000.0,0.0,258402000.0,306835000.0,131958000.0,0.0,131027000.0,35732000.0,931000.0,0.0,95295000.0,0.0,95295000.0,0.94,0.94,101986341.0,0.25,1.0,0.332,0.2986,0.217,0.4216,145500000.0,131027000.0,96226000.0,1576248000.0,-0.0681,0.0,1576248000.0,0.0,1064896000.0,1262696000.0,313552000.0,0.0,310964000.0,82811000.0,3723000.0,-1135000.0,228153000.0,0.0,228153000.0,2.22,2.22,101986341.0,0.8,1.0,0.234,0.1973,0.145,0.3486,369247000.0,310964000.0,231876000.0,51.752,397.848,1.814,19.3008,45.3523,0.3729,0.0477,0.0,2.0377,0.266,0.0162,0.5889,0.0,40575014000.0,37918115000.0,128541500.0,0.0,0.0,-0.0472,-0.0037,-0.0209,-0.6337,0.043,0.006,0.197,0.04,2.664,0.0,31.5166,0.0,12.2626,0.0,0.0,0.36,7.0,0.6756,0.0,37182475500.0,5261652500.0,39804464000.0,5.388,15.455,0.0,-0.096,-0.001,-0.037,-1.0007,BPOP,41.709998999999996,38.92527774999999,4253850181.1236587
2017-03-31,0.0431,0.0747,0.0945,0.0988,0.0988,0.048,0.1138,-0.0128,-0.1515,0.0641,0.0,0.6667,0.1845,0.0,-0.0261,0.0741,0.0013,437269000.0,0.0431,0.0,437269000.0,0.0,258230000.0,311318000.0,125951000.0,0.0,125020000.0,33006000.0,931000.0,0.0,92014000.0,0.0,92014000.0,0.89,0.89,103803862.0,0.25,1.0,0.318,0.2859,0.21,0.3913,139164000.0,125020000.0,92945000.0,1568037000.0,-0.071,0.0,1568037000.0,0.0,1070689000.0,1265010000.0,303027000.0,0.0,300439000.0,79525000.0,3723000.0,-1135000.0,220914000.0,0.0,220914000.0,2.13,2.13,103803862.0,0.7,1.0,0.229,0.1916,0.141,0.3346,358780000.0,300439000.0,224637000.0,50.0,381.385,1.648,19.2082,38.4723,0.3842,0.0495,0.0,2.0292,0.281,0.0166,0.5906,0.0,39589282000.0,37589596000.0,124163000.0,0.0,0.0,-0.0837,0.0,-0.0358,-1.1054,0.042,0.006,0.192,0.04,2.707,0.0,29.7994,0.0,12.6289,0.0,0.0,0.329,10.0,0.6828,0.0,36753450250.0,5282099000.0,38895333750.0,5.055,15.106,0.0,-0.1226,0.0,-0.0468,-1.2569,BPOP,40.73,42.36916641666665,4227931299.2599998
2016-12-31,-0.2639,-1.0568,-1.0369,-1.0379,-1.0376,-0.4079,0.0811,0.0163,-0.1527,0.1111,0.0,0.0,-0.4404,0.0,0.0473,-1.0581,0.0019,313865000.0,-0.2639,0.0,313865000.0,0.0,278391000.0,320871000.0,-7006000.0,0.0,-6802000.0,-1766000.0,931000.0,-1135000.0,-5036000.0,0.0,-5036000.0,-0.05,-0.05,103779136.0,0.15,1.0,0.026,-0.0217,-0.016,0.4111,8183000.0,-6802000.0,-4105000.0,1549975000.0,-0.0812,0.0,1549975000.0,0.0,1077612000.0,1255635000.0,294340000.0,0.0,291752000.0,78784000.0,3723000.0,-1135000.0,212968000.0,0.0,212968000.0,2.06,2.06,103779136.0,0.6,1.0,0.226,0.1882,0.137,0.3213,350770000.0,291752000.0,216691000.0,50.087,366.059,1.243,19.8063,31.3417,0.3954,0.0532,0.0,-29.3215,-3.0,0.0174,0.887,0.0,37989265000.0,36792131000.0,131138000.0,0.0,0.0,-0.1263,0.0,-0.0594,-1.2442,0.04,0.006,0.188,0.041,2.7679,0.0,32.5072,0.0,11.8194,0.0,0.0,0.291,9.0,0.6952,0.0,36227237000.0,5297120750.0,37867265500.0,4.799,14.935,0.0,-0.1551,0.0,-0.059,-1.5491,BPOP,43.82,42.77558835294117,4547601739.52
2016-09-30,-0.0695,-0.425,-0.4584,-0.4634,-0.4634,-0.653,0.0992,0.0634,-0.1436,0.014,0.0,0.0,-0.7079,0.0,0.0286,-0.4214,0.002,386321000.0,-0.0695,0.0,386321000.0,0.0,269873000.0,323672000.0,62649000.0,0.0,61719000.0,15839000.0,930000.0,0.0,45880000.0,0.0,45880000.0,0.44,0.44,103738891.0,0.15,1.0,0.198,0.1598,0.119,0.1666,76400000.0,61719000.0,46810000.0,1662517000.0,0.012,0.0,1662517000.0,0.0,1065027000.0,1240573000.0,421944000.0,0.0,418221000.0,63722000.0,3723000.0,0.0,354499000.0,0.0,354499000.0,3.42,3.43,103738891.0,0.6,1.0,0.287,0.2516,0.213,0.3606,476791000.0,418221000.0,358222000.0,51.865,369.959,0.62,22.7975,41.5856,0.4396,0.0606,0.0,1.7271,0.341,0.0173,0.6986,0.0,38379116000.0,36430060000.0,118867500.0,0.0,0.0,-0.1877,0.0,-0.0385,-1.0131,0.067,0.01,0.252,0.045,1.9498,0.0,26.2778,0.0,13.9863,0.0,0.0,0.175,8.0,0.6406,0.0,35769035000.0,5273962500.0,37142296500.0,5.78,16.026,0.0,-0.1325,0.0,-0.0551,-1.5641,BPOP,38.220001,38.36944463888889,3964900517.7588916
2016-06-30,0.0082,0.9131,-0.8524,-0.8534,-0.8532,-0.0881,0.0233,0.0807,-0.1975,-0.0714,0.0,0.0,-0.1406,0.0,-0.0203,0.9002,0.002,430582000.0,0.0082,0.0,430582000.0,0.0,264195000.0,309149000.0,121433000.0,0.0,120502000.0,32446000.0,931000.0,0.0,88056000.0,0.0,88056000.0,0.85,0.85,103704084.0,0.15,1.0,0.314,0.2799,0.205,0.3721,135033000.0,120502000.0,88987000.0,1691362000.0,0.0585,0.0,1691362000.0,0.0,1057521000.0,1223798000.0,467564000.0,0.0,463831000.0,70503000.0,3724000.0,9000.0,393328000.0,0.0,393328000.0,3.8,3.81,103704084.0,0.6,1.0,0.309,0.2742,0.233,0.4467,522742000.0,463831000.0,397052000.0,51.684,356.052,1.545,23.42,30.3827,0.4531,0.0646,0.0,2.0942,0.176,0.0181,0.6136,0.0,36924070000.0,36202014000.0,125630000.0,0.0,0.0,-0.1311,0.0,-0.0562,-1.6639,0.076,0.011,0.274,0.047,2.1364,0.0,26.1076,0.0,13.463,0.0,0.0,0.158,7.0,0.6252,0.0,35408226500.0,5191272750.0,36261421000.0,7.286,16.31,0.0,-0.1009,0.0,-0.0501,-1.4389,BPOP,29.299999,29.981111055555566,3038529557.495916
2016-03-31,0.0019,0.0927,0.1377,0.125,0.125,19.1279,0.0147,0.1992,-0.1872,-0.072,0.0,0.0,9.5131,0.0,0.0494,0.1057,0.0003,419207000.0,0.0019,0.0,419207000.0,0.0,265153000.0,301943000.0,117264000.0,0.0,116333000.0,32265000.0,931000.0,0.0,84068000.0,0.0,84068000.0,0.81,0.81,103667539.0,0.15,1.0,0.313,0.2775,0.201,0.3445,131154000.0,116333000.0,84999000.0,1687858000.0,0.5172,0.0,1687858000.0,0.0,1063005000.0,1277823000.0,410035000.0,0.0,406317000.0,-495476000.0,3724000.0,-6000.0,901793000.0,0.0,901793000.0,8.75,8.75,103667539.0,0.45,1.0,0.276,0.2407,0.534,0.4632,465608000.0,406317000.0,905517000.0,50.646,342.073,1.393,22.6685,22.4476,0.4476,0.065,0.0,2.1192,0.185,0.019,0.6325,0.0,35461834000.0,35484743000.0,124973500.0,0.0,0.0,-0.1893,0.0,-0.0805,-2.2756,0.177,0.025,0.241,0.047,0.9516,0.0,26.0167,0.0,13.5057,0.0,0.0,0.051,7.0,0.6298,0.0,35203750250.0,5088728250.0,36047412250.0,7.541,16.281,0.0,-0.089,0.0,-0.0452,-1.288,BPOP,28.610001,27.160285742857145,2965928394.457539
