,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.0959,0.0915,0.2631,0.25,0.25,0.204,0.1235,0.0407,-0.0154,0.1612,0.0,0.0,0.3219,0.0,0.0994,0.0915,-0.0008,29527000.0,0.0959,0.0,29527000.0,0.0,17446000.0,19543000.0,9984000.0,0.0,9984000.0,1543000.0,0.0,0.0,8441000.0,0.0,8441000.0,0.55,0.55,15285639.0,0.165,1.0,0.38,0.3381,0.286,0.4629,11212000.0,9984000.0,8441000.0,110133000.0,0.0775,0.0,110133000.0,0.0,65801000.0,73748000.0,36385000.0,0.0,36385000.0,10150000.0,0.0,0.0,26235000.0,0.0,26235000.0,1.71,1.71,15285639.0,0.66,1.0,0.376,0.3304,0.238,0.3191,41408000.0,36385000.0,26235000.0,16.348,194.188,0.894,21.4863,2.7691,1.3143,0.1091,0.0,1.6342,0.3,0.0137,0.5908,0.0,2968281000.0,3254386000.0,22777000.0,0.0,0.0,-0.0092,0.107,0.009,0.33,0.039,1.4109,0.0,81.1177,0.0,4.8353,0.0,0.0,0.386,24.0,0.5975,0.0,3155005250.0,245765500.0,2858088500.0,2.299,7.205,0.0,-0.0507,CCNE,30.059998999999998,30.815428457142858,459486293.054361
2018-03-31,0.0486,-0.0789,0.0952,0.0698,0.0698,17.3274,0.1221,0.0461,0.4248,0.0163,0.0,0.0,3.764,0.0,0.0996,-0.0789,-0.0009,27220000.0,0.0486,0.0,27220000.0,0.0,16866000.0,18999000.0,8221000.0,0.0,8221000.0,1124000.0,0.0,0.0,7097000.0,0.0,7097000.0,0.46,0.46,15284339.0,0.165,1.0,0.347,0.302,0.261,0.1437,9457000.0,8221000.0,7097000.0,107550000.0,0.0835,0.0,107550000.0,0.0,64223000.0,72002000.0,35548000.0,0.0,35548000.0,11071000.0,0.0,0.0,24477000.0,0.0,24477000.0,1.6,1.6,15284339.0,0.66,1.0,0.378,0.3305,0.228,0.2958,40693000.0,35548000.0,24477000.0,16.017,187.603,0.256,27.9383,1.8715,1.7443,0.1468,0.0,0.5836,0.359,0.0143,0.6196,0.0,2867386000.0,3265800000.0,24031500.0,0.0,0.0,-0.0558,0.101,0.009,0.331,0.039,1.4168,0.0,82.2175,0.0,4.4754,0.0,0.0,0.412,21.0,0.5971,0.0,3075688000.0,243365250.0,2775408500.0,2.081,7.037,0.0,-0.0827,CCNE,29.09,28.61088244117648,444621421.51
2017-12-31,0.1154,0.2239,-0.3153,-0.3429,-0.3429,-0.7736,0.0757,0.0901,0.0662,-0.121,0.0,0.0,-0.7788,0.0,0.0424,0.2239,0.0565,26237000.0,0.1154,0.0,26237000.0,0.0,15722000.0,17588000.0,8649000.0,0.0,8649000.0,5198000.0,0.0,0.0,3451000.0,0.0,3451000.0,0.23,0.23,15283647.0,0.165,1.0,0.378,0.3296,0.132,0.3702,9917000.0,8649000.0,3451000.0,106289000.0,0.1208,0.0,106289000.0,0.0,62695000.0,70037000.0,36252000.0,0.0,36252000.0,12392000.0,0.0,0.0,23860000.0,0.0,23860000.0,1.57,1.57,15283647.0,0.66,1.0,0.39,0.3411,0.224,0.2492,41494000.0,36252000.0,23860000.0,15.959,178.428,0.636,21.4595,2.3126,1.3447,0.1185,0.0,3.1397,0.717,0.0151,0.5992,0.0,2727031000.0,3019665000.0,21848500.0,0.0,0.0,-0.1036,0.099,0.009,0.341,0.039,1.2893,0.0,70.1985,0.0,4.8648,0.0,0.0,0.42,21.0,0.5899,0.0,2964487750.0,240717000.0,2696264500.0,1.733,6.954,0.0,-0.139,CCNE,26.24,27.762727303030307,401042897.28
2017-09-30,0.053,0.0973,0.1294,0.0682,0.0682,1.2583,0.0808,0.0734,0.4965,-0.551,0.0,0.0,1.2273,0.0,0.0602,0.0973,0.0569,27149000.0,0.053,0.0,27149000.0,0.0,15767000.0,17618000.0,9531000.0,0.0,9531000.0,2285000.0,0.0,0.0,7246000.0,0.0,7246000.0,0.47,0.47,15285236.0,0.165,1.0,0.399,0.3511,0.267,0.2891,10822000.0,9531000.0,7246000.0,103574000.0,0.0985,0.0,103574000.0,0.0,62056000.0,68904000.0,34670000.0,0.0,34670000.0,9221000.0,0.0,0.0,25449000.0,0.0,25449000.0,1.69,1.69,15285236.0,0.66,1.0,0.385,0.3347,0.246,0.5859,39882000.0,34670000.0,25449000.0,15.992,176.842,0.514,27.005,2.334,1.6886,0.1504,0.0,1.1379,0.351,0.0153,0.5808,0.0,2703067000.0,3080170000.0,37526000.0,0.0,0.0,-0.048,0.109,0.01,0.335,0.039,2.6636,0.0,81.9518,0.0,2.7601,0.0,0.0,0.391,21.0,0.5991,0.0,2911893250.0,232685500.0,2647526500.0,3.97,6.776,0.0,-0.1048,CCNE,27.32,25.096571428571423,417592647.52
2017-06-30,0.1226,0.7426,0.644,0.5714,0.5714,1.2338,0.1466,0.0767,0.6171,0.2159,0.0,0.0,1.9873,0.0,0.1317,0.3541,0.058,26944000.0,0.1226,0.0,26944000.0,0.0,15868000.0,17797000.0,9147000.0,0.0,9147000.0,2464000.0,0.0,0.0,6683000.0,0.0,6683000.0,0.44,0.44,15297210.0,0.165,1.0,0.39,0.3395,0.248,0.3837,10497000.0,9147000.0,6683000.0,102208000.0,0.1084,0.0,102208000.0,0.0,61161000.0,68383000.0,33825000.0,0.0,33825000.0,9206000.0,0.0,0.0,24619000.0,0.0,24619000.0,1.66,1.66,15297210.0,0.66,1.0,0.382,0.3309,0.241,0.1791,39011000.0,33825000.0,24619000.0,15.708,172.359,0.676,21.8053,2.1605,1.3881,0.1245,0.0,1.7143,0.375,0.0158,0.5889,0.0,2636606000.0,2937117000.0,19207000.0,0.0,0.0,-0.0976,0.109,0.009,0.331,0.039,1.122,0.0,75.2727,0.0,5.3214,0.0,0.0,0.398,19.0,0.5984,0.0,2825761500.0,225445750.0,2596245250.0,1.197,6.681,0.0,-0.3374,CCNE,23.969998999999998,22.66166663888889,366674108.40278995
2017-03-31,0.2061,0.3303,0.2911,0.2286,0.2286,-0.9603,0.1266,0.0635,0.6954,0.4407,0.0,0.0,-1.3248,0.0,0.176,0.3303,0.058,25959000.0,0.2061,0.0,25959000.0,0.0,15338000.0,17034000.0,8925000.0,0.0,8925000.0,2445000.0,0.0,0.0,6480000.0,0.0,6480000.0,0.43,0.43,15297360.0,0.165,1.0,0.395,0.3438,0.25,-0.0545,10258000.0,8925000.0,6480000.0,99265000.0,0.1027,0.0,99265000.0,0.0,59315000.0,67832000.0,31433000.0,0.0,29927000.0,7926000.0,0.0,0.0,22001000.0,0.0,22001000.0,1.5,1.5,15297360.0,0.66,1.0,0.35,0.3015,0.222,0.1151,34743000.0,29927000.0,22001000.0,15.311,166.674,-0.092,19.5916,1.8545,1.2796,0.1156,0.0,0.0349,0.384,0.0164,0.5909,0.0,2549669000.0,2820999000.0,20191500.0,0.0,0.0,-7.2611,0.101,0.009,0.301,0.04,0.9679,0.0,87.6493,0.0,4.9162,0.0,0.0,0.44,22.0,0.5975,0.0,2713640000.0,218107250.0,2510616000.0,0.747,6.489,0.0,-0.4634,CCNE,23.889999,24.49694447222221,365453915.10264
2016-12-31,0.0238,-0.0689,-0.085,-0.0789,-0.0789,4.6186,0.1263,0.0446,0.2757,0.2968,0.0,0.0,5.1877,0.0,0.1191,-0.0689,0.0041,23522000.0,0.0238,0.0,23522000.0,0.0,15083000.0,16455000.0,7067000.0,0.0,7067000.0,2027000.0,0.0,0.0,5040000.0,0.0,5040000.0,0.35,0.35,14465942.0,0.165,1.0,0.353,0.3004,0.214,1.8667,8305000.0,7067000.0,5040000.0,94829000.0,0.0626,0.0,94829000.0,0.0,57019000.0,65612000.0,29217000.0,0.0,27711000.0,7171000.0,0.0,0.0,20540000.0,0.0,20540000.0,1.42,1.42,14465942.0,0.66,1.0,0.34,0.2922,0.217,0.1813,32195000.0,27711000.0,20540000.0,14.64,174.952,3.035,21.2654,2.0174,1.4525,0.1195,0.0,9.4958,0.471,0.0167,0.6412,0.0,2530846000.0,2809287000.0,20593500.0,0.0,0.0,-0.0826,0.097,0.008,0.292,0.039,1.303,0.0,89.5093,0.0,4.6048,0.0,0.0,0.465,23.0,0.6013,0.0,2613856250.0,211591750.0,2437789500.0,1.189,6.555,0.0,-0.3575,CCNE,26.74,25.374411970588238,386819289.08
2016-09-30,0.0872,0.1485,0.1619,0.1579,0.1579,-4.9661,0.124,0.0739,0.4777,1.959,0.0,0.0,-5.4847,0.0,0.1135,0.1485,0.004,25783000.0,0.0872,0.0,25783000.0,0.0,14872000.0,17097000.0,8686000.0,0.0,8686000.0,2270000.0,0.0,0.0,6416000.0,0.0,6416000.0,0.44,0.44,14462862.0,0.165,1.0,0.386,0.3369,0.249,-1.3392,9951000.0,8686000.0,6416000.0,94283000.0,0.0283,0.0,94283000.0,0.0,55414000.0,64543000.0,29740000.0,0.0,28234000.0,7226000.0,0.0,0.0,21008000.0,0.0,21008000.0,1.45,1.45,14462862.0,0.66,1.0,0.344,0.2995,0.223,-0.208,32468000.0,28234000.0,21008000.0,14.899,172.63,-2.387,19.0711,2.5516,1.28,0.1086,0.0,-4.9749,0.375,0.017,0.5768,0.0,2496725000.0,2735643000.0,34651000.0,0.0,0.0,0.0817,0.1,0.009,0.299,0.04,-0.5987,0.0,200.5229,0.0,2.7209,0.0,0.0,0.455,17.0,0.5877,0.0,2528649000.0,209124000.0,2365618250.0,-1.356,6.519,0.0,0.5596,CCNE,21.16,20.155277777777773,306034159.92
2016-06-30,0.1007,-0.317,-0.2744,-0.2821,-0.2821,-0.5661,0.0367,0.0902,0.1974,-0.1145,0.0,0.0,-0.6208,0.0,0.0732,-0.121,0.0039,24001000.0,0.1007,0.0,24001000.0,0.0,14022000.0,17246000.0,6755000.0,0.0,5249000.0,1184000.0,0.0,0.0,4065000.0,0.0,4065000.0,0.28,0.28,14458818.0,0.165,1.0,0.26,0.2187,0.169,0.1442,6229000.0,5249000.0,4065000.0,92215000.0,0.0376,0.0,92215000.0,0.0,53898000.0,63598000.0,28617000.0,0.0,27111000.0,6997000.0,0.0,0.0,20114000.0,0.0,20114000.0,1.39,1.39,14458818.0,0.66,1.0,0.337,0.294,0.218,0.2452,31094000.0,27111000.0,20114000.0,14.589,159.507,0.239,14.2662,1.6548,0.9779,0.0883,0.0,1.2617,0.589,0.0129,0.5842,0.0,2306284000.0,2488631000.0,18457000.0,0.0,0.0,-0.3252,0.098,0.009,0.294,0.04,1.3617,0.0,68.6183,0.0,4.9962,0.0,0.0,0.475,15.0,0.5845,0.0,2441748750.0,205214500.0,2295562750.0,1.564,6.378,0.0,-0.1744,CCNE,17.799999,17.725,257366945.941182
2016-03-31,0.0376,-0.1231,-0.0981,-0.1026,-0.1026,0.0852,0.0554,0.0622,0.8362,0.037,0.0,0.0,0.1412,0.0,0.0879,-0.1231,0.0004,21523000.0,0.0376,0.0,21523000.0,0.0,13042000.0,14814000.0,6709000.0,0.0,6709000.0,1690000.0,0.0,0.0,5019000.0,0.0,5019000.0,0.35,0.35,14458430.0,0.165,1.0,0.358,0.3117,0.233,0.2024,7710000.0,6709000.0,5019000.0,90020000.0,0.0285,0.0,90020000.0,0.0,52941000.0,60473000.0,29547000.0,0.0,29547000.0,7896000.0,0.0,0.0,21651000.0,0.0,21651000.0,1.5,1.5,14458430.0,0.66,1.0,0.373,0.3282,0.241,0.3141,33569000.0,29547000.0,21651000.0,14.397,157.048,0.301,12.2261,1.769,0.8492,0.0768,0.0,1.1347,0.471,0.0132,0.606,0.0,2270671000.0,2421864000.0,16251000.0,0.0,0.0,-0.2351,0.108,0.01,0.328,0.04,1.5742,0.0,67.0883,0.0,5.5394,0.0,0.0,0.44,16.0,0.5881,0.0,2410709500.0,200664250.0,2274912000.0,1.956,6.226,0.0,-0.1703,CCNE,17.59,17.753999857142855,254323783.7
