,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.4978,0.9111,1.7121,1.5,1.8571,0.0126,-0.8194,0.0598,0.1324,0.0018,0.9483,0.4257,0.0,-2.5333,0.0,0.2766,0.6667,0.0034,470000000.0,0.2088,436300000.0,33700000.0,0.0,12000000.0,12200000.0,21500000.0,5600000.0,20200000.0,2300000.0,1500000.0,0.0,17900000.0,0.0,17900000.0,0.2,0.2,87600000.0,88400000.0,0.0,0.0717,0.102,0.0549,0.038,-0.0147,47900000.0,25800000.0,19400000.0,1758992000.0,0.2317,1621498000.0,137494000.0,0.0,48092000.0,36740000.0,100754000.0,22242000.0,81293000.0,7739000.0,2134000.0,0.0,73554000.0,0.0,73554000.0,0.8,0.8,87600000.0,0.0,0.0782,0.108,0.0589,0.042,0.0038,189162000.0,103535000.0,75688000.0,9.739,18.458,-0.079,2.9247,1.4247,0.3003,0.1585,4.6071,2.893,0.1453,0.0,0.0,0.0255,0.0,397100000.0,1616900000.0,-156900000.0,1538500000.0,78084000.0,118911500.0,308805500.0,-3.6538,0.0,2.7432,-0.0202,-0.4299,0.09,0.046,0.0488,0.059,7.0,1.109,0.2483,26.2702,21.4145,75.3244,22.5269,14.7924,5.6961,0.0,15.0,0.0273,0.0,1493568250.0,821548500.0,1585690750.0,0.077,20.08,4.6549,0.0547,-0.6302,0.0011,-0.0065,-0.1344,CENX,15.75,16.738285742857148,1379700000.0
2018-03-31,-0.142,1.4286,0.9801,1.0,1.0,0.006,-1.9204,0.036,0.1141,0.0019,0.9182,0.3513,0.0,-0.798,0.0,0.0,-0.3269,0.0034,454500000.0,0.2425,440000000.0,14500000.0,0.0,10700000.0,11000000.0,3500000.0,5500000.0,-1300000.0,-1000000.0,0.0,0.0,-300000.0,0.0,-300000.0,0.0,0.0,87600000.0,87600000.0,0.0,0.0319,0.057,0.0092,-0.001,-0.0803,25700000.0,4200000.0,-300000.0,1677792000.0,0.2282,1551498000.0,126294000.0,0.0,45492000.0,34140000.0,92154000.0,22142000.0,69093000.0,6839000.0,1134000.0,0.0,62254000.0,0.0,62254000.0,0.68,0.67,87600000.0,0.0,0.0753,0.105,0.0544,0.037,0.0108,176062000.0,91235000.0,63388000.0,9.479,18.046,-0.417,2.9235,1.5023,0.3084,0.162,0.7636,2.883,110.0,0.0,0.0,0.0235,0.0,371400000.0,1580800000.0,-181800000.0,1508100000.0,70057000.0,109560500.0,287710000.0,0.1061,0.0,4.8444,-0.0077,-0.1628,0.078,0.04,0.0457,0.054,7.0,1.074,0.483,24.0173,20.0362,71.9431,23.949,15.3138,5.8315,0.0,17.0,0.0271,0.0,1477531750.0,795963750.0,1562873000.0,0.207,19.153,4.1204,0.0469,-0.3962,0.0011,-0.0071,-0.1404,CENX,16.540001,20.260882294117643,1448904087.6
2017-12-31,8.4704,1.2906,1.2186,1.1959,1.1959,0.0137,-0.9522,0.0268,0.0932,0.0019,0.8396,0.3594,0.0,-1.4728,0.0,0.0399,1.2711,0.0029,433847000.0,0.2766,385955000.0,47892000.0,0.0,11398000.0,4609000.0,43283000.0,5600000.0,39940000.0,3118000.0,-1017000.0,0.0,36822000.0,0.0,36822000.0,0.38,0.38,87326952.0,88255000.0,0.0,0.1104,0.154,0.105,0.085,-0.0164,66698000.0,45540000.0,35805000.0,1589080000.0,0.2047,1460475000.0,128605000.0,0.0,45446000.0,34747000.0,93858000.0,22174000.0,56163000.0,7583000.0,0.0,0.0,48580000.0,0.0,48580000.0,0.51,0.51,87326952.0,0.0,0.0809,0.102,0.0493,0.031,0.0217,162586000.0,78337000.0,48580000.0,9.5,18.111,-0.082,2.9315,1.9238,0.3086,0.1619,8.1321,2.907,0.0297,0.0,0.0,0.0263,0.0,363200000.0,1581600000.0,-198300000.0,1479100000.0,41291500.0,110314000.0,275531500.0,-7.5247,0.0009,1.3194,-0.0189,-0.3884,0.063,0.031,0.0477,0.049,8.0,1.026,1.0654,25.3351,12.2886,72.9274,38.4844,14.4051,5.7673,0.0,23.0,0.0286,0.0,1467805500.0,774049750.0,1549124750.0,0.394,18.197,3.5328,0.0364,-0.3353,0.0012,-0.0109,-0.206,CENX,19.639999,15.289697060606063,1715101249.953048
2017-09-30,3.3508,1.5224,1.3283,1.3284,1.3284,0.0122,6.7484,-0.0742,-0.1777,0.0017,1.0511,0.122,0.0,5.1904,0.0,0.4378,1.5898,0.0028,400645000.0,0.2008,359243000.0,41402000.0,0.0,13994000.0,8931000.0,32471000.0,5542000.0,22453000.0,3321000.0,1651000.0,0.0,19132000.0,0.0,19132000.0,0.22,0.22,87318000.0,88100000.0,0.0,0.1033,0.122,0.0699,0.048,0.143,48864000.0,27995000.0,20783000.0,1495081000.0,0.0968,1409222000.0,85859000.0,0.0,45055000.0,194932000.0,-109073000.0,22337000.0,-147350000.0,10482000.0,2151000.0,0.0,-157832000.0,0.0,-157832000.0,-1.81,-1.82,87318000.0,0.0,0.0574,-0.027,-0.0836,-0.106,0.0378,-40470000.0,-125013000.0,-155681000.0,8.854,17.905,0.656,2.9301,2.0049,0.3309,0.1636,5.0514,2.61,2.4866,0.0,0.0,0.0349,0.0,315114000.0,1563463000.0,-279575000.0,1448573000.0,38837000.0,109554000.0,247522000.0,0.204,0.0036,1.6534,0.0242,0.465,-0.209,-0.103,-0.0568,-0.084,5.0,0.972,-0.4658,29.4643,12.7477,63.9035,38.4963,13.647,6.0402,0.0,-13.0,0.0301,0.0,1468837500.0,755813500.0,1538806500.0,0.648,17.122,-5.5967,-0.1214,-0.2308,0.0012,-0.0114,-0.2007,CENX,16.58,18.003428542857147,1447732439.9999998
2017-06-30,3.0308,4.1128,1.6936,1.7273,1.6364,0.0045,0.6552,-0.1128,-0.2471,0.0017,0.8382,0.0983,0.0,-0.0627,0.0,-0.0548,3.6108,0.0028,388800000.0,0.1899,366300000.0,22500000.0,0.0,9400000.0,9600000.0,12900000.0,5500000.0,8000000.0,1400000.0,500000.0,0.0,6600000.0,0.0,6600000.0,0.08,0.07,87300000.0,87300000.0,0.0,0.0579,0.09,0.0347,0.017,0.0116,34800000.0,13500000.0,7100000.0,1428086000.0,-0.0377,1401241000.0,26845000.0,0.0,40794000.0,223442000.0,-196597000.0,22326000.0,-228924000.0,6313000.0,500000.0,0.0,-235237000.0,0.0,-235237000.0,-2.7,-2.71,87300000.0,0.0,0.0188,-0.086,-0.1447,-0.165,-0.0101,-122122000.0,-206598000.0,-234737000.0,8.6,17.476,0.052,2.9294,1.5066,0.3406,0.1676,2.4545,2.608,2.1818,0.0,0.0,0.0242,0.0,282247000.0,1525629000.0,-317137000.0,1474354000.0,40891500.0,105094000.0,243221500.0,-0.6875,0.0,3.5692,-0.0255,-0.4648,-0.295,-0.15,-0.1002,-0.145,4.0,0.91,-0.0751,28.4271,13.5379,65.0752,34.9238,13.5887,5.8715,0.0,-7.0,0.0286,0.0,1519339750.0,796921000.0,1570119750.0,-0.165,16.358,-9.2537,-0.1834,-1.8149,0.0011,-0.0225,-0.3796,CENX,15.58,14.754444416666669,1360134000.0
2017-03-31,6.5374,0.2308,0.0658,0.1053,0.1053,0.0023,-1.7582,-0.1148,-0.2616,0.0017,0.7059,0.1098,0.0,-2.8341,0.0,0.1117,1.3835,0.003,365800000.0,0.1472,348900000.0,16900000.0,0.0,10700000.0,11700000.0,5200000.0,5600000.0,-15400000.0,-300000.0,0.0,0.0,-15100000.0,0.0,-15100000.0,-0.17,-0.17,87300000.0,87076000.0,0.0,0.0462,0.03,-0.0268,-0.041,-0.0555,11100000.0,-9800000.0,-15100000.0,1366040000.0,-0.1873,1356113000.0,9927000.0,0.0,41339000.0,224365000.0,-214438000.0,22323000.0,-246758000.0,4594000.0,0.0,0.0,-251352000.0,0.0,-251352000.0,-2.89,-2.89,87300000.0,0.0,0.0073,-0.102,-0.1643,-0.184,-0.0103,-140015000.0,-224435000.0,-251352000.0,8.508,17.478,-0.233,2.9281,1.4512,0.3442,0.1675,-1.75,2.363,0.7483,0.0,0.0,0.0293,0.0,252850000.0,1525807000.0,-344669000.0,1469195000.0,38080000.0,99740500.0,232611000.0,0.7965,0.0,11.6155,-0.0246,-0.4306,-0.293,-0.155,-0.1097,-0.164,3.0,0.844,-0.0476,29.0498,12.8291,65.3881,35.8729,13.6959,5.8726,0.0,-5.0,0.0303,0.0,1570143500.0,857839500.0,1618609500.0,-0.162,15.648,-10.054,-0.1986,-2.1779,0.0009,-0.0191,-0.3088,CENX,12.69,13.578333333333335,1107837000.0
2016-12-31,1.2704,-2.8601,-2.9105,-2.9592,-2.9592,-0.0258,36.5303,-0.1211,-0.2512,0.0017,0.0815,0.0073,0.0,2.9484,0.0,0.2796,-4.6043,0.0017,339836000.0,-0.1148,334779000.0,5057000.0,0.0,10961000.0,164701000.0,-159644000.0,5695000.0,-162403000.0,6061000.0,0.0,0.0,-168464000.0,0.0,-168464000.0,-1.94,-1.94,87075587.0,87060000.0,0.0,0.0149,-0.398,-0.4611,-0.496,0.0443,-135234000.0,-156708000.0,-168464000.0,1319094000.0,-0.3235,1330136000.0,-11042000.0,0.0,40264000.0,223171000.0,-234213000.0,22216000.0,-249591000.0,2824000.0,0.0,0.0,-252415000.0,0.0,-252415000.0,-2.9,-2.9,87075587.0,0.0,-0.0084,-0.108,-0.1724,-0.191,0.0131,-142595000.0,-227375000.0,-252415000.0,8.69,17.69,0.173,2.9344,1.5326,0.3377,0.1659,-27.5168,2.459,-0.1356,0.0,0.0,0.0323,0.0,261462000.0,1540327000.0,-343050000.0,1483228000.0,27987500.0,105431000.0,232717500.0,-0.3404,0.0011,-0.9026,-0.0229,-0.3622,-0.274,-0.151,-0.1185,-0.172,2.0,0.791,-0.1512,30.5283,8.0474,64.6281,47.1315,12.5114,5.6682,0.0,-4.0,0.0305,0.0,1626031250.0,922866250.0,1668059000.0,0.198,15.149,-10.2347,-0.196,-0.5476,0.0011,-0.0158,-0.2466,CENX,8.56,9.53617647058824,745367024.72
2016-09-30,0.5848,-0.0139,-0.0385,-0.0308,-0.0308,-0.0278,0.7079,-0.1143,-0.1266,0.0016,-0.3249,-0.2194,0.0,0.6933,0.0,-0.1585,0.0085,0.0019,333650000.0,-0.266,351262000.0,-17612000.0,0.0,9733000.0,37441000.0,-55053000.0,5531000.0,-59121000.0,-848000.0,0.0,0.0,-58273000.0,0.0,-58273000.0,-0.67,-0.67,87076000.0,87040000.0,0.0,-0.0528,-0.098,-0.1606,-0.175,-0.041,-32788000.0,-53590000.0,-58273000.0,1363173000.0,-0.3561,1396956000.0,-33783000.0,0.0,37869000.0,68255000.0,-102038000.0,21933000.0,-133197000.0,-6166000.0,0.0,0.0,-127031000.0,0.0,-127031000.0,-1.46,-1.46,87076000.0,0.0,-0.0248,-0.017,-0.0816,-0.093,-0.0041,-23656000.0,-111264000.0,-127031000.0,10.767,19.394,-0.157,2.9331,1.3625,0.2724,0.1512,-9.689,2.473,0.142,0.0,0.0,0.0292,0.0,257552000.0,1688716000.0,-318740000.0,1650582000.0,31584000.0,120668000.0,266073500.0,0.6516,0.0034,-4.1712,-0.0162,-0.2593,-0.129,-0.074,-0.0455,-0.082,3.0,0.792,-0.1156,26.3524,6.8166,62.4646,43.1602,11.2969,5.1233,0.0,-7.0,0.0278,0.0,1686238750.0,985905250.0,1721094250.0,-0.064,15.655,-5.0729,-0.0881,-1.3769,0.0012,-0.0148,-0.2308,CENX,6.95,6.559999999999999,605178200.0
2016-06-30,-0.3309,0.8135,0.7193,0.7179,0.7179,-0.0274,1.157,-0.1356,-0.1113,0.0016,-0.5361,-0.2719,0.0,1.0647,0.0,-0.0067,-0.1569,0.0022,326754000.0,-0.3758,321172000.0,5582000.0,0.0,9945000.0,10523000.0,-4941000.0,5497000.0,-9834000.0,-319000.0,0.0,0.0,-9515000.0,0.0,-9515000.0,-0.11,-0.11,87060000.0,86907000.0,0.0,0.0171,0.052,-0.0133,-0.029,0.0147,16907000.0,-4337000.0,-9515000.0,1484063000.0,-0.314,1542657000.0,-58594000.0,0.0,39702000.0,43917000.0,-102511000.0,21820000.0,-132349000.0,-7479000.0,0.0,0.0,-124870000.0,0.0,-124870000.0,-1.44,-1.44,87060000.0,0.0,-0.0395,-0.016,-0.0745,-0.084,-0.0246,-24317000.0,-110529000.0,-124870000.0,11.422,19.752,0.055,2.9324,1.5168,0.2567,0.1485,-0.789,2.725,-0.9143,0.0,0.0,0.0304,0.0,285083000.0,1719588000.0,-274805000.0,1677569000.0,45466000.0,140983000.0,275127000.0,-0.4482,-0.001,7.2896,-0.0119,-0.1835,-0.123,-0.07,-0.0448,-0.074,2.0,0.836,0.043,24.3401,7.0869,57.0183,32.6412,10.5265,5.3941,0.0,-6.0,0.0268,0.0,1725010250.0,1019341750.0,1775590500.0,-0.419,17.046,-5.0655,-0.0842,5.7829,0.0006,-0.0209,-0.3603,CENX,6.33,6.554999999999999,551089800.0
2016-03-31,-1.0324,-1.1541,-1.2383,-1.25,-1.25,-0.0208,-0.8718,-0.1726,-0.1015,0.0016,-0.6821,-0.2596,0.0,-0.8932,0.0,-0.196,-1.1694,-0.02,318854000.0,-0.4576,321906000.0,-3052000.0,0.0,9625000.0,10506000.0,-13558000.0,5493000.0,-18233000.0,-2070000.0,0.0,0.0,-16163000.0,0.0,-16163000.0,-0.19,-0.19,87040000.0,86873000.0,0.0,-0.0096,0.027,-0.04,-0.051,0.0347,8520000.0,-12740000.0,-16163000.0,1680800000.0,-0.1989,1736634000.0,-55834000.0,0.0,39769000.0,46007000.0,-101841000.0,21896000.0,-151347000.0,-2095000.0,0.0,0.0,-149252000.0,0.0,-149252000.0,-1.72,-1.72,87040000.0,0.0,-0.0332,-0.027,-0.077,-0.089,-0.0687,-46205000.0,-129451000.0,-149252000.0,11.522,19.802,0.127,2.9319,1.462,0.2545,0.1481,-2.3193,2.741,-0.922,0.0,0.0,0.0302,0.0,276443000.0,1723605000.0,-285513000.0,1692746000.0,58336000.0,140443000.0,259158000.0,-0.2573,0.001,15.0163,-0.012,-0.1804,-0.142,-0.081,-0.044,-0.077,3.0,0.912,0.4656,19.7093,6.1121,47.8839,28.8124,11.9678,6.4856,0.0,-6.0,0.0237,0.0,1757598250.0,1049868000.0,1843003000.0,-1.326,19.311,-5.9121,-0.1001,0.6604,0.001,-0.0273,-0.5513,CENX,7.05,6.816571428571429,613632000.0
