,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.0675,-2.9614,-5.472,-6.0,-6.0,-0.0825,0.0176,-0.2349,0.0,0.0187,0.0,0.0,-0.0672,0.0,0.4148,-2.9614,0.0,59842000.0,-0.0166,38786000.0,21056000.0,0.0,17495000.0,25167000.0,-4111000.0,0.0,-4111000.0,-1553000.0,0.0,0.0,-2558000.0,0.0,-2558000.0,-0.05,-0.05,50081828.0,0.0,0.3519,-0.056,-0.0687,-0.043,0.3316,-3368000.0,-4111000.0,-2558000.0,249469000.0,-0.0024,165217000.0,84252000.0,0.0,60044000.0,91809000.0,-7557000.0,0.0,-7557000.0,35719000.0,0.0,0.0,-43276000.0,0.0,-43276000.0,-0.87,-0.87,50081828.0,0.0,0.3377,-0.016,-0.0303,-0.173,0.3649,-4002000.0,-7557000.0,-43276000.0,3.942,32.4,0.396,0.0,1.2646,0.0,0.0,0.0,-7.8167,0.0,0.0182,0.2924,0.0,1622639000.0,1559306000.0,15617000.0,10159500.0,0.0,-0.0075,0.0036,-0.0025,-0.2019,-0.193,-0.026,-0.03,0.151,-2.1161,15.1534,23.0615,0.0,15.9742,24.5552,0.0,0.0,-46.0,0.2407,0.0,1567589500.0,223652500.0,1648476750.0,1.818,4.981,0.0,-0.0059,0.0009,-0.0022,-0.153,CIA,7.79,7.764857142857142,390137440.12
2018-03-31,-0.0749,1.7349,-0.982,-1.0,-1.0,0.0167,0.0219,-0.1768,0.0,-0.0328,0.0,0.0,0.0346,0.0,-0.279,1.7349,0.0,57433000.0,-0.0361,37066000.0,20367000.0,0.0,9503000.0,17788000.0,2579000.0,0.0,2579000.0,2542000.0,0.0,0.0,37000.0,0.0,37000.0,0.0,0.0,50081828.0,0.0,0.3546,0.064,0.0449,0.001,0.3818,3695000.0,2579000.0,37000.0,250479000.0,0.0001,164704000.0,85775000.0,0.0,54915000.0,87125000.0,-1350000.0,0.0,-1350000.0,38796000.0,0.0,0.0,-40146000.0,0.0,-40146000.0,-0.81,-0.81,50081828.0,0.0,0.3424,0.009,-0.0054,-0.16,0.3691,2205000.0,-1350000.0,-40146000.0,4.182,32.246,0.438,0.0,0.8236,0.0,0.0,0.0,594.3514,0.0,0.0185,0.1655,0.0,1614950000.0,1573703000.0,14923500.0,13500000.0,0.0,-0.0028,0.0,-0.0011,-0.0547,-0.168,-0.024,-0.005,0.153,-2.3258,16.073,21.3845,0.0,16.7842,18.554,0.0,0.0,-237.0,0.2192,0.0,1566226500.0,238798250.0,1641339500.0,1.846,5.001,0.0,-0.0098,0.0,-0.0036,-0.2568,CIA,7.32,7.407058823529411,366598980.96000004
2017-12-31,-0.0333,-23.4251,-382.069,0.0,0.0,-0.2702,0.0384,-0.1027,0.0,-0.014,0.0,0.0,-0.2451,0.0,0.6612,-23.4251,0.0,67863000.0,-0.0006,46701000.0,21162000.0,0.0,22747000.0,30297000.0,-9135000.0,0.0,-9135000.0,35069000.0,0.0,0.0,-44204000.0,0.0,-44204000.0,-0.89,-0.89,50081828.0,0.0,0.3118,-0.123,-0.1346,-0.651,0.3544,-8333000.0,-9135000.0,-44204000.0,252627000.0,0.0294,165202000.0,87425000.0,0.0,58592000.0,90411000.0,-2986000.0,0.0,-2986000.0,35141000.0,0.0,0.0,-38127000.0,0.0,-38127000.0,-0.77,-0.77,50081828.0,0.0,0.3461,0.001,-0.0118,-0.151,0.3631,208000.0,-2986000.0,-38127000.0,4.463,32.215,0.48,0.0,0.9198,0.0,0.0,0.0,-0.5464,0.0,0.0189,0.3352,0.0,1613369000.0,1567305000.0,16597000.0,13589500.0,0.0,-0.0043,0.0,-0.0015,-0.1284,-0.152,-0.023,-0.012,0.155,-2.4395,15.9508,23.8106,0.0,15.2212,18.5899,0.0,0.0,-108.0,0.2319,0.0,1555781750.0,250035750.0,1632512250.0,1.832,5.044,0.0,-0.0138,0.0,-0.0051,-0.4023,CIA,7.35,7.791515151515154,368101435.8
2017-09-30,0.0774,-0.3249,0.2487,0.1667,0.1667,-0.0266,0.0542,0.0055,0.0,0.0139,0.0,0.0,-0.0207,0.0,0.2948,-0.3249,0.0,64331000.0,0.0419,42664000.0,21667000.0,0.0,10299000.0,18557000.0,3110000.0,0.0,3110000.0,-339000.0,0.0,0.0,3449000.0,0.0,3449000.0,0.07,0.07,50081828.0,0.0,0.3368,0.062,0.0483,0.054,0.3918,4004000.0,3110000.0,3449000.0,252667000.0,0.0541,164513000.0,88154000.0,0.0,49538000.0,82379000.0,5775000.0,0.0,5775000.0,-418000.0,0.0,0.0,6193000.0,0.0,6193000.0,0.12,0.12,50081828.0,0.0,0.3489,0.035,0.0229,0.025,0.3939,8848000.0,5775000.0,6193000.0,5.276,32.248,0.503,0.0,0.8985,0.0,0.0,0.0,7.3749,0.0,0.0219,0.1601,0.0,1615044000.0,1570044000.0,14720500.0,13636000.0,0.0,-0.009,0.0,-0.0036,-0.2573,0.024,0.004,0.023,0.156,16.4626,20.4323,21.4117,0.0,17.1643,18.5294,0.0,0.0,58.0,0.1961,0.0,1541586000.0,256432500.0,1617316000.0,1.987,5.045,0.0,-0.0237,0.0,-0.0096,-0.7869,CIA,7.35,7.705428571428573,368101435.8
2017-06-30,0.0711,-0.1809,-0.614,-0.6667,-0.6667,-0.0113,0.0499,-0.0117,0.0,-0.0453,0.0,0.0,-0.0232,0.0,0.1002,-0.1809,0.0,60852000.0,-0.0063,38273000.0,22579000.0,0.0,12366000.0,20483000.0,2096000.0,0.0,2096000.0,1524000.0,0.0,0.0,572000.0,0.0,572000.0,0.01,0.01,50081828.0,0.0,0.371,0.047,0.0344,0.009,0.3496,2839000.0,2096000.0,572000.0,250077000.0,0.0592,163480000.0,86597000.0,0.0,47193000.0,79325000.0,7272000.0,0.0,7272000.0,1766000.0,0.0,0.0,5506000.0,0.0,5506000.0,0.11,0.11,50081828.0,0.0,0.3463,0.041,0.0291,0.022,0.4002,10287000.0,7272000.0,5506000.0,5.152,31.7,0.425,0.0,0.6739,0.0,0.0,0.0,38.0997,0.0,0.0225,0.2032,0.0,1587603000.0,1553854000.0,15839000.0,14574500.0,0.0,-0.0238,0.0,-0.0085,-0.6985,0.022,0.003,0.029,0.157,18.6431,14.54,22.5822,0.0,15.7887,17.1585,0.0,0.0,45.0,0.1887,0.0,1523136500.0,256070000.0,1596082000.0,1.998,4.993,0.0,-0.0251,0.0,-0.0103,-0.8557,CIA,7.38,6.613055555555555,369603890.64
2017-03-31,0.2067,1.7204,1.8599,1.8,1.8,0.0298,0.0729,0.0213,0.0,0.0267,0.0,0.0,0.0221,0.0,0.0648,1.7204,0.0,59581000.0,0.0927,37564000.0,22017000.0,0.0,13180000.0,21074000.0,943000.0,0.0,943000.0,-1113000.0,0.0,0.0,2056000.0,0.0,2056000.0,0.04,0.04,50081828.0,0.0,0.3695,0.028,0.0158,0.035,0.3558,1698000.0,943000.0,2056000.0,250462000.0,0.0661,165364000.0,85098000.0,0.0,46067000.0,77363000.0,7735000.0,0.0,7735000.0,1319000.0,0.0,0.0,6416000.0,0.0,6416000.0,0.13,0.13,50081828.0,0.0,0.3398,0.042,0.0309,0.026,0.4016,10490000.0,7735000.0,6416000.0,5.08,31.41,0.423,0.0,0.8217,0.0,0.0,0.0,10.5204,0.0,0.023,0.2212,0.0,1573075000.0,1531924000.0,14974500.0,13946500.0,0.0,-0.02,0.0,-0.0073,-0.5735,0.025,0.004,0.031,0.159,16.0376,23.2732,22.1103,0.0,16.7259,17.9588,0.0,0.0,44.0,0.1839,0.0,1498590000.0,256836000.0,1576789500.0,2.008,5.001,0.0,-0.0226,0.0,-0.0093,-0.8428,CIA,7.43,8.26,372107982.03999996
2016-12-31,0.2444,0.7158,1.066,1.0,1.0,0.3548,0.0695,0.0089,0.0,0.0456,0.0,0.0,0.3232,0.0,0.1246,0.7158,0.0,67903000.0,0.0916,46012000.0,21891000.0,0.0,13693000.0,22265000.0,-374000.0,0.0,-374000.0,-490000.0,0.0,0.0,116000.0,0.0,116000.0,0.0,0.0,50081828.0,0.0,0.3224,0.005,-0.0055,0.002,0.4692,307000.0,-374000.0,116000.0,245406000.0,0.0387,164080000.0,81326000.0,0.0,45265000.0,75843000.0,5483000.0,0.0,5483000.0,3514000.0,0.0,0.0,1969000.0,0.0,1969000.0,0.04,0.04,50081828.0,0.0,0.3314,0.034,0.0223,0.008,0.408,8352000.0,5483000.0,1969000.0,4.974,30.87,0.636,0.0,0.709,0.0,0.0,0.0,285.2931,0.0,0.0238,0.2017,0.0,1546032000.0,1510522000.0,16349500.0,15503000.0,0.0,-0.0373,0.0,-0.0182,-1.815,0.008,0.001,0.022,0.158,51.9406,24.004,24.8593,0.0,15.01,15.8296,0.0,0.0,84.0,0.1844,0.0,1469691500.0,255512500.0,1549433250.0,1.999,4.9,0.0,-0.0211,0.0,-0.0088,-0.7511,CIA,9.82,10.040588235294118,491803550.96000004
2016-09-30,0.2114,34.1439,25.8155,0.0,0.0,0.141,0.0619,0.0521,0.0,-0.0301,0.0,0.0,0.1296,0.0,-0.1936,34.1439,0.0,61741000.0,0.0622,41631000.0,20110000.0,0.0,7954000.0,15503000.0,4607000.0,0.0,4607000.0,1845000.0,0.0,0.0,2762000.0,0.0,2762000.0,0.06,0.06,50081828.0,0.0,0.3257,0.088,0.0746,0.045,0.4169,5443000.0,4607000.0,2762000.0,239708000.0,0.0092,162681000.0,77027000.0,0.0,43748000.0,72486000.0,4541000.0,0.0,4541000.0,4445000.0,0.0,0.0,96000.0,0.0,96000.0,0.01,0.01,50081828.0,0.0,0.3213,0.031,0.0189,0.0,0.3852,7486000.0,4541000.0,96000.0,5.247,30.521,0.514,0.0,0.6454,0.0,0.0,0.0,9.4613,0.0,0.0241,0.1288,0.0,1528569000.0,1496246000.0,14846000.0,14841500.0,0.0,-0.015,0.0,-0.0063,-0.4689,0.0,0.0,0.019,0.157,975.0417,19.9898,22.2601,0.0,16.1463,16.1512,0.0,0.0,92.0,0.1825,0.0,1431589250.0,254969000.0,1523704000.0,1.844,4.786,0.0,-0.0136,0.0,-0.0053,-0.4309,CIA,9.36,9.835555555555553,468765910.08
2016-06-30,0.1371,4.0537,1.7743,1.75,1.75,-0.0337,0.0668,0.0474,0.0,0.0451,0.0,0.0,-0.0436,0.0,-0.1494,4.0537,0.0,61237000.0,0.0193,40157000.0,21080000.0,0.0,11240000.0,18521000.0,2559000.0,0.0,2559000.0,1077000.0,0.0,0.0,1482000.0,0.0,1482000.0,0.03,0.03,50081828.0,0.0,0.3442,0.05,0.0418,0.024,0.3557,3042000.0,2559000.0,1482000.0,236091000.0,-0.0023,162573000.0,73518000.0,0.0,45658000.0,73723000.0,-205000.0,0.0,-205000.0,2358000.0,0.0,0.0,-2563000.0,0.0,-2563000.0,-0.05,-0.05,50081828.0,0.0,0.3114,0.011,-0.0009,-0.011,0.3786,2694000.0,-205000.0,-2563000.0,5.213,30.123,0.435,0.0,1.057,0.0,0.0,0.0,14.8725,0.0,0.0248,0.1835,0.0,1508605000.0,1455668000.0,15856000.0,16494500.0,0.0,-0.0118,0.0,-0.0043,-0.5404,-0.01,-0.002,-0.001,0.157,-35.2614,29.6634,25.0547,0.0,14.8897,14.3133,0.0,0.0,-1635.0,0.1934,0.0,1405512000.0,251711750.0,1500878000.0,1.785,4.714,0.0,-0.011,0.0,-0.0042,-0.3429,CIA,7.6,7.71027777777778,380621892.8
2016-03-31,0.0828,-4.74,-6.6259,-6.0,-6.0,0.2346,0.0392,-0.0495,0.0,0.0023,0.0,0.0,0.2252,0.0,0.1728,-4.74,0.0,54525000.0,-0.0239,36280000.0,18245000.0,0.0,12378000.0,19554000.0,-1309000.0,0.0,-1309000.0,1082000.0,0.0,0.0,-2391000.0,0.0,-2391000.0,-0.05,-0.05,50081828.0,0.0,0.3346,-0.008,-0.024,-0.044,0.3803,-440000.0,-1309000.0,-2391000.0,234933000.0,0.0081,163956000.0,70977000.0,0.0,47632000.0,74579000.0,-3602000.0,0.0,-3602000.0,2357000.0,0.0,0.0,-5959000.0,0.0,-5959000.0,-0.12,-0.12,50081828.0,0.0,0.3021,-0.002,-0.0153,-0.025,0.3847,-483000.0,-3602000.0,-5959000.0,4.974,29.186,0.414,0.0,0.9056,0.0,0.0,0.0,-8.7846,0.0,0.026,0.227,0.0,1461685000.0,1416330000.0,14760000.0,15391500.0,0.0,-0.0127,0.0,-0.0049,-0.3061,-0.024,-0.004,-0.015,0.159,-15.2952,18.524,22.9581,0.0,15.9169,15.2638,0.0,0.0,-78.0,0.2027,0.0,1384474750.0,248754250.0,1476673500.0,1.805,4.691,0.0,-0.0084,0.0,-0.0033,-0.2466,CIA,7.24,7.097999999999999,362592434.72
2015-12-31,-0.0012,0.8438,0.8349,0.8571,0.8571,-0.214,0.0446,-0.0444,0.0,0.0515,0.0,0.0,-0.2229,0.0,-0.3835,0.8438,0.0,62205000.0,-0.0198,44613000.0,17592000.0,0.0,12176000.0,18908000.0,-1316000.0,0.0,-1316000.0,441000.0,0.0,0.0,-1757000.0,0.0,-1757000.0,-0.03,-0.03,50081828.0,0.0,0.2828,-0.009,-0.0212,-0.028,0.3871,-559000.0,-1316000.0,-1757000.0,236268000.0,0.0262,166686000.0,69582000.0,0.0,45808000.0,71525000.0,-1943000.0,0.0,-1943000.0,1200000.0,0.0,0.0,-3143000.0,0.0,-3143000.0,-0.06,-0.06,50081828.0,0.0,0.2945,0.005,-0.0082,-0.013,0.3664,1153000.0,-1943000.0,-3143000.0,4.93,28.772,0.481,0.0,1.6538,0.0,0.0,0.0,-13.9027,0.0,0.0269,0.1957,0.0,1440940000.0,1358113000.0,15593500.0,13855500.0,0.0,-0.0143,0.0,-0.0056,-0.4624,-0.012,-0.002,-0.008,0.162,-27.7292,22.9674,24.6945,0.0,15.1517,17.0523,0.0,0.0,-169.0,0.1939,0.0,1370781250.0,251994250.0,1462510250.0,1.728,4.718,0.0,-0.0068,0.0,-0.0025,-0.1906,CIA,7.43,8.529428571428573,372107982.03999996
2015-09-30,-0.079,-1.0424,-0.9557,-1.0,-1.0,-0.0226,0.1187,-0.0638,0.0,0.0499,0.0,0.0,-0.0256,0.0,0.0937,-1.0424,0.0,58124000.0,0.0156,41523000.0,16601000.0,0.0,9864000.0,16740000.0,-139000.0,0.0,-139000.0,-242000.0,0.0,0.0,103000.0,0.0,103000.0,0.0,0.0,50081828.0,0.0,0.2856,0.011,-0.0024,0.002,0.392,651000.0,-139000.0,103000.0,237524000.0,0.0621,167920000.0,69604000.0,0.0,53382000.0,78656000.0,-9052000.0,0.0,-9052000.0,2975000.0,0.0,0.0,-12027000.0,0.0,-12027000.0,-0.24,-0.24,50081828.0,0.0,0.293,-0.025,-0.0381,-0.051,0.3935,-5977000.0,-9052000.0,-12027000.0,4.987,28.648,0.455,0.0,0.8552,0.0,0.0,0.0,222.3592,0.0,0.0273,0.1697,0.0,1434768000.0,1391937000.0,14715000.0,15719500.0,0.0,-0.0051,0.0,-0.002,-0.1481,-0.047,-0.008,-0.038,0.164,-7.7995,25.4399,23.1625,0.0,16.1416,15.1101,0.0,0.0,-37.0,0.2247,0.0,1362521500.0,254852500.0,1446711250.0,1.866,4.743,0.0,-0.0035,0.0,-0.0014,-0.1083,CIA,7.42,6.532777777777778,371607163.76
2015-06-30,0.0628,-1.5557,-2.6643,-2.3333,-2.3333,-0.0045,0.1168,-0.0608,0.0,0.047,0.0,0.0,-0.0036,0.0,0.2672,-1.5557,0.0,60079000.0,0.0633,41540000.0,18539000.0,0.0,13214000.0,19377000.0,-838000.0,0.0,-838000.0,1076000.0,0.0,0.0,-1914000.0,0.0,-1914000.0,-0.04,-0.04,50081828.0,0.0,0.3086,-0.002,-0.0139,-0.032,0.3791,-135000.0,-838000.0,-1914000.0,236630000.0,0.0755,165603000.0,71027000.0,0.0,52537000.0,76664000.0,-5637000.0,0.0,-5637000.0,4169000.0,0.0,0.0,-9806000.0,0.0,-9806000.0,-0.2,-0.2,50081828.0,0.0,0.3002,-0.011,-0.0238,-0.041,0.3975,-2680000.0,-5637000.0,-9806000.0,4.977,28.141,0.455,0.0,0.7552,0.0,0.0,0.0,-11.9175,0.0,0.0282,0.2199,0.0,1409339000.0,1371519000.0,15158000.0,16507500.0,0.0,-0.0016,0.0,-0.0006,-0.0512,-0.038,-0.007,-0.024,0.168,-9.62,21.2895,23.9179,0.0,15.6109,14.3347,0.0,0.0,-59.0,0.222,0.0,1319299500.0,259110000.0,1407577500.0,1.878,4.725,0.0,-0.0028,0.0,-0.0011,-0.0893,CIA,7.46,6.530277777777779,373610436.88
2015-03-31,0.0045,-0.793,-0.6449,-0.5,-0.5,-0.1705,0.1459,0.0231,0.0,-0.1176,0.0,0.0,-0.1632,0.0,0.1295,-0.793,0.0,55860000.0,0.0533,39010000.0,16850000.0,0.0,10554000.0,16500000.0,350000.0,0.0,350000.0,-75000.0,0.0,0.0,425000.0,0.0,425000.0,0.01,0.01,50081828.0,0.0,0.3016,0.021,0.0063,0.008,0.303,1196000.0,350000.0,425000.0,233053000.0,0.0734,163122000.0,69931000.0,0.0,49751000.0,73222000.0,-3291000.0,0.0,-3291000.0,3451000.0,0.0,0.0,-6742000.0,0.0,-6742000.0,-0.13,-0.13,50081828.0,0.0,0.3001,0.0,-0.0141,-0.029,0.404,-1000.0,-3291000.0,-6742000.0,5.233,28.014,0.338,0.0,0.8272,0.0,0.0,0.0,40.0306,0.0,0.0285,0.1889,0.0,1402986000.0,1361556000.0,15725500.0,17097500.0,0.0,-0.0051,0.0,-0.0016,-0.1028,-0.026,-0.005,-0.014,0.17,-14.0074,29.5379,23.09,0.0,14.8201,13.6308,0.0,0.0,-76.0,0.2135,0.0,1275950500.0,263138000.0,1369648000.0,1.88,4.653,0.0,-0.003,0.0,-0.0012,-0.0866,CIA,6.16,6.8374999999999995,308504060.48
2014-12-31,0.1077,-6.9752,-14.2022,-11.5,-11.5,0.1475,0.1655,0.0511,0.0,-0.0257,0.0,0.0,0.1443,0.0,1.1611,-6.9752,0.0,63461000.0,0.116,45847000.0,17614000.0,0.0,19750000.0,26039000.0,-8425000.0,0.0,-8425000.0,2216000.0,0.0,0.0,-10641000.0,0.0,-10641000.0,-0.21,-0.21,50081828.0,0.0,0.2776,-0.121,-0.1328,-0.168,0.4883,-7689000.0,-8425000.0,-10641000.0,230225000.0,0.0777,160369000.0,69856000.0,0.0,48541000.0,71806000.0,-1950000.0,0.0,-1950000.0,4020000.0,0.0,0.0,-5970000.0,0.0,-5970000.0,-0.12,-0.12,50081828.0,0.0,0.3034,0.006,-0.0085,-0.026,0.4233,1348000.0,-1950000.0,-5970000.0,5.159,27.471,0.619,0.0,1.0125,0.0,0.0,0.0,-2.9206,0.0,0.0295,0.3112,0.0,1375782000.0,1325074000.0,15402500.0,12447000.0,0.0,-0.003,0.0,-0.0015,-0.1264,-0.023,-0.005,-0.008,0.174,-16.4044,20.3629,24.1013,0.0,14.9472,18.4964,0.0,0.0,-166.0,0.2108,0.0,1226631000.0,261667500.0,1323682250.0,1.946,4.597,0.0,-0.0049,0.0,-0.0021,-0.1458,CIA,7.6,7.662571428571429,380621892.8
2014-09-30,0.0545,0.2513,0.2741,0.3333,0.3333,0.0993,0.1042,0.0768,0.0,-0.0088,0.0,0.0,0.1004,0.0,-0.0019,0.2513,0.0,57230000.0,0.0674,39206000.0,18024000.0,0.0,9019000.0,14748000.0,3276000.0,0.0,3276000.0,952000.0,0.0,0.0,2324000.0,0.0,2324000.0,0.04,0.04,50081828.0,0.0,0.3149,0.069,0.0572,0.041,0.4086,3948000.0,3276000.0,2324000.0,223630000.0,0.0607,155486000.0,68144000.0,0.0,37930000.0,60259000.0,7885000.0,0.0,7885000.0,2408000.0,0.0,0.0,5477000.0,0.0,5477000.0,0.11,0.11,50081828.0,0.0,0.3047,0.051,0.0353,0.024,0.4183,11338000.0,7885000.0,5477000.0,5.327,25.479,0.467,0.0,1.1379,0.0,0.0,0.0,10.083,0.0,0.0322,0.1576,0.0,1276035000.0,1219049000.0,14420500.0,13368000.0,0.0,-0.002,0.0,-0.0008,-0.0714,0.021,0.004,0.035,0.176,17.1517,24.2931,23.4329,0.0,15.5078,16.7288,0.0,0.0,34.0,0.1696,0.0,1175438000.0,258530000.0,1273363500.0,1.868,4.465,0.0,-0.0042,0.0,-0.0018,-0.1144,CIA,6.46,6.9158333333333335,323528608.88
2014-06-30,0.0372,-0.1599,-0.1201,0.0,0.0,0.534,0.1018,0.0673,0.0,-0.1347,0.0,0.0,0.5447,0.0,0.0326,-0.1599,0.0,56502000.0,0.054,39059000.0,17443000.0,0.0,10428000.0,15935000.0,1508000.0,0.0,1508000.0,358000.0,0.0,0.0,1150000.0,0.0,1150000.0,0.03,0.03,50081828.0,0.0,0.3087,0.045,0.0267,0.02,0.4045,2544000.0,1508000.0,1150000.0,220016000.0,0.0507,152803000.0,67213000.0,0.0,37947000.0,59986000.0,7227000.0,0.0,7227000.0,2250000.0,0.0,0.0,4977000.0,0.0,4977000.0,0.1,0.1,50081828.0,0.0,0.3055,0.05,0.0328,0.023,0.4155,11007000.0,7227000.0,4977000.0,5.299,25.07,0.456,0.0,1.1469,0.0,0.0,0.0,19.9252,0.0,0.033,0.1846,0.0,1255560000.0,1198123000.0,15963000.0,15198000.0,0.0,-0.0025,0.0,-0.001,-0.055,0.02,0.004,0.033,0.177,18.4495,31.8738,24.5693,0.0,13.7829,14.4766,0.0,0.0,44.0,0.1725,0.0,1148302750.0,253769750.0,1242267250.0,1.825,4.393,0.0,-0.0045,0.0,-0.0019,-0.109,CIA,7.4,6.8105714285714285,370605527.2
