,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,-0.3279,1.6725,2.8498,2.8209,2.8788,-0.7686,0.1123,0.3132,0.0499,0.0,0.0,0.5,3.4847,0.0,-0.1093,1.6738,-0.0098,13833185.0,-0.3943,4435384.0,9397801.0,0.0,2429181.0,-12100689.0,21498490.0,2537301.0,18973081.0,4810173.0,0.0,0.0,14162908.0,0.0,14162908.0,2.56,2.56,5596311.0,0.06,0.6794,1.834,1.555,1.024,1.2991,25365320.0,21510382.0,14162908.0,68546008.0,-0.324,18717873.0,49828135.0,0.0,9558005.0,1963312.0,47864823.0,9415835.0,38493470.0,-11875861.0,0.0,0.0,50369331.0,0.0,50369331.0,9.11,9.05,5596311.0,0.22,0.7269,0.91,0.6989,0.735,-0.3817,62350316.0,47909305.0,50369331.0,37.028,78.971,3.211,31.6519,1.2029,0.8548,0.3686,8.4777,0.2586,0.023,0.0803,0.1756,0.0,441943600.0,612345198.0,0.0,1552387.0,0.0,3.9064,0.27,0.108,0.699,0.147,0.5264,9.2957,0.0,0.0,0.0,44.1552,0.0,0.024,11.0,0.1394,0.0,605194158.0,186479688.0,466958607.0,-4.675,12.248,5.0882,-1.9869,CTO,61.509997999999996,60.861429000000015,344229078.41737795
2018-03-31,-0.246,-0.2563,-0.1439,-0.136,-0.1366,-0.6402,0.1675,0.2612,0.2707,0.0,0.0,0.5,-2.4191,0.0,-0.1232,-0.2566,-0.0216,24851599.0,-0.3581,4791688.0,20059911.0,0.0,2823548.0,3073069.0,16986842.0,2561465.0,14437689.0,3525390.0,0.0,0.0,10912299.0,0.0,10912299.0,1.97,1.96,5595040.0,0.06,0.8072,0.841,0.684,0.439,-0.3373,20899533.0,16999154.0,10912299.0,77550606.0,-0.1518,23136988.0,54413618.0,0.0,9856011.0,20006878.0,34406740.0,9022710.0,25425144.0,-14460187.0,0.0,0.0,39885331.0,0.0,39885331.0,7.22,7.15,5595040.0,0.2,0.7017,0.622,0.4442,0.514,-0.6624,48249617.0,34447854.0,39885331.0,34.856,79.418,-1.498,35.6136,1.2285,1.0217,0.4113,6.6365,0.9714,0.03,0.0828,0.1136,0.0,444344558.0,636730435.0,0.0,1709666.0,0.0,-1.7907,0.229,0.088,0.444,0.171,0.9698,6.7288,0.0,0.0,0.0,45.3601,0.0,0.028,16.0,0.1271,0.0,590038879.0,174512729.0,454831568.0,-9.181,13.861,3.8179,-2.328,CTO,62.849998,64.347647,351648252.80992
2017-12-31,-0.2129,-0.4563,3.7747,3.8889,3.8333,-0.5423,0.1407,0.2773,0.1779,0.0,0.0,0.25,-0.3883,0.0,0.298,-0.4549,-0.0275,17480622.0,-0.3675,6024595.0,11456027.0,0.0,2309764.0,5833985.0,5622042.0,2243770.0,3388826.0,-20938398.0,0.0,0.0,24327224.0,0.0,24327224.0,4.4,4.35,5581733.0,0.05,0.6554,0.524,0.3222,1.392,-2.0863,9157121.0,5632596.0,24327224.0,91412291.0,0.2861,30452977.0,60959314.0,0.0,10252610.0,20690005.0,40269309.0,8523136.0,31784158.0,-9935266.0,0.0,0.0,41719424.0,0.0,41719424.0,7.53,7.48,5581733.0,0.18,0.6669,0.579,0.4409,0.456,-0.4057,52971253.0,40307294.0,41719424.0,32.997,76.566,-6.534,35.0816,2.3411,1.0632,0.4201,2.5103,0.3481,0.011,0.0831,0.1321,0.0,427372319.0,610121143.0,0.0,1699310.5,0.0,-5.3066,0.252,0.095,0.441,0.209,1.3794,7.5087,0.0,0.0,0.0,53.7938,0.0,0.024,13.0,0.1122,0.0,562306459.0,165268285.0,437455932.0,-6.643,16.377,4.7292,-1.6444,CTO,63.5,61.70545484848485,354440045.5
2017-09-30,0.0915,-0.763,-0.8815,-0.875,-0.875,2.9032,0.1567,0.1438,0.2811,0.0,0.0,0.25,1.0335,0.0,0.0953,-0.7634,-0.0289,12380602.0,0.0139,3466206.0,8914396.0,0.0,1995512.0,5156947.0,3757449.0,2073299.0,1693874.0,726974.0,0.0,0.0,966900.0,0.0,966900.0,0.18,0.18,5628659.0,0.05,0.72,0.56,0.3043,0.078,0.0577,6928342.0,3767173.0,966900.0,101567212.0,0.6065,37509865.0,64057347.0,0.0,9722313.0,19096186.0,44961161.0,8332111.0,36702532.0,14215259.0,-14870.0,0.0,22487273.0,0.0,22487273.0,4.03,4.01,5628659.0,0.17,0.6307,0.557,0.4434,0.221,-0.2647,56551108.0,45034643.0,22472403.0,28.337,71.225,0.127,30.8513,2.3046,1.0887,0.3976,1.817,3.9118,0.278,0.082,0.1612,0.0,400900067.0,561579857.0,0.0,1534486.0,0.0,-0.8111,0.144,0.053,0.443,0.24,3.0053,4.6999,0.0,0.0,0.0,66.1897,0.0,0.042,11.0,0.0957,0.0,540403117.0,156292693.0,423079194.0,-4.776,18.045,5.4049,-1.3978,CTO,60.07,55.820857199999985,338113546.13
2017-06-30,0.5459,0.7033,1.3426,1.3929,1.3571,16.3267,0.116,0.1968,0.0963,0.0,0.0,0.0,-1.4095,0.0,0.436,0.6988,-0.0305,22837783.0,0.774,8854499.0,13983284.0,0.0,2727187.0,5942877.0,8040407.0,2144176.0,5904755.0,2225847.0,0.0,0.0,3678908.0,0.0,3678908.0,0.67,0.66,5651515.0,0.04,0.6123,0.493,0.3524,0.161,-0.3167,11264621.0,8048931.0,3678908.0,101397555.0,0.7096,38087298.0,63310257.0,0.0,9548628.0,6227036.0,57083221.0,8713202.0,48451318.0,18769931.0,-29880.0,0.0,29681387.0,0.0,29681387.0,5.29,5.27,5651515.0,0.16,0.6244,0.665,0.5638,0.293,-0.4824,67465276.0,57164520.0,29651507.0,28.196,69.874,-1.28,29.8522,2.1022,1.0587,0.3905,3.7539,4.3034,0.06,0.086,0.1194,0.0,394894908.0,551724079.0,0.0,1792095.0,0.0,-1.4569,0.195,0.073,0.564,0.248,2.0825,4.8922,0.0,0.0,0.0,56.5805,0.0,0.03,8.0,0.0942,0.0,516610633.0,152317372.0,408287361.0,-8.655,17.942,6.5607,-1.7914,CTO,56.950001,55.249166833333334,321853784.901515
2017-03-31,0.9755,2.9014,7.9466,8.12,8.08,25.6681,0.0164,0.187,-0.0819,0.0,0.0,0.0,2.4977,0.0,-0.3288,2.574,-0.0316,38713284.0,1.1092,12107677.0,26605607.0,0.0,3220147.0,3756196.0,22849411.0,2061891.0,20796703.0,8050311.0,0.0,0.0,12746392.0,0.0,12746392.0,2.28,2.27,5718489.0,0.04,0.6872,0.662,0.5905,0.329,0.1526,25621169.0,22858594.0,12746392.0,91433710.0,0.6918,33061310.0,58372400.0,0.0,8720567.0,4596718.0,53775682.0,8723463.0,45117486.0,17544564.0,-19681.0,0.0,27572922.0,0.0,27572922.0,4.9,4.89,5718489.0,0.16,0.6384,0.686,0.5889,0.302,-0.2627,62731574.0,53840949.0,27553241.0,27.637,66.328,1.033,27.4222,1.803,0.9922,0.3779,11.0862,2.3115,0.018,0.0859,0.0832,0.0,379298077.0,525800756.0,0.0,3186434.0,0.0,-0.7995,0.188,0.069,0.589,0.23,1.6301,7.9427,0.0,0.0,0.0,28.6947,0.0,0.033,8.0,0.0954,0.0,500944679.0,146812707.0,397059524.0,-4.201,15.989,6.172,-1.5344,CTO,53.540001000000004,53.09527763888889,306167906.778489
2016-12-31,0.0464,-0.0839,-0.1044,-0.0816,-0.0816,-0.086,0.0106,0.1394,-0.0033,0.0,0.0,0.0,-0.8535,0.0,-0.3234,-0.0989,-0.0345,27635543.0,0.3969,13081483.0,14554060.0,0.0,1779467.0,4240166.0,10313894.0,2052745.0,8307200.0,3212127.0,-14870.0,0.0,5095073.0,0.0,5095073.0,0.9,0.9,5739566.0,0.04,0.5266,0.461,0.3749,0.184,-0.9505,12736976.0,10359945.0,5080203.0,71074861.0,0.653,25840020.0,45234841.0,0.0,10297877.0,7915254.0,37319587.0,8753338.0,28088102.0,11836854.0,-51834.0,0.0,16251248.0,0.0,16251248.0,2.86,2.85,5739566.0,0.12,0.6364,0.634,0.5183,0.229,-0.4765,45036857.0,36841440.0,16199414.0,25.834,65.144,-4.577,28.9648,3.0725,1.1212,0.4068,5.0469,3.6316,0.044,0.085,0.0644,0.0,373897604.0,522507774.0,0.0,1726261.0,0.0,-2.4197,0.115,0.041,0.518,0.18,0.8792,7.7961,0.0,0.0,0.0,41.1727,0.0,0.042,12.0,0.1449,0.0,504319001.0,141676834.0,395387973.0,-5.901,12.383,4.2088,-3.3705,CTO,53.419998,54.16147070588235,306607604.240868
2016-09-30,0.4646,1.9873,2.9238,3.0,3.0,-1.7697,0.1325,0.1312,-0.0926,0.0,0.0,0.0,-0.0845,0.0,-0.3444,2.0873,-0.033,12210945.0,0.4716,4043639.0,8167306.0,0.0,1821827.0,-7712203.0,15879509.0,2454390.0,13442660.0,5281646.0,-15010.0,0.0,8161014.0,0.0,8161014.0,1.44,1.44,5796325.0,0.04,0.6689,1.461,1.3019,0.668,-1.746,17842510.0,15897050.0,8146004.0,63222750.0,1.0019,18632810.0,44589940.0,0.0,11148586.0,6138426.0,38451514.0,8773279.0,29017432.0,12171935.0,-87223.0,0.0,16845497.0,0.0,16845497.0,2.95,2.95,5796325.0,0.12,0.7053,0.715,0.5977,0.266,-0.3444,45177374.0,37790711.0,16758274.0,24.774,59.786,-3.678,23.3862,2.7061,0.944,0.359,6.477,-0.2435,0.028,0.0821,0.1492,0.0,346541386.0,466409924.0,0.0,1572985.0,0.0,9.7286,0.122,0.043,0.598,0.16,0.9515,10.1676,0.0,0.0,0.0,40.1928,0.0,0.041,11.0,0.1763,0.0,506927594.0,138303220.0,394320527.0,-3.757,10.907,4.3075,-2.3584,CTO,51.189999,50.702222277777786,296713870.953675
2016-06-30,0.7667,1.09,5.9916,6.0,6.0,-1.3818,0.2659,0.0607,0.1872,0.0,0.0,0.0,16.1293,0.0,0.0129,1.1649,-0.013,12873938.0,0.6921,3828511.0,9045427.0,0.0,1899126.0,4312559.0,4732868.0,2154437.0,2570923.0,1000480.0,10199.0,0.0,1570443.0,0.0,1570443.0,0.28,0.28,5829154.0,0.04,0.7026,0.507,0.367,0.122,1.372,6530919.0,4725360.0,1580642.0,59309520.0,0.582,17310497.0,41999023.0,0.0,12105719.0,14283578.0,27715445.0,8211034.0,19004123.0,8239769.0,-79803.0,0.0,10764354.0,0.0,10764354.0,1.87,1.87,5829154.0,0.08,0.7081,0.575,0.4589,0.181,-0.3391,34073489.0,27215157.0,10684551.0,23.56,63.557,3.03,26.3996,6.0576,1.1205,0.3975,2.1933,-0.6577,0.143,0.043,0.1475,0.0,370483738.0,489060262.0,0.0,1808314.0,0.0,-18.0993,0.08,0.028,0.459,0.155,1.9136,13.6938,0.0,0.0,0.0,32.7982,0.0,0.043,16.0,0.2041,0.0,503615783.0,135222195.0,383274052.0,-3.45,10.175,3.3145,-1.9764,CTO,47.470001,47.82999988888888,276709946.209154
2016-03-31,1.9126,2.5632,3.032,3.1667,3.1667,-2.5036,0.3382,0.046,0.3206,0.0,0.0,0.0,-8.4844,0.0,2.2641,3.2797,-0.0001,18354435.0,1.5114,4886387.0,13468048.0,0.0,4797457.0,7074732.0,6393316.0,2091766.0,3767319.0,2342601.0,-32153.0,0.0,1424718.0,0.0,1424718.0,0.25,0.25,5905313.0,0.0,0.7338,0.432,0.3192,0.078,-0.2149,7926452.0,5859085.0,1392565.0,54043790.0,0.4932,15970153.0,38073637.0,0.0,12081470.0,12904899.0,25168738.0,7945031.0,16805745.0,7387217.0,-90002.0,0.0,9418528.0,0.0,9418528.0,1.63,1.63,5905313.0,0.08,0.7045,0.571,0.458,0.174,-0.7206,30875301.0,24750776.0,9328526.0,23.284,66.216,-0.668,28.9229,3.8148,1.2422,0.4184,2.801,-0.8383,0.0,0.0422,0.2614,0.0,391026946.0,539298044.0,0.0,2801224.5,0.0,2.3016,0.07,0.026,0.458,0.149,2.5839,29.6031,0.0,0.0,0.0,19.2929,0.0,0.049,17.0,0.2235,0.0,479298787.0,133685334.0,362944079.0,-6.594,9.152,3.1153,-2.6002,CTO,46.139998999999996,47.64971462857144,272471135.914687
