,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.082,0.7456,0.6593,0.75,0.75,0.0204,0.0599,-0.0855,-0.1216,0.0963,0.0,0.0143,0.0232,0.0,0.0083,0.7456,0.0356,195790028.0,0.0665,136967233.0,58822795.0,0.0,28492434.0,59589557.0,-766762.0,566284.0,-1333046.0,-543191.0,0.0,0.0,-789855.0,0.0,-789855.0,-0.02,-0.02,28263436.0,0.142,0.3004,0.004,-0.0039,-0.004,0.1251,823003.0,-766762.0,-789855.0,761593164.0,0.0651,542649433.0,218943731.0,0.0,117604999.0,238148610.0,-19204879.0,1877236.0,-21082115.0,-6444112.0,0.0,0.0,-14638003.0,0.0,-14638003.0,7116099.21,-0.52,28263436.0,0.562,0.2875,-0.018,-0.0252,-0.019,0.0943,-13401239.0,-19204879.0,-14638003.0,14.849,63.642,0.867,2.2998,1.8983,0.1549,0.036,-1.354,-31.0656,-7.1,0.0036,0.1455,0.0,1798755608.0,1810103510.0,616892187.0,10264195.5,0.0,-0.0018,0.0,-0.0002,-0.0274,-0.034,-0.008,-0.025,0.433,-4.9683,5.4598,309.2287,0.0,1.2346,74.199,0.0,0.0,-21.0,0.1544,0.0,1778407148.0,435611517.0,1759196136.0,2.541,26.946,-10.2304,-0.0123,0.0,-0.0012,-0.1543,DGICA,13.61,13.962,384665363.96
2018-03-31,-0.5064,-4.9601,-4.561,-4.4737,-4.6667,-0.4305,0.0666,-0.0842,-0.1351,0.1174,0.0,0.0145,-0.4282,0.0,0.0293,-4.9601,0.0397,189328278.0,0.0579,157885451.0,31442827.0,0.0,29322638.0,59513850.0,-28071023.0,464148.0,-28535171.0,-10357093.0,0.0,0.0,-18178078.0,0.0,-18178078.0,-0.66,-0.66,28200006.0,0.14,0.1661,-0.14,-0.1483,-0.096,0.0609,-26567416.0,-28071023.0,-18178078.0,749383852.0,0.0685,534900406.0,214483446.0,0.0,117371788.0,235935074.0,-21451628.0,1693910.0,-23145538.0,-6978742.0,0.0,0.0,-16166796.0,0.0,-16166796.0,7116099.15,-0.58,28200006.0,0.56,0.2862,-0.021,-0.0286,-0.022,0.0951,-15553088.0,-21451628.0,-16166796.0,15.083,62.676,0.409,2.2695,1.4467,0.1505,0.0361,-60.4786,-0.6379,-0.212,0.0037,0.1549,0.0,1767455745.0,1790659921.0,604463531.5,11090322.5,0.0,-0.0055,0.0,-0.0003,-0.0425,-0.037,-0.009,-0.029,0.432,-4.4682,4.9798,310.7316,0.0,1.2398,67.571,0.0,0.0,-22.0,0.1566,0.0,1761345492.0,441477024.0,1733681688.0,2.528,26.574,-12.664,-0.0133,0.0,-0.0013,-0.1627,DGICA,15.8,15.649705970588233,445560094.8
2017-12-31,-0.0556,-0.9092,-1.5003,-0.769,-1.4762,0.3348,0.0707,-0.0002,-0.1351,0.0882,0.0,0.0145,0.3211,0.0,0.0408,-0.9092,0.0232,190758831.0,0.0765,132034255.0,58724576.0,0.0,27999676.0,58069982.0,654594.0,380542.0,274052.0,3052696.0,0.0,0.0,-2778644.0,0.0,-2778644.0,7116099.62,-0.1,27430850.0,0.14,0.3078,0.01,0.0034,-0.015,0.0943,1973453.0,654594.0,-2778644.0,739026537.0,0.0735,492282678.0,246743859.0,0.0,116538431.0,233035960.0,13707899.0,1593437.0,12114462.0,4998362.0,0.0,0.0,7116100.0,0.0,7116100.0,7116100.0,0.26,27430850.0,0.558,0.3339,0.027,0.0185,0.01,0.1081,19817768.0,13707899.0,7116100.0,16.357,63.116,0.656,2.3331,1.3792,0.1426,0.0368,1.7202,-6.5972,0.0,0.0038,0.1468,0.0,1731336414.0,1757502979.0,580387673.0,7900027.5,0.0,-0.0191,0.0,-0.0018,-0.2655,0.016,0.004,0.019,0.433,11.3827,5.6455,298.7545,0.0,1.2733,93.5473,0.0,0.0,38.0,0.1577,0.0,1737918948.0,446816322.0,1705970217.0,2.913,26.941,8.6027,-0.0135,0.0,-0.0015,-0.1785,DGICA,17.299999,17.534242484848484,474553677.56915
2017-09-30,0.1105,0.3006,0.4768,0.4211,0.4444,-0.0281,0.0588,-0.0162,-0.0633,0.0587,0.0,0.0145,-0.0464,0.0,0.1217,0.3006,0.0273,185716027.0,0.0594,115762494.0,69953533.0,0.0,31790251.0,60975221.0,8978312.0,466262.0,8512050.0,1403476.0,0.0,0.0,7108574.0,0.0,7108574.0,0.27,0.26,27322118.0,0.14,0.3767,0.056,0.0483,0.038,0.096,10369721.0,8978312.0,7108574.0,725463820.0,0.0747,475261165.0,250202655.0,0.0,115440338.0,229942845.0,20259810.0,1584263.0,18675547.0,3226637.0,0.0,0.0,15448910.0,0.0,15448910.0,30801136.4,0.57,27322118.0,0.555,0.3449,0.036,0.0279,0.021,0.1041,26272225.0,20259810.0,15448910.0,16.424,62.693,0.652,2.7084,1.1544,0.1649,0.043,19.2559,2.5691,0.519,0.0038,0.1712,0.0,1712903321.0,1755362182.0,570712652.5,9637869.0,0.0,-0.024,0.0,-0.0024,-0.3148,0.035,0.009,0.028,0.433,4.9455,5.8857,295.3251,0.0,1.2712,75.2722,0.0,0.0,24.0,0.1591,0.0,1715033318.0,444296126.0,1677273032.0,2.765,26.552,12.7882,-0.0113,0.0,-0.0012,-0.1437,DGICA,16.129998999999998,15.505714199999998,440705736.01788193
2017-06-30,-0.1751,-1.2421,-1.2701,-1.2424,-1.25,0.5758,0.0644,-0.0314,-0.103,0.0781,0.0,0.0145,0.5717,0.0,0.0632,-1.2421,0.0402,183580716.0,0.0809,129218206.0,54362510.0,0.0,28259223.0,57376021.0,-3013511.0,382958.0,-3396469.0,-1077821.0,0.0,0.0,-2318648.0,0.0,-2318648.0,-0.08,-0.08,27290547.0,0.14,0.2961,-0.007,-0.0164,-0.013,0.1304,-1328846.0,-3013511.0,-2318648.0,715059056.0,0.0842,471816660.0,243242396.0,0.0,111990222.0,225057942.0,18184454.0,1591918.0,16592536.0,3438796.0,0.0,0.0,13153740.0,0.0,13153740.0,30801136.32,0.49,27290547.0,0.552,0.3402,0.034,0.0254,0.018,0.1069,24377768.0,18184454.0,13153740.0,16.238,62.172,0.877,2.7116,1.0568,0.167,0.0434,-7.869,-10.3712,-1.75,0.0039,0.1539,0.0,1696697814.0,1741856886.0,567246329.0,9078863.0,0.0,-0.0045,0.0,-0.0006,-0.064,0.03,0.008,0.025,0.432,5.8485,4.6636,300.4295,0.0,1.2606,78.7609,0.0,0.0,26.0,0.1566,0.0,1692280401.0,443116776.0,1653417463.0,2.8,26.202,11.423,-0.0068,0.0,-0.0007,-0.0847,DGICA,15.9,15.874166666666667,433919697.3
2017-03-31,-0.0855,-0.5685,-0.5692,-0.587,-0.6087,0.6626,0.0635,0.0104,-0.1395,0.0827,0.0,0.0222,0.6648,0.0,0.0695,-0.5685,0.0373,178970963.0,0.0777,115267723.0,63703240.0,0.0,28489281.0,56614736.0,7088504.0,363675.0,6724829.0,1620011.0,0.0,0.0,5104818.0,0.0,5104818.0,0.19,0.18,27122403.0,0.138,0.3559,0.049,0.0396,0.029,0.1127,8803440.0,7088504.0,5104818.0,701325207.0,0.0828,446547051.0,254778156.0,0.0,110309996.0,221130617.0,33647539.0,1612842.0,32034697.0,7977655.0,0.0,0.0,24057042.0,0.0,24057042.0,30801136.73,0.89,27122403.0,0.55,0.3633,0.057,0.048,0.034,0.0965,39967272.0,33647539.0,24057042.0,16.47,61.079,0.743,2.7284,1.2409,0.1657,0.0445,19.4913,3.9883,0.726,0.004,0.1592,0.0,1656609863.0,1696953745.0,549152212.0,9736635.0,0.0,-0.0096,0.0,-0.0011,-0.1136,0.054,0.015,0.048,0.431,2.8326,6.2227,297.1534,0.0,1.2771,72.0295,0.0,0.0,16.0,0.1573,0.0,1668433777.0,442300413.0,1627659770.0,2.496,25.858,20.8623,-0.0065,0.0,-0.0006,-0.0705,DGICA,17.620001000000002,16.916111194444447,477896767.98240304
2016-12-31,0.0352,1.1286,1.7997,0.4674,1.625,-0.3012,0.0555,0.1248,-0.1395,0.0804,0.0,0.0222,-0.3049,0.0,0.0972,1.1286,-0.0451,177196114.0,0.0818,115012742.0,62183372.0,0.0,26901583.0,54976867.0,7206505.0,371368.0,6835137.0,1280971.0,0.0,0.0,5554166.0,0.0,5554166.0,30801136.02,0.21,26808154.0,0.138,0.3509,0.048,0.0407,0.031,0.0768,8427910.0,7206505.0,5554166.0,688423020.0,0.0818,427689280.0,260733740.0,0.0,108458742.0,217747686.0,42986054.0,1657647.0,41328407.0,10527270.0,0.0,0.0,30801137.0,0.0,30801137.0,30801137.0,1.16,26808154.0,0.548,0.3787,0.072,0.0624,0.045,0.0866,49573336.0,42986054.0,30801137.0,16.361,60.301,0.508,2.7604,0.9172,0.1687,0.0456,19.4053,2.4727,0.0,0.0041,0.1518,0.0,1616547673.0,1665960459.0,535198054.5,5994835.5,0.0,-0.009,0.0,-0.0007,-0.1009,0.07,0.019,0.062,0.43,1.949,2.3167,294.725,0.0,1.2863,114.836,0.0,0.0,12.0,0.1575,0.0,1646920608.0,437172157.0,1602839489.0,2.225,25.68,25.932,-0.0064,0.0,-0.0006,-0.0583,DGICA,17.48,16.61499991176471,468606531.92
2016-09-30,0.1113,-0.0398,-0.1536,-0.0952,-0.1,0.3098,0.0609,0.0593,0.4906,0.0569,0.0,0.0222,0.3107,0.0,0.1732,-0.0398,-0.0507,175311263.0,0.0971,112317989.0,62993274.0,0.0,28340135.0,56090318.0,6902956.0,473917.0,6429039.0,1615635.0,0.0,0.0,4813404.0,0.0,4813404.0,0.19,0.18,26596888.0,0.138,0.3593,0.048,0.0394,0.027,0.1066,8475264.0,6902956.0,4813404.0,675022983.0,0.0815,416401788.0,258621195.0,0.0,106074743.0,219456141.0,39165054.0,1489105.0,37675949.0,10445139.0,0.0,0.0,27230810.0,0.0,27230810.0,20990033.27,1.04,26596888.0,0.545,0.3831,0.072,0.058,0.04,0.0972,48381149.0,39165054.0,27230810.0,16.694,60.815,0.703,2.9703,1.2081,0.1779,0.0486,14.5657,3.9037,0.726,0.0041,0.1617,0.0,1617481046.0,1664350512.0,539521925.0,6471112.0,0.0,-0.0053,0.0,-0.0006,-0.0628,0.063,0.017,0.058,0.427,2.4219,4.0973,299.801,0.0,1.2512,104.3133,0.0,0.0,12.0,0.1571,0.0,1627708470.0,429615469.0,1581515333.0,2.467,25.38,26.3011,-0.0051,0.0,-0.0005,-0.0363,DGICA,16.110001,16.202499972222228,428475892.276888
2016-06-30,0.1077,0.4174,0.3279,0.375,0.3333,-0.3862,0.0532,0.0557,0.5714,0.0382,0.0,0.0222,-0.3881,0.0,0.0546,0.4174,-0.0469,169846867.0,0.0749,103948597.0,65898270.0,0.0,26578997.0,53448696.0,12449574.0,403882.0,12045692.0,3461038.0,0.0,0.0,8584654.0,0.0,8584654.0,0.33,0.32,26236449.0,0.138,0.388,0.084,0.0733,0.051,0.0897,14260658.0,12449574.0,8584654.0,659513504.0,0.075,407203717.0,252309787.0,0.0,101890174.0,212858756.0,39451031.0,1203188.0,38247843.0,10143606.0,0.0,0.0,28104237.0,0.0,28104237.0,20990033.29,1.06,26236449.0,0.542,0.3826,0.073,0.0598,0.043,0.0928,48026824.0,39451031.0,28104237.0,16.765,60.742,0.581,3.1445,1.1319,0.1876,0.0516,30.8248,1.7776,0.418,0.0041,0.1565,0.0,1593667042.0,1646470391.0,535888713.0,8440807.5,0.0,-0.0019,0.0,-0.0002,-0.0158,0.066,0.018,0.06,0.423,2.1885,4.9928,302.1394,0.0,1.2307,78.1339,0.0,0.0,12.0,0.1545,0.0,1599707200.0,429005030.0,1558213343.0,2.332,25.137,32.7888,-0.0052,0.0,-0.0005,-0.0374,DGICA,16.49,15.921111138888888,432639044.00999993
2016-03-31,0.2028,0.7577,0.7287,0.7692,0.84,0.313,0.0459,0.0385,0.4333,0.0019,0.0,0.0227,0.3017,0.0,0.1177,0.7577,-0.0355,166068776.0,0.073,96409952.0,69658824.0,0.0,26638027.0,53231805.0,16427019.0,408480.0,16018539.0,4169626.0,0.0,0.0,11848913.0,0.0,11848913.0,0.46,0.46,26147649.0,0.135,0.4195,0.111,0.0989,0.071,0.0729,18409504.0,16427019.0,11848913.0,647683591.0,0.0777,401782283.0,245901308.0,0.0,100514619.0,210116423.0,35784885.0,1189383.0,34595502.0,8610892.0,0.0,0.0,25984610.0,0.0,25984610.0,20990033.2,0.98,26147649.0,0.54,0.3797,0.067,0.0553,0.04,0.1094,43408361.0,35784885.0,25984610.0,16.3,59.559,0.463,3.289,1.2402,0.2018,0.055,40.215,1.0335,0.293,0.0042,0.1604,0.0,1557328737.0,1610901069.0,526838434.0,10123740.5,0.0,-0.0109,0.0,-0.0008,-0.0674,0.061,0.017,0.055,0.421,2.7365,4.236,297.1821,0.0,1.2294,63.9767,0.0,0.0,12.0,0.1552,0.0,1570204334.0,428324407.0,1538011898.0,2.709,24.77,30.0869,-0.0037,0.0,-0.0004,-0.0345,DGICA,14.38,14.545999999999996,376003192.62
