,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.04,0.1066,0.111,0.0769,0.0769,0.3448,0.0395,0.0322,-0.0773,0.0602,0.0,0.0,0.2883,0.0,-0.0112,0.1047,-0.0094,131407000.0,0.04,0.0,131407000.0,0.0,71211000.0,90216000.0,41191000.0,0.0,40522000.0,10159000.0,669000.0,0.0,30363000.0,0.0,30363000.0,0.14,0.14,216406013.0,0.0,1.0,0.344,0.3084,0.231,0.4393,45148000.0,40522000.0,31032000.0,436317000.0,-0.0833,0.0,436317000.0,0.0,285041000.0,346993000.0,89324000.0,0.0,86648000.0,11727000.0,2676000.0,0.0,74921000.0,0.0,74921000.0,0.35,0.35,216406013.0,0.0,1.0,0.244,0.1986,0.172,0.5753,106557000.0,86648000.0,77597000.0,8.788,57.23,0.267,5.0791,4.1052,0.578,0.0887,0.0,2.0715,0.0,0.0,0.5419,0.0,12384862000.0,12595613000.0,45831000.0,142880000.0,0.0,-0.0821,0.04,0.006,0.199,0.036,3.5059,138.8251,39.4608,0.0,9.5201,3.0537,0.0,0.0,22.0,0.6533,0.0,12669981500.0,1875407750.0,12255041000.0,1.16,2.016,0.0,-0.0444,FBP,7.65,7.847714285714289,1655505999.45
2018-03-31,0.2049,1.3952,0.3058,0.25,0.3636,0.1247,0.0261,0.0353,0.0119,0.0719,0.0,0.0,0.1149,0.0,0.0055,1.3418,-0.0054,126933000.0,0.2049,0.0,126933000.0,0.0,72280000.0,86027000.0,40906000.0,0.0,40237000.0,7758000.0,669000.0,0.0,32479000.0,0.0,32479000.0,0.15,0.15,216334736.0,0.0,1.0,0.356,0.317,0.256,0.7255,45165000.0,40237000.0,33148000.0,431267000.0,-0.0797,0.0,431267000.0,0.0,285845000.0,345846000.0,85421000.0,0.0,82745000.0,10858000.0,2676000.0,0.0,71887000.0,0.0,71887000.0,0.34,0.34,216334736.0,0.0,1.0,0.239,0.1919,0.167,0.5521,103238000.0,82745000.0,74563000.0,8.677,56.396,0.426,5.0808,3.9005,0.5856,0.0901,0.0,2.9365,0.0,0.0,0.5694,0.0,12200386000.0,12455712000.0,42614500.0,140431500.0,0.0,-0.0344,0.039,0.006,0.192,0.036,3.4295,133.4404,37.3178,0.0,10.1202,3.071,0.0,0.0,22.0,0.6628,0.0,12689184000.0,1864965500.0,12137275500.0,1.101,1.994,0.0,-0.0343,FBP,6.02,6.156470588235295,1302335110.7199998
2017-12-31,-0.0817,-0.3047,-0.0057,0.0,0.0,-0.4855,0.0284,0.0522,0.0316,0.2578,0.0,0.0,-0.4947,0.0,0.0424,-0.2909,-0.0056,111513000.0,-0.0817,0.0,111513000.0,0.0,71057000.0,85136000.0,26377000.0,0.0,25708000.0,2208000.0,669000.0,0.0,23500000.0,0.0,23500000.0,0.11,0.11,216208829.0,0.0,1.0,0.278,0.2305,0.211,0.3544,30947000.0,25708000.0,24169000.0,409684000.0,-0.1559,0.0,409684000.0,0.0,285452000.0,347701000.0,61983000.0,0.0,59307000.0,-4973000.0,2676000.0,0.0,64280000.0,0.0,64280000.0,0.3,0.3,216208829.0,0.0,1.0,0.196,0.1448,0.157,0.558,80134000.0,59307000.0,66956000.0,8.645,56.71,0.183,5.6595,3.3134,0.6547,0.0998,0.0,1.7586,0.0,0.0,0.6372,0.0,12261268000.0,12768508000.0,51312500.0,132362500.0,0.0,-0.0437,0.035,0.005,0.145,0.034,3.6709,129.9912,50.9363,0.0,7.9841,3.0952,0.0,0.0,30.0,0.6968,0.0,12713371750.0,1851443750.0,12059778500.0,1.057,1.895,0.0,-0.0313,FBP,5.1,5.014242424242425,1102665027.8999999
2017-09-30,-0.4589,-1.5742,-1.4744,-1.4545,-1.4545,0.7088,0.0081,0.0356,0.2156,0.188,0.0,0.0,0.8155,0.0,-0.0118,-1.5548,-0.0055,66464000.0,-0.4589,0.0,66464000.0,0.0,70493000.0,85614000.0,-19150000.0,0.0,-19819000.0,-8398000.0,669000.0,0.0,-11421000.0,0.0,-11421000.0,-0.05,-0.05,215991652.0,0.0,1.0,-0.221,-0.2982,-0.172,0.9277,-14703000.0,-19819000.0,-10752000.0,419605000.0,-0.1234,0.0,419605000.0,0.0,282560000.0,346801000.0,72804000.0,0.0,70574000.0,6159000.0,2230000.0,0.0,64415000.0,0.0,64415000.0,0.31,0.3,215991652.0,0.0,1.0,0.218,0.1682,0.154,0.637,91679000.0,70574000.0,66645000.0,8.583,56.362,0.285,6.5912,3.4131,0.768,0.1169,0.0,-5.5218,0.0,0.0,1.0606,0.0,12173648000.0,12860093000.0,45335000.0,126617000.0,0.0,-0.0223,0.035,0.005,0.168,0.035,4.2686,113.4018,42.8244,0.0,9.2557,3.314,0.0,0.0,26.0,0.6734,0.0,12723484000.0,1830730250.0,11975075250.0,1.237,1.943,0.0,-0.0279,FBP,5.12,5.544857142857144,1105877258.24
2017-06-30,0.0616,0.2423,0.2449,0.3,0.3,0.6748,-0.0476,0.0344,-0.1313,-0.0325,0.0,0.0,0.6061,0.0,-0.0119,0.265,0.0065,126357000.0,0.0616,0.0,126357000.0,0.0,72015000.0,89069000.0,37288000.0,0.0,36619000.0,9290000.0,669000.0,0.0,27329000.0,0.0,27329000.0,0.13,0.13,218458532.0,0.0,1.0,0.331,0.2898,0.216,0.3547,41829000.0,36619000.0,27998000.0,475962000.0,0.0163,0.0,475962000.0,0.0,283405000.0,349490000.0,126472000.0,0.0,124911000.0,25001000.0,1561000.0,0.0,99910000.0,0.0,99910000.0,0.47,0.46,218458532.0,0.0,1.0,0.308,0.2624,0.21,0.5034,146471000.0,124911000.0,101471000.0,8.514,54.536,0.205,5.4527,1.9801,0.6405,0.1,0.0,1.7114,0.0,0.0,0.5699,0.0,11913800000.0,12672423000.0,45237500.0,122926500.0,0.0,-0.0418,0.055,0.008,0.262,0.04,2.4903,91.8784,34.1187,0.0,10.5214,3.8719,0.0,0.0,15.0,0.5954,0.0,12687835000.0,1817264000.0,11950476500.0,1.097,2.179,0.0,-0.0371,FBP,5.79,5.532777777777778,1264874900.28
2017-03-31,-0.1369,-0.4221,0.0655,0.0909,0.0,0.5624,-0.0648,0.0311,-0.2078,-0.0836,0.0,0.0,0.611,0.0,-0.0382,-0.399,0.0107,105350000.0,-0.1369,0.0,105350000.0,0.0,71887000.0,87882000.0,17468000.0,0.0,16799000.0,-8073000.0,669000.0,0.0,24872000.0,0.0,24872000.0,0.12,0.11,217509055.0,0.0,1.0,0.209,0.1595,0.236,0.7841,22061000.0,16799000.0,25541000.0,468625000.0,0.148,0.0,468625000.0,0.0,284275000.0,349965000.0,118660000.0,0.0,117768000.0,23234000.0,892000.0,0.0,94534000.0,0.0,94534000.0,0.44,0.43,217509055.0,0.0,1.0,0.298,0.2513,0.202,0.4752,139773000.0,117768000.0,95426000.0,8.381,54.666,0.38,4.9938,1.9499,0.5958,0.0913,0.0,3.4096,0.0,0.0,0.6824,0.0,11890398000.0,12552463000.0,43013500.0,141218000.0,0.0,-0.026,0.053,0.008,0.251,0.039,2.4325,95.9542,32.0398,0.0,10.8948,3.3185,0.0,0.0,18.0,0.6066,0.0,12782723000.0,1798899750.0,12099202000.0,1.024,2.155,0.0,-0.0317,FBP,5.65,6.096944444444443,1228926160.75
2016-12-31,0.0583,0.9749,0.5791,0.5714,0.5714,0.2797,-0.0517,0.0428,-0.1414,-0.0666,0.0,0.0,0.2731,0.0,-0.1219,0.9869,0.0112,121434000.0,0.0583,0.0,121434000.0,0.0,68165000.0,84236000.0,37198000.0,0.0,36975000.0,13340000.0,223000.0,0.0,23635000.0,0.0,23635000.0,0.11,0.11,217419933.0,0.0,1.0,0.35,0.3045,0.195,0.644,42492000.0,36975000.0,23858000.0,485339000.0,0.1793,0.0,485339000.0,0.0,287128000.0,355080000.0,130259000.0,0.0,130036000.0,37030000.0,223000.0,0.0,93006000.0,0.0,93006000.0,0.44,0.43,217419933.0,0.0,1.0,0.314,0.2679,0.192,0.3942,152581000.0,130036000.0,93229000.0,8.216,54.836,0.36,5.4557,1.3784,0.6641,0.0995,0.0,3.3985,0.0,0.0,0.5613,0.0,11922455000.0,12808957000.0,47075000.0,139044500.0,0.0,-0.0264,0.052,0.008,0.268,0.039,2.1443,89.3588,34.183,0.0,10.3099,3.4905,0.0,0.0,16.0,0.5916,0.0,12909289250.0,1780437250.0,12305195000.0,0.88,2.232,0.0,-0.0406,FBP,6.61,6.427352941176471,1437145757.13
2016-09-30,0.0916,0.7946,0.6313,0.5714,0.5714,-0.4442,-0.0582,0.0462,-0.0642,-0.1101,0.0,0.0,-0.4607,0.0,-0.035,0.7946,0.0114,122821000.0,0.0916,0.0,122821000.0,0.0,71338000.0,88303000.0,34518000.0,0.0,34518000.0,10444000.0,0.0,0.0,24074000.0,0.0,24074000.0,0.11,0.11,217177665.0,0.0,1.0,0.326,0.281,0.196,0.2765,40089000.0,34518000.0,24074000.0,478653000.0,0.1397,0.0,478653000.0,0.0,296588000.0,366870000.0,111783000.0,0.0,111783000.0,27445000.0,0.0,0.0,84338000.0,0.0,84338000.0,0.39,0.39,217177665.0,0.0,1.0,0.283,0.2335,0.176,0.3647,135274000.0,111783000.0,84338000.0,8.288,55.601,0.156,5.3928,2.4355,0.6507,0.097,0.0,1.533,0.0,0.0,0.5808,0.0,12075253000.0,12717497000.0,44003500.0,137476500.0,0.0,-0.0798,0.048,0.007,0.234,0.038,2.1565,93.693,31.5996,0.0,10.8776,3.4817,0.0,0.0,15.0,0.6196,0.0,13007563250.0,1757410000.0,12467836000.0,0.804,2.204,0.0,-0.0402,FBP,5.2,4.784166666666667,1129323858.0
2016-06-30,1.0214,1.6712,1.6443,1.625,1.625,-0.5119,-0.0056,0.055,0.0956,-0.0838,0.0,0.0,-0.4842,0.0,-0.1191,1.6712,0.0151,119020000.0,1.0214,0.0,119020000.0,0.0,72885000.0,89544000.0,29476000.0,0.0,29476000.0,7523000.0,0.0,0.0,21953000.0,0.0,21953000.0,0.1,0.1,217047224.0,0.0,1.0,0.295,0.2477,0.184,0.2344,35131000.0,29476000.0,21953000.0,468343000.0,0.1037,0.0,468343000.0,0.0,299178000.0,371844000.0,96499000.0,0.0,96499000.0,21477000.0,0.0,0.0,75022000.0,0.0,75022000.0,0.35,0.35,217047224.0,0.0,1.0,0.259,0.206,0.16,0.4347,121107000.0,96499000.0,75022000.0,8.231,57.631,0.129,6.3175,3.8144,0.7675,0.1096,0.0,1.2721,0.0,0.0,0.6124,0.0,12508702000.0,13051975000.0,48087500.0,140284000.0,0.0,-0.0009,0.043,0.006,0.206,0.037,2.8175,98.2308,35.8373,0.0,9.7394,3.3385,0.0,0.0,12.0,0.6388,0.0,13105875000.0,1732676000.0,12654270000.0,0.938,2.158,0.0,-0.0369,FBP,3.97,4.112222222222222,861677479.2800001
2016-03-31,-0.0266,-0.1369,-0.0898,-0.0833,-0.0833,-0.2812,-0.033,0.0154,-0.0589,-0.0895,0.0,0.0,-0.3162,0.0,-0.0028,-0.1369,0.0099,122064000.0,-0.0266,0.0,122064000.0,0.0,74740000.0,92997000.0,29067000.0,0.0,29067000.0,5723000.0,0.0,0.0,23344000.0,0.0,23344000.0,0.11,0.11,215207992.0,0.0,1.0,0.286,0.2381,0.191,0.42,34869000.0,29067000.0,23344000.0,408204000.0,-0.1575,0.0,408204000.0,0.0,309032000.0,385099000.0,23105000.0,0.0,23105000.0,4110000.0,0.0,0.0,18995000.0,0.0,18995000.0,0.09,0.09,215207992.0,0.0,1.0,0.119,0.0566,0.047,0.5629,48711000.0,23105000.0,18995000.0,8.128,59.079,0.238,6.3714,4.7713,0.7839,0.1078,0.0,2.3251,0.0,0.0,0.6123,0.0,12714370000.0,13058728000.0,47096500.0,151706000.0,0.0,-0.0554,0.011,0.001,0.057,0.032,12.6694,142.3862,40.1398,0.0,8.6674,2.6908,0.0,0.0,54.0,0.7571,0.0,13129856750.0,1703117750.0,12671797750.0,1.068,1.897,0.0,-0.0453,FBP,2.92,2.729428571428571,628407336.64
