,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.0553,0.1318,0.268,0.2542,0.2373,1.07,0.0785,0.0431,-0.1703,0.0,0.0,-0.2258,1.034,0.0,0.0198,0.1318,0.0125,9469000.0,0.0553,0.0,9469000.0,0.0,5518000.0,6162000.0,3307000.0,0.0,3307000.0,539000.0,0.0,0.0,2768000.0,0.0,2768000.0,0.74,0.73,3751480.0,0.24,1.0,0.428,0.3492,0.292,0.3729,4056000.0,3307000.0,2768000.0,36038000.0,0.0628,0.0,36038000.0,0.0,22904000.0,25358000.0,10680000.0,0.0,10680000.0,831000.0,0.0,0.0,9849000.0,0.0,9849000.0,2.64,2.61,3751480.0,1.05,1.0,0.382,0.2964,0.273,0.3698,13769000.0,10680000.0,9849000.0,23.685,245.874,0.941,12.8635,4.7906,0.5431,0.0523,0.0,1.4949,0.324,0.0002,0.5827,0.0,922392000.0,952677000.0,0.0,0.0,0.0,-0.1467,0.113,0.011,0.296,0.04,1.4822,0.0,0.0,0.0,0.0,0.0,0.0,0.398,21.0,0.6356,0.0,900258750.0,87505250.0,890480250.0,3.553,9.606,0.0,-0.087,FDBC,61.990002000000004,55.92971462857141,232554252.70296
2018-03-31,0.0927,0.1402,0.2768,0.2642,0.2642,-0.2953,0.0525,0.0504,-0.1373,0.0,0.0,0.1594,-0.3106,0.0,0.092,0.1402,0.0135,9242000.0,0.0927,0.0,9242000.0,0.0,5601000.0,6208000.0,3034000.0,0.0,3034000.0,506000.0,0.0,0.0,2528000.0,0.0,2528000.0,0.67,0.67,3751480.0,0.24,1.0,0.41,0.3283,0.274,0.3456,3789000.0,3034000.0,2528000.0,35542000.0,0.0803,0.0,35542000.0,0.0,22797000.0,25247000.0,10295000.0,0.0,10295000.0,1031000.0,0.0,0.0,9264000.0,0.0,9264000.0,2.49,2.47,3751480.0,1.12,1.0,0.377,0.2897,0.261,0.3245,13398000.0,10295000.0,9264000.0,23.325,239.161,0.851,7.2894,9.6775,0.3125,0.0305,0.0,1.3481,0.358,0.0002,0.606,0.0,897208000.0,888249000.0,0.0,0.0,0.0,-0.0628,0.107,0.011,0.29,0.041,1.3449,0.0,0.0,0.0,0.0,0.0,0.0,0.45,20.0,0.6414,0.0,886724750.0,86326250.0,873697000.0,3.074,9.474,0.0,-0.0743,FDBC,49.23,49.12323523529411,184685360.39999998
2017-12-31,0.0184,-0.4742,0.1469,0.1455,0.1091,-0.5672,0.0892,0.0694,8.4023,0.0,0.0,0.0,-0.5673,0.0,0.2545,-0.4742,0.0134,8408000.0,0.0184,0.0,8408000.0,0.0,6551000.0,6953000.0,1455000.0,0.0,1455000.0,-872000.0,0.0,0.0,2327000.0,0.0,2327000.0,0.63,0.61,3729978.0,0.26,1.0,0.267,0.173,0.277,0.2664,2244000.0,1455000.0,2327000.0,34758000.0,0.0822,0.0,34758000.0,0.0,22325000.0,24836000.0,9922000.0,0.0,9922000.0,1206000.0,0.0,0.0,8716000.0,0.0,8716000.0,2.35,2.33,3729978.0,1.087,1.0,0.375,0.2855,0.251,0.3732,13035000.0,9922000.0,8716000.0,23.427,231.483,0.601,10.6451,4.2427,0.4544,0.046,0.0,1.0374,0.413,0.0002,0.7791,0.0,863428000.0,887309000.0,0.0,0.0,0.0,-0.0721,0.103,0.01,0.285,0.04,1.5933,0.0,0.0,0.0,0.0,0.0,0.0,0.463,15.0,0.6423,0.0,878427500.0,84999000.0,862514250.0,3.478,9.319,0.0,-0.0659,FDBC,41.299999,41.471515333333336,154048087.670022
2017-09-30,0.085,0.026,0.0939,0.0909,0.0909,0.0645,0.14,0.0507,2.3307,0.0,0.0,0.6062,0.0683,0.0,0.1153,0.026,0.0068,8919000.0,0.085,0.0,8919000.0,0.0,5234000.0,6035000.0,2884000.0,0.0,2884000.0,658000.0,0.0,0.0,2226000.0,0.0,2226000.0,0.6,0.6,3705816.0,0.31,1.0,0.413,0.3234,0.25,0.4892,3680000.0,2884000.0,2226000.0,34606000.0,0.1068,0.0,34606000.0,0.0,20996000.0,23372000.0,11234000.0,0.0,11234000.0,2816000.0,0.0,0.0,8418000.0,0.0,8418000.0,2.27,2.27,3705816.0,1.087,1.0,0.414,0.3246,0.243,0.4597,14340000.0,11234000.0,8418000.0,23.283,236.94,1.177,9.8828,11.3014,0.4245,0.0417,0.0,2.0836,0.517,0.0002,0.5868,0.0,878057000.0,872800000.0,0.0,0.0,0.0,-0.0593,0.101,0.01,0.325,0.041,2.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.479,15.0,0.6067,0.0,849431250.0,83311000.0,844841000.0,4.293,9.338,0.0,-0.0669,FDBC,35.029999,34.58638065714286,129814730.77418399
2017-06-30,0.1264,0.1251,0.1323,0.1195,0.1195,-0.5484,0.1309,0.0394,7.0131,0.0,0.0,0.6062,-0.5728,0.0,0.1476,0.1251,0.0068,8973000.0,0.1264,0.0,8973000.0,0.0,5411000.0,6051000.0,2922000.0,0.0,2922000.0,739000.0,0.0,0.0,2183000.0,0.0,2183000.0,0.59,0.59,3705291.0,0.31,1.0,0.411,0.3256,0.243,0.1935,3685000.0,2922000.0,2183000.0,33907000.0,0.0972,0.0,33907000.0,0.0,20455000.0,22746000.0,11161000.0,0.0,11161000.0,2934000.0,0.0,0.0,8227000.0,0.0,8227000.0,2.22,2.22,3705291.0,0.97,1.0,0.42,0.3292,0.243,0.461,14225000.0,11161000.0,8227000.0,22.707,230.821,0.469,15.6962,4.0151,0.6912,0.068,0.0,0.9157,0.525,0.0002,0.603,0.0,855259000.0,898541000.0,0.0,0.0,0.0,-0.1316,0.1,0.01,0.329,0.041,2.0383,0.0,0.0,0.0,0.0,0.0,0.0,0.437,10.0,0.6033,0.0,818726000.0,82129750.0,817880250.0,4.218,9.151,0.0,-0.0679,FDBC,29.5,29.126481666666663,109306084.5
2017-03-31,0.102,0.1635,0.164,0.1522,0.1522,2.2262,0.117,0.0435,1.4833,0.0,0.0,0.15,3.3749,0.0,0.0812,0.1635,0.0058,8458000.0,0.102,0.0,8458000.0,0.0,5129000.0,5797000.0,2661000.0,0.0,2661000.0,681000.0,0.0,0.0,1980000.0,0.0,1980000.0,0.53,0.53,3701574.0,0.207,1.0,0.405,0.3146,0.234,0.5478,3426000.0,2661000.0,1980000.0,32900000.0,0.0818,0.0,32900000.0,0.0,19759000.0,22064000.0,10836000.0,0.0,10836000.0,2864000.0,0.0,0.0,7972000.0,0.0,7972000.0,2.157,2.157,3701574.0,0.853,1.0,0.427,0.3294,0.242,0.5458,14037000.0,10836000.0,7972000.0,22.205,230.301,1.252,8.5637,7.8658,0.3857,0.0372,0.0,2.4424,0.391,0.0002,0.6064,0.0,852477000.0,855060000.0,0.0,0.0,0.0,-0.042,0.098,0.01,0.329,0.041,2.4079,0.0,0.0,0.0,0.0,0.0,0.0,0.395,7.0,0.6006,0.0,778061000.0,81194750.0,793132250.0,4.851,8.888,0.0,-0.0645,FDBC,27.466666999999998,27.237222249999988,101669900.43385799
2016-12-31,0.1146,0.1271,0.1142,0.1156,0.1,1.6294,0.0872,0.05,-0.8503,0.0,0.0,0.0526,1.9532,0.0,0.1357,0.1271,0.0057,8256000.0,0.1146,0.0,8256000.0,0.0,5222000.0,5489000.0,2767000.0,0.0,2767000.0,738000.0,0.0,0.0,2029000.0,0.0,2029000.0,0.55,0.55,3680708.0,0.26,1.0,0.43,0.3352,0.246,0.6271,3549000.0,2767000.0,2029000.0,32117000.0,0.0726,0.0,32117000.0,0.0,19374000.0,21655000.0,10462000.0,0.0,10462000.0,2769000.0,0.0,0.0,7693000.0,0.0,7693000.0,2.09,2.09,3680708.0,0.827,1.0,0.429,0.3257,0.24,0.4479,13763000.0,10462000.0,7693000.0,21.906,215.432,1.407,1.1473,7.0212,0.0524,0.0053,0.0,2.7486,0.473,0.0,0.6325,0.0,792944000.0,771324000.0,0.0,0.0,0.0,-0.0717,0.096,0.01,0.326,0.042,2.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.396,7.0,0.6032,0.0,748060000.0,80223750.0,770806250.0,3.908,8.726,0.0,-0.093,FDBC,24.066668,23.859804029411762,88582377.440944
2016-09-30,0.0465,0.0745,0.055,0.0436,0.0436,-0.2032,0.0565,0.0722,0.6307,0.0,0.0,0.0722,-0.2323,0.0,0.0204,0.0745,0.0057,8220000.0,0.0465,0.0,8220000.0,0.0,4693000.0,5409000.0,2811000.0,0.0,2811000.0,776000.0,0.0,0.0,2035000.0,0.0,2035000.0,0.55,0.55,3680708.0,0.193,1.0,0.434,0.342,0.248,0.4968,3565000.0,2811000.0,2035000.0,31268000.0,0.0431,0.0,31268000.0,0.0,18750000.0,21118000.0,10150000.0,0.0,10150000.0,2665000.0,0.0,0.0,7485000.0,0.0,7485000.0,2.03,2.037,3680708.0,0.813,1.0,0.434,0.3246,0.239,0.3505,13583000.0,10150000.0,7485000.0,22.159,209.314,1.11,2.9875,8.5418,0.1348,0.0143,0.0,2.141,0.351,0.0,0.5709,0.0,770423000.0,749979000.0,0.0,0.0,0.0,-0.0627,0.095,0.01,0.325,0.041,1.657,0.0,0.0,0.0,0.0,0.0,0.0,0.4,7.0,0.5997,0.0,741550250.0,79153750.0,754909750.0,2.978,8.495,0.0,-0.1163,FDBC,24.059998999999998,22.30666652777778,88557830.799292
2016-06-30,0.0658,0.5012,0.0831,0.0821,0.0821,-0.2576,0.0528,0.0849,-0.7882,0.0,0.0,0.0722,-0.274,0.0,0.0541,0.5012,0.0056,7966000.0,0.0658,0.0,7966000.0,0.0,4715000.0,5369000.0,2597000.0,0.0,2597000.0,669000.0,0.0,0.0,1928000.0,0.0,1928000.0,0.527,0.527,3680183.0,0.193,1.0,0.439,0.326,0.242,0.5102,3497000.0,2597000.0,1928000.0,30903000.0,0.0575,0.0,30903000.0,0.0,18656000.0,20948000.0,9955000.0,0.0,9955000.0,2576000.0,0.0,0.0,7379000.0,0.0,7379000.0,2.007,2.013,3680183.0,0.8,1.0,0.438,0.3221,0.239,0.3947,13545000.0,9955000.0,7379000.0,21.846,205.554,1.104,1.9722,7.5684,0.0903,0.0096,0.0,2.2956,0.366,0.0,0.5919,0.0,756476000.0,735881000.0,0.0,0.0,0.0,-0.0818,0.095,0.01,0.322,0.042,1.8314,0.0,0.0,0.0,0.0,0.0,0.0,0.399,5.0,0.6037,0.0,731620750.0,77672250.0,744606000.0,3.314,8.397,0.0,-0.0975,FDBC,21.333334,21.278703611111112,78510573.120122
2016-03-31,0.0649,0.0788,0.0814,0.0624,0.0773,-0.3105,0.0867,0.0592,-0.463,0.0,0.0,0.0778,-0.2987,0.0,0.0484,0.0788,0.0056,7675000.0,0.0649,0.0,7675000.0,0.0,4744000.0,5388000.0,2287000.0,0.0,2287000.0,586000.0,0.0,0.0,1701000.0,0.0,1701000.0,0.46,0.46,3680183.0,0.18,1.0,0.411,0.298,0.222,0.138,3152000.0,2287000.0,1701000.0,30411000.0,0.0598,0.0,30411000.0,0.0,18414000.0,21323000.0,9088000.0,0.0,9088000.0,1857000.0,0.0,0.0,7231000.0,0.0,7231000.0,1.967,1.973,3680183.0,0.787,1.0,0.418,0.2988,0.238,0.4515,12713000.0,9088000.0,7231000.0,21.279,207.43,0.288,3.4686,11.1655,0.163,0.0167,0.0,0.8812,0.391,0.0,0.6181,0.0,763382000.0,735056000.0,0.0,0.0,0.0,-0.2935,0.095,0.01,0.299,0.041,2.0813,0.0,0.0,0.0,0.0,0.0,0.0,0.4,10.0,0.6055,0.0,730420750.0,75998000.0,735125750.0,3.731,8.263,0.0,-0.0877,FDBC,21.133333,21.193904942857145,77774532.839939
