,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.0532,-0.1499,0.0042,0.0078,0.0078,0.1459,0.0155,-0.0142,0.2784,-0.001,0.0,0.0455,0.1461,0.0,0.0239,-0.1418,-0.0044,189945000.0,0.005,108922000.0,81023000.0,0.0,37210000.0,42837000.0,38186000.0,1213000.0,39078000.0,6650000.0,-18000.0,0.0,32428000.0,0.0,32428000.0,1.3,1.3,24809312.0,0.46,0.4266,0.212,0.2121,0.171,0.3759,40291000.0,40291000.0,32410000.0,736681000.0,0.0004,441630000.0,295051000.0,0.0,140971000.0,161682000.0,133369000.0,4851000.0,137646000.0,-54016000.0,-42000.0,0.0,191662000.0,0.0,191662000.0,7.66,7.65,24809312.0,3.3,0.4005,0.193,0.1934,0.26,0.3212,142497000.0,142497000.0,191620000.0,49.484,402.902,2.878,4.9981,0.9555,0.101,0.0124,33.216,2.3318,0.354,0.0,0.1959,0.0,9995721000.0,10096016000.0,111288500.0,1156500.0,0.0,-0.0556,0.0,-0.0222,0.0,0.149,0.019,0.193,0.074,1.2948,0.6436,55.1116,0.0,6.6196,636.9918,0.0,0.431,14.0,0.1914,0.0,10072288750.0,1289799000.0,9998230500.0,9.538,29.694,29.3748,-0.0465,0.0,-0.0157,0.0,FFG,78.75,80.34571405714284,1953733320.0
2018-03-31,-0.0113,-0.2305,-0.106,-0.1048,-0.1048,-0.058,0.0389,0.07,0.0,0.0107,0.0,0.0103,-0.0527,0.0,0.1521,-0.2133,-0.001,182175000.0,0.0014,109352000.0,72823000.0,0.0,39577000.0,45170000.0,27653000.0,1213000.0,28318000.0,4687000.0,-23000.0,0.0,23631000.0,0.0,23631000.0,0.94,0.94,24891189.0,1.96,0.3997,0.162,0.1621,0.13,0.2731,29531000.0,29531000.0,23608000.0,735733000.0,0.0097,436126000.0,299607000.0,0.0,140102000.0,159926000.0,139681000.0,4851000.0,144750000.0,-46775000.0,3000.0,0.0,191525000.0,0.0,191525000.0,7.65,7.64,24891189.0,3.28,0.4072,0.203,0.2033,0.26,0.3092,149601000.0,149601000.0,191528000.0,50.787,403.307,1.999,3.897,0.5485,0.0767,0.0097,24.3454,2.1844,2.085,0.0,0.2172,0.0,10038793000.0,10122140000.0,110080000.0,1376500.0,0.0,-0.036,0.0,-0.0102,0.0,0.148,0.019,0.203,0.074,1.2455,0.631,54.9028,0.0,6.6836,534.4955,0.0,0.429,12.0,0.1904,0.0,10022329500.0,1295581000.0,9960047250.0,9.141,29.558,30.8392,-0.0462,0.0,-0.015,0.0,FFG,69.349998,69.76911767647061,1726203907.367622
2017-12-31,-0.0309,-0.1603,3.0364,3.0185,3.0467,-0.0192,0.0523,0.1661,0.0,0.0314,0.0,0.0476,-0.0293,0.0,0.093,-0.1542,0.0023,183005000.0,-0.0064,111030000.0,71975000.0,0.0,36649000.0,41169000.0,30806000.0,1212000.0,31926000.0,-76573000.0,8000.0,0.0,108499000.0,0.0,108499000.0,4.34,4.33,24933510.0,0.44,0.3933,0.181,0.1811,0.593,0.3486,33138000.0,33138000.0,108507000.0,735478000.0,0.0125,435041000.0,300437000.0,0.0,134878000.0,153260000.0,147177000.0,4850000.0,153598000.0,-40729000.0,28000.0,0.0,194327000.0,0.0,194327000.0,7.76,7.75,24933510.0,3.26,0.4085,0.215,0.2154,0.264,0.3131,158448000.0,158448000.0,194355000.0,55.7,403.738,2.558,3.8903,2.1135,0.0698,0.0096,27.3416,0.6205,0.101,0.0,0.2003,0.0,10066613000.0,10110917000.0,110794500.0,1013000.0,0.0,-0.0525,0.0,-0.0193,0.0,0.152,0.02,0.215,0.075,1.2439,0.5777,55.8355,0.0,6.6382,726.0395,0.0,0.42,11.0,0.1834,0.0,9927585750.0,1275202500.0,9866083500.0,9.236,29.498,32.6697,-0.0473,0.0,-0.0155,0.0,FFG,69.650002,72.81818257575756,1736619021.3670201
2017-09-30,-0.0225,-0.1079,-0.097,-0.1,-0.1,-0.0084,0.0231,-0.0298,0.0,-0.0267,0.0,0.0476,0.0125,0.0,0.0679,-0.1083,0.0027,181556000.0,0.0015,112326000.0,69230000.0,0.0,27535000.0,32506000.0,36724000.0,1213000.0,38324000.0,11220000.0,-9000.0,0.0,27104000.0,0.0,27104000.0,1.08,1.08,24929498.0,0.44,0.3813,0.218,0.2178,0.149,0.2846,39537000.0,39537000.0,27095000.0,736652000.0,0.0163,433920000.0,302732000.0,0.0,131759000.0,149940000.0,152792000.0,4850000.0,159925000.0,47217000.0,23000.0,0.0,112708000.0,0.0,112708000.0,4.5,4.49,24929498.0,3.24,0.411,0.224,0.2237,0.153,0.3152,164775000.0,164775000.0,112731000.0,51.288,396.791,2.073,3.891,1.1518,0.0759,0.0098,32.5944,1.9777,0.407,0.0,0.1517,0.0,9891795000.0,9960082000.0,110818000.0,939500.0,0.0,-0.0361,0.0,-0.0107,0.0,0.092,0.012,0.224,0.076,2.1563,0.549,54.1664,0.0,6.6474,784.0894,0.0,0.72,12.0,0.1789,0.0,9807244250.0,1225055000.0,9740963750.0,9.315,29.549,33.9742,-0.0445,0.0,-0.0147,0.0,FFG,74.5,69.75999997142857,1857247601.0
2017-06-30,0.1137,0.314,0.3245,0.3299,0.3299,-0.0531,0.0296,-0.0231,0.0,0.001,0.0,0.0476,-0.0457,0.0,-0.0667,0.3295,0.0023,188997000.0,0.0425,103418000.0,85579000.0,0.0,36341000.0,41081000.0,44498000.0,1213000.0,46182000.0,13891000.0,27000.0,0.0,32291000.0,0.0,32291000.0,1.29,1.29,24918489.0,0.44,0.4528,0.251,0.2508,0.171,0.3297,47395000.0,47395000.0,32318000.0,736380000.0,0.0241,432056000.0,304324000.0,0.0,130009000.0,147073000.0,157251000.0,4850000.0,164709000.0,49088000.0,22000.0,0.0,115621000.0,0.0,115621000.0,4.62,4.61,24918489.0,3.22,0.4133,0.23,0.2303,0.157,0.3145,169559000.0,169559000.0,115643000.0,50.195,395.007,2.5,3.8927,1.7581,0.0776,0.0099,39.0725,2.0436,0.341,0.0,0.1923,0.0,9842988000.0,9896179000.0,111287500.0,846000.0,0.0,-0.0558,0.0,-0.0195,0.0,0.094,0.012,0.23,0.076,2.1059,0.5026,55.1902,0.0,6.6169,870.4255,0.0,0.697,10.0,0.1766,0.0,9742262750.0,1233977750.0,9685150500.0,9.294,29.552,34.9606,-0.0489,0.0,-0.0162,0.0,FFG,61.5,62.66388900000001,1532487073.5
2017-03-31,-0.0513,0.004,0.0188,0.0096,0.0096,0.1561,0.0462,0.0044,0.0,0.0076,0.0,-0.1983,0.1426,0.0,-0.0891,-0.0117,0.0037,181920000.0,0.0125,108267000.0,73653000.0,0.0,34353000.0,38504000.0,35149000.0,1212000.0,37166000.0,10733000.0,2000.0,0.0,26433000.0,0.0,26433000.0,1.05,1.05,24916301.0,1.94,0.4049,0.211,0.211,0.145,0.2887,38378000.0,38378000.0,26435000.0,728668000.0,0.0057,433081000.0,295587000.0,0.0,132606000.0,149365000.0,146222000.0,4850000.0,153384000.0,45674000.0,7000.0,0.0,107710000.0,0.0,107710000.0,4.3,4.29,24916301.0,3.2,0.4057,0.217,0.2172,0.148,0.3219,158234000.0,158234000.0,107717000.0,47.464,387.816,2.108,3.893,0.6732,0.082,0.01,31.665,2.0731,1.848,0.0,0.1888,0.0,9662938000.0,9743165000.0,109080500.0,1057000.0,0.0,-0.0414,0.0,-0.0125,0.0,0.087,0.011,0.217,0.076,2.295,0.7419,54.8461,0.0,6.6801,689.3737,0.0,0.744,11.0,0.182,0.0,9651196000.0,1240643000.0,9614517750.0,9.414,29.245,32.6256,-0.0511,0.0,-0.0173,0.0,FFG,65.449997,67.50694472222222,1630771825.701097
2016-12-31,-0.0842,-0.0923,-0.1302,-0.129,-0.1301,-0.158,0.0475,0.0434,-0.1339,0.022,0.0,0.05,-0.1784,0.0,-0.072,-0.1091,0.0038,184179000.0,0.0085,109909000.0,74270000.0,0.0,33530000.0,37849000.0,36421000.0,1212000.0,38253000.0,11373000.0,3000.0,0.0,26880000.0,0.0,26880000.0,1.08,1.07,24875498.0,0.42,0.4032,0.214,0.2143,0.146,0.3568,39465000.0,39465000.0,26883000.0,726414000.0,0.005,426842000.0,299572000.0,0.0,135967000.0,152933000.0,146639000.0,4850000.0,153233000.0,46010000.0,-4000.0,0.0,107223000.0,0.0,107223000.0,4.29,4.28,24875498.0,3.68,0.4124,0.218,0.2176,0.148,0.3139,158083000.0,158083000.0,107219000.0,47.766,384.561,2.642,3.8994,1.35,0.0816,0.0101,32.5619,2.5538,0.389,0.0,0.1821,0.0,9566134000.0,9629551000.0,107906000.0,718500.0,0.0,-0.0427,0.0,-0.0159,0.0,0.087,0.011,0.218,0.076,2.2364,0.4331,54.8092,0.0,6.7319,1011.0146,0.0,0.858,12.0,0.1872,0.0,9542761000.0,1238261000.0,9507751250.0,9.166,29.202,32.5944,-0.0492,0.0,-0.0162,0.0,FFG,78.150002,78.23235297058822,1944020218.450996
2016-09-30,-0.081,0.1251,0.126,0.1215,0.1321,-0.0052,0.061,0.1221,0.0,0.0373,0.0,0.05,-0.0117,0.0,-0.2872,0.1248,0.0034,181284000.0,0.033,110462000.0,70822000.0,0.0,25785000.0,29639000.0,41183000.0,1213000.0,43108000.0,13091000.0,-10000.0,0.0,30017000.0,0.0,30017000.0,1.2,1.2,24862709.0,0.42,0.3907,0.244,0.2445,0.166,0.2815,44321000.0,44321000.0,30007000.0,724859000.0,0.0133,418459000.0,306400000.0,0.0,138570000.0,155299000.0,151101000.0,4851000.0,157246000.0,45998000.0,-12000.0,0.0,111248000.0,0.0,111248000.0,4.45,4.44,24862709.0,3.66,0.4227,0.224,0.2236,0.153,0.3342,162097000.0,162097000.0,111236000.0,52.862,388.877,2.053,3.9014,2.6299,0.0738,0.01,36.5383,1.8009,0.35,0.0,0.1422,0.0,9668542000.0,9700156000.0,110298500.0,725000.0,0.0,-0.056,0.0,-0.0167,0.0,0.091,0.012,0.224,0.077,2.2713,0.3882,56.5563,0.0,6.5718,999.8055,0.0,0.822,10.0,0.1912,0.0,9439001750.0,1224817000.0,9399218750.0,9.745,29.154,33.4152,-0.0411,0.0,-0.0143,0.0,FFG,63.970001,64.4686113888889,1590467519.592709
2016-06-30,-0.104,-0.2444,-0.2469,-0.2538,-0.2481,0.6116,0.0499,0.1018,0.0,-0.0432,0.0,0.05,0.5899,0.0,0.0871,-0.2616,0.0025,181285000.0,-0.0292,104443000.0,76842000.0,0.0,38938000.0,43373000.0,33469000.0,1213000.0,34857000.0,10477000.0,12000.0,0.0,24380000.0,0.0,24380000.0,0.97,0.97,24862284.0,0.42,0.4239,0.199,0.199,0.134,0.3601,36070000.0,36070000.0,24392000.0,719069000.0,0.0081,406426000.0,312643000.0,0.0,148961000.0,166113000.0,146530000.0,4851000.0,152317000.0,44427000.0,-21000.0,0.0,107890000.0,0.0,107890000.0,4.32,4.3,24862284.0,3.64,0.4348,0.219,0.2186,0.15,0.3378,157168000.0,157168000.0,107869000.0,51.381,384.537,2.626,3.9015,5.0496,0.0759,0.0101,29.7362,2.8586,0.433,0.0,0.2148,0.0,9560457000.0,9531912000.0,113742000.0,515000.0,0.0,-0.0632,0.0,-0.0243,0.0,0.091,0.012,0.219,0.078,2.3446,0.3442,56.4604,0.0,6.3219,1396.2505,0.0,0.843,10.0,0.2072,0.0,9308252500.0,1188064750.0,9260282250.0,9.769,28.922,32.3991,-0.0398,0.0,-0.014,0.0,FFG,60.669998,60.894722194444434,1508394720.555432
2016-03-31,0.0568,0.0864,0.0998,0.0947,0.1064,0.035,0.0038,-0.0633,0.0,-0.0162,0.0,5.05,0.0854,0.0,0.0611,0.0649,0.0027,179666000.0,0.0097,102028000.0,77638000.0,0.0,37714000.0,42072000.0,35566000.0,1212000.0,37015000.0,11069000.0,-9000.0,0.0,25946000.0,0.0,25946000.0,1.04,1.04,24824252.0,2.42,0.4321,0.213,0.2128,0.144,0.2559,38227000.0,38227000.0,25937000.0,724529000.0,0.0316,402966000.0,321563000.0,0.0,145841000.0,163176000.0,158387000.0,4850000.0,163985000.0,48103000.0,-42000.0,0.0,115882000.0,0.0,115882000.0,4.65,4.62,24824252.0,3.62,0.4438,0.233,0.233,0.16,0.3018,168835000.0,168835000.0,115840000.0,47.257,372.05,1.852,3.9075,0.9445,0.0827,0.0105,31.5404,1.8268,2.327,0.0,0.2099,0.0,9235872000.0,9309425000.0,109563500.0,453500.0,0.0,-0.0301,0.0,-0.0079,0.0,0.1,0.013,0.233,0.079,1.9547,0.3189,54.7448,0.0,6.6129,1597.6384,0.0,0.778,10.0,0.2013,0.0,9213011000.0,1157818750.0,9146650250.0,8.808,29.186,34.8113,-0.0347,0.0,-0.0108,0.0,FFG,61.52,58.823999857142866,1527187983.04
