,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.0053,-0.0558,0.0941,0.0909,0.0909,0.2865,0.029,0.0176,-0.1228,0.128,0.0,0.1111,0.3813,0.0,0.0147,-0.0558,-0.01,45808000.0,0.0053,0.0,45808000.0,0.0,21632000.0,27396000.0,18412000.0,0.0,18412000.0,4489000.0,0.0,0.0,13923000.0,0.0,13923000.0,0.48,0.48,28522021.0,0.2,1.0,0.434,0.4019,0.304,0.45,19867000.0,18412000.0,13923000.0,172429000.0,-0.1111,0.0,172429000.0,0.0,87367000.0,110535000.0,61894000.0,0.0,61894000.0,20423000.0,0.0,0.0,41471000.0,0.0,41471000.0,1.42,1.42,28522021.0,0.76,1.0,0.39,0.359,0.241,0.4512,67250000.0,61894000.0,41471000.0,18.864,226.193,0.723,43.8515,1.5008,2.3246,0.1934,0.0,1.5379,0.417,0.0025,0.4722,0.0,6451489000.0,7659416000.0,22811500.0,0.0,0.0,-0.0373,0.0268,-0.0174,-0.5491,0.077,0.007,0.359,0.027,2.1109,0.0,51.193,0.0,7.5589,0.0,0.0,0.535,30.0,0.5067,0.0,7534558000.0,536392000.0,6377760750.0,2.727,6.045,0.0,-0.1114,0.0376,-0.0565,-1.8202,FFIC,26.1,26.879428628571436,744424748.1
2018-03-31,-0.0302,-0.18,-0.0692,-0.0714,-0.0714,-0.0469,0.0403,0.0251,-0.0413,0.0959,0.0,0.1111,-0.1291,0.0,0.0798,-0.18,-0.0061,45656000.0,-0.0302,0.0,45656000.0,0.0,24618000.0,31294000.0,14362000.0,0.0,14362000.0,2950000.0,0.0,0.0,11412000.0,0.0,11412000.0,0.39,0.39,28634739.0,0.2,1.0,0.345,0.3146,0.25,0.294,15751000.0,14362000.0,11412000.0,172186000.0,-0.2449,0.0,172186000.0,0.0,87053000.0,109204000.0,62982000.0,0.0,62982000.0,22709000.0,0.0,0.0,40273000.0,0.0,40273000.0,1.38,1.38,28634739.0,0.74,1.0,0.395,0.3658,0.234,0.4188,68038000.0,62982000.0,40273000.0,18.694,225.832,0.469,41.1074,3.2114,2.1989,0.1816,0.0,1.3396,0.513,0.0025,0.5392,0.0,6466644000.0,7551786000.0,21590000.0,0.0,0.0,-0.1221,0.0756,-0.0409,-1.3441,0.075,0.006,0.366,0.027,2.0553,0.0,47.8609,0.0,7.9753,0.0,0.0,0.536,32.0,0.5056,0.0,7531291250.0,535403750.0,6332165750.0,2.518,6.013,0.0,-0.1289,0.0369,-0.062,-2.1106,FFIC,26.959999,27.520000058823534,771992534.805261
2017-12-31,-0.3158,-0.3907,-0.583,-0.5918,-0.5918,5.1006,0.0397,0.0293,0.034,0.0582,0.0,0.0588,0.5087,0.0,-0.0519,-0.555,0.007,39529000.0,-0.3158,0.0,39529000.0,0.0,20193000.0,25879000.0,13650000.0,0.0,13650000.0,7693000.0,0.0,0.0,5957000.0,0.0,5957000.0,0.2,0.2,28819891.0,0.18,1.0,0.379,0.3453,0.151,0.6658,14989000.0,13650000.0,5957000.0,173608000.0,-0.2271,0.0,173608000.0,0.0,85234000.0,107474000.0,66134000.0,0.0,66134000.0,25013000.0,0.0,0.0,41121000.0,0.0,41121000.0,1.41,1.41,28819891.0,0.72,1.0,0.409,0.3809,0.237,0.4268,70966000.0,66134000.0,41121000.0,18.481,218.014,0.913,45.4427,1.7886,2.4589,0.2079,0.0,5.1083,0.9,0.0026,0.5108,0.0,6283147000.0,7541254000.0,20816500.0,0.0,0.0,-0.1352,0.0227,-0.1041,-3.0717,0.077,0.007,0.381,0.028,2.0312,0.0,45.0027,0.0,8.3399,0.0,0.0,0.511,29.0,0.491,0.0,7491343500.0,532927500.0,6269344250.0,2.571,6.024,0.0,-0.1129,0.0345,-0.0543,-1.9524,FFIC,27.5,27.78969687878788,792547002.5
2017-09-30,-0.0489,-0.1052,-0.0428,-0.0541,-0.0541,2.4744,0.0437,0.0464,-0.1175,0.0627,0.0,0.0588,4.4918,0.0,0.0441,-0.1052,0.006,41436000.0,-0.0489,0.0,41436000.0,0.0,20924000.0,25966000.0,15470000.0,0.0,15470000.0,5291000.0,0.0,0.0,10179000.0,0.0,10179000.0,0.35,0.35,28803937.0,0.18,1.0,0.402,0.3733,0.246,0.4209,16643000.0,15470000.0,10179000.0,191856000.0,-0.0765,0.0,191856000.0,0.0,86340000.0,108696000.0,83160000.0,0.0,74886000.0,25436000.0,0.0,0.0,49450000.0,0.0,49450000.0,1.7,1.7,28803937.0,0.71,1.0,0.415,0.3903,0.258,0.3399,79566000.0,74886000.0,49450000.0,18.734,216.819,0.606,41.6846,2.0886,2.2251,0.1918,0.0,2.0053,0.514,0.0026,0.505,0.0,6245255000.0,7385776000.0,20454500.0,0.0,0.0,-0.1455,0.0218,-0.0717,-2.532,0.094,0.008,0.39,0.031,1.1746,0.0,40.0964,0.0,9.3796,0.0,0.0,0.418,30.0,0.45,0.0,7424296500.0,528238750.0,6209147500.0,2.264,6.661,0.0,0.1228,0.0342,0.0372,1.5246,FFIC,29.719998999999998,27.562285657142862,856052978.8360629
2017-06-30,-0.4276,-0.6188,-0.5819,-0.581,-0.581,0.1144,0.0499,0.0553,-0.0131,0.0514,0.0,0.0588,-0.6913,0.0,0.0907,-0.6337,-0.0055,45565000.0,-0.4276,0.0,45565000.0,0.0,21318000.0,26065000.0,19500000.0,0.0,19500000.0,6775000.0,0.0,0.0,12725000.0,0.0,12725000.0,0.44,0.44,28811160.0,0.18,1.0,0.453,0.428,0.279,0.3275,20655000.0,19500000.0,12725000.0,193986000.0,-0.0563,0.0,193986000.0,0.0,85456000.0,109007000.0,84979000.0,0.0,76705000.0,26800000.0,0.0,0.0,49905000.0,0.0,49905000.0,1.72,1.72,28811160.0,0.7,1.0,0.42,0.3954,0.257,0.2627,81381000.0,76705000.0,49905000.0,18.538,217.593,0.518,49.487,1.6847,2.6695,0.2268,0.0,1.308,0.409,0.0026,0.4679,0.0,6269109000.0,7646349000.0,20914500.0,0.0,0.0,-0.1034,0.0243,-0.0378,-1.49,0.096,0.008,0.395,0.032,0.8726,0.0,40.3392,0.0,9.2752,0.0,0.0,0.407,26.0,0.4405,0.0,7401793250.0,521491750.0,6143615750.0,1.769,6.733,0.0,0.1701,0.0315,0.0382,1.5838,FFIC,28.190001000000002,28.313055583333334,812186629.2111601
2017-03-31,0.078,0.1541,0.2823,0.2727,0.2727,-0.0335,0.072,0.0836,0.0311,0.0637,0.0,0.0588,-0.0402,0.0,0.0424,0.1541,-0.006,47078000.0,0.078,0.0,47078000.0,0.0,22799000.0,29564000.0,17514000.0,0.0,17514000.0,5254000.0,0.0,0.0,12260000.0,0.0,12260000.0,0.42,0.42,28810855.0,0.18,1.0,0.397,0.372,0.26,0.3273,18679000.0,17514000.0,12260000.0,228027000.0,0.3064,0.0,228027000.0,0.0,83684000.0,109314000.0,118713000.0,0.0,108357000.0,40742000.0,0.0,0.0,67615000.0,0.0,67615000.0,2.33,2.33,28810855.0,0.69,1.0,0.495,0.4752,0.297,0.37,112940000.0,108357000.0,67615000.0,18.236,215.73,0.535,42.6177,1.7776,2.337,0.197,0.0,1.3083,0.429,0.0026,0.4843,0.0,6215358000.0,7391995000.0,19985500.0,0.0,0.0,-0.0393,0.0655,-0.0134,-0.5408,0.131,0.011,0.475,0.038,0.6188,0.0,32.9774,0.0,11.4096,0.0,0.0,0.296,19.0,0.367,0.0,7331502500.0,515189750.0,6068988500.0,2.929,7.915,0.0,1.0167,0.0244,0.1866,9.2819,FFIC,26.870001000000002,27.54722213888889,774147702.660855
2016-12-31,0.4127,0.3121,0.228,0.1951,0.1951,-0.5147,0.062,0.0942,-0.004,0.0682,0.0,0.0625,0.9123,0.0,0.1754,0.7968,-0.0073,57777000.0,0.4127,0.0,57777000.0,0.0,21299000.0,27101000.0,30676000.0,0.0,22402000.0,8116000.0,0.0,0.0,14286000.0,0.0,14286000.0,0.49,0.49,28618493.0,0.17,1.0,0.408,0.3877,0.247,0.3019,23589000.0,22402000.0,14286000.0,224622000.0,0.3128,0.0,224622000.0,0.0,82757000.0,108247000.0,116375000.0,0.0,106019000.0,41103000.0,0.0,0.0,64916000.0,0.0,64916000.0,2.24,2.24,28618493.0,0.68,1.0,0.492,0.472,0.289,0.3785,110469000.0,106019000.0,64916000.0,17.955,211.135,0.61,44.2568,1.2529,2.4648,0.2091,0.0,0.3492,0.347,0.0027,0.3686,0.0,6042360000.0,7273066000.0,19582500.0,0.0,0.0,2.4972,0.0255,0.2156,10.4937,0.128,0.011,0.472,0.038,0.6531,0.0,32.8695,0.0,11.4705,0.0,0.0,0.304,20.0,0.3684,0.0,7217581750.0,505784000.0,5964384000.0,2.971,7.849,0.0,1.0055,0.023,0.1898,9.5796,FFIC,29.389999,27.679705676470586,841097480.651507
2016-09-30,0.0529,-0.0215,-0.034,-0.0263,-0.0263,-0.4622,0.0904,0.0991,0.1002,0.0799,0.0,0.0625,-0.6404,0.0,0.1026,-0.0215,-0.0101,43566000.0,0.0529,0.0,43566000.0,0.0,20040000.0,26277000.0,17289000.0,0.0,17289000.0,6655000.0,0.0,0.0,10634000.0,0.0,10634000.0,0.37,0.37,28631468.0,0.17,1.0,0.424,0.3968,0.244,0.0729,18458000.0,17289000.0,10634000.0,207742000.0,0.1863,0.0,207742000.0,0.0,79579000.0,104970000.0,102772000.0,0.0,100690000.0,38426000.0,0.0,0.0,62264000.0,0.0,62264000.0,2.16,2.16,28631468.0,0.67,1.0,0.505,0.4847,0.3,0.3692,105004000.0,100690000.0,62264000.0,17.904,208.97,0.111,47.5182,1.6723,2.654,0.2268,0.0,0.5525,0.459,0.0027,0.46,0.0,5983128000.0,7295763000.0,19099000.0,0.0,0.0,-0.4594,0.0103,-0.062,-2.3088,0.126,0.011,0.485,0.035,0.7659,0.0,34.8463,0.0,10.8771,0.0,0.0,0.31,21.0,0.3831,0.0,7128770250.0,495587500.0,5875920750.0,2.679,7.256,0.0,0.6085,0.0203,0.1397,6.7262,FFIC,23.719998999999998,22.922777972222224,679138392.328532
2016-06-30,0.6379,1.1003,1.0517,1.0588,1.0588,0.3683,0.1169,0.1179,0.2952,0.134,0.0,0.0625,0.6956,0.0,0.0673,1.1858,-0.0149,79606000.0,0.6379,0.0,79606000.0,0.0,19546000.0,26372000.0,53234000.0,0.0,51152000.0,20717000.0,0.0,0.0,30435000.0,0.0,30435000.0,1.05,1.05,28969566.0,0.17,1.0,0.656,0.6426,0.382,0.6073,52214000.0,51152000.0,30435000.0,205553000.0,0.1852,0.0,205553000.0,0.0,77715000.0,102401000.0,103152000.0,0.0,101070000.0,38432000.0,0.0,0.0,62638000.0,0.0,62638000.0,2.17,2.17,28969566.0,0.66,1.0,0.512,0.4917,0.305,0.4007,105208000.0,101070000.0,62638000.0,17.566,206.099,1.669,49.8713,1.7316,2.8391,0.2413,0.0,0.4908,0.162,0.0027,0.2455,0.0,5970600000.0,7365186000.0,19185000.0,0.0,0.0,2.237,0.0071,0.4197,31.4614,0.129,0.011,0.492,0.036,0.8419,0.0,36.2065,0.0,10.7143,0.0,0.0,0.304,17.0,0.3781,0.0,6976842250.0,485229750.0,5751625750.0,2.843,7.095,0.0,0.5618,0.0207,0.1441,7.159,FFIC,19.879998999999998,20.292222250000002,575914943.1104339
2016-03-31,0.0859,0.0628,0.0948,0.1,0.1,0.3159,0.1029,0.0654,0.0489,0.122,0.0,0.0625,1.1747,0.0,0.081,0.0628,-0.0173,43673000.0,0.0859,0.0,43673000.0,0.0,21872000.0,28497000.0,15176000.0,0.0,15176000.0,5615000.0,0.0,0.0,9561000.0,0.0,9561000.0,0.33,0.33,28984725.0,0.17,1.0,0.371,0.3475,0.219,0.3676,16208000.0,15176000.0,9561000.0,174550000.0,0.0595,0.0,174550000.0,0.0,76483000.0,100277000.0,74273000.0,0.0,74273000.0,27236000.0,0.0,0.0,47037000.0,0.0,47037000.0,1.63,1.63,28984725.0,0.65,1.0,0.448,0.4255,0.269,0.3582,78216000.0,74273000.0,47037000.0,16.829,200.0,0.554,41.0833,1.7739,2.4412,0.2048,0.0,1.7358,0.515,0.0028,0.5008,0.0,5796940000.0,6936312000.0,18316000.0,0.0,0.0,-0.0325,0.0615,-0.0124,-0.5233,0.099,0.008,0.426,0.031,1.0357,0.0,40.5023,0.0,9.5299,0.0,0.0,0.399,25.0,0.4382,0.0,6741214000.0,473543000.0,5594935000.0,2.157,6.022,0.0,0.2835,0.0258,0.0791,3.5022,FFIC,21.620001000000002,21.098000028571434,626649783.4847251
