,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.4108,-1.3769,-1.2154,-1.2222,-1.2222,-0.1771,0.2778,0.0203,0.0741,0.0,0.0,0.2,-0.1075,0.0,0.5167,-1.3769,0.0059,9426079.0,0.4108,0.0,9426079.0,0.0,5738416.0,10222637.0,-796558.0,0.0,-796558.0,-453574.0,0.0,0.0,-342984.0,0.0,-342984.0,-0.08,-0.08,4447257.0,0.12,1.0,-0.026,-0.0845,-0.036,0.1725,-246916.0,-796558.0,-342984.0,30849304.0,0.1936,0.0,30849304.0,0.0,18385104.0,25726614.0,5122690.0,0.0,4535262.0,1386651.0,0.0,0.0,3148611.0,0.0,3148611.0,0.72,0.7,4447257.0,0.34,1.0,0.198,0.147,0.102,0.2754,6106289.0,4535262.0,3148611.0,16.92,214.65,0.366,26.4805,6.8261,1.565,0.1226,0.0,-6.5561,-1.5,0.0062,0.6088,0.0,954603703.0,1042012018.0,0.0,0.0,0.0,-0.2768,0.0171,-0.066,-1.1323,0.042,0.004,0.147,0.037,3.3239,0.0,0.0,0.0,0.0,0.0,0.0,0.472,36.0,0.596,0.0,904936374.0,75157191.0,830335666.0,1.91,6.937,0.0,-0.1883,0.018,-0.0639,-1.2542,GFED,24.450001,23.70485714285714,108735438.097257
2018-03-31,0.1217,-0.1466,-0.0514,-0.0606,-0.0625,0.3439,0.1023,0.0562,-0.1066,0.0,0.0,0.2,-0.3916,0.0,0.1817,-0.1466,0.0042,7125291.0,0.1217,0.0,7125291.0,0.0,4377613.0,5475855.0,1649436.0,0.0,1649436.0,293691.0,0.0,0.0,1355745.0,0.0,1355745.0,0.31,0.3,4439757.0,0.12,1.0,0.278,0.2315,0.19,0.1315,1980766.0,1649436.0,1355745.0,28104484.0,0.1176,0.0,28104484.0,0.0,16430176.0,20071893.0,8032591.0,0.0,7445163.0,2360995.0,0.0,0.0,5084168.0,0.0,5084168.0,1.16,1.14,4439757.0,0.32,1.0,0.31,0.2649,0.181,0.3092,8701949.0,7445163.0,5084168.0,17.081,181.772,0.211,21.7008,9.0171,1.2705,0.1194,0.0,1.9245,0.387,0.0,0.6144,0.0,807025285.0,863337915.0,0.0,0.0,0.0,-0.641,0.0173,-0.2347,-5.0474,0.068,0.007,0.265,0.036,2.1536,0.0,0.0,0.0,0.0,0.0,0.0,0.276,24.0,0.5846,0.0,857086304.0,74675929.0,778135703.0,1.958,6.33,0.0,-0.2062,0.0161,-0.0804,-1.7969,GFED,23.5,22.752941088235303,104334289.5
2017-12-31,0.1136,-0.2522,-0.7246,-0.7143,-0.7429,1.1234,0.1548,0.0728,-0.0127,0.0,0.0,-0.4444,1.919,0.0,0.1767,-0.0356,-0.0023,7125068.0,0.1136,0.0,7125068.0,0.0,4224939.0,5163147.0,1961921.0,0.0,1521350.0,1102883.0,0.0,0.0,418467.0,0.0,418467.0,0.1,0.09,4421775.0,0.1,1.0,0.265,0.2135,0.059,0.5914,1885519.0,1521350.0,418467.0,27331499.0,0.1062,0.0,27331499.0,0.0,15757129.0,19015658.0,8315841.0,0.0,7728413.0,2570749.0,0.0,0.0,5157664.0,0.0,5157664.0,1.18,1.16,4421775.0,0.3,1.0,0.325,0.2828,0.189,0.3401,8884055.0,7728413.0,5157664.0,16.937,179.67,0.953,24.8645,8.4597,1.4681,0.1384,0.0,8.5259,1.0,0.0,0.593,0.0,794459520.0,866997859.0,0.0,0.0,0.0,0.1811,0.019,0.0907,1.774,0.07,0.007,0.283,0.036,1.9935,0.0,0.0,0.0,0.0,0.0,0.0,0.254,24.0,0.5765,0.0,849115173.0,73592010.0,759407758.0,2.102,6.181,0.0,-0.096,0.0171,-0.0361,-0.8546,GFED,22.450001,21.863333606060603,99268853.171775
2017-09-30,0.1184,0.0311,0.1138,0.1143,0.1143,-0.2861,0.1173,0.0526,0.0903,0.0,0.0,0.0,-0.3384,0.0,0.1508,0.1011,-0.0023,7172866.0,0.1184,0.0,7172866.0,0.0,4044136.0,4864975.0,2307891.0,0.0,2161034.0,443651.0,0.0,0.0,1717383.0,0.0,1717383.0,0.39,0.39,4421775.0,0.0,1.0,0.347,0.3013,0.239,0.2396,2486920.0,2161034.0,1717383.0,26604928.0,0.0967,0.0,26604928.0,0.0,15122576.0,18216680.0,8388248.0,0.0,8241391.0,1982847.0,0.0,0.0,6258544.0,0.0,6258544.0,1.43,1.42,4421775.0,0.38,1.0,0.348,0.3098,0.235,0.2452,9262861.0,8241391.0,6258544.0,16.883,171.727,0.389,22.3395,2.4246,1.3232,0.1301,0.0,1.188,0.0,0.0,0.5638,0.0,759338802.0,847397705.0,0.0,0.0,0.0,-0.1577,0.019,-0.0448,-0.9871,0.086,0.009,0.31,0.036,1.3412,0.0,0.0,0.0,0.0,0.0,0.0,0.266,23.0,0.5684,0.0,829927918.0,72362731.0,732787832.0,1.475,6.017,0.0,-0.2228,0.0154,-0.0703,-1.8309,GFED,21.4,21.929428599999994,94625985.0
2017-06-30,0.1169,0.2635,0.2678,0.2414,0.2857,0.9567,0.1056,0.0498,0.1632,0.0,0.0,0.25,1.0212,0.0,0.0867,0.2635,-0.0025,6681259.0,0.1169,0.0,6681259.0,0.0,3783488.0,4567916.0,2113343.0,0.0,2113343.0,520770.0,0.0,0.0,1592573.0,0.0,1592573.0,0.36,0.36,4421275.0,0.1,1.0,0.352,0.3163,0.238,0.2727,2348744.0,2113343.0,1592573.0,25845685.0,0.0797,0.0,25845685.0,0.0,14592614.0,17669412.0,8176273.0,0.0,8176273.0,2093205.0,0.0,0.0,6083068.0,0.0,6083068.0,1.39,1.38,4421275.0,0.38,1.0,0.352,0.3163,0.235,0.2864,9085149.0,8176273.0,6083068.0,16.584,170.023,0.412,24.7982,2.4308,1.4953,0.1459,0.0,1.7157,0.278,0.0,0.5663,0.0,751719206.0,850611737.0,0.0,0.0,0.0,-0.3332,0.0087,-0.1362,-3.867,0.085,0.009,0.316,0.036,1.5143,0.0,0.0,0.0,0.0,0.0,0.0,0.273,23.0,0.5646,0.0,807892498.0,71470377.0,712854447.0,1.674,5.846,0.0,-0.1964,0.0137,-0.07,-1.9901,GFED,20.23,20.030555611111115,89442393.25
2017-03-31,0.0742,0.0713,0.1196,0.1379,0.1034,-0.2341,0.1159,0.0536,0.5904,0.0,0.0,0.25,-0.345,0.0,0.1085,0.0713,-0.0023,6352306.0,0.0742,0.0,6352306.0,0.0,3704566.0,4419620.0,1932686.0,0.0,1932686.0,503445.0,0.0,0.0,1429241.0,0.0,1429241.0,0.33,0.32,4421275.0,0.1,1.0,0.34,0.3042,0.225,0.2424,2162872.0,1932686.0,1429241.0,25146371.0,0.0164,0.0,25146371.0,0.0,14290901.0,17410890.0,7735481.0,0.0,7735481.0,1988834.0,0.0,0.0,5746647.0,0.0,5746647.0,1.32,1.3,4421275.0,0.36,1.0,0.342,0.3076,0.229,0.2578,8606825.0,7735481.0,5746647.0,16.172,165.589,0.348,24.3916,1.923,1.5083,0.1473,0.0,1.3584,0.303,0.0,0.5832,0.0,732113502.0,831453392.0,0.0,0.0,0.0,-0.2069,0.0215,-0.0632,-1.7448,0.081,0.008,0.308,0.036,1.3705,0.0,0.0,0.0,0.0,0.0,0.0,0.273,24.0,0.5683,0.0,786331052.0,70643706.0,694901648.0,1.466,5.688,0.0,-0.1769,0.0168,-0.0554,-1.5991,GFED,19.059998999999998,20.229444305555553,84269497.078725
2016-12-31,0.0754,0.0245,0.062,0.0606,0.0938,3.09,0.0538,0.0328,0.6435,0.0,0.0,0.3846,4.2964,0.0,0.1206,0.0245,0.02,6398497.0,0.0754,0.0,6398497.0,0.0,3590386.0,4364169.0,2034328.0,0.0,2034328.0,514981.0,0.0,0.0,1519347.0,0.0,1519347.0,0.35,0.35,4432027.0,0.18,1.0,0.354,0.3179,0.237,0.2256,2264325.0,2034328.0,1519347.0,24707521.0,-0.0032,0.0,24707521.0,0.0,13928348.0,17100746.0,7606775.0,0.0,7606775.0,2012764.0,0.0,0.0,5594011.0,0.0,5594011.0,1.28,1.27,4432027.0,0.34,1.0,0.342,0.3079,0.226,0.2952,8451996.0,7606775.0,5594011.0,15.788,155.229,0.326,25.1256,2.0506,1.5914,0.1619,0.0,1.1059,0.514,0.0,0.5611,0.0,687979819.0,790248838.0,0.0,0.0,0.0,-0.1408,0.0125,-0.037,-1.0289,0.08,0.008,0.308,0.037,1.514,0.0,0.0,0.0,0.0,0.0,0.0,0.266,23.0,0.5637,0.0,755032891.0,69773527.0,675891437.0,1.646,5.575,0.0,-0.1388,0.0151,-0.0476,-1.3912,GFED,21.18,18.299117941176473,93870331.86
2016-09-30,0.0527,0.0272,0.0869,0.0606,0.0938,-0.3221,0.0541,0.0682,0.2504,0.0,0.0,-1.0,-0.3565,0.0,0.0688,0.0272,0.0119,6413623.0,0.0527,0.0,6413623.0,0.0,3514174.0,4317707.0,2095916.0,0.0,2095916.0,554009.0,0.0,0.0,1541907.0,0.0,1541907.0,0.35,0.35,4432027.0,0.0,1.0,0.36,0.3268,0.24,0.405,2309208.0,2095916.0,1541907.0,24258705.0,-0.0205,0.0,24258705.0,0.0,13541953.0,16700636.0,7558069.0,0.0,7558069.0,2052766.0,0.0,0.0,5505303.0,0.0,5505303.0,1.26,1.24,4432027.0,0.24,1.0,0.347,0.3116,0.227,0.2524,8413086.0,7558069.0,5505303.0,16.039,153.34,0.586,20.442,2.4704,1.2745,0.1333,0.0,1.8533,0.0,0.0,0.5479,0.0,679605259.0,759256025.0,0.0,0.0,0.0,-0.091,0.0126,-0.0406,-1.2197,0.08,0.008,0.312,0.036,1.3078,0.0,0.0,0.0,0.0,0.0,0.0,0.19,21.0,0.5582,0.0,732924808.0,68885549.0,667105250.0,1.381,5.474,0.0,-0.1496,0.014,-0.0444,-1.2601,GFED,16.15,16.325277833333335,71577236.05
2016-06-30,-0.1185,-0.2514,-0.1832,-0.1714,-0.2,0.1641,0.0418,0.0807,0.3871,0.0,0.0,0.6,-0.0458,0.0,0.0602,-0.3801,0.0129,5981945.0,-0.1185,0.0,5981945.0,0.0,3481775.0,4309394.0,1672551.0,0.0,1672551.0,416399.0,0.0,0.0,1256152.0,0.0,1256152.0,0.29,0.28,4432220.0,0.08,1.0,0.313,0.2796,0.21,0.1507,1870420.0,1672551.0,1256152.0,23937472.0,-0.0088,0.0,23937472.0,0.0,13315717.0,16434932.0,7502540.0,0.0,7502540.0,2120508.0,0.0,0.0,5382032.0,0.0,5382032.0,1.24,1.21,4432220.0,0.29,1.0,0.35,0.3134,0.225,0.3159,8372070.0,7502540.0,5382032.0,15.797,153.401,0.203,21.2663,2.2108,1.3462,0.1386,0.0,1.1117,0.276,0.0,0.582,0.0,679908010.0,764365952.0,0.0,0.0,0.0,-0.3544,0.0211,-0.0827,-2.5012,0.08,0.008,0.313,0.036,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.234,16.0,0.5563,0.0,720057006.0,67555207.0,658390981.0,1.706,5.401,0.0,-0.1164,0.0126,-0.0416,-1.1454,GFED,15.97,15.944999861111107,70782553.4
2016-03-31,-0.0139,-0.0594,-0.0398,-0.0645,-0.0333,0.2591,-0.0185,0.0604,-0.1313,0.0,0.0,0.0,0.3597,0.0,0.0283,-0.0594,0.0127,5913456.0,-0.0139,0.0,5913456.0,0.0,3342013.0,4109476.0,1803980.0,0.0,1803980.0,527375.0,0.0,0.0,1276605.0,0.0,1276605.0,0.29,0.29,4431470.0,0.08,1.0,0.34,0.3051,0.216,0.3976,2008043.0,1803980.0,1276605.0,24741414.0,0.0814,0.0,24741414.0,0.0,13118114.0,16213326.0,8528088.0,0.0,8064096.0,2400267.0,0.0,0.0,5663829.0,0.0,5663829.0,1.3,1.28,4431470.0,0.26,1.0,0.362,0.3259,0.229,0.3074,8968112.0,8064096.0,5663829.0,15.349,148.049,0.531,15.3019,3.9765,0.9969,0.1034,0.0,1.9858,0.276,0.0,0.5652,0.0,656072660.0,706260749.0,0.0,0.0,0.0,-0.0726,0.0147,-0.0311,-0.9022,0.086,0.009,0.326,0.038,1.4762,0.0,0.0,0.0,0.0,0.0,0.0,0.2,14.0,0.5302,0.0,703758308.0,66041749.0,651573556.0,1.716,5.583,0.0,-0.0904,0.0089,-0.0306,-0.8362,GFED,14.97,15.044857142857142,66339105.900000006
2015-12-31,0.0101,-0.1862,-0.1972,-0.2143,-0.2195,-0.7226,0.0388,0.0693,-0.2118,0.0,0.0,0.3,-0.7991,0.0,0.1227,-0.1862,0.0104,5949681.0,0.0101,0.0,5949681.0,0.0,3203991.0,3964059.0,1985622.0,0.0,1985622.0,554983.0,0.0,0.0,1430639.0,0.0,1430639.0,0.33,0.32,4345064.0,0.13,1.0,0.374,0.3337,0.24,0.0458,2225415.0,1985622.0,1430639.0,24787824.0,0.0891,0.0,24787824.0,0.0,13026151.0,16145736.0,8642088.0,0.0,8178096.0,2461329.0,0.0,0.0,5716767.0,0.0,5716767.0,1.32,1.3,4345064.0,0.23,1.0,0.367,0.3299,0.231,0.2817,9096537.0,8178096.0,5716767.0,15.287,150.248,0.063,15.5938,4.3209,1.0201,0.1038,0.0,0.2872,0.394,0.0,0.5385,0.0,652835072.0,701816506.0,0.0,0.0,0.0,-0.3365,0.0077,-0.0232,-0.5765,0.088,0.009,0.33,0.038,1.3712,0.0,0.0,0.0,0.0,0.0,0.0,0.174,16.0,0.5255,0.0,702803850.0,64872671.0,654665014.0,1.607,5.705,0.0,-0.1092,0.0115,-0.0345,-0.9321,GFED,15.25,14.827714285714286,66262226.0
2015-09-30,0.1121,0.1038,0.0427,0.0313,0.0323,0.0045,0.0448,0.0815,-0.1482,0.0,0.0,0.0,-0.0101,0.0,0.1235,0.1038,0.0247,6092390.0,0.1121,0.0,6092390.0,0.0,3287938.0,4052003.0,2040387.0,0.0,2040387.0,621751.0,0.0,0.0,1418636.0,0.0,1418636.0,0.33,0.32,4379935.0,0.05,1.0,0.372,0.3349,0.233,0.6626,2268192.0,2040387.0,1418636.0,24765235.0,0.1071,0.0,24765235.0,0.0,12676002.0,15668890.0,9096345.0,0.0,8632353.0,2564120.0,0.0,0.0,6068233.0,0.0,6068233.0,1.41,1.38,4379935.0,0.2,1.0,0.384,0.3486,0.245,0.3257,9500972.0,8632353.0,6068233.0,15.015,147.205,0.922,16.5425,2.1504,1.1017,0.1124,0.0,2.9714,0.152,0.0,0.5397,0.0,644748180.0,707784817.0,0.0,0.0,0.0,-0.0424,0.0069,-0.0293,-0.7844,0.095,0.009,0.349,0.038,1.4682,0.0,0.0,0.0,0.0,0.0,0.0,0.142,13.0,0.5118,0.0,702830908.0,63636267.0,648571157.0,1.842,5.654,0.0,-0.0945,0.0104,-0.034,-0.9695,GFED,14.67,14.664999999999996,64253646.45
2015-06-30,0.2305,0.2056,0.2527,0.2069,0.25,-0.0564,0.0531,0.0728,-0.1422,0.0,0.0,0.0,-0.1689,0.0,0.1234,0.456,0.0261,6785887.0,0.2305,0.0,6785887.0,0.0,3284172.0,4087788.0,2698099.0,0.0,2234107.0,696158.0,0.0,0.0,1537949.0,0.0,1537949.0,0.35,0.35,4375969.0,0.05,1.0,0.363,0.3292,0.227,0.1392,2466462.0,2234107.0,1537949.0,24151126.0,0.0645,0.0,24151126.0,0.0,12314617.0,15246587.0,8904539.0,0.0,8440547.0,2430467.0,0.0,0.0,6010080.0,0.0,6010080.0,1.4,1.37,4375969.0,0.2,1.0,0.384,0.3495,0.249,0.3357,9265241.0,8440547.0,6010080.0,14.617,149.141,0.216,15.528,4.8943,1.0623,0.1041,0.0,0.78,0.143,0.0,0.484,0.0,652638310.0,699171161.0,0.0,0.0,0.0,-0.2124,0.0068,-0.0376,-1.0968,0.097,0.009,0.349,0.038,1.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.143,12.0,0.5099,0.0,698644176.0,62031711.0,641659475.0,1.853,5.519,0.0,-0.088,0.0103,-0.0324,-0.9483,GFED,14.72,14.70138888888889,64414263.68
2015-03-31,0.0204,0.0937,0.26,-0.0606,-0.0909,-0.2109,0.0459,-0.0967,0.0001,0.0,0.0,0.0,-0.2962,0.0,0.0838,0.0937,0.0272,5996703.0,0.0204,0.0,5996703.0,0.0,3250050.0,4078722.0,1917981.0,0.0,1917981.0,588437.0,0.0,0.0,1329544.0,0.0,1329544.0,0.31,0.3,4375969.0,0.0,1.0,0.356,0.3198,0.222,0.2883,2136469.0,1917981.0,1329544.0,22879971.0,-0.0772,0.0,22879971.0,0.0,11953759.0,14820412.0,8059559.0,0.0,8059559.0,2248745.0,0.0,0.0,5810814.0,111000.0,5699814.0,1.34,1.3,4375969.0,0.15,1.0,0.387,0.3523,0.249,0.3628,8846149.0,8059559.0,5810814.0,14.475,152.752,0.395,17.8386,10.0679,1.2324,0.1168,0.0,1.5143,0.0,0.0,0.542,0.0,668438495.0,702442915.0,0.0,0.0,0.0,-0.1412,0.0252,-0.0474,-1.3013,0.094,0.009,0.352,0.036,1.5723,0.0,0.0,0.0,0.0,0.0,0.0,0.112,17.0,0.5225,0.0,693384488.0,60566995.0,633438191.0,1.897,5.229,0.0,-0.0739,0.0112,-0.0289,-0.8414,GFED,14.51,14.62722222222222,63495310.19
2014-12-31,0.071,-0.0952,0.5171,-0.0233,-0.0238,-0.6541,0.0138,-0.2243,0.0617,0.0,0.0,0.0,-0.6772,0.0,0.0015,-0.0952,0.5737,5890255.0,0.071,0.0,5890255.0,0.0,2853842.0,3450377.0,2439878.0,0.0,2439878.0,657774.0,0.0,0.0,1782104.0,0.0,1782104.0,0.42,0.41,4300148.0,0.1,1.0,0.446,0.4142,0.303,0.2303,2629849.0,2439878.0,1782104.0,22760128.0,-0.0721,0.0,22760128.0,0.0,11702575.0,14864924.0,7895204.0,0.0,7895204.0,2112508.0,0.0,0.0,5782696.0,357210.0,5425486.0,1.35,1.33,4300148.0,0.15,1.0,0.38,0.3469,0.238,0.3967,8651141.0,7895204.0,5782696.0,14.296,146.148,0.315,19.9898,2.9055,1.3982,0.1368,0.0,0.831,0.238,0.0,0.4845,0.0,628459644.0,701924738.0,0.0,0.0,0.0,-0.0839,0.0032,-0.0211,-0.6543,0.088,0.009,0.347,0.036,1.751,0.0,0.0,0.0,0.0,0.0,0.0,0.111,17.0,0.5142,0.0,684747104.0,61798717.0,626098697.0,2.099,5.293,0.0,-0.0497,0.0106,-0.0207,-0.6244,GFED,13.17,13.087714285714288,56632949.16
2014-09-30,-0.0549,0.0351,0.1858,-0.2381,-0.2439,0.3456,-0.0365,-0.2361,0.0781,0.0,0.0,0.0,0.338,0.0,-0.0134,0.0351,0.5643,5478281.0,-0.0549,0.0,5478281.0,0.0,2926553.0,3629700.0,1848581.0,0.0,1848581.0,488098.0,0.0,0.0,1360483.0,0.0,1360483.0,0.32,0.31,4274348.0,0.05,1.0,0.371,0.3374,0.248,0.7444,2032461.0,1848581.0,1360483.0,22369817.0,-0.1103,0.0,22369817.0,0.0,11698362.0,14217885.0,8151932.0,0.0,8151932.0,2778012.0,0.0,0.0,5373920.0,555840.0,4818080.0,1.37,1.34,4274348.0,0.05,1.0,0.399,0.3644,0.215,0.5308,8920684.0,8151932.0,5373920.0,13.884,144.373,0.954,19.8999,2.6022,1.4333,0.1378,0.0,3.0845,0.156,0.0,0.5342,0.0,617101450.0,691037888.0,0.0,0.0,0.0,-0.0283,0.006,-0.0216,-0.645,0.082,0.008,0.364,0.036,2.5531,0.0,0.0,0.0,0.0,0.0,0.0,0.036,14.0,0.523,0.0,681403320.0,59018314.0,623955820.0,2.778,5.234,0.0,-0.0347,0.0116,-0.0191,-0.5552,GFED,12.25,12.446666666666667,52360763.0
2014-06-30,-0.2763,-0.1124,-0.1033,-0.42,-0.4286,-0.4375,-0.0319,-0.232,0.0054,0.0,0.0,0.0,-0.4568,0.0,-0.03,-0.4849,0.5613,5514732.0,-0.2763,0.0,5514732.0,0.0,2923314.0,3661613.0,1853119.0,0.0,1853119.0,514436.0,0.0,0.0,1338683.0,111000.0,1227683.0,0.29,0.28,4264625.0,0.0,1.0,0.371,0.336,0.223,0.2061,2047370.0,1853119.0,1338683.0,22687821.0,0.0189,0.0,22687821.0,0.0,11738127.0,14598637.0,8089184.0,0.0,8089184.0,2729761.0,0.0,0.0,5359423.0,754470.0,4604953.0,1.47,1.44,4264625.0,0.0,1.0,0.391,0.3565,0.203,0.478,8878701.0,8089184.0,5359423.0,13.625,145.324,0.267,18.5738,4.8846,1.3633,0.1278,0.0,1.0355,0.0,0.0,0.5301,0.0,619753176.0,678132412.0,0.0,0.0,0.0,-0.1059,0.0097,-0.0244,-0.6932,0.081,0.007,0.357,0.036,2.4372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5174,0.0,680974700.0,56597874.0,629806216.0,2.543,5.32,0.0,-0.0338,0.0114,-0.0167,-0.4801,GFED,12.5,12.555428571428571,53307812.5
2014-03-31,0.0474,0.4793,0.3994,0.1786,0.32,-0.3872,-0.0168,-0.146,-0.1667,0.0,0.0,0.0,-0.3946,0.0,-0.0307,0.4793,0.5539,5876860.0,0.0474,0.0,5876860.0,0.0,2998866.0,4123234.0,1753626.0,0.0,1753626.0,452200.0,0.0,0.0,1301426.0,246210.0,1055216.0,0.33,0.33,4260025.0,0.0,1.0,0.33,0.2984,0.18,0.4181,1941461.0,1753626.0,1301426.0,24793300.0,0.3257,0.0,24793300.0,0.0,11828449.0,14959361.0,9833939.0,0.0,8323939.0,2735459.0,0.0,0.0,5588480.0,842100.0,4746380.0,1.68,1.65,4260025.0,0.0,1.0,0.369,0.3357,0.191,0.4759,9143561.0,8323939.0,5588480.0,16.025,150.018,0.577,18.3228,11.5593,1.1434,0.1221,0.0,2.4178,0.0,0.0,0.5103,0.0,639080517.0,667893377.0,0.0,0.0,0.0,-0.037,0.0233,-0.0161,-0.5028,0.088,0.007,0.336,0.039,2.5729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.4771,0.0,685223196.0,54187297.0,634917100.0,2.77,5.82,0.0,-0.0337,0.0097,-0.0166,-0.5026,GFED,12.82,12.00542857142857,54613520.5
