,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.0808,0.0074,0.0755,0.0745,0.0638,0.0023,0.5608,0.0505,0.0743,0.0,0.0352,-0.0451,0.0392,0.2245,0.1137,0.114,0.0376,0.0042,894452000.0,0.0757,371182000.0,523270000.0,141713000.0,164049000.0,305762000.0,217508000.0,0.0,236068000.0,45726000.0,0.0,0.0,190342000.0,0.0,190342000.0,1.01,1.0,188542000.0,189461000.0,0.53,0.585,0.292,0.2639,0.213,0.177,261142000.0,236068000.0,190342000.0,3236897000.0,0.0592,1353909000.0,1882988000.0,545853000.0,628260000.0,1174113000.0,708875000.0,0.0,756595000.0,150686000.0,0.0,0.0,605909000.0,0.0,605909000.0,3.23,3.19,188542000.0,2.57,0.5817,0.262,0.2337,0.187,0.1988,848236000.0,756595000.0,605909000.0,19.937,24.288,0.84,0.0,5.022,0.0,0.0,0.0,2.501,1.1762,0.525,0.0821,0.1834,0.1584,1394435000.0,4579261000.0,1093743000.0,2703247000.0,524009000.0,163948500.0,513328500.0,-0.2929,0.016,-4.2896,-0.0733,-2.6153,0.159,0.123,0.1507,0.234,5.0,0.66,1.3782,18.7748,60.1109,56.5492,6.1772,19.7434,6.3057,0.796,15.0,0.1941,0.1686,2829913750.0,3812044500.0,4906905500.0,3.414,17.168,0.0,0.2982,-0.2292,0.0161,-0.0591,-2.089,GRMN,61.0,60.74199962857143,11501062000.0
2018-03-31,0.1441,0.7423,-0.4573,-0.4567,-0.4603,0.0003,0.7791,0.0553,0.0798,0.0,0.0469,0.0267,0.0,0.9815,0.1617,0.0659,0.2151,-0.0001,710872000.0,0.1081,284337000.0,426535000.0,141957000.0,142376000.0,284333000.0,142202000.0,0.0,153980000.0,24606000.0,0.0,0.0,129374000.0,0.0,129374000.0,0.69,0.68,188322000.0,189292000.0,0.51,0.6,0.249,0.2166,0.182,0.2644,177126000.0,153980000.0,129374000.0,3173931000.0,0.0454,1330083000.0,1843848000.0,531388000.0,611471000.0,1142859000.0,700989000.0,0.0,754854000.0,162308000.0,0.0,0.0,592546000.0,0.0,592546000.0,3.16,3.13,188322000.0,2.55,0.5809,0.265,0.2378,0.187,0.1936,842524000.0,754854000.0,592546000.0,21.225,23.546,0.998,0.0,4.7751,0.0,0.0,0.0,3.928,1.6556,0.739,0.0867,0.2003,0.1997,1633440000.0,4434216000.0,1333254000.0,2977113000.0,400524500.0,136516500.0,540281500.0,-0.1224,0.0189,-6.024,-0.0369,-1.1326,0.158,0.122,0.1356,0.238,6.0,0.655,1.2736,15.6551,47.1157,62.952,7.9244,23.2494,5.8746,0.807,14.0,0.1927,0.1674,2816919000.0,3743436000.0,4846918500.0,3.264,16.854,0.0,0.2647,-0.1855,0.0157,-0.0441,-1.5971,GRMN,58.93,60.51117655882352,11097815460.0
2017-12-30,0.061,0.0708,0.0159,0.0137,0.0139,-0.0046,-0.0706,0.0935,0.1271,0.0,0.1211,0.0677,0.0,-0.1289,0.0279,0.0306,0.1224,0.0,888496000.0,0.0322,388978000.0,499518000.0,132551000.0,187592000.0,320143000.0,179375000.0,0.0,180491000.0,41711000.0,0.0,0.0,138780000.0,0.0,138780000.0,0.74,0.73,198077418.0,188490000.0,0.51,0.5622,0.229,0.2031,0.156,0.1619,203044000.0,180491000.0,138780000.0,3087004000.0,0.0226,1303840000.0,1783164000.0,511634000.0,602670000.0,1114304000.0,668860000.0,0.0,682294000.0,-12661000.0,0.0,0.0,694955000.0,0.0,694955000.0,3.7,3.68,198077418.0,2.55,0.5776,0.249,0.221,0.225,0.1689,768546000.0,682294000.0,694955000.0,19.449,22.913,0.726,0.0,4.5021,0.0,0.0,0.0,2.962,1.4286,0.689,0.0828,0.2111,0.1492,1554023000.0,4538488000.0,1250268000.0,2854614000.0,558972000.0,171022000.0,501232500.0,-0.2743,0.0138,-5.1883,-0.0612,-2.4116,0.189,0.145,0.1347,0.221,5.0,0.645,0.9509,20.0578,69.8645,61.205,5.5226,18.0503,6.1588,0.689,16.0,0.1952,0.1657,2795669250.0,3669653250.0,4783283250.0,2.633,15.585,0.0,0.3233,-0.2108,0.0145,-0.0451,-1.6154,GRMN,59.57,60.70147085294117,11799471790.26
2017-09-30,0.0682,0.2423,0.1788,0.197,0.1818,-0.0061,-0.0669,0.053,0.0887,0.0,-0.0086,0.076,1.0,-0.2305,0.1132,0.0333,0.0637,-0.0057,743077000.0,0.0288,309412000.0,433665000.0,129632000.0,134243000.0,263875000.0,169790000.0,0.0,186056000.0,38643000.0,0.0,0.0,147413000.0,0.0,147413000.0,0.79,0.78,187616000.0,188492000.0,1.02,0.5836,0.278,0.2504,0.198,0.2066,206924000.0,186056000.0,147413000.0,3076840000.0,0.0468,1315457000.0,1761383000.0,508034000.0,597093000.0,1105127000.0,656256000.0,0.0,677315000.0,-22086000.0,0.0,0.0,699401000.0,0.0,699401000.0,3.73,3.7,187616000.0,2.55,0.5725,0.249,0.2201,0.227,0.1764,764812000.0,677315000.0,699401000.0,19.4,24.103,0.818,0.0,4.7512,0.0,0.0,0.0,2.757,1.3483,1.291,0.0648,0.1807,0.1745,1486429000.0,4522122000.0,1136768000.0,2784681000.0,459373000.0,153310500.0,555009000.0,-0.2277,0.0162,-5.5339,-0.0609,-2.1687,0.196,0.15,0.1442,0.22,7.0,0.658,0.9664,18.8134,54.2595,68.251,6.6979,20.0693,5.5438,0.684,15.0,0.1941,0.1651,2729615750.0,3561049250.0,4677494250.0,2.893,16.4,0.0,0.3427,-0.1969,0.0145,-0.0433,-1.5211,GRMN,53.970001,52.16857154285716,10125635707.616001
2017-07-01,0.0457,0.1498,0.0988,0.1059,0.1059,-0.0094,-0.0437,0.0489,0.089,0.0,0.0091,0.0335,0.0,-0.0444,0.1127,-0.0045,0.0446,-0.006,831486000.0,0.0245,347356000.0,484130000.0,127248000.0,147260000.0,274508000.0,209622000.0,0.0,234327000.0,57348000.0,0.0,0.0,176979000.0,0.0,176979000.0,0.94,0.94,187757000.0,189031000.0,0.51,0.5822,0.307,0.2818,0.213,0.1555,255430000.0,234327000.0,176979000.0,3056013000.0,0.055,1322315000.0,1733698000.0,494851000.0,592765000.0,1087616000.0,646082000.0,0.0,641024000.0,-36018000.0,0.0,0.0,677042000.0,0.0,677042000.0,3.6,3.58,187757000.0,2.04,0.5673,0.238,0.2098,0.222,0.1927,728686000.0,641024000.0,677042000.0,18.558,23.645,0.689,0.0,4.5787,0.0,0.0,0.0,2.482,0.8104,0.543,0.0651,0.1771,0.153,1376425000.0,4439454000.0,1040609000.0,2651268000.0,512625500.0,156651000.0,516664000.0,-0.0987,0.0146,-4.3401,-0.017,-0.671,0.194,0.147,0.1489,0.21,8.0,0.662,1.0193,19.2768,61.503,62.7242,5.9615,19.5084,5.9149,0.567,14.0,0.194,0.1619,2647721500.0,3491685250.0,4616623000.0,3.136,16.276,0.0,0.3575,-0.1469,0.0138,-0.0332,-1.1563,GRMN,51.029999,51.77514302857143,9581239522.243
2017-04-01,0.097,-0.1783,1.7063,1.7609,1.7391,-0.0123,-0.0695,0.0432,0.0837,0.0,-0.0415,0.0297,-0.5,-0.1785,0.1294,0.0448,0.1274,-0.0061,641510000.0,0.028,268704000.0,372806000.0,122202000.0,133576000.0,255778000.0,117028000.0,0.0,88375000.0,-150029000.0,0.0,0.0,238404000.0,0.0,238404000.0,1.27,1.26,188333000.0,189238000.0,0.51,0.5811,0.172,0.1378,0.372,0.1479,110103000.0,88375000.0,238404000.0,3036136000.0,0.062,1323610000.0,1712526000.0,481958000.0,593434000.0,1075392000.0,637134000.0,0.0,610498000.0,-50629000.0,0.0,0.0,661127000.0,0.0,661127000.0,3.51,3.49,188333000.0,2.04,0.564,0.23,0.2011,0.218,0.1959,698373000.0,610498000.0,661127000.0,19.657,22.817,0.504,0.0,4.4267,0.0,0.0,0.0,3.774,0.505,0.402,0.0659,0.2082,0.1905,1585451000.0,4297267000.0,1258291000.0,2892114000.0,399814000.0,137031500.0,525459000.0,-0.2121,0.0128,-9.9188,-0.0398,-1.175,0.193,0.145,0.1356,0.201,8.0,0.666,1.0538,16.458,47.0469,64.0947,7.5939,22.1565,5.7781,0.581,15.0,0.1955,0.1587,2587925750.0,3425282250.0,4561325750.0,3.158,16.121,0.0,0.3164,-0.1463,0.0136,-0.0336,-1.1597,GRMN,51.110001000000004,51.58171431428571,9625699818.333
2016-12-31,0.1395,0.105,0.0319,0.0429,0.0286,-0.0155,0.3472,0.0057,0.0734,0.0,-0.0083,-0.0314,0.0,0.1944,0.2164,0.1279,0.0964,-0.0481,860767000.0,0.1016,389985000.0,470782000.0,128952000.0,182014000.0,310966000.0,159816000.0,0.0,168557000.0,31952000.0,0.0,0.0,136605000.0,0.0,136605000.0,0.73,0.72,198077418.0,189356000.0,0.51,0.5469,0.223,0.1958,0.159,0.1919,192355000.0,168557000.0,136605000.0,3018665000.0,0.0703,1339095000.0,1679570000.0,467960000.0,587701000.0,1055661000.0,623909000.0,0.0,629670000.0,118856000.0,0.0,0.0,510814000.0,0.0,510814000.0,2.71,2.7,198077418.0,2.55,0.5564,0.237,0.2086,0.169,0.2039,716010000.0,629670000.0,510814000.0,17.256,21.305,0.834,0.0,4.2761,0.0,0.0,0.0,2.891,1.5616,0.699,0.0674,0.2115,0.1498,1480281000.0,4220131000.0,1155886000.0,2590400000.0,529271500.0,175654500.0,492687500.0,-0.2257,0.014,-5.7911,-0.0559,-2.0229,0.152,0.113,0.1484,0.209,8.0,0.669,1.3815,20.8461,63.7294,58.6218,5.7034,17.1852,6.1269,0.941,14.0,0.1947,0.155,2506237500.0,3359078500.0,4513736500.0,3.107,15.24,0.0,0.2602,-0.1279,0.0137,-0.0299,-1.0457,GRMN,48.490002000000004,50.95970614705882,9604774394.974836
2016-09-24,0.1209,-0.0917,0.0482,0.0476,0.0476,-0.0135,0.5453,0.0464,0.0485,0.0,0.0681,0.0626,0.0,0.605,0.1008,-0.0079,0.2723,-0.0087,722250000.0,0.0626,316270000.0,405980000.0,116449000.0,129915000.0,246364000.0,159616000.0,0.0,149765000.0,24711000.0,0.0,0.0,125054000.0,0.0,125054000.0,0.66,0.66,188692000.0,189651000.0,0.51,0.5621,0.236,0.2074,0.173,0.2762,170798000.0,149765000.0,125054000.0,2939256000.0,0.0341,1317325000.0,1621931000.0,445020000.0,567056000.0,1012076000.0,609855000.0,0.0,613656000.0,107063000.0,0.0,0.0,506593000.0,0.0,506593000.0,2.67,2.67,188692000.0,2.55,0.5518,0.237,0.2088,0.172,0.2002,696175000.0,613656000.0,506593000.0,17.819,22.735,1.057,0.0,4.8376,0.0,0.0,0.0,2.443,1.7032,0.773,0.0658,0.1799,0.1612,1327464000.0,4289923000.0,1017782000.0,2457104000.0,446648500.0,153346500.0,518933000.0,-0.0635,0.0134,-6.5246,-0.0187,-0.6432,0.152,0.112,0.149,0.209,6.0,0.652,1.2845,18.3825,57.2916,66.3975,6.5807,19.1674,5.664,0.955,15.0,0.1929,0.1514,2497265500.0,3340859250.0,4507301000.0,3.119,15.577,0.0,0.2843,-0.0956,0.0122,-0.0212,-0.7536,GRMN,48.5,50.865428628571436,9151562000.0
2016-06-25,0.1043,0.1743,0.1692,0.1806,0.1806,-0.0212,2.5405,0.0236,0.0149,0.0,0.0165,0.1084,0.0,2.1373,0.0468,0.032,0.2041,-0.0116,811609000.0,0.0488,348651000.0,462958000.0,114355000.0,147929000.0,262284000.0,200674000.0,0.0,203801000.0,42737000.0,0.0,0.0,161064000.0,0.0,161064000.0,0.85,0.85,188892000.0,190822000.0,0.51,0.5704,0.277,0.2511,0.198,0.1667,225117000.0,203801000.0,161064000.0,2896696000.0,0.0097,1318555000.0,1578141000.0,434360000.0,568085000.0,1002445000.0,575696000.0,0.0,628782000.0,127944000.0,0.0,0.0,500838000.0,0.0,500838000.0,2.64,2.64,188892000.0,2.55,0.5448,0.245,0.2171,0.173,0.1772,710521000.0,628782000.0,500838000.0,17.041,22.363,0.716,0.0,4.2443,0.0,0.0,0.0,2.19,0.9312,0.6,0.067,0.1823,0.1409,1202158000.0,4224235000.0,903839000.0,2412085000.0,506171500.0,148996000.0,483306000.0,-0.098,0.014,-4.6819,-0.0181,-0.6899,0.151,0.112,0.1461,0.217,6.0,0.65,1.1492,19.1408,64.3018,64.0311,5.7228,19.4414,5.9935,0.966,12.0,0.1961,0.15,2472440000.0,3308973250.0,4456442500.0,2.718,15.335,0.0,0.303,-0.1081,0.0107,-0.0215,-0.7612,GRMN,40.77,41.61714285714286,7701126840.000001
2016-03-26,-0.0124,0.4115,0.3189,0.3143,0.3143,-0.0218,0.5846,-0.0293,0.0002,0.0,-0.0408,0.1006,1.125,0.7994,0.0208,0.0112,-0.0707,-0.0118,624040000.0,0.066,284190000.0,339850000.0,108204000.0,127843000.0,236047000.0,103803000.0,0.0,107547000.0,19455000.0,0.0,0.0,88092000.0,0.0,88092000.0,0.46,0.46,189497000.0,191600000.0,1.02,0.5446,0.205,0.1723,0.141,0.1851,127740000.0,107547000.0,88092000.0,2858917000.0,-0.0048,1324484000.0,1534433000.0,429245000.0,563502000.0,992747000.0,541686000.0,0.0,598539000.0,121012000.0,0.0,0.0,477527000.0,0.0,477527000.0,2.51,2.51,189497000.0,2.55,0.5367,0.237,0.2094,0.167,0.0906,678228000.0,598539000.0,477527000.0,18.139,21.657,0.609,0.0,4.5275,0.0,0.0,0.0,3.128,1.4688,2.217,0.0695,0.2049,0.1734,1448413000.0,4104021000.0,1156056000.0,2565361000.0,416966500.0,131453500.0,494105500.0,-0.1075,0.0131,-8.2675,-0.0223,-0.6888,0.144,0.108,0.1266,0.209,6.0,0.645,0.6873,17.5116,52.1258,66.1037,6.8565,21.7485,5.786,1.016,12.0,0.1971,0.1501,2444493250.0,3306390750.0,4430399000.0,1.367,15.087,0.0,0.2517,-0.2105,0.0093,-0.0242,-0.8671,GRMN,38.970001,38.94029432352941,7384698279.497001
