,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,-0.4815,-5.0815,-4.0497,-4.2308,-4.2308,-0.9088,0.2781,0.0077,-0.0947,1.315,0.0,0.0,-0.5006,0.0,0.1339,-5.0815,-0.0474,761928000.0,0.0215,692138000.0,69790000.0,0.0,134612000.0,134612000.0,-64822000.0,1825000.0,-66648000.0,-27901000.0,1000.0,0.0,-38747000.0,0.0,-38747000.0,-1.68,-1.68,23282890.0,0.0,0.0916,-0.08,-0.0851,-0.051,-0.0053,-61247000.0,-64823000.0,-38746000.0,2967734000.0,0.0082,2432068000.0,535666000.0,0.0,515293000.0,515293000.0,20373000.0,6902000.0,13474000.0,2184000.0,-3000.0,0.0,11290000.0,0.0,11290000.0,0.42,0.41,23282890.0,0.0,0.1805,0.011,0.0069,0.004,0.089,34106000.0,20376000.0,11287000.0,36.474,130.948,-0.172,1.309,10.9943,0.0359,0.0099,-35.5195,-0.0065,0.0,0.0083,0.1767,0.0,3048857000.0,2823356000.0,531302000.0,247744000.0,0.0,-17.02,0.013,0.004,0.007,0.959,25.3265,35.8261,91.2651,0.0,5.5858,11.979,0.0,0.0,36.0,0.1736,0.0,2866609500.0,889056250.0,3094700500.0,11.346,127.464,2.9522,-0.0761,GTS,39.060001,37.323428714285726,909429706.6828899
2018-03-31,0.3689,1.6432,1.9014,1.9444,1.9444,-0.0038,0.3148,0.0778,-0.0926,1.6474,0.0,0.0,-0.0161,0.0,0.2,1.6432,-0.0397,758114000.0,0.0493,618989000.0,139125000.0,0.0,133134000.0,133134000.0,5991000.0,1690000.0,4301000.0,387000.0,0.0,0.0,3914000.0,0.0,3914000.0,0.17,0.17,23309293.0,0.0,0.1835,0.012,0.0079,0.005,0.1657,9401000.0,5991000.0,3914000.0,2951705000.0,0.0004,2351227000.0,600478000.0,0.0,499401000.0,499401000.0,101077000.0,6798000.0,94283000.0,31541000.0,-4000.0,0.0,62742000.0,0.0,62742000.0,2.62,2.61,23309293.0,0.0,0.2034,0.039,0.0342,0.021,0.0899,114699000.0,101081000.0,62738000.0,38.45,131.947,5.389,1.3417,9.1213,0.0349,0.0101,3.545,33.335,0.0,0.0082,0.1756,0.0,3075594000.0,2894259000.0,534047500.0,253294000.0,0.0,-0.0373,0.07,0.021,0.034,1.008,4.597,41.4184,95.8663,0.0,5.527,11.6533,0.0,0.0,4.0,0.1692,0.0,2721048500.0,897918500.0,2927479000.0,11.39,126.632,14.8692,-0.0795,GTS,26.139999,25.696176352941176,609304895.710707
2017-12-31,0.2617,3.3498,1.0104,1.0816,1.0612,2.2682,0.4046,0.0746,-0.0858,2.1405,0.0,0.0,2.1785,0.0,0.0159,3.3499,-0.0153,709478000.0,-0.029,537316000.0,172162000.0,0.0,128402000.0,128402000.0,43760000.0,1678000.0,42085000.0,17874000.0,-3000.0,0.0,24211000.0,0.0,24211000.0,1.02,1.01,23902107.0,0.0,0.2427,0.066,0.0617,0.034,0.1292,47126000.0,43763000.0,24208000.0,2916085000.0,-0.023,2353101000.0,562984000.0,0.0,477213000.0,477213000.0,85771000.0,6794000.0,78982000.0,24496000.0,-5000.0,0.0,54486000.0,0.0,54486000.0,2.27,2.26,23902107.0,0.0,0.1931,0.034,0.0294,0.019,0.0918,98974000.0,85776000.0,54481000.0,38.213,129.335,3.835,1.3418,8.3232,0.0351,0.0103,26.0805,4.0093,0.0,0.0081,0.181,0.0,3091368000.0,2924500000.0,592846000.0,262171500.0,0.0,-0.0557,0.061,0.02,0.029,1.064,5.3026,44.4213,112.5668,0.0,4.9188,11.1228,0.0,0.0,4.0,0.1636,0.0,2534643500.0,890336500.0,2741845000.0,11.194,122.001,12.6253,-0.0739,GTS,24.85,26.93151509090909,593967358.95
2017-09-30,0.3386,5.4748,12.289,12.375,12.375,-0.3786,0.2997,0.0383,-0.0766,1.7876,0.0,0.0,-0.4514,0.0,-0.0345,5.473,-0.0052,738214000.0,-0.0086,583625000.0,154589000.0,0.0,119145000.0,119145000.0,35444000.0,1709000.0,33736000.0,11824000.0,-1000.0,0.0,21912000.0,0.0,21912000.0,0.91,0.91,24445138.0,0.0,0.2094,0.053,0.048,0.03,0.0689,38826000.0,35445000.0,21911000.0,2937304000.0,-0.03,2410026000.0,527278000.0,0.0,475207000.0,475207000.0,52071000.0,7022000.0,45052000.0,2734000.0,-3000.0,0.0,42318000.0,0.0,42318000.0,1.74,1.74,24445138.0,0.0,0.1795,0.022,0.0177,0.014,0.0334,65412000.0,52074000.0,42315000.0,36.711,125.235,2.082,1.3446,11.0428,0.0366,0.0106,20.7402,2.6535,0.0,0.0082,0.1614,0.0,3061395000.0,2824323000.0,632468000.0,231086500.0,0.0,-0.1246,0.048,0.017,0.018,1.167,2.7248,34.0055,115.6859,0.0,4.6442,12.7108,0.0,0.0,8.0,0.1618,0.0,2334833250.0,877786250.0,2517403500.0,4.014,120.159,7.4158,-0.149,GTS,23.68,23.753142942857142,578860867.84
2017-06-30,0.0302,0.6646,2.2745,2.25,2.25,1.0655,0.0389,0.0186,-0.065,-0.0794,0.0,0.0,0.938,0.0,-0.0198,0.665,-0.0124,745899000.0,-0.0091,611297000.0,134602000.0,0.0,118720000.0,118720000.0,15882000.0,1721000.0,14161000.0,1456000.0,0.0,0.0,12705000.0,0.0,12705000.0,0.52,0.52,24442638.0,0.0,0.1805,0.026,0.0213,0.017,-0.0036,19346000.0,15882000.0,12705000.0,2943741000.0,-0.0344,2455570000.0,488171000.0,0.0,479468000.0,479468000.0,8703000.0,7206000.0,1502000.0,-16963000.0,-5000.0,0.0,18465000.0,0.0,18465000.0,0.75,0.75,24442638.0,0.0,0.1658,0.007,0.003,0.006,0.0476,21982000.0,8708000.0,18460000.0,36.194,97.37,-0.109,1.3774,7.0584,0.0381,0.014,9.2284,0.2157,0.0,0.0106,0.1592,0.0,2379971000.0,2241112000.0,334376000.0,217027000.0,0.0,-1.9741,0.021,0.008,0.003,1.258,8.1636,25.3184,39.7454,0.0,8.8037,13.5639,0.0,0.0,26.0,0.1629,0.0,2183651250.0,870654750.0,2339435000.0,5.728,120.435,1.2084,-0.0712,GTS,16.91,16.623333333333335,413325008.58
2017-03-31,-0.2184,-2.3217,-2.2564,-2.2857,-2.2857,3.1895,0.0166,0.0164,-0.0536,-0.0756,0.0,0.0,3.2849,0.0,-0.0979,-2.322,-0.0147,722494000.0,-0.0452,620863000.0,101631000.0,0.0,110946000.0,110946000.0,-9315000.0,1686000.0,-11000000.0,-6658000.0,-1000.0,0.0,-4342000.0,0.0,-4342000.0,-0.18,-0.18,24271867.0,0.0,0.1407,-0.009,-0.0129,-0.006,0.1767,-6324000.0,-9314000.0,-4343000.0,2950580000.0,-0.0413,2466360000.0,484220000.0,0.0,481860000.0,481860000.0,2360000.0,7439000.0,-5072000.0,-14712000.0,-7000.0,0.0,9640000.0,0.0,9640000.0,0.39,0.39,24271867.0,0.0,0.1641,0.005,0.0008,0.003,0.0338,15777000.0,2367000.0,9633000.0,35.675,96.122,5.26,1.42,9.018,0.0398,0.0146,-5.5243,-30.1624,0.0,0.0108,0.1536,0.0,2333058000.0,2148639000.0,304819500.0,195792000.0,0.0,-0.0252,0.011,0.004,0.001,1.273,11.0141,21.233,36.2253,0.0,9.6798,15.07,0.0,0.0,151.0,0.1633,0.0,2180814250.0,869346250.0,2316916500.0,4.103,121.564,0.3182,-0.062,GTS,17.57,17.925555527777778,426456703.19
2016-12-31,-0.1496,-0.5391,-0.1498,-0.1404,-0.125,-2.3283,0.0058,0.0636,-0.0473,0.0132,0.0,0.0,-2.436,0.0,-0.0883,-0.5391,-0.0424,730697000.0,-0.0559,594241000.0,136456000.0,0.0,126396000.0,126396000.0,10060000.0,1906000.0,8155000.0,-3888000.0,-1000.0,0.0,12043000.0,0.0,12043000.0,0.49,0.49,24272716.0,0.0,0.1867,0.019,0.0138,0.016,-0.1064,13564000.0,10061000.0,12042000.0,2984806000.0,0.0283,2472191000.0,512615000.0,0.0,493894000.0,493894000.0,18721000.0,7635000.0,11093000.0,-6345000.0,-7000.0,0.0,17438000.0,0.0,17438000.0,0.71,0.71,24272716.0,0.0,0.1717,0.011,0.0063,0.006,0.0006,32848000.0,18728000.0,17431000.0,35.561,90.373,-3.204,1.4455,4.2611,0.0406,0.0158,5.2786,-6.3556,0.0,0.0114,0.173,0.0,2193602000.0,2125259000.0,284505500.0,173179500.0,0.0,0.0161,0.02,0.008,0.006,1.294,0.3711,20.7212,35.0184,0.0,10.4912,17.2353,0.0,0.0,20.0,0.1655,0.0,2198257500.0,869017250.0,2307267250.0,0.071,122.97,2.4529,-0.734,GTS,20.700001,22.515882352941183,502445245.47271603
2016-09-30,-0.1129,-2.8323,-1.4628,-1.4706,-1.5,-0.0123,0.0723,0.1066,-0.428,0.1811,0.0,0.0,0.0071,0.0,-0.0197,-2.8458,-0.0559,744651000.0,-0.0267,629169000.0,115482000.0,0.0,123406000.0,123406000.0,-7924000.0,1893000.0,-9814000.0,-7873000.0,-3000.0,0.0,-1941000.0,0.0,-1941000.0,-0.08,-0.08,24573763.0,0.0,0.1551,-0.006,-0.0106,-0.003,0.1246,-4604000.0,-7921000.0,-1944000.0,3028047000.0,0.119,2491428000.0,536619000.0,0.0,506133000.0,506133000.0,30486000.0,7663000.0,22833000.0,3273000.0,-10000.0,0.0,19560000.0,0.0,19560000.0,0.79,0.78,24573763.0,0.0,0.1772,0.015,0.0101,0.006,0.0441,45461000.0,30496000.0,19550000.0,35.358,95.611,3.775,1.4486,6.7358,0.041,0.015,-4.1844,-48.2102,0.0,0.0107,0.1657,0.0,2349521000.0,2219595000.0,308361000.0,184276500.0,0.0,-0.0086,0.023,0.008,0.01,1.314,7.1899,22.7238,40.2559,0.0,9.8198,16.4321,0.0,0.0,16.0,0.1671,0.0,2171882000.0,865108000.0,2304053750.0,5.439,123.223,3.9796,-0.0497,GTS,21.93,22.25444452777778,538902622.59
2016-06-30,-0.0932,-0.4481,-0.795,-0.7808,-0.7808,-2.102,0.0367,0.1167,-0.4252,-0.0166,0.0,0.0,-2.183,0.0,-0.045,-0.4474,-0.0669,752738000.0,-0.0374,622087000.0,130651000.0,0.0,121112000.0,121112000.0,9539000.0,1954000.0,7587000.0,3707000.0,-2000.0,0.0,3880000.0,0.0,3880000.0,0.16,0.16,24749783.0,0.0,0.1736,0.017,0.0127,0.005,-0.0572,13141000.0,9541000.0,3878000.0,3048485000.0,0.2154,2497168000.0,551317000.0,0.0,508614000.0,508614000.0,42703000.0,7749000.0,34991000.0,9296000.0,-37000.0,0.0,25695000.0,0.0,25695000.0,1.04,1.02,24749783.0,0.0,0.1808,0.019,0.014,0.008,0.0436,58281000.0,42740000.0,25658000.0,35.533,92.522,-1.74,1.4548,3.8845,0.0409,0.0156,4.8828,-10.7796,0.0,0.011,0.1609,0.0,2289897000.0,2229764000.0,351147000.0,218171500.0,0.0,0.0299,0.03,0.011,0.014,1.346,5.5186,27.5215,41.691,0.0,8.6815,13.9729,0.0,0.0,12.0,0.1668,0.0,2131282750.0,855807500.0,2264028000.0,5.374,123.172,5.5156,-0.0621,GTS,24.43,23.65972225,604637198.6899999
2016-03-31,-0.1291,-0.6789,-0.7671,-0.75,-0.75,-0.1938,0.0545,0.1189,-0.5083,0.0123,0.0,0.0,-0.2015,0.0,-0.0345,-0.6785,-0.1045,756720000.0,0.3008,626694000.0,130026000.0,0.0,122980000.0,122980000.0,7046000.0,1882000.0,5165000.0,1709000.0,-1000.0,0.0,3456000.0,0.0,3456000.0,0.14,0.14,24632823.0,0.0,0.1718,0.014,0.0093,0.005,0.0394,10747000.0,7047000.0,3455000.0,3077732000.0,0.3283,2512979000.0,564753000.0,0.0,514326000.0,514326000.0,50427000.0,7869000.0,42618000.0,1877000.0,-60000.0,0.0,40741000.0,0.0,40741000.0,1.61,1.59,24632823.0,0.0,0.1835,0.022,0.0164,0.013,0.069,66392000.0,50487000.0,40681000.0,35.099,93.146,1.21,1.4784,4.5657,0.0421,0.0157,3.7444,9.0451,0.0,0.0109,0.1625,0.0,2294461000.0,2218412000.0,314877000.0,210014000.0,0.0,-0.0469,0.048,0.018,0.016,1.372,5.4387,26.0836,37.5708,0.0,9.7744,14.6549,0.0,0.0,9.0,0.1671,0.0,2088361500.0,846959250.0,2243537750.0,8.626,124.944,6.4159,-0.0411,GTS,24.860001,24.881714285714285,612372004.412823
2015-12-31,0.1355,0.5216,-0.4656,-0.4184,-0.4227,3.5258,0.0282,0.0618,-0.5055,-0.1045,0.0,0.0,3.2759,0.0,0.0899,0.5469,-0.0703,773938000.0,0.3406,613478000.0,160460000.0,0.0,138635000.0,138635000.0,21825000.0,1934000.0,19895000.0,5730000.0,-4000.0,0.0,14165000.0,0.0,14165000.0,0.57,0.56,25348045.0,0.0,0.2073,0.034,0.0282,0.018,0.07,26177000.0,21829000.0,14161000.0,2902736000.0,0.2511,2318715000.0,584021000.0,0.0,518721000.0,518721000.0,65300000.0,8169000.0,57220000.0,5099000.0,-89000.0,0.0,52121000.0,0.0,52121000.0,2.03,2.02,25348045.0,0.0,0.2012,0.028,0.0225,0.018,0.0758,81768000.0,65389000.0,52032000.0,33.436,86.032,2.137,1.4529,7.8041,0.0435,0.0167,11.287,4.0681,0.0,0.0115,0.1791,0.0,2180748000.0,2019757000.0,299134000.0,169684000.0,0.0,-0.0601,0.062,0.024,0.023,1.311,4.3954,22.2453,35.5409,0.0,9.7038,17.1067,0.0,0.0,7.0,0.1787,0.0,2049344250.0,846537500.0,2213574500.0,8.679,114.515,8.0045,-0.0397,GTS,23.91,24.877999999999997,606071755.95
2015-09-30,-0.0241,-0.6522,-0.112,0.0,-0.0588,0.6392,0.0466,0.0175,-0.2913,0.0343,0.0,0.0,0.6222,0.0,0.0401,-0.6527,-0.0455,765089000.0,0.3488,634909000.0,130180000.0,0.0,125887000.0,125887000.0,4293000.0,1979000.0,2344000.0,-1850000.0,-30000.0,0.0,4194000.0,0.0,4194000.0,0.17,0.16,26027936.0,0.0,0.1702,0.011,0.0057,0.005,0.1204,8216000.0,4323000.0,4164000.0,2706103000.0,0.1585,2141231000.0,564872000.0,0.0,507288000.0,507288000.0,57584000.0,8535000.0,49371000.0,-15091000.0,-322000.0,0.0,64462000.0,0.0,64462000.0,2.44,2.42,26027936.0,0.0,0.2087,0.029,0.0214,0.024,0.0525,78363000.0,57906000.0,64140000.0,31.953,84.118,3.539,2.3912,7.4711,0.0748,0.0281,2.1844,22.5899,0.0,0.0115,0.1645,0.0,2189418000.0,2057198000.0,278064500.0,169517000.0,0.0,-0.0277,0.076,0.029,0.021,1.231,2.3061,24.2833,38.1385,0.0,9.7319,15.9636,0.0,0.0,5.0,0.1875,0.0,2065597250.0,849295500.0,2198472250.0,5.457,103.969,6.7845,-0.0445,GTS,17.809998999999998,21.397222361111112,463557514.1320639
2015-06-30,-0.1111,-0.5514,-0.3112,-0.2772,-0.2772,3.0559,0.0413,0.0126,-0.2906,0.0174,0.0,0.0,2.8833,0.0,0.0262,-0.5517,-0.0279,781985000.0,0.3237,637898000.0,144087000.0,0.0,126824000.0,126824000.0,17263000.0,2074000.0,15214000.0,-3712000.0,-25000.0,0.0,18926000.0,0.0,18926000.0,0.73,0.73,26524634.0,0.0,0.1843,0.027,0.0221,0.024,0.0466,21252000.0,17288000.0,18901000.0,2508263000.0,0.0604,1940175000.0,568088000.0,0.0,502437000.0,502437000.0,65651000.0,8829000.0,57182000.0,-7809000.0,-360000.0,0.0,64991000.0,0.0,64991000.0,2.44,2.43,26524634.0,0.0,0.2265,0.035,0.0263,0.026,0.0425,87971000.0,66011000.0,64631000.0,31.821,83.241,1.373,2.3618,8.0116,0.0742,0.0281,8.3356,2.0053,0.0,0.0114,0.1622,0.0,2207936000.0,2058079000.0,351061000.0,193860000.0,0.0,-0.0406,0.076,0.03,0.026,1.154,1.7189,30.0472,51.5268,0.0,7.1448,12.9385,0.0,0.0,9.0,0.2003,0.0,2060708500.0,855462750.0,2173834500.0,4.023,94.564,7.4766,-0.0447,GTS,25.66,24.28249994444444,680622108.44
2015-03-31,0.1001,1.1164,1.1331,1.1538,1.24,0.8061,0.0356,0.0529,-0.1661,0.0286,0.0,0.0,0.9084,0.0,0.016,1.1188,0.0081,581724000.0,-0.0053,432430000.0,149294000.0,0.0,127375000.0,127375000.0,21919000.0,2182000.0,19767000.0,4931000.0,-30000.0,0.0,14836000.0,0.0,14836000.0,0.56,0.56,27506959.0,0.0,0.2566,0.045,0.0377,0.026,0.0641,26123000.0,21949000.0,14806000.0,2317019000.0,-0.0242,1730918000.0,586101000.0,0.0,499202000.0,499202000.0,86899000.0,9151000.0,78106000.0,4565000.0,-358000.0,0.0,73541000.0,0.0,73541000.0,2.72,2.71,27506959.0,0.0,0.253,0.048,0.0377,0.032,0.022,110726000.0,87257000.0,73183000.0,31.37,79.057,1.356,2.6923,6.7736,0.0858,0.0337,10.0591,2.6136,0.0,0.0115,0.219,0.0,2174608000.0,2062343000.0,308602000.0,193256500.0,0.0,-0.0377,0.086,0.034,0.038,1.077,0.7519,31.5197,49.2993,0.0,7.5081,11.9893,0.0,0.0,6.0,0.2155,0.0,2083246750.0,858818500.0,2151668250.0,1.853,84.234,9.5352,-0.0783,GTS,19.879998999999998,20.585555583333335,546838317.413041
2014-12-31,0.1203,28.3779,274.2577,97.0,0.0,-3.0982,0.0479,0.1014,-0.1661,0.148,0.0,0.0,-3.9752,0.0,0.0022,18.9504,-0.0075,577305000.0,-0.0266,435994000.0,141311000.0,0.0,127202000.0,127202000.0,14109000.0,2300000.0,12046000.0,-14460000.0,-237000.0,0.0,26506000.0,0.0,26506000.0,0.98,0.97,27263335.0,0.0,0.2448,0.039,0.0248,0.046,-0.0412,22772000.0,14346000.0,26269000.0,2320114000.0,-0.0258,1747595000.0,572519000.0,0.0,497194000.0,497194000.0,75325000.0,9274000.0,66405000.0,745000.0,-354000.0,0.0,65660000.0,0.0,65660000.0,2.42,2.41,27263335.0,0.0,0.2468,0.043,0.0326,0.028,0.0143,100079000.0,75679000.0,65306000.0,31.491,77.773,-0.873,2.7314,4.0361,0.0867,0.0347,6.2374,-0.8607,0.0,0.0118,0.2203,0.0,2120339000.0,2084769000.0,295280500.0,161940000.0,0.0,0.043,0.078,0.031,0.033,1.088,0.5786,25.5579,49.6536,0.0,7.8573,14.327,0.0,0.0,8.0,0.2143,0.0,2093424000.0,846317500.0,2132760250.0,1.218,85.1,8.1603,-0.1259,GTS,23.91,23.88885722857143,651866339.85
2014-09-30,-0.0491,-0.4856,-0.7466,-0.75,-0.75,-0.257,0.0196,0.1275,-0.1491,-0.041,0.0,0.0,-0.2672,0.0,0.042,-0.4877,-0.0075,567249000.0,-0.0494,433853000.0,133396000.0,0.0,121036000.0,121036000.0,12360000.0,2273000.0,10155000.0,5432000.0,-68000.0,0.0,4723000.0,0.0,4723000.0,0.17,0.17,27269426.0,0.0,0.2352,0.031,0.0219,0.008,0.1001,17824000.0,12428000.0,4655000.0,2335897000.0,-0.0233,1778552000.0,557345000.0,0.0,496915000.0,496915000.0,60430000.0,9259000.0,51550000.0,12493000.0,-379000.0,0.0,39057000.0,0.0,39057000.0,1.45,1.43,27269426.0,0.0,0.2386,0.036,0.026,0.017,0.0278,84568000.0,60809000.0,38678000.0,31.403,76.674,2.082,3.2203,5.1721,0.1025,0.0415,5.4677,12.2371,0.0,0.012,0.2134,0.0,2090867000.0,2037643000.0,279211500.0,169342500.0,0.0,-0.0175,0.047,0.019,0.026,1.108,1.8352,24.8445,42.7161,0.0,8.366,13.7939,0.0,0.0,9.0,0.2127,0.0,2081525000.0,828023250.0,2108232250.0,2.384,85.66,6.5676,-0.0931,GTS,19.9,18.928611,542661577.4
2014-06-30,0.166,1.0435,0.3641,0.4028,0.4028,-1.6824,0.0231,0.1922,-0.3121,0.0306,0.0,0.0,-1.0588,0.0,0.028,1.0492,-0.0407,590741000.0,-0.0152,428641000.0,162100000.0,0.0,123589000.0,123589000.0,38511000.0,2396000.0,36138000.0,8662000.0,-23000.0,0.0,27476000.0,0.0,27476000.0,1.01,1.01,27284961.0,0.0,0.2744,0.074,0.0652,0.047,-0.0327,44007000.0,38534000.0,27453000.0,2365361000.0,-0.0149,1801131000.0,564230000.0,0.0,492035000.0,492035000.0,72195000.0,9365000.0,63178000.0,10203000.0,-348000.0,0.0,52975000.0,0.0,52975000.0,1.96,1.94,27284961.0,0.0,0.2385,0.041,0.0307,0.022,0.0362,96496000.0,72543000.0,52627000.0,31.426,77.672,-0.709,3.2366,2.1752,0.103,0.0412,16.0826,-0.6719,0.0,0.0118,0.2092,0.0,2119271000.0,2148232000.0,342871500.0,183559000.0,0.0,0.0473,0.066,0.025,0.031,1.127,1.7305,27.9668,53.705,0.0,6.8987,12.8861,0.0,0.0,7.0,0.208,0.0,2089413750.0,805231500.0,2098046750.0,3.141,86.691,7.7462,-0.065,GTS,17.93,17.569999828571426,489219350.73
2014-03-31,-0.0306,-0.5882,-0.5965,-0.5738,-0.5902,-0.3111,0.0173,0.0766,-0.1874,0.0419,0.0,0.0,-0.219,0.0,0.0914,-0.5883,-0.0414,584819000.0,-0.0121,449107000.0,135712000.0,0.0,125367000.0,125367000.0,10345000.0,2305000.0,8066000.0,1111000.0,-26000.0,0.0,6955000.0,0.0,6955000.0,0.26,0.25,27285166.0,0.0,0.2321,0.026,0.0177,0.012,0.0334,15476000.0,10371000.0,6929000.0,2374456000.0,-0.0205,1833308000.0,541148000.0,0.0,488671000.0,488671000.0,52477000.0,9395000.0,43471000.0,-2170000.0,-389000.0,0.0,45641000.0,0.0,45641000.0,1.67,1.65,27285166.0,0.0,0.2279,0.033,0.0223,0.019,0.0403,77301000.0,52866000.0,45252000.0,29.793,76.927,0.717,3.2547,3.1053,0.1092,0.0418,4.4993,3.0868,0.0,0.012,0.2144,0.0,2098976000.0,2103052000.0,298127500.0,172789000.0,0.0,-0.0893,0.059,0.022,0.022,1.138,2.2623,28.6573,46.7694,0.0,7.9646,13.7419,0.0,0.0,9.0,0.2058,0.0,2087598750.0,778292750.0,2085923750.0,3.506,87.024,5.627,-0.0736,GTS,16.139999,16.52942837142857,440382551.954834
