,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.1929,0.3425,0.5559,0.3704,0.3704,1.0769,0.2275,0.1439,0.076,0.0,0.0,0.3699,0.9767,0.0,0.1096,0.3425,0.1514,41847000.0,0.1929,0.0,41847000.0,0.0,17936000.0,24942000.0,16905000.0,0.0,16905000.0,2790000.0,0.0,0.0,14115000.0,0.0,14115000.0,0.37,0.37,38332853.0,0.1,1.0,0.439,0.404,0.337,0.3488,18391000.0,16905000.0,14115000.0,157898000.0,0.2058,0.0,157898000.0,0.0,72163000.0,101583000.0,56315000.0,0.0,56315000.0,13575000.0,0.0,0.0,42740000.0,0.0,42740000.0,1.143,1.143,38332853.0,0.36,1.0,0.397,0.3567,0.271,0.4085,62731000.0,56315000.0,42740000.0,12.275,102.924,0.381,14.6765,1.8005,1.1956,0.138,0.0,1.0906,0.27,0.0322,0.4286,0.0,3945372000.0,4438945000.0,0.0,0.0,0.0,-0.0517,0.0019,-0.019,-0.5357,0.096,0.011,0.357,0.041,1.5911,0.0,0.0,0.0,0.0,0.0,0.0,0.315,23.0,0.457,0.0,4242030750.0,445021000.0,3882541250.0,1.683,4.119,0.0,-0.0516,0.0021,-0.0222,-0.5466,HBNC,20.690001000000002,20.998000085714285,793106766.9028531
2018-03-31,0.2551,0.3591,0.5569,0.3482,0.3482,0.576,0.2524,0.1469,0.5608,0.0,0.0,0.1918,0.606,0.0,0.2306,0.3591,0.1516,41162000.0,0.2551,0.0,41162000.0,0.0,19035000.0,25837000.0,15325000.0,0.0,15325000.0,2521000.0,0.0,0.0,12804000.0,0.0,12804000.0,0.333,0.333,38341229.0,0.087,1.0,0.416,0.3723,0.311,0.7024,17139000.0,15325000.0,12804000.0,151131000.0,0.2016,0.0,151131000.0,0.0,70391000.0,99129000.0,52002000.0,0.0,52002000.0,14305000.0,0.0,0.0,37697000.0,0.0,37697000.0,1.043,1.043,38341229.0,0.333,1.0,0.386,0.3441,0.249,0.379,58351000.0,52002000.0,37697000.0,12.008,100.102,0.754,14.5535,1.6586,1.2119,0.1406,0.0,2.3419,0.261,0.0332,0.4624,0.0,3838026000.0,4332434000.0,0.0,0.0,0.0,-0.0358,0.002,-0.0261,-0.5921,0.09,0.01,0.344,0.041,1.5922,0.0,0.0,0.0,0.0,0.0,0.0,0.319,25.0,0.4658,0.0,4055125750.0,416702000.0,3693683000.0,1.494,3.942,0.0,-0.0456,0.0022,-0.0181,-0.4312,HBNC,20.006666,19.84098032352942,767080162.632514
2017-12-31,0.3322,0.8591,0.3653,0.25,0.1976,-0.1669,0.2621,0.1667,0.9735,0.0,0.0,0.2985,-0.1878,0.0,0.2057,0.8591,0.1493,39699000.0,0.3322,0.0,39699000.0,0.0,18379000.0,26291000.0,13408000.0,0.0,13408000.0,5758000.0,0.0,0.0,7650000.0,0.0,7650000.0,0.2,0.2,38223657.0,0.087,1.0,0.379,0.3377,0.193,0.2964,15041000.0,13408000.0,7650000.0,142766000.0,0.1936,0.0,142766000.0,0.0,66824000.0,94813000.0,47953000.0,0.0,47953000.0,14836000.0,0.0,0.0,33117000.0,0.0,33117000.0,0.96,0.953,38223657.0,0.32,1.0,0.377,0.3359,0.232,0.3248,53889000.0,47953000.0,33117000.0,11.958,100.253,0.308,15.7444,1.9998,1.3166,0.1518,0.0,1.5408,0.435,0.0334,0.463,0.0,3832021000.0,4357390000.0,0.0,0.0,0.0,-0.0019,0.0022,-0.0006,-0.0135,0.085,0.009,0.336,0.041,1.4815,0.0,0.0,0.0,0.0,0.0,0.0,0.333,24.0,0.4681,0.0,3816961750.0,388741750.0,3493656250.0,1.213,3.735,0.0,-0.0548,0.0023,-0.0188,-0.453,HBNC,18.533333,18.254141606060607,708411763.6587809
2017-09-30,0.0576,0.1617,0.2377,0.1594,0.2,18.9437,0.0583,0.1315,-0.1837,0.0,0.0,0.2985,6.6238,0.0,0.0508,0.1617,0.0022,35190000.0,0.0576,0.0,35190000.0,0.0,16813000.0,24513000.0,10677000.0,0.0,10677000.0,2506000.0,0.0,0.0,8171000.0,0.0,8171000.0,0.24,0.24,33322347.0,0.087,1.0,0.346,0.3034,0.232,0.2621,12160000.0,10677000.0,8171000.0,132867000.0,0.1507,0.0,132867000.0,0.0,63689000.0,91110000.0,41757000.0,0.0,41757000.0,10687000.0,0.0,0.0,31070000.0,0.0,31070000.0,0.917,0.923,33322347.0,0.3,1.0,0.358,0.3143,0.234,0.3695,47545000.0,41757000.0,31070000.0,11.766,102.522,0.277,14.8777,2.1806,1.2645,0.1409,0.0,1.3264,0.362,0.0293,0.4778,0.0,3416257000.0,3839354000.0,0.0,0.0,0.0,-0.149,0.0023,-0.0459,-1.089,0.086,0.009,0.314,0.04,1.6552,0.0,0.0,0.0,0.0,0.0,0.0,0.327,26.0,0.4793,0.0,3549854750.0,359686000.0,3287869500.0,1.473,3.987,0.0,-0.0453,0.0024,-0.0175,-0.4027,HBNC,19.446667,17.592952457142857,648008585.767449
2017-06-30,0.1731,0.4068,0.4341,0.1588,0.1588,1.864,0.1381,0.0296,-0.0055,0.0,0.0,0.0896,2.4477,0.0,0.2106,0.4068,0.2348,35080000.0,0.1731,0.0,35080000.0,0.0,16164000.0,22488000.0,12592000.0,0.0,12592000.0,3520000.0,0.0,0.0,9072000.0,0.0,9072000.0,0.27,0.27,33293573.0,0.073,1.0,0.399,0.359,0.259,0.2105,14011000.0,12592000.0,9072000.0,130950000.0,0.1897,0.0,130950000.0,0.0,62876000.0,90679000.0,40271000.0,0.0,40271000.0,10770000.0,0.0,0.0,29501000.0,0.0,29501000.0,0.883,0.883,33293573.0,0.28,1.0,0.351,0.3075,0.225,0.292,45903000.0,40271000.0,29501000.0,10.731,97.149,0.222,15.7047,1.9822,1.4635,0.1574,0.0,0.817,0.27,0.0261,0.4608,0.0,3234452000.0,3691325000.0,0.0,0.0,0.0,-0.0036,0.0023,-0.0008,-0.019,0.085,0.009,0.308,0.04,1.3553,0.0,0.0,0.0,0.0,0.0,0.0,0.317,22.0,0.4802,0.0,3531357250.0,348106250.0,3239406750.0,1.148,3.933,0.0,-0.0438,0.0024,-0.0134,-0.3111,HBNC,17.566668,17.23981497222222,584857143.424764
2017-03-31,0.2316,0.5323,0.5404,0.235,0.235,1.0209,0.2061,0.0759,-0.2284,0.0,0.0,0.0896,0.9614,0.0,0.1802,0.5323,0.2393,32797000.0,0.2316,0.0,32797000.0,0.0,15468000.0,21521000.0,11276000.0,0.0,11276000.0,3052000.0,0.0,0.0,8224000.0,0.0,8224000.0,0.247,0.247,33293438.0,0.073,1.0,0.387,0.3438,0.251,0.5489,12677000.0,11276000.0,8224000.0,125773000.0,0.2176,0.0,125773000.0,0.0,60064000.0,89143000.0,36630000.0,0.0,36630000.0,9875000.0,0.0,0.0,26755000.0,0.0,26755000.0,0.847,0.847,33293438.0,0.273,1.0,0.335,0.2912,0.213,0.2623,42123000.0,36630000.0,26755000.0,10.47,92.587,0.541,10.7381,1.8106,1.0256,0.1128,0.0,2.3136,0.296,0.0275,0.4716,0.0,3082549000.0,3379778000.0,0.0,0.0,0.0,-0.0539,0.0023,-0.0313,-0.7316,0.081,0.009,0.291,0.04,1.3141,0.0,0.0,0.0,0.0,0.0,0.0,0.322,22.0,0.4776,0.0,3425893250.0,329042000.0,3138632250.0,0.991,3.778,0.0,-0.0617,0.0026,-0.0173,-0.3952,HBNC,17.48,17.306296361111112,581969296.24
2016-12-31,0.1613,-0.1404,-0.0881,-0.3133,-0.2643,0.0662,0.1843,0.0313,-0.3675,0.0,0.0,0.0,0.1676,0.0,0.1723,-0.1404,0.2387,29800000.0,0.1613,0.0,29800000.0,0.0,15244000.0,22588000.0,7212000.0,0.0,7212000.0,1609000.0,0.0,0.0,5603000.0,0.0,5603000.0,0.16,0.167,33258155.0,0.067,1.0,0.292,0.242,0.188,0.4861,8697000.0,7212000.0,5603000.0,119605000.0,0.196,0.0,119605000.0,0.0,57702000.0,86892000.0,32713000.0,0.0,32713000.0,8801000.0,0.0,0.0,23912000.0,42000.0,23870000.0,0.793,0.793,33258155.0,0.267,1.0,0.318,0.2735,0.2,0.202,37988000.0,32713000.0,23912000.0,10.249,91.853,0.436,9.169,2.1298,0.8946,0.0971,0.0,2.5253,0.419,0.0275,0.5115,0.0,3054849000.0,3288962000.0,0.0,0.0,0.0,0.0237,0.0026,0.0113,0.2263,0.078,0.008,0.274,0.04,1.0703,0.0,0.0,0.0,0.0,0.0,0.0,0.337,35.0,0.4824,0.0,3327687250.0,307252500.0,3003201000.0,0.727,3.596,0.0,-0.0541,0.0027,-0.0116,-0.2622,HBNC,18.666666,16.712941147058828,620818871.16123
2016-09-30,0.1936,0.6293,0.5509,0.2938,0.25,-1.0992,0.2752,-0.182,0.4935,0.0,0.0,0.0,-1.3333,0.0,0.1716,0.6293,0.5965,33273000.0,0.1936,0.0,33273000.0,0.0,16000000.0,24082000.0,9191000.0,0.0,9191000.0,2589000.0,0.0,0.0,6602000.0,0.0,6602000.0,0.207,0.2,33248142.0,0.067,1.0,0.316,0.2762,0.198,-0.0493,10518000.0,9191000.0,6602000.0,115467000.0,0.195,0.0,115467000.0,0.0,55461000.0,81576000.0,33891000.0,0.0,33891000.0,9407000.0,0.0,0.0,24484000.0,73000.0,24411000.0,0.873,0.86,33248142.0,0.2,1.0,0.336,0.2935,0.211,0.1913,38813000.0,33891000.0,24484000.0,10.399,97.502,-0.049,18.2665,2.5181,1.7566,0.1826,0.0,-0.0915,0.324,0.0252,0.4809,0.0,3241759000.0,3765364000.0,0.0,0.0,0.0,1.7152,0.0023,-0.0311,-0.7807,0.085,0.008,0.294,0.04,1.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.229,25.0,0.4803,0.0,3262677750.0,288746750.0,2881012250.0,0.664,3.473,0.0,-0.1047,0.0028,-0.0224,-0.525,HBNC,13.057777,12.580123444444446,434146823.900334
2016-06-30,0.2928,0.3813,0.3468,0.0264,0.0688,-0.4475,0.3149,0.071,0.2579,0.0,0.0,0.0806,-0.344,0.0,0.2448,0.3813,0.298,29903000.0,0.2928,0.0,29903000.0,0.0,13352000.0,20952000.0,8951000.0,0.0,8951000.0,2625000.0,0.0,0.0,6326000.0,0.0,6326000.0,0.233,0.233,26962454.0,0.067,1.0,0.342,0.2993,0.212,0.0716,10231000.0,8951000.0,6326000.0,110070000.0,0.2122,0.0,110070000.0,0.0,53117000.0,79729000.0,30341000.0,0.0,30341000.0,8171000.0,0.0,0.0,22170000.0,104000.0,22066000.0,0.827,0.82,26962454.0,0.2,1.0,0.319,0.2757,0.2,0.2603,35073000.0,30341000.0,22170000.0,10.422,105.811,0.079,19.4996,4.051,1.871,0.1802,0.0,0.4091,0.288,0.0223,0.4465,0.0,2852936000.0,3269469000.0,0.0,0.0,0.0,-0.1723,0.0034,-0.0149,-0.3484,0.082,0.008,0.276,0.041,1.4214,0.0,0.0,0.0,0.0,0.0,0.0,0.242,24.0,0.4826,0.0,3048629250.0,268497250.0,2701578250.0,1.062,4.082,0.0,-0.0867,0.0029,-0.0247,-0.5744,HBNC,11.173333,10.861111000000001,301260477.039182
2016-03-31,0.141,0.0122,0.0023,-0.2248,-0.1803,-0.1582,0.22,0.0111,-0.0206,0.0,0.0,0.0806,0.018,0.0,0.1938,0.0122,0.296,26629000.0,0.141,0.0,26629000.0,0.0,13106000.0,19270000.0,7359000.0,0.0,7359000.0,1978000.0,0.0,0.0,5381000.0,42000.0,5339000.0,0.2,0.2,26864746.0,0.067,1.0,0.321,0.2764,0.2,0.3447,8542000.0,7359000.0,5381000.0,103297000.0,0.1383,0.0,103297000.0,0.0,50491000.0,75427000.0,27870000.0,0.0,27870000.0,7298000.0,0.0,0.0,20572000.0,135000.0,20437000.0,0.82,0.804,26864746.0,0.196,1.0,0.312,0.2698,0.198,0.2882,32249000.0,27870000.0,20572000.0,9.731,95.71,0.342,17.2473,1.7723,1.7724,0.1763,0.0,1.7634,0.335,0.0216,0.4922,0.0,2571223000.0,2986954000.0,0.0,0.0,0.0,-0.0252,0.0026,-0.0089,-0.2003,0.082,0.008,0.27,0.041,1.6373,0.0,0.0,0.0,0.0,0.0,0.0,0.239,26.0,0.4888,0.0,2871686500.0,248779500.0,2526885000.0,1.108,3.845,0.0,-0.1103,0.0029,-0.0357,-0.8429,HBNC,10.986667,10.76190474285714,295154018.341582
