,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.0728,-0.1423,-0.329,-0.0857,-0.0108,4.9347,0.0618,-0.1537,0.0263,-0.1203,0.0,0.0714,5.4482,0.0,0.0204,-0.1751,-0.0533,58813000.0,-0.1297,21803000.0,37010000.0,0.0,17799000.0,20985000.0,16025000.0,4505000.0,11520000.0,5117000.0,0.0,0.0,6403000.0,0.0,6403000.0,0.96,0.92,9338738.0,0.375,0.6293,0.319,0.2725,0.109,0.7075,18764000.0,16025000.0,6403000.0,225665000.0,-0.1867,153893000.0,71772000.0,0.0,68067000.0,76697000.0,-4925000.0,17822000.0,-22747000.0,-11486000.0,0.0,0.0,-11261000.0,0.0,-11261000.0,-0.93,-1.11,9338738.0,1.425,0.318,0.025,-0.0218,-0.05,0.0468,5725000.0,-4925000.0,-11261000.0,20.455,89.585,4.456,25.8047,23.2646,1.2616,0.2863,3.5572,6.5882,0.391,0.0061,0.3026,0.0,836610000.0,860331000.0,60841500.0,157000.0,0.0,-0.0136,0.0176,-0.0098,-0.2096,-0.058,-0.013,-0.022,0.259,-1.1236,0.2151,92.1117,0.0,3.7091,1437.3567,0.0,-1.532,-81.0,0.3016,0.0,857030750.0,192738500.0,871613250.0,1.131,24.164,-0.2763,-0.1652,0.019,-0.0093,-0.1962,HCI,41.57,42.318856914285725,388211338.66
2018-03-31,-0.0972,-0.1503,-0.1022,-0.0157,-0.0348,-1.5989,-0.0189,-0.0967,-0.123,-0.164,0.0,0.0,-1.6349,0.0,-0.059,-0.1503,-0.0801,57739000.0,-0.1473,19655000.0,38084000.0,0.0,15643000.0,18810000.0,19274000.0,4470000.0,14804000.0,4013000.0,0.0,0.0,10791000.0,0.0,10791000.0,1.25,1.11,9458442.0,0.35,0.6596,0.381,0.3338,0.187,-0.2609,21974000.0,19274000.0,10791000.0,234432000.0,-0.1363,159755000.0,74677000.0,0.0,67712000.0,76201000.0,-1524000.0,17695000.0,-19962000.0,-11840000.0,0.0,0.0,-8122000.0,0.0,-8122000.0,-0.84,-1.1,9458442.0,1.4,0.3185,0.035,-0.0097,-0.035,-0.1049,8123000.0,-2267000.0,-8122000.0,20.395,81.237,-1.593,25.3099,24.0017,1.241,0.3096,4.3119,-1.3523,0.28,0.0063,0.2709,0.0,768380000.0,780753000.0,29228500.0,2219500.0,0.0,0.0323,0.0151,-0.0082,-0.1744,-0.04,-0.009,-0.01,0.273,2.7608,0.1775,41.443,0.0,8.0207,105.6238,0.0,-1.667,-151.0,0.2888,0.0,823537750.0,204589500.0,859364750.0,-2.6,24.785,-0.1281,0.0968,0.0183,-0.0093,-0.209,HCI,38.16,37.42705879411764,360934146.71999997
2017-12-31,0.4248,1.4116,1.6239,1.766,1.549,-7.9247,0.257,-0.1713,0.7127,-0.0324,0.0,0.1667,-7.3573,0.0,0.0407,1.4116,-0.0397,61623000.0,-0.1485,23204000.0,38419000.0,0.0,20094000.0,17033000.0,21386000.0,4439000.0,16947000.0,4856000.0,0.0,0.0,12091000.0,0.0,12091000.0,1.3,1.3,9781952.0,0.35,0.6235,0.39,0.347,0.196,-0.575,24032000.0,21386000.0,12091000.0,244406000.0,-0.0758,165629000.0,78777000.0,0.0,64790000.0,76891000.0,1886000.0,16767000.0,-15624000.0,-8731000.0,0.0,0.0,-6893000.0,0.0,-6893000.0,-0.75,-0.75,9781952.0,1.4,0.3223,0.044,0.0047,-0.028,0.0576,10734000.0,1143000.0,-6893000.0,19.83,85.593,-3.622,24.3137,26.2415,1.2261,0.2824,4.8178,-2.892,0.269,0.0059,0.3261,0.0,837269000.0,818411000.0,42780000.0,1654500.0,0.0,0.0134,0.0188,-0.0076,-0.1769,-0.032,-0.008,0.005,0.283,-2.383,0.0224,62.837,0.0,5.7131,147.722,0.0,-1.867,207.0,0.2651,0.0,790451750.0,214406500.0,863094000.0,1.44,24.985,0.0682,-0.1425,0.0185,-0.0096,-0.244,HCI,29.9,30.094545454545454,292480364.8
2017-09-30,-1.9508,-3.714,-4.5777,-4.7949,-5.0364,-0.0666,0.5041,-0.1787,0.7103,0.0044,0.0,0.1667,-0.3844,0.0,-0.1183,-3.714,-0.0387,47490000.0,-0.3197,89231000.0,-41741000.0,0.0,14531000.0,19869000.0,-61610000.0,4408000.0,-66018000.0,-25472000.0,0.0,0.0,-40546000.0,0.0,-40546000.0,-4.44,-4.44,9986330.0,0.35,-0.8789,-1.243,-1.2973,-0.854,0.4096,-59045000.0,-61610000.0,-40546000.0,255154000.0,-0.0013,187831000.0,67323000.0,0.0,67907000.0,77955000.0,-10632000.0,15295000.0,-26670000.0,-12294000.0,0.0,0.0,-14376000.0,0.0,-14376000.0,-1.65,-1.85,9986330.0,1.35,0.2639,-0.012,-0.0446,-0.056,0.1779,-2990000.0,-11375000.0,-14376000.0,19.332,102.616,1.948,23.6634,29.2838,1.2241,0.2296,-13.9769,-0.494,-0.079,0.0044,0.306,0.0,1024755000.0,968628000.0,57646000.0,121500.0,0.0,-0.0288,0.0258,-0.0121,-0.225,-0.063,-0.018,-0.045,0.311,-3.31,0.3476,82.6433,0.0,4.4262,2100.0329,0.0,-0.818,-28.0,0.2661,0.0,716723250.0,226849250.0,820044000.0,4.545,25.55,-0.7437,-0.0461,0.0176,-0.0086,-0.2617,HCI,38.25,37.76771428571429,381977122.5
2017-06-30,0.1324,0.3499,0.3585,0.4789,0.3099,-0.8352,0.1823,0.0583,0.8327,0.005,0.0,0.1667,-0.8497,0.0,0.0534,0.4036,-0.0603,67580000.0,0.0985,27665000.0,39915000.0,0.0,17444000.0,20489000.0,19426000.0,4378000.0,14305000.0,4763000.0,0.0,0.0,9542000.0,0.0,9542000.0,1.05,0.93,9864878.0,0.35,0.5906,0.313,0.2765,0.141,0.0955,21162000.0,18683000.0,9542000.0,277472000.0,0.1236,124509000.0,152963000.0,0.0,69857000.0,79284000.0,73679000.0,13559000.0,59377000.0,21874000.0,0.0,0.0,37503000.0,0.0,37503000.0,3.96,3.69,9864878.0,1.3,0.5513,0.289,0.2629,0.135,0.2074,80068000.0,72936000.0,37503000.0,24.169,79.886,0.654,23.8033,30.0582,0.9849,0.2962,4.2675,0.7449,0.333,0.0059,0.2581,0.0,788062000.0,726359000.0,64572000.0,90500.0,0.0,-0.0921,0.0153,-0.0097,-0.2642,0.156,0.051,0.263,0.378,1.3069,0.2381,85.1542,0.0,4.2971,3065.989,0.0,0.328,5.0,0.2518,0.0,606572500.0,239713250.0,733803750.0,5.833,28.127,5.3792,0.1739,0.0158,0.0307,1.1953,HCI,46.98,45.588333000000006,463451968.44
2017-03-31,0.253,0.811,0.9848,1.1167,0.9167,-0.1072,0.2512,0.0264,1.1428,-0.1408,0.0,0.1667,-0.1219,0.0,0.0079,0.811,-0.0465,67713000.0,0.1147,25529000.0,42184000.0,0.0,16624000.0,19500000.0,22684000.0,3542000.0,19142000.0,7122000.0,0.0,0.0,12020000.0,0.0,12020000.0,1.27,1.15,10282438.0,0.35,0.623,0.363,0.335,0.178,0.3504,24585000.0,22684000.0,12020000.0,271412000.0,0.0262,123116000.0,148296000.0,0.0,68972000.0,80203000.0,68093000.0,11792000.0,56301000.0,21316000.0,0.0,0.0,34985000.0,0.0,34985000.0,3.62,3.47,10282438.0,1.25,0.5464,0.273,0.2509,0.129,0.3464,74027000.0,68093000.0,34985000.0,22.579,76.185,2.307,26.5484,39.6732,1.1758,0.3464,6.4043,2.027,0.276,0.0061,0.2455,0.0,783364000.0,648409000.0,34448500.0,2706000.0,0.0,-0.0263,0.0163,-0.0095,-0.3367,0.146,0.05,0.251,0.386,2.431,5.8163,42.8177,0.0,7.8788,100.3001,0.0,0.345,5.0,0.2541,0.0,547312750.0,240046250.0,703242000.0,9.143,26.396,5.7745,0.1054,0.0159,0.033,1.5111,HCI,45.580002,46.37638930555556,468673544.604876
2016-12-31,-0.3579,-0.564,-0.5845,-0.5841,-0.5189,0.9358,0.0519,0.0963,0.0729,-0.296,0.0,0.0,0.9309,0.0,-0.2011,-0.564,-0.0647,72371000.0,0.1413,45406000.0,26965000.0,0.0,19308000.0,18097000.0,8868000.0,2967000.0,5901000.0,1293000.0,0.0,0.0,4608000.0,0.0,4608000.0,0.47,0.51,10186219.0,0.3,0.3726,0.142,0.1225,0.064,-0.0586,10308000.0,8868000.0,4608000.0,264446000.0,-0.0752,124667000.0,139779000.0,0.0,68842000.0,81844000.0,57935000.0,11079000.0,46856000.0,17835000.0,0.0,0.0,29021000.0,0.0,29021000.0,2.95,2.92,10186219.0,1.2,0.5286,0.24,0.2191,0.11,0.368,63343000.0,57935000.0,29021000.0,23.929,65.3,-0.416,13.6324,27.5402,0.5697,0.2072,2.9889,-0.8503,0.638,0.0073,0.2668,0.0,665165000.0,523497000.0,52626000.0,2189000.0,0.0,0.0822,0.0156,-0.0044,-0.2236,0.12,0.044,0.219,0.398,3.0314,4.5465,60.0185,0.0,5.025,120.8068,0.0,0.407,4.0,0.2603,0.0,505063250.0,241313000.0,663688500.0,9.553,25.961,5.2293,0.1061,0.0159,0.0353,1.7261,HCI,39.48,35.071764852941186,402151926.11999995
2016-09-30,0.252,0.551,0.5375,0.625,0.5493,-0.2485,-0.0264,0.1179,0.0496,-0.0061,0.0,0.0,0.114,0.0,0.0487,0.551,-0.0455,69808000.0,0.1395,25909000.0,43899000.0,0.0,16481000.0,21198000.0,22701000.0,2672000.0,20029000.0,8696000.0,0.0,0.0,11333000.0,0.0,11333000.0,1.17,1.1,10388360.0,0.3,0.6289,0.344,0.3252,0.162,0.4527,24013000.0,22701000.0,11333000.0,255487000.0,-0.1107,100681000.0,154806000.0,0.0,73703000.0,85398000.0,69408000.0,10828000.0,58580000.0,23077000.0,0.0,0.0,35503000.0,0.0,35503000.0,3.61,3.47,10388360.0,1.2,0.6059,0.292,0.2717,0.139,0.1575,74716000.0,69408000.0,35503000.0,23.537,65.625,3.042,13.3007,28.0968,0.5651,0.2019,8.4959,1.8934,0.256,0.0037,0.2361,0.0,681733000.0,528025000.0,57696500.0,207500.0,0.0,0.4726,0.0161,0.1453,7.7302,0.148,0.054,0.272,0.39,0.8688,0.0,82.1756,0.0,4.4281,1231.2627,0.0,0.332,2.0,0.2885,0.0,498858250.0,239807000.0,655419000.0,3.872,24.594,6.41,0.3042,0.0166,0.0367,1.7675,HCI,30.360001,31.19805561111112,315390619.98836
2016-06-30,-0.3975,-0.6383,-0.681,-0.6728,-0.6321,1.2983,-0.0445,0.0882,-0.0214,-0.0114,0.0,0.0,1.3053,0.0,0.0561,-0.6383,-0.024,61520000.0,-0.2219,26272000.0,35248000.0,0.0,16559000.0,21408000.0,13840000.0,2611000.0,11229000.0,4205000.0,0.0,0.0,7024000.0,0.0,7024000.0,0.71,0.71,10498374.0,0.3,0.573,0.246,0.225,0.114,0.6978,15121000.0,13840000.0,7024000.0,246941000.0,-0.1572,100972000.0,145969000.0,0.0,72937000.0,84626000.0,61343000.0,10854000.0,50489000.0,18948000.0,0.0,0.0,31541000.0,0.0,31541000.0,3.16,3.08,10498374.0,1.2,0.5911,0.27,0.2484,0.128,0.1498,66661000.0,61343000.0,31541000.0,22.838,63.864,4.089,12.2041,29.4592,0.5344,0.1911,5.3007,6.1424,0.423,0.0,0.2692,0.0,670471000.0,489320000.0,64781500.0,427500.0,0.0,-0.0049,0.0157,-0.0035,-0.1663,0.134,0.048,0.248,0.374,1.2029,0.0,95.2035,0.0,3.8119,577.6398,0.0,0.38,2.0,0.2954,0.0,492593750.0,235964000.0,660061500.0,3.524,23.522,5.6516,-0.025,0.0177,-0.0038,-0.1785,HCI,27.280001000000002,30.228888861111116,286395653.218374
2016-03-31,-0.467,-0.7134,-0.7614,-0.76,-0.7285,-0.5375,-0.0193,0.1491,-0.0217,0.0283,0.0,0.0,-0.5403,0.0,0.1223,-0.7134,0.0021,60747000.0,-0.2611,27080000.0,33667000.0,0.0,16494000.0,21141000.0,12526000.0,2829000.0,9697000.0,3641000.0,0.0,0.0,6056000.0,0.0,6056000.0,0.6,0.6,10783747.0,0.3,0.5542,0.229,0.2062,0.1,0.4448,13901000.0,12526000.0,6056000.0,264489000.0,-0.0561,95265000.0,169224000.0,0.0,72057000.0,83459000.0,85765000.0,10922000.0,74843000.0,28304000.0,0.0,0.0,46539000.0,0.0,46539000.0,4.62,4.3,10783747.0,1.2,0.6398,0.344,0.3243,0.176,0.048,91102000.0,85765000.0,46539000.0,21.999,58.414,2.506,11.8138,25.7715,0.537,0.2022,4.4277,4.5064,0.5,0.0,0.2715,0.0,629927000.0,479411000.0,36548500.0,5369000.0,0.0,-0.01,0.0161,-0.0045,-0.1978,0.2,0.07,0.324,0.396,0.2916,1.5001,51.1408,0.0,7.2367,49.2622,0.0,0.26,3.0,0.2724,0.0,509746250.0,232461500.0,667876250.0,1.176,24.527,7.8525,-0.0652,0.0181,-0.0033,-0.1658,HCI,33.299999,33.140571400000006,359098764.316253
