,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-04-30,0.0188,0.0151,0.459,0.4905,0.4891,-0.0945,0.1252,0.1659,7.4014,0.0011,-0.0983,0.0,0.0909,0.1234,0.0,0.0413,0.0138,0.0098,2392849000.0,0.0279,855394000.0,1537455000.0,0.0,286959000.0,286959000.0,1250496000.0,22270000.0,1227984000.0,85057000.0,0.0,3037000.0,1142927000.0,0.0,1142927000.0,5.47,5.45,209202224.0,271542000.0,0.24,0.6425,0.542,0.5225,0.478,0.914,1296671000.0,1250254000.0,1142927000.0,3159931000.0,0.0407,1739729000.0,1420202000.0,0.0,668152000.0,668152000.0,752050000.0,89372000.0,654972000.0,41823000.0,0.0,13760000.0,613149000.0,0.0,613149000.0,2.93,2.91,209202224.0,0.96,0.4494,0.294,0.2356,0.194,0.2378,927639000.0,744344000.0,613149000.0,1.882,10.799,10.454,7.1492,7.9525,3.7988,0.4762,56.1407,2.242,1.9316,0.044,0.2808,0.1199,0.0,1048062000.0,2259097000.0,-855525000.0,1247403000.0,154774500.0,234501500.0,0.0,-0.0094,0.002,-0.1296,-0.0087,-0.4463,-2.633,0.257,0.7406,0.236,7.0,1.323,1.3863,29.1053,16.9537,0.0,20.4164,13.4751,0.0,0.328,10.0,0.2114,0.0,1851582000.0,-232864750.0,2387764500.0,3.592,15.105,8.3286,0.479,-0.116,0.0069,-0.0312,-0.5378,HRB,27.65,26.320000028571428,5784441493.599999
2018-01-31,0.1382,0.2266,-1.3504,-1.36,-1.36,-0.1124,-0.0287,-0.0063,0.1363,-0.1189,0.0048,0.0,0.0909,-0.0165,0.0,-0.1,0.2205,0.0094,488426000.0,0.0809,416601000.0,71825000.0,0.0,169098000.0,169098000.0,-97273000.0,24560000.0,-123525000.0,122120000.0,0.0,2720000.0,-245645000.0,0.0,-245645000.0,-1.18,-1.18,209068915.0,271145000.0,0.24,0.1471,-0.103,-0.2026,-0.503,-1.4953,-50477000.0,-98965000.0,-245645000.0,3094997000.0,0.0296,1703147000.0,1391850000.0,0.0,656774000.0,656774000.0,735076000.0,90027000.0,635673000.0,382099000.0,0.0,13941000.0,253574000.0,0.0,253574000.0,1.12,1.11,209068915.0,0.94,0.4497,0.295,0.2345,0.082,0.1652,912554000.0,725700000.0,253574000.0,-3.339,7.966,-3.493,10.9306,1.2933,-3.2737,0.8922,-4.0295,1.927,2.8873,-0.203,0.3497,0.3462,0.0,617613000.0,1665518000.0,-1975228000.0,3013837000.0,789741500.0,201369000.0,0.0,0.0298,0.0111,-39.9161,-0.0432,-0.4355,-0.732,0.111,0.2827,0.234,6.0,1.36,2.3833,19.3,93.3573,0.0,3.919,15.3698,0.0,0.839,9.0,0.2122,0.0,1847410250.0,-346513250.0,2276054250.0,2.445,14.804,8.0609,0.2923,-0.1542,0.0063,-0.0301,-0.4988,HRB,26.540001,26.728529558823528,5548689213.168915
2017-10-31,-0.0508,-0.0556,-0.0502,-0.0882,-0.0882,-0.0917,0.0879,-0.1756,0.2241,-0.2405,-0.2579,0.0,0.0909,0.0601,0.0,0.0281,-0.0384,-0.0458,140854000.0,0.0725,240019000.0,-99165000.0,0.0,116846000.0,116846000.0,-216011000.0,21265000.0,-241519000.0,-87953000.0,0.0,5254000.0,-153566000.0,0.0,-153566000.0,-0.74,-0.74,209059957.0,277155000.0,0.24,-0.704,-1.246,-1.5637,-1.09,-2.0092,-175462000.0,-220254000.0,-153566000.0,3058453000.0,0.0099,1675323000.0,1383130000.0,0.0,675573000.0,675573000.0,707557000.0,91407000.0,605298000.0,210593000.0,0.0,14523000.0,394705000.0,0.0,394705000.0,1.8,1.79,209059957.0,0.92,0.4522,0.288,0.2278,0.129,0.171,880231000.0,696705000.0,394705000.0,-1.974,3.908,-1.354,7.1503,1.3473,-3.6214,0.8708,-10.3576,1.131,1.5586,-0.324,0.524,0.8296,0.0,51439000.0,817062000.0,-1684718000.0,1637055000.0,91257000.0,127341500.0,0.0,0.1824,0.0484,-6.9141,-0.3099,-0.9746,-1.06,0.173,0.4241,0.228,8.0,1.341,1.5812,13.7093,9.2788,0.0,33.5147,24.0177,0.0,0.511,9.0,0.2209,0.0,1945746000.0,-372200000.0,2280137000.0,2.502,14.63,7.622,1.2584,-0.162,0.006,-0.0331,-0.5508,HRB,24.74,25.918108081081083,5172143336.179999
2017-07-31,-0.0467,-0.0106,-0.0557,-0.125,-0.125,-0.0451,0.1067,-0.0145,-0.1424,0.0012,-0.1201,0.0,0.0909,0.0905,0.0,-0.0362,-0.0024,-0.0605,137802000.0,0.1008,227715000.0,-89913000.0,0.0,95249000.0,95249000.0,-185162000.0,21277000.0,-207968000.0,-77401000.0,0.0,2749000.0,-130567000.0,0.0,-130567000.0,-0.63,-0.63,207178139.0,292963000.0,0.24,-0.6525,-1.038,-1.3548,-0.947,-3.0639,-143093000.0,-186691000.0,-130567000.0,3048931000.0,0.0077,1661006000.0,1387925000.0,0.0,672379000.0,672379000.0,715546000.0,92762000.0,615543000.0,213492000.0,0.0,12074000.0,402051000.0,0.0,402051000.0,1.86,1.85,207178139.0,0.9,0.4552,0.293,0.2323,0.132,0.1656,892789000.0,708305000.0,402051000.0,-1.035,6.006,-2.038,7.2132,3.2251,-6.9726,0.7009,-8.7743,1.483,3.1334,-0.381,0.4164,0.6912,0.0,271434000.0,1244285000.0,-1512636000.0,1508033000.0,97214500.0,159418000.0,0.0,0.032,0.0349,-5.7742,-0.095,-0.3003,-0.985,0.17,0.4955,0.232,8.0,1.286,1.4949,19.3639,10.8945,0.0,31.3629,19.1254,0.0,0.484,9.0,0.2205,0.0,2127204000.0,-408374500.0,2371541250.0,2.437,14.716,7.6357,0.7663,-0.1599,0.0061,-0.0315,-0.5209,HRB,30.5,30.429714342857135,6318933239.5
2017-04-30,0.0448,0.0591,0.118,0.3249,0.3261,-0.0619,-0.0048,-0.0538,-3.8544,0.0012,0.0631,0.0,0.1,0.0045,0.0,-0.0279,0.0626,-0.0768,2327915000.0,0.0132,818812000.0,1509103000.0,0.0,275581000.0,275581000.0,1233522000.0,22925000.0,1208685000.0,425333000.0,0.0,3218000.0,783352000.0,0.0,783352000.0,3.67,3.66,207167313.0,299895000.0,0.22,0.6483,0.551,0.5291,0.337,0.8363,1281586000.0,1231610000.0,783352000.0,3036314000.0,-0.0006,1644377000.0,1391937000.0,0.0,675953000.0,675953000.0,715984000.0,92951000.0,617315000.0,208370000.0,0.0,11972000.0,408945000.0,0.0,408945000.0,1.92,1.91,207167313.0,0.88,0.4584,0.294,0.2339,0.135,0.1525,892434000.0,710266000.0,408945000.0,-0.294,8.657,9.397,7.2116,5.3944,-24.5388,0.5545,53.7234,1.433,2.5047,0.06,0.3343,0.1184,0.0,406759000.0,1793537000.0,-1408952000.0,1230716000.0,157945500.0,238307000.0,0.0,-0.0078,0.001,0.2937,-0.0066,-0.3068,-1.01,0.172,0.7011,0.234,8.0,1.276,1.3503,26.0893,19.5674,0.0,19.2238,12.7412,0.0,0.458,10.0,0.2226,0.0,2182018250.0,-404744250.0,2379364750.0,2.235,14.656,7.6413,0.6098,-0.1616,0.0064,-0.0294,-0.49,HRB,24.790001,23.579705970588233,5135677896.437313
2017-01-31,-0.2307,-0.0155,-0.2788,-0.4286,-0.4286,-0.0862,0.1635,-0.0997,-0.6993,-0.0088,-0.0505,0.0,0.1,0.1566,0.0,-0.0692,-0.0413,-0.1222,451882000.0,-0.0478,388777000.0,63105000.0,0.0,187897000.0,187897000.0,-124792000.0,25940000.0,-153900000.0,-49386000.0,0.0,3302000.0,-104514000.0,0.0,-104514000.0,-0.5,-0.5,207116813.0,305491000.0,0.22,0.1396,-0.183,-0.2832,-0.231,-1.59,-82800000.0,-127960000.0,-104514000.0,3005876000.0,-0.0119,1678695000.0,1327181000.0,0.0,683870000.0,683870000.0,643311000.0,92659000.0,548874000.0,222619000.0,0.0,9317000.0,326255000.0,0.0,326255000.0,1.03,1.02,207116813.0,0.86,0.4415,0.273,0.2134,0.109,0.1511,819577000.0,641533000.0,326255000.0,-3.866,8.013,-3.469,12.5222,1.4066,-3.2387,1.0062,-4.9329,2.169,6.597,-0.44,0.3562,0.4158,0.0,648197000.0,1659591000.0,-2175613000.0,3407180000.0,808819500.0,222533000.0,0.0,0.0421,0.0099,-27.8047,-0.0642,-0.6423,-0.85,0.135,0.2321,0.213,7.0,1.243,1.7215,29.0318,95.6695,0.0,3.7164,13.5076,0.0,0.835,9.0,0.2275,0.0,2222906250.0,-383747750.0,2417644000.0,2.193,14.513,6.9236,0.3506,-0.1913,0.0064,-0.0357,-0.6034,HRB,21.459999,23.213823617647055,4444726599.863187
2016-10-31,0.0369,0.0769,-0.0084,-0.2364,-0.2364,-0.0901,-0.169,-0.0862,-24.697,0.3197,0.1056,0.0,0.1,-0.1828,0.0,-0.1634,0.1104,-0.2072,131332000.0,0.0227,225702000.0,-94370000.0,0.0,113652000.0,113652000.0,-208022000.0,22620000.0,-231274000.0,-85054000.0,0.0,2805000.0,-146220000.0,0.0,-146220000.0,-0.68,-0.68,219093448.0,305144000.0,0.22,-0.7186,-1.24,-1.5888,-1.113,-2.2925,-162904000.0,-208654000.0,-146220000.0,3028537000.0,-0.0156,1682431000.0,1346106000.0,0.0,697845000.0,697845000.0,648261000.0,90292000.0,553194000.0,204154000.0,0.0,9095000.0,349040000.0,0.0,349040000.0,1.18,1.17,219093448.0,0.84,0.4445,0.271,0.2125,0.115,0.1059,821673000.0,643486000.0,349040000.0,-2.544,5.348,-1.374,8.983,1.5612,-3.5304,0.9452,-9.2243,1.618,1.7946,-0.324,0.4373,0.8654,0.0,268617000.0,1171683000.0,-1936175000.0,2362887000.0,99762000.0,140439000.0,0.0,0.1474,0.0528,-8.8577,-0.2945,-0.8453,-1.099,0.14,0.3608,0.212,7.0,1.217,1.223,16.8497,12.6262,0.0,30.3576,21.5648,0.0,0.712,9.0,0.2304,0.0,2299669750.0,-317727250.0,2488970250.0,1.464,13.823,7.1267,0.6214,-0.2485,0.0073,-0.035,-0.5952,HRB,22.969998999999998,22.821944500000004,5032576281.466552
2016-07-31,-0.1334,-0.0167,-0.241,-0.5556,-0.5556,-0.0829,-0.2108,-0.4039,-1.1494,1.9689,0.0022,0.0,0.1,-0.1997,0.0,0.0064,-0.0617,-0.199,125185000.0,-0.091,211086000.0,-85901000.0,0.0,98823000.0,98823000.0,-184724000.0,21466000.0,-206196000.0,-82523000.0,0.0,2647000.0,-123673000.0,0.0,-123673000.0,-0.56,-0.56,220517257.0,306804000.0,0.22,-0.6862,-1.146,-1.4757,-0.988,-3.7082,-143448000.0,-184730000.0,-123673000.0,3025620000.0,-0.0185,1683130000.0,1342490000.0,0.0,720040000.0,720040000.0,622450000.0,81853000.0,544260000.0,194007000.0,0.0,8779000.0,350253000.0,0.0,350253000.0,1.31,1.3,220517257.0,0.82,0.4437,0.278,0.2069,0.116,0.1214,840993000.0,626113000.0,350253000.0,-0.906,5.771,-2.105,6.7689,1.945,-7.4705,0.6899,-8.6057,0.999,3.703,-0.393,0.4118,0.7894,0.0,-786000.0,1272691000.0,-1754976000.0,1727290000.0,103309500.0,136970000.0,0.0,0.0136,0.0443,-7.4156,-0.0499,-0.1513,-1.892,0.138,0.3454,0.207,6.0,1.192,1.3271,18.9502,12.4768,0.0,29.2869,22.0897,0.0,0.626,9.0,0.238,0.0,2181821250.0,-185170250.0,2538044000.0,1.666,13.721,7.6492,1.2362,-0.2097,0.0096,-0.0322,-0.4536,HRB,23.790001,23.412941088235282,5246105764.547257
2016-04-30,-0.0274,-0.0416,-0.0517,0.0297,0.0299,-0.0561,0.0521,-0.3694,-0.9845,1.9485,-0.0884,0.0,0.0,0.0478,0.0,0.0524,-0.045,-0.1847,2297477000.0,-0.0017,853130000.0,1444347000.0,0.0,283498000.0,283498000.0,1160849000.0,22633000.0,1140244000.0,439582000.0,0.0,563000.0,700662000.0,0.0,700662000.0,2.77,2.76,224405675.0,319690000.0,0.2,0.6287,0.526,0.5062,0.305,0.8435,1208729000.0,1162877000.0,700662000.0,3038153000.0,-0.0132,1685552000.0,1352601000.0,0.0,719409000.0,719409000.0,633192000.0,68962000.0,560193000.0,185926000.0,0.0,9286000.0,374267000.0,0.0,374267000.0,1.5,1.49,224405675.0,0.8,0.4452,0.264,0.2071,0.123,0.1463,802753000.0,629155000.0,374267000.0,0.103,8.657,8.636,6.6496,4.4603,64.5891,0.5241,51.3797,1.174,2.8138,0.072,0.3177,0.1234,0.0,180996000.0,1942583000.0,-1603521000.0,1394268000.0,160540000.0,245454000.0,0.0,-0.017,0.0011,0.4065,-0.0146,-0.7307,1.327,0.129,0.4901,0.207,6.0,1.046,1.455,31.1863,18.3952,0.0,18.9246,12.3777,0.0,0.533,11.0,0.2368,0.0,1927532250.0,282138250.0,2904522000.0,1.981,13.539,9.1232,0.7887,-0.1835,0.0077,-0.0329,-0.5756,HRB,20.24,25.19228574285715,4541970862.0
2016-01-31,-0.2829,-0.5099,-1.212,-1.6923,-1.6923,0.0136,-0.3302,-0.3462,-1.5461,1.3837,0.0673,0.0,0.0,-0.3155,0.0,0.065,-0.5947,-0.1425,474543000.0,-0.0678,392513000.0,82030000.0,0.0,201872000.0,201872000.0,-119842000.0,23573000.0,-149580000.0,-67851000.0,0.0,3080000.0,-81729000.0,0.0,-81729000.0,-0.35,-0.35,235949974.0,334297000.0,0.2,0.1729,-0.17,-0.2655,-0.172,-1.7951,-80704000.0,-126007000.0,-81729000.0,3042046000.0,-0.0893,1648811000.0,1393235000.0,0.0,705287000.0,705287000.0,687948000.0,54889000.0,624716000.0,212270000.0,0.0,14015000.0,412446000.0,0.0,412446000.0,1.43,1.42,235949974.0,0.8,0.458,0.318,0.2234,0.136,0.1171,967155000.0,679605000.0,412446000.0,-2.275,8.247,-3.61,11.0898,1.0984,-4.8751,0.914,-5.3454,2.069,10.085,-0.571,0.3204,0.4254,0.0,629817000.0,1945786000.0,-2180821000.0,3714234000.0,803613500.0,189154500.0,0.0,0.0335,0.0152,-29.2114,-0.0582,-0.6101,0.561,0.124,0.2133,0.223,6.0,0.916,1.0834,24.7146,99.5605,0.0,3.7855,16.0823,0.0,0.559,13.0,0.2318,0.0,1621486250.0,734599750.0,3321570750.0,1.509,12.893,12.3814,0.4483,-0.203,0.0155,-0.0298,-0.3154,HRB,34.049999,32.865312718750005,8034096378.750026
