,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-03-30,0.0565,0.2959,1.3647,1.4286,1.4058,-0.0351,-1.7371,-0.0934,0.1147,0.0014,0.0406,0.0772,-1.0,-2.0915,0.0,0.1914,-0.0691,-0.0343,1568000000.0,0.0531,1007000000.0,561000000.0,0.0,305000000.0,305000000.0,256000000.0,41000000.0,213000000.0,12000000.0,0.0,2000000.0,201000000.0,0.0,201000000.0,1.7,1.66,118400000.0,121000000.0,0.0,0.3578,0.186,0.162,0.128,-0.1142,291000000.0,254000000.0,201000000.0,6058000000.0,0.0283,3923000000.0,2135000000.0,0.0,1060000000.0,1060000000.0,1075000000.0,166000000.0,866000000.0,234000000.0,0.0,43000000.0,632000000.0,0.0,632000000.0,5.31,5.2,118400000.0,1.67,0.3524,0.197,0.1704,0.104,0.0315,1192000000.0,1032000000.0,632000000.0,26.495,31.03,-1.512,35.6334,3.7416,1.3449,0.419,6.1951,1.125,-0.7114,0.0,0.6352,0.1945,0.0,268000000.0,3674000000.0,-4519000000.0,5304000000.0,728500000.0,461000000.0,928500000.0,0.2517,0.21,0.063,0.0809,0.17,5.0,0.604,0.4905,29.7639,44.7664,58.0216,8.3157,13.141,6.5245,0.315,21.0,0.175,0.0,5267750000.0,3011500000.0,10028750000.0,1.613,51.166,6.2169,0.551,-0.3839,HRS,161.279999,156.76514280000004,19095551881.600002
2017-12-29,0.0132,-0.0751,-0.2147,-0.1761,-0.1786,-0.0367,0.1032,-0.1517,-0.01,-0.1093,-0.1575,-0.0589,0.0755,0.1518,0.0,0.0476,-0.0181,-0.042,1535000000.0,0.0594,999000000.0,536000000.0,0.0,264000000.0,264000000.0,272000000.0,42000000.0,229000000.0,90000000.0,0.0,0.0,139000000.0,0.0,139000000.0,1.17,1.15,118500000.0,120900000.0,0.57,0.3492,0.203,0.1765,0.091,0.1681,311000000.0,271000000.0,139000000.0,5979000000.0,0.0045,3874000000.0,2105000000.0,0.0,1011000000.0,1011000000.0,1094000000.0,167000000.0,807000000.0,291000000.0,0.0,120000000.0,516000000.0,0.0,516000000.0,4.31,4.23,118500000.0,2.2,0.3521,0.19,0.1629,0.086,0.0893,1136000000.0,974000000.0,516000000.0,25.266,28.979,2.177,33.0717,3.5612,1.309,0.3976,6.4524,1.225,2.0,0.487,0.6516,0.172,0.0,391000000.0,3434000000.0,-4730000000.0,5190000000.0,702000000.0,501000000.0,971500000.0,-0.0719,0.175,0.05,0.0832,0.163,5.0,0.581,1.2539,28.2037,39.1922,57.5063,8.5171,11.9341,6.1544,0.51,21.0,0.1691,0.0,5637500000.0,2955750000.0,10288000000.0,4.506,50.456,5.8323,0.4066,-0.1747,HRS,141.649994,142.07114245714286,16785524289.0
2017-09-29,-0.0153,0.0153,0.0063,0.0465,0.0394,-0.0312,1.2093,-0.1426,0.0178,-0.109,-0.2766,-0.0686,0.0755,2.2727,0.0,-0.1227,0.1057,-0.0387,1413000000.0,-0.0049,898000000.0,515000000.0,0.0,243000000.0,243000000.0,272000000.0,41000000.0,225000000.0,64000000.0,0.0,6000000.0,161000000.0,0.0,161000000.0,1.35,1.32,119100000.0,121200000.0,0.57,0.3645,0.217,0.1883,0.114,0.051,306000000.0,266000000.0,161000000.0,5893000000.0,-0.0573,3795000000.0,2098000000.0,0.0,999000000.0,999000000.0,1099000000.0,169000000.0,827000000.0,273000000.0,0.0,106000000.0,554000000.0,0.0,554000000.0,4.56,4.48,119100000.0,2.16,0.356,0.198,0.169,0.094,0.0848,1166000000.0,996000000.0,554000000.0,25.08,30.613,0.605,33.56,3.2578,1.3381,0.3958,6.4878,1.109,0.5901,0.422,0.639,0.172,0.0,209000000.0,3646000000.0,-4985000000.0,5337000000.0,841000000.0,480000000.0,929000000.0,-0.2421,0.185,0.052,0.0818,0.169,7.0,0.549,1.1209,27.9959,43.7282,55.4964,7.0071,12.2771,6.3434,0.474,19.0,0.1695,0.0,6016750000.0,2996500000.0,10728500000.0,4.198,49.479,5.8935,0.5041,-0.1948,HRS,131.679993,124.00527791666666,15683087166.3
2017-06-30,-0.0095,-0.1362,-0.1813,-0.155,-0.1641,-0.0032,-0.8082,-0.1598,-0.0198,-0.1078,-0.0757,-0.03,0.06,-0.8847,0.0,-0.1079,0.1,-0.0226,1542000000.0,0.0059,1019000000.0,523000000.0,0.0,248000000.0,248000000.0,275000000.0,42000000.0,199000000.0,68000000.0,0.0,35000000.0,131000000.0,0.0,131000000.0,1.09,1.07,121912165.0,124500000.0,0.53,0.3392,0.184,0.1563,0.085,0.0259,284000000.0,241000000.0,131000000.0,5900000000.0,-0.0154,3811000000.0,2089000000.0,0.0,1016000000.0,1016000000.0,1073000000.0,172000000.0,820000000.0,267000000.0,0.0,85000000.0,553000000.0,0.0,553000000.0,4.5,4.44,121912165.0,2.12,0.3541,0.199,0.1681,0.094,0.0763,1175000000.0,992000000.0,553000000.0,24.017,29.694,0.328,33.0566,3.9701,1.3764,0.3994,5.7381,1.076,0.6107,0.486,0.6412,0.1608,0.0,147000000.0,3620000000.0,-5089000000.0,5240000000.0,648500000.0,517000000.0,854000000.0,-0.5,0.184,0.05,0.0807,0.168,7.0,0.529,1.0289,33.4068,38.5415,52.028,9.0979,11.412,6.9087,0.471,17.0,0.1722,0.0,6339750000.0,3013000000.0,11148250000.0,3.691,48.395,5.7674,0.5262,-0.2091,HRS,109.08000200000001,110.1074998888889,13298179202.02433
2017-03-31,-0.0185,-0.2899,-0.494,-0.4815,-0.4851,0.0056,0.6167,-0.0666,-0.1244,-0.121,-0.3226,-0.0988,0.06,0.8851,0.0,-0.0623,0.0261,-0.0113,1489000000.0,-0.0394,958000000.0,531000000.0,0.0,256000000.0,256000000.0,275000000.0,42000000.0,154000000.0,69000000.0,0.0,79000000.0,85000000.0,0.0,85000000.0,0.7,0.69,122600000.0,125400000.0,0.53,0.3566,0.158,0.1316,0.057,0.1101,235000000.0,196000000.0,85000000.0,5891000000.0,0.0817,3780000000.0,2111000000.0,0.0,1063000000.0,1063000000.0,1048000000.0,174000000.0,856000000.0,274000000.0,0.0,32000000.0,582000000.0,0.0,582000000.0,4.7,4.64,122600000.0,2.09,0.3583,0.21,0.1748,0.099,0.1285,1236000000.0,1030000000.0,582000000.0,23.768,37.553,1.338,34.3638,2.4633,1.4458,0.3793,4.6667,1.661,2.2824,0.757,0.5855,0.1719,0.0,1144000000.0,4604000000.0,-5317000000.0,6783000000.0,884000000.0,478500000.0,943000000.0,-0.1546,0.191,0.05,0.0695,0.175,8.0,0.507,1.5567,26.5184,44.2387,55.3913,6.664,12.3114,6.2471,0.445,17.0,0.1804,0.0,6898500000.0,3045000000.0,11628000000.0,6.175,48.051,5.9195,0.2854,-0.1645,HRS,111.269997,110.18611130555553,13641701632.2
2016-12-30,-0.0294,14.9524,2.1645,2.1545,2.1475,0.1975,-0.2198,-0.0396,-0.0281,-0.1246,-0.185,-0.0645,0.06,-0.2483,0.0,0.1613,-0.1555,-0.0008,1449000000.0,-0.1711,920000000.0,529000000.0,0.0,252000000.0,252000000.0,277000000.0,44000000.0,249000000.0,72000000.0,0.0,-14000000.0,177000000.0,0.0,177000000.0,1.42,1.4,123700000.0,125500000.0,0.53,0.3651,0.235,0.2022,0.122,0.1546,341000000.0,293000000.0,177000000.0,5952000000.0,0.171,3831000000.0,2121000000.0,0.0,1080000000.0,1080000000.0,1041000000.0,178000000.0,932000000.0,267000000.0,0.0,-56000000.0,665000000.0,0.0,665000000.0,5.35,5.29,123700000.0,2.06,0.3564,0.223,0.1865,0.112,0.1142,1326000000.0,1110000000.0,665000000.0,25.521,35.028,1.811,35.5699,2.9184,1.3937,0.3787,6.6591,1.569,1.4237,0.373,0.627,0.1739,0.0,947000000.0,4333000000.0,-5848000000.0,6707000000.0,848500000.0,549000000.0,1035500000.0,-0.1111,0.211,0.056,0.0657,0.186,8.0,0.503,1.2511,33.1149,46.7288,61.3852,7.0147,10.8415,5.7479,0.385,15.0,0.1815,0.0,6918500000.0,3158000000.0,11826250000.0,5.497,48.116,6.236,0.3585,-0.1827,HRS,102.470001,104.39142848571429,12675539123.699999
2016-09-30,-0.1151,-0.0076,0.0811,0.075,0.0763,0.1926,-0.3281,-0.0626,-0.121,-0.1171,-0.0946,-0.131,0.06,-0.45,0.0,-0.1581,-0.0611,0.0032,1420000000.0,-0.2159,897000000.0,523000000.0,0.0,277000000.0,277000000.0,246000000.0,44000000.0,218000000.0,58000000.0,0.0,-15000000.0,160000000.0,0.0,160000000.0,1.29,1.27,123900000.0,125100000.0,0.53,0.3683,0.222,0.1845,0.113,0.0155,315000000.0,262000000.0,160000000.0,6251000000.0,0.3766,4114000000.0,2137000000.0,0.0,1045000000.0,1045000000.0,1092000000.0,180000000.0,616000000.0,280000000.0,0.0,307000000.0,336000000.0,0.0,336000000.0,2.7,2.67,123900000.0,2.03,0.3419,0.163,0.1273,0.054,0.1206,1017000000.0,796000000.0,336000000.0,24.641,34.568,0.178,36.2066,2.2922,1.4694,0.3809,5.9545,1.307,0.2688,0.411,0.6364,0.1951,0.0,569000000.0,4283000000.0,-6299000000.0,6629000000.0,1027000000.0,481500000.0,1034500000.0,-0.4884,0.106,0.028,0.068,0.127,5.0,0.523,2.6875,29.6625,56.9893,56.1718,6.0867,12.9823,6.0425,0.752,19.0,0.1672,0.0,6952000000.0,3181500000.0,11946000000.0,6.086,50.452,4.4222,0.2158,-0.165,HRS,91.610001,91.12805536111112,11350479123.9
2016-07-01,0.8144,6.58,3.8571,3.2241,3.2069,0.1805,-0.0915,-0.0852,-0.2476,-0.134,-0.4229,-0.1458,0.0638,-0.1598,0.0,-0.0071,21.7273,0.1956,1533000000.0,3.549,1005000000.0,528000000.0,0.0,278000000.0,278000000.0,250000000.0,44000000.0,235000000.0,75000000.0,0.0,-18000000.0,160000000.0,0.0,160000000.0,1.29,1.28,124725874.0,124900000.0,0.5,0.3444,0.225,0.182,0.104,0.2264,345000000.0,279000000.0,160000000.0,5992000000.0,0.5423,3900000000.0,2092000000.0,0.0,1037000000.0,1037000000.0,1055000000.0,183000000.0,597000000.0,273000000.0,0.0,287000000.0,324000000.0,0.0,324000000.0,2.61,2.59,124725874.0,2.0,0.3491,0.168,0.1302,0.054,0.1288,1009000000.0,780000000.0,324000000.0,24.502,43.503,2.782,36.2154,3.9046,1.4781,0.3761,6.3409,1.325,2.6063,0.388,0.5482,0.1813,0.0,643000000.0,5426000000.0,-6328000000.0,7475000000.0,921000000.0,537500000.0,941000000.0,-0.1679,0.099,0.027,0.0664,0.13,4.0,0.493,2.8519,30.0918,41.0564,52.8129,6.506,11.1479,6.3677,0.766,18.0,0.1731,0.0,7145750000.0,3283750000.0,12142500000.0,6.19,48.041,4.2623,0.2068,-0.1645,HRS,82.589996,80.26194441666667,10301109434.756504
2016-04-01,0.2494,0.2958,0.3333,0.1157,0.1167,0.1611,-0.3064,1.4615,0.5293,1.9898,0.6148,0.5605,0.0638,-0.42,0.0,0.2409,0.2582,0.1958,1550000000.0,0.3058,1009000000.0,541000000.0,0.0,273000000.0,273000000.0,268000000.0,46000000.0,230000000.0,62000000.0,0.0,-9000000.0,168000000.0,0.0,168000000.0,1.35,1.34,124000000.0,124700000.0,0.5,0.349,0.21,0.1781,0.108,0.0561,325000000.0,276000000.0,168000000.0,5446000000.0,0.1166,3478000000.0,1968000000.0,0.0,1099000000.0,1099000000.0,869000000.0,191000000.0,278000000.0,170000000.0,0.0,293000000.0,108000000.0,0.0,108000000.0,0.74,0.72,124000000.0,1.97,0.3614,0.129,0.0861,0.02,0.1539,701000000.0,469000000.0,108000000.0,27.145,35.355,0.702,38.6532,2.4355,1.4239,0.4028,6.0,1.424,0.7143,0.37,0.6316,0.1761,0.0,854000000.0,4384000000.0,-5667000000.0,6863000000.0,853350000.0,404300000.0,813850000.0,-0.275,0.032,0.009,0.0541,0.086,4.0,0.438,8.9444,35.4545,70.6408,66.4855,6.3819,13.4702,6.6917,2.662,30.0,0.2018,0.0,7143250000.0,3369000000.0,12422000000.0,6.758,43.919,2.4555,0.058,-0.1325,HRS,77.800003,77.61742885714287,9647200372.0
2016-01-01,0.3693,-1.0995,-2.0935,-1.9179,-1.9242,-0.0233,1.2746,1.5212,0.5061,2.044,0.6065,0.6472,0.0638,1.8654,0.0,0.1543,0.5619,0.1915,1748000000.0,0.4494,1203000000.0,545000000.0,0.0,217000000.0,217000000.0,328000000.0,46000000.0,-67000000.0,85000000.0,0.0,349000000.0,-152000000.0,0.0,-152000000.0,-1.23,-1.22,123800000.0,104800000.0,0.5,0.3118,0.018,-0.012,-0.087,0.1705,32000000.0,-21000000.0,-152000000.0,5083000000.0,0.0252,3223000000.0,1860000000.0,0.0,1046000000.0,1046000000.0,814000000.0,179000000.0,227000000.0,161000000.0,0.0,302000000.0,66000000.0,0.0,66000000.0,0.6,0.58,123800000.0,1.94,0.3659,0.128,0.0799,0.013,0.1773,649000000.0,406000000.0,66000000.0,26.26,36.066,2.407,40.5977,4.1276,1.546,0.4155,-0.4565,1.325,-2.125,-0.407,0.6309,0.1241,0.0,696000000.0,4465000000.0,-6010000000.0,6841000000.0,758500000.0,425050000.0,859800000.0,-0.0774,0.022,0.006,0.0509,0.08,4.0,0.477,15.4394,40.0689,67.1405,76.8345,6.7014,11.9586,5.9118,3.233,38.0,0.2058,0.0,6185025000.0,2987675000.0,10655625000.0,7.278,41.058,2.2682,0.0367,-0.1158,HRS,86.900002,83.68558791176473,10758220247.6
