,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.245,-1.6746,-16.1239,-15.0909,-15.5313,2.218,-0.1164,-0.4807,-0.1111,-0.3662,0.0,0.0,2.2141,0.0,-0.0825,-106.5062,0.0247,29923000.0,-0.245,0.0,29923000.0,0.0,36524000.0,124636000.0,-94713000.0,48518000.0,-93692000.0,3706000.0,0.0,0.0,-97398000.0,0.0,-97398000.0,-4.65,-4.65,20953756.0,0.0,1.0,-1.47,-1.5097,-3.255,5.6494,-43982000.0,-45174000.0,-97398000.0,123778000.0,-0.5351,0.0,123778000.0,0.0,156990000.0,245608000.0,-121830000.0,203022000.0,-113130000.0,22983000.0,0.0,0.0,-136113000.0,0.0,-136113000.0,-6.69,-6.69,20953756.0,0.0,1.0,0.765,0.7262,-1.1,1.0095,94661000.0,89892000.0,-136113000.0,7.767,193.26,8.068,29.3652,1.7928,3.7807,0.1442,-0.9311,-1.7399,0.0,0.0508,1.2206,0.0,4049531000.0,4627277000.0,47965500.0,0.0,0.0,-0.0025,0.0056,-0.0141,-0.3532,-0.546,-0.03,0.726,0.027,-0.9224,0.0,109.7406,0.0,2.5806,0.0,0.0,0.0,10.0,1.2683,0.0,4974414500.0,249387000.0,4596558250.0,5.963,5.907,0.4428,-0.0048,0.0145,-0.0048,-0.1258,IMH,9.53,9.275714285714287,199689294.67999998
2018-03-31,-0.1151,-0.19,-0.163,-0.3793,-0.3793,-1.0866,-0.027,-0.1575,0.3871,-0.2814,0.0,0.0,-1.0748,0.0,-0.172,2.3059,0.3075,40125000.0,-0.1151,0.0,40125000.0,0.0,35748000.0,35748000.0,4377000.0,49130000.0,4483000.0,610000.0,0.0,0.0,3873000.0,0.0,3873000.0,0.18,0.18,20952679.0,0.0,1.0,1.366,1.3361,0.097,-2.1962,54806000.0,53613000.0,3873000.0,133488000.0,-0.5487,0.0,133488000.0,0.0,160273000.0,161486000.0,-27998000.0,213979000.0,-11953000.0,20322000.0,0.0,0.0,-32275000.0,0.0,-32275000.0,-1.71,-1.72,20952679.0,0.0,1.0,1.549,1.5134,-0.242,-1.3734,206795000.0,202026000.0,-32275000.0,12.418,206.358,-4.206,36.5422,1.6795,2.9426,0.1656,1.0912,-22.725,0.0,0.0647,0.8909,0.0,4323748000.0,5054215000.0,32272500.0,0.0,0.0,0.0012,0.0107,-0.0027,-0.0914,-0.113,-0.007,1.513,0.028,5.6715,0.0,73.7968,0.0,4.1363,0.0,0.0,0.0,4.0,1.2007,0.0,5118375250.0,285167000.0,4737027000.0,-8.75,6.371,0.9441,0.0016,0.0157,-0.0022,-0.0602,IMH,7.9,8.637352941176474,165526164.1
2017-12-31,-0.8491,-0.7363,-3.6507,-3.0991,-3.2404,-0.9877,-0.0374,-0.1227,0.3019,-0.3362,0.0,0.0,-0.9877,0.0,-0.1979,-2.4065,0.308,11654000.0,-0.8491,0.0,11654000.0,0.0,42756000.0,42866000.0,-31212000.0,49066000.0,-28342000.0,16563000.0,0.0,0.0,-44905000.0,0.0,-44905000.0,-2.33,-2.33,20949679.0,0.0,1.0,1.881,1.7783,-3.853,0.5051,21916000.0,20724000.0,-44905000.0,138705000.0,-0.5342,0.0,138705000.0,0.0,167698000.0,169756000.0,-31051000.0,225987000.0,-11383000.0,20138000.0,0.0,0.0,-31521000.0,0.0,-31521000.0,-1.62,-1.62,20949679.0,0.0,1.0,1.582,1.5472,-0.227,-0.9975,219372000.0,214604000.0,-31521000.0,12.656,210.081,0.281,32.4803,1.8663,2.5663,0.1453,0.4224,-0.1312,0.0,0.0599,3.6688,0.0,4401126000.0,5042479000.0,52357000.0,0.0,0.0,-0.001,0.0169,-0.0005,-0.005,-0.113,-0.007,1.547,0.029,4.3744,0.0,109.9355,0.0,2.6492,0.0,0.0,0.0,4.0,1.209,0.0,5106470000.0,279166500.0,4769133000.0,-6.604,6.621,0.9496,0.0034,0.0157,-0.0034,-0.0984,IMH,10.16,11.090909090909092,212848738.64000002
2017-09-30,-0.5954,-0.2408,-0.8596,-0.9141,-0.9068,1.3313,-0.118,-0.1315,-0.296,-0.2256,0.0,0.0,1.3305,0.0,-0.258,-1.0062,0.6674,42076000.0,-0.5954,0.0,42076000.0,0.0,41962000.0,42358000.0,-282000.0,56308000.0,4421000.0,2104000.0,0.0,0.0,2317000.0,0.0,2317000.0,0.11,0.11,20895840.0,0.0,1.0,1.472,1.4433,0.055,0.9065,61921000.0,60729000.0,2317000.0,204301000.0,-0.2031,0.0,204301000.0,0.0,178248000.0,181949000.0,22352000.0,238206000.0,34265000.0,3940000.0,0.0,0.0,30325000.0,0.0,30325000.0,1.84,1.76,20895840.0,0.0,1.0,1.357,1.3337,0.148,1.6489,277239000.0,272471000.0,30325000.0,14.809,216.735,1.825,32.8414,1.9822,2.2176,0.1425,1.0785,16.4894,0.0,0.0595,0.9973,0.0,4528858000.0,5173687000.0,69782500.0,0.0,0.0,-0.0017,0.0236,-0.0015,-0.0537,0.112,0.006,1.334,0.042,11.1281,0.0,108.8241,0.0,2.9277,0.0,0.0,0.0,3.0,0.8725,0.0,5115367500.0,270639750.0,4814641500.0,16.122,9.777,1.1438,-0.0017,0.0121,-0.0028,-0.1221,IMH,13.06,13.142285714285714,272899670.40000004
2017-06-30,-0.4274,-0.1539,-0.4743,-0.6667,-0.6522,-3.7904,-0.0936,0.2011,-0.1183,0.0413,0.0,0.0,-3.7906,0.0,-0.2152,-1.0526,0.6595,39633000.0,-0.4274,0.0,39633000.0,0.0,39807000.0,40514000.0,-881000.0,59475000.0,7485000.0,1045000.0,0.0,0.0,6440000.0,0.0,6440000.0,0.33,0.32,20448947.0,0.0,1.0,1.72,1.6895,0.162,-3.5132,68152000.0,66960000.0,6440000.0,266218000.0,0.3308,0.0,266218000.0,0.0,192839000.0,197735000.0,68483000.0,245526000.0,46212000.0,1706000.0,0.0,0.0,44506000.0,0.0,44506000.0,3.01,2.83,20448947.0,0.0,1.0,1.114,1.0959,0.167,0.6887,296506000.0,291738000.0,44506000.0,14.958,222.369,-6.809,33.8505,1.7749,2.2631,0.1434,1.1259,-21.6042,0.0,0.0582,1.0044,0.0,4547206000.0,5203120000.0,57552000.0,0.0,0.0,0.0008,0.0121,-0.0027,-0.0906,0.18,0.009,1.096,0.054,4.1326,0.0,80.503,0.0,4.6257,0.0,0.0,0.0,3.0,0.7244,0.0,5358596750.0,246696750.0,4975755500.0,8.966,13.019,1.1882,-0.0032,0.0084,-0.0022,-0.1223,IMH,15.13,15.80611119444444,309392568.11
2017-03-31,-0.0414,-0.0657,3.7166,2.2222,2.625,0.8442,-0.1043,0.3007,-0.2237,-0.1096,0.0,0.0,0.8431,0.0,0.0708,-0.7397,0.3159,45342000.0,-0.0414,0.0,45342000.0,0.0,43173000.0,44018000.0,1324000.0,61138000.0,5053000.0,426000.0,0.0,0.0,4627000.0,0.0,4627000.0,0.29,0.29,16025483.0,0.0,1.0,1.486,1.4598,0.102,-0.9367,67383000.0,66191000.0,4627000.0,295798000.0,0.6441,0.0,295798000.0,0.0,203752000.0,209700000.0,86098000.0,252520000.0,51401000.0,1084000.0,0.0,0.0,50317000.0,0.0,50317000.0,3.67,3.43,16025483.0,0.0,1.0,1.044,1.0275,0.17,0.9923,308690000.0,303921000.0,50317000.0,14.739,279.561,-2.65,34.4436,1.5904,2.3369,0.1162,1.0826,-9.1163,0.0,0.0571,0.9522,0.0,4480105000.0,5006594000.0,39867500.0,0.0,0.0,0.0069,0.0113,-0.0064,-0.2441,0.241,0.01,1.027,0.058,5.8432,0.0,46.3422,0.0,7.4195,0.0,0.0,0.0,2.0,0.6888,0.0,5531920250.0,208595500.0,5100458000.0,18.316,18.458,1.2036,-0.0017,0.0074,-0.0017,-0.104,IMH,12.46,13.264444444444443,199677518.18
2016-12-31,1.1532,0.0012,0.5819,0.11,0.3165,1.8625,-0.0666,0.3007,0.2097,0.7306,0.0,0.0,1.8615,0.0,0.4617,7.8008,0.5515,77250000.0,1.1532,0.0,77250000.0,0.0,53306000.0,55059000.0,22191000.0,61285000.0,17306000.0,365000.0,0.0,0.0,16941000.0,0.0,16941000.0,1.11,1.04,16015983.0,0.0,1.0,1.033,1.0174,0.219,6.2194,79783000.0,78591000.0,16941000.0,297756000.0,0.7834,0.0,297756000.0,0.0,200901000.0,207898000.0,89858000.0,260810000.0,47763000.0,1093000.0,0.0,0.0,46670000.0,0.0,46670000.0,3.54,3.31,16015983.0,0.0,1.0,1.052,1.0363,0.157,0.219,313342000.0,308573000.0,46670000.0,14.426,287.306,29.998,32.6333,2.8763,2.2622,0.1075,1.2824,28.367,0.0,0.0539,0.69,0.0,4601481000.0,5078069000.0,49652500.0,0.0,0.0,-0.0002,0.0063,-0.0015,-0.0998,0.254,0.009,1.036,0.057,1.403,0.0,77.1504,0.0,5.9968,0.0,0.0,0.0,4.0,0.6747,0.0,5733851250.0,184045750.0,5238799500.0,4.072,18.591,1.1831,-0.0041,0.0072,-0.0009,-0.0558,IMH,14.02,14.509411794117645,224544081.66
2016-09-30,1.1823,-0.1138,-0.1456,-0.3228,-0.2027,-1.3573,-0.0241,0.6959,0.6682,0.9029,0.0,0.0,-1.3512,0.0,0.4445,6.5434,0.2242,103993000.0,1.1823,0.0,103993000.0,0.0,56553000.0,58144000.0,45849000.0,63628000.0,16368000.0,-130000.0,0.0,0.0,16498000.0,0.0,16498000.0,1.28,1.18,12531711.0,0.0,1.0,0.781,0.7692,0.159,-1.1096,81188000.0,79996000.0,16498000.0,256382000.0,0.7988,0.0,256382000.0,0.0,184060000.0,191976000.0,64406000.0,266336000.0,42143000.0,1704000.0,0.0,0.0,40439000.0,0.0,40439000.0,3.36,2.97,12531711.0,0.0,1.0,1.222,1.2032,0.158,-0.9647,313248000.0,308479000.0,40439000.0,17.051,418.191,-9.208,77.785,5.4925,4.5618,0.1785,1.2572,-6.9904,0.0,0.0401,0.5438,0.0,5240655000.0,6146604000.0,59993500.0,0.0,0.0,0.0006,0.0073,-0.0006,-0.0545,0.261,0.008,1.203,0.048,-6.1131,0.0,111.9749,0.0,4.2735,0.0,0.0,0.0,3.0,0.7179,0.0,5823254000.0,154908250.0,5325579000.0,-19.737,20.459,1.1582,0.0005,0.0085,-0.0005,-0.0275,IMH,13.19,15.363888722222226,165293268.09
2016-06-30,0.4101,-0.0487,-0.2712,-0.4,-0.3083,-1.1758,-0.0694,0.5347,0.4842,0.0382,0.0,0.0,-1.1756,0.0,0.2462,2.1349,0.2094,69213000.0,0.4101,0.0,69213000.0,0.0,50720000.0,52479000.0,16734000.0,66469000.0,12674000.0,423000.0,0.0,0.0,12251000.0,0.0,12251000.0,0.99,0.92,12322522.0,0.0,1.0,1.161,1.1435,0.177,-0.4199,80336000.0,79143000.0,12251000.0,200041000.0,0.8724,0.0,200041000.0,0.0,166657000.0,175406000.0,24635000.0,272890000.0,45865000.0,2615000.0,0.0,0.0,43250000.0,0.0,43250000.0,3.97,3.27,12322522.0,0.0,1.0,1.617,1.5934,0.216,-0.9049,323524000.0,318755000.0,43250000.0,12.454,417.069,-2.359,63.7113,2.2736,5.1158,0.1474,1.1907,-2.3707,0.0,0.0352,0.7328,0.0,5139346000.0,5896414000.0,55350500.0,0.0,0.0,0.0007,0.0064,-0.0003,-0.0176,0.34,0.008,1.593,0.037,-4.1804,0.0,102.887,0.0,3.6141,0.0,0.0,0.0,3.0,0.8331,0.0,5777512500.0,127216750.0,5359341500.0,-14.69,16.234,1.1681,0.0012,0.0099,-0.0011,-0.0466,IMH,15.68,14.403055555555556,193217144.96
2016-03-31,0.3773,-0.1341,-0.9711,-0.9746,-0.9728,-0.0678,-0.1094,0.8375,0.1727,-0.2092,0.0,0.0,-0.068,0.0,1.3521,-0.7043,0.2677,47299000.0,0.3773,0.0,47299000.0,0.0,40318000.0,42213000.0,5086000.0,69428000.0,1416000.0,435000.0,0.0,0.0,981000.0,0.0,981000.0,0.09,0.08,12178250.0,0.0,1.0,1.523,1.4978,0.021,-5.7248,72036000.0,70844000.0,981000.0,179912000.0,1.6359,0.0,179912000.0,0.0,156637000.0,166673000.0,13239000.0,272731000.0,50072000.0,2263000.0,0.0,0.0,47809000.0,0.0,47809000.0,4.63,3.68,12178250.0,0.0,1.0,1.821,1.7942,0.266,0.0752,327571000.0,322803000.0,47809000.0,11.332,420.958,-22.235,58.384,1.9075,5.1524,0.134,1.0204,-275.9602,0.0,0.0336,0.8524,0.0,5126533000.0,5814318000.0,47759500.0,0.0,0.0,0.0002,0.0095,-0.0013,-0.0512,0.437,0.009,1.794,0.033,0.282,0.0,85.5715,0.0,3.767,0.0,0.0,0.0,2.0,0.8706,0.0,5811918750.0,109522500.0,5458696250.0,1.111,14.773,1.1836,0.0036,0.0101,0.0003,0.0101,IMH,13.87,13.949714257142858,168912327.5
