,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-03-31,-0.0207,-0.3015,-0.0357,0.0,0.0,-0.5739,0.0252,0.0086,-0.0804,0.0,0.0,0.0,-0.7701,0.0,0.0064,-0.2466,-0.0046,2360000.0,-0.0207,0.0,2360000.0,0.0,1721000.0,2137000.0,223000.0,0.0,183000.0,21000.0,0.0,0.0,162000.0,0.0,162000.0,0.02,0.02,8444515.0,0.1,1.0,0.11,0.0775,0.069,0.0449,259000.0,183000.0,162000.0,10298000.0,0.0125,0.0,10298000.0,0.0,6824000.0,8496000.0,1802000.0,0.0,1643000.0,116000.0,0.0,0.0,1527000.0,0.0,1527000.0,0.18,0.18,8444515.0,0.4,1.0,0.19,0.1595,0.148,0.1528,1958000.0,1643000.0,1527000.0,7.995,35.341,0.013,5.9229,1.1399,0.7409,0.1598,0.0,1.2284,5.0,0.0464,0.7292,0.0,298439000.0,338829000.0,0.0,0.0,0.0,-0.4673,0.0199,-0.0394,-1.2237,0.023,0.005,0.16,0.033,1.1729,0.0,0.0,0.0,0.0,0.0,0.0,2.222,69.0,0.6627,0.0,334993250.0,67357750.0,308844000.0,0.186,1.219,0.0,-0.1212,0.019,-0.0211,-0.6889,KFFB,8.85,8.771764705882354,74733957.75
2017-12-31,0.1688,0.8041,2.4213,2.6667,2.6667,-0.0131,0.0118,0.0025,-0.0841,0.0,0.0,0.0,-0.0552,0.0,0.0355,0.6913,0.0006,2915000.0,0.1688,0.0,2915000.0,0.0,1723000.0,2159000.0,756000.0,0.0,709000.0,-160000.0,0.0,0.0,869000.0,0.0,869000.0,0.11,0.11,8444515.0,0.1,1.0,0.27,0.2432,0.298,0.1702,787000.0,709000.0,869000.0,10348000.0,0.0087,0.0,10348000.0,0.0,6813000.0,8473000.0,1875000.0,0.0,1722000.0,189000.0,0.0,0.0,1533000.0,0.0,1533000.0,0.18,0.18,8444515.0,0.4,1.0,0.198,0.1664,0.148,0.1864,2045000.0,1722000.0,1533000.0,8.013,34.926,0.059,5.7864,1.1084,0.7221,0.1579,0.0,0.6064,0.909,0.0469,0.5911,0.0,294933000.0,334436000.0,0.0,0.0,0.0,-0.0588,0.0161,-0.0106,-0.3974,0.023,0.005,0.166,0.034,1.3431,0.0,0.0,0.0,0.0,0.0,0.0,2.222,66.0,0.6584,0.0,333410250.0,67292000.0,306924000.0,0.228,1.225,0.0,-0.0631,0.0197,-0.0126,-0.4025,KFFB,8.95,8.958181818181819,75578409.25
2017-09-30,-0.0198,-0.0919,-0.0572,-0.25,-0.25,-0.0832,0.0318,-0.0063,0.1774,0.0,0.0,0.0,-0.0585,0.0,-0.007,-0.0884,0.0006,2573000.0,-0.0198,0.0,2573000.0,0.0,1703000.0,2119000.0,454000.0,0.0,415000.0,135000.0,0.0,0.0,280000.0,0.0,280000.0,0.03,0.03,8444515.0,0.1,1.0,0.193,0.1613,0.109,0.1877,496000.0,415000.0,280000.0,9927000.0,-0.0576,0.0,9927000.0,0.0,6754000.0,8361000.0,1566000.0,0.0,1406000.0,488000.0,0.0,0.0,918000.0,0.0,918000.0,0.1,0.1,8444515.0,0.4,1.0,0.175,0.1416,0.092,0.1972,1737000.0,1406000.0,918000.0,7.947,34.342,0.057,5.5994,0.9883,0.7046,0.1553,0.0,1.8107,3.333,0.0476,0.6619,0.0,289998000.0,328936000.0,0.0,0.0,0.0,-0.0473,0.0183,-0.0093,-0.2963,0.014,0.003,0.142,0.032,2.2505,0.0,0.0,0.0,0.0,0.0,0.0,4.0,90.0,0.6804,0.0,332844000.0,67241000.0,306025500.0,0.232,1.176,0.0,-0.0523,0.021,-0.0109,-0.3263,KFFB,9.8,9.604285714285714,82756247.0
2017-06-30,-0.0727,-0.4064,-0.4331,-0.6,-0.6,4.4658,0.0569,-0.0061,0.667,0.0,0.0,0.0,2.9328,0.0,0.0358,-0.3746,0.0006,2450000.0,-0.0727,0.0,2450000.0,0.0,1677000.0,2081000.0,369000.0,0.0,336000.0,120000.0,0.0,0.0,216000.0,0.0,216000.0,0.02,0.02,8444515.0,0.1,1.0,0.17,0.1371,0.088,0.1996,416000.0,336000.0,216000.0,9979000.0,-0.0627,0.0,9979000.0,0.0,6766000.0,8369000.0,1610000.0,0.0,1448000.0,513000.0,0.0,0.0,935000.0,0.0,935000.0,0.11,0.11,8444515.0,0.4,1.0,0.179,0.1451,0.094,0.1992,1784000.0,1448000.0,935000.0,7.951,34.813,0.058,6.7023,1.5163,0.8429,0.1835,0.0,2.5833,5.0,0.047,0.6845,0.0,293978000.0,337772000.0,0.0,0.0,0.0,-0.1237,0.0224,-0.0282,-0.8625,0.014,0.003,0.145,0.033,2.2588,0.0,0.0,0.0,0.0,0.0,0.0,3.636,83.0,0.678,0.0,327389250.0,67335250.0,303676500.0,0.235,1.182,0.0,-0.0587,0.0213,-0.0124,-0.369,KFFB,9.44,9.517222222222221,79716221.6
2017-03-31,-0.0352,0.0116,-0.0562,0.0,0.0,1.162,0.0381,-0.0081,0.5868,0.0,0.0,0.0,3.957,0.0,-0.0505,0.0242,0.0052,2410000.0,-0.0352,0.0,2410000.0,0.0,1710000.0,2114000.0,296000.0,0.0,262000.0,94000.0,0.0,0.0,168000.0,0.0,168000.0,0.02,0.02,8483501.0,0.1,1.0,0.144,0.1087,0.07,0.1913,346000.0,262000.0,168000.0,10171000.0,-0.052,0.0,10171000.0,0.0,6708000.0,8340000.0,1831000.0,0.0,1678000.0,578000.0,0.0,0.0,1100000.0,0.0,1100000.0,0.14,0.14,8483501.0,0.4,1.0,0.201,0.165,0.108,0.1225,2043000.0,1678000.0,1100000.0,7.927,34.273,0.054,6.4114,1.4915,0.8088,0.1782,0.0,2.7798,5.0,0.0475,0.7095,0.0,290759000.0,332497000.0,0.0,0.0,0.0,-0.0128,0.0228,-0.0025,-0.0714,0.016,0.004,0.165,0.034,1.2664,0.0,0.0,0.0,0.0,0.0,0.0,2.857,74.0,0.6595,0.0,317498250.0,67427500.0,299523000.0,0.147,1.199,0.0,-0.1055,0.0205,-0.0145,-0.4027,KFFB,9.95,9.854999999999997,84410834.94999999
2016-12-31,-0.0993,-0.345,-0.3713,-0.4,-0.4,-0.287,-0.0032,-0.002,0.1918,0.0,0.0,0.0,0.1388,0.0,-0.0189,-0.3048,0.0,2494000.0,-0.0993,0.0,2494000.0,0.0,1664000.0,2047000.0,447000.0,0.0,393000.0,139000.0,0.0,0.0,254000.0,0.0,254000.0,0.03,0.03,8439515.0,0.1,1.0,0.192,0.1576,0.102,0.2105,479000.0,393000.0,254000.0,10259000.0,-0.0696,0.0,10259000.0,0.0,6799000.0,8435000.0,1824000.0,0.0,1675000.0,565000.0,0.0,0.0,1110000.0,0.0,1110000.0,0.14,0.14,8439515.0,0.4,1.0,0.197,0.1633,0.108,0.0856,2020000.0,1675000.0,1110000.0,7.993,34.521,0.062,6.3217,1.4835,0.7909,0.1744,0.0,2.1024,3.333,0.0474,0.6672,0.0,291339000.0,332171000.0,0.0,0.0,0.0,-0.0169,0.0204,-0.0036,-0.1047,0.016,0.004,0.163,0.035,1.0288,0.0,0.0,0.0,0.0,0.0,0.0,2.857,61.0,0.6627,0.0,308439750.0,67477500.0,296721250.0,0.104,1.216,0.0,-0.2312,0.0203,-0.0257,-0.7652,KFFB,8.99,8.805000000000005,75871239.85000001
2016-09-30,-0.0409,-0.3199,-0.448,-0.3333,-0.3333,-0.1386,-0.0027,-0.0004,0.3297,0.0,0.0,0.0,12.8649,0.0,0.0586,-0.3083,0.0,2625000.0,-0.0409,0.0,2625000.0,0.0,1715000.0,2127000.0,498000.0,0.0,457000.0,160000.0,0.0,0.0,297000.0,0.0,297000.0,0.04,0.04,8439515.0,0.1,1.0,0.207,0.1741,0.113,0.1954,543000.0,457000.0,297000.0,10534000.0,-0.0494,0.0,10534000.0,0.0,6831000.0,8514000.0,2020000.0,0.0,1882000.0,622000.0,0.0,0.0,1260000.0,0.0,1260000.0,0.16,0.16,8439515.0,0.4,1.0,0.21,0.1787,0.12,0.0773,2217000.0,1882000.0,1260000.0,7.997,33.249,0.061,4.7587,1.6169,0.5951,0.1361,0.0,1.862,2.5,0.0492,0.6533,0.0,280602000.0,307117000.0,0.0,0.0,0.0,-0.0723,0.0198,-0.0152,-0.4651,0.019,0.004,0.179,0.035,1.077,0.0,0.0,0.0,0.0,0.0,0.0,2.5,48.0,0.6485,0.0,306051500.0,67510000.0,296969250.0,0.096,1.248,0.0,-0.4001,0.019,-0.0515,-1.6209,KFFB,8.4,8.36611111111111,70891926.0
2016-06-30,-0.0305,-0.2925,-0.2879,-0.2857,-0.2857,-1.4328,-0.0149,0.003,0.2421,0.0,0.0,0.0,0.2792,0.0,0.0772,-0.3018,0.0,2642000.0,-0.0305,0.0,2642000.0,0.0,1619000.0,2052000.0,590000.0,0.0,566000.0,185000.0,0.0,0.0,381000.0,0.0,381000.0,0.05,0.05,8439515.0,0.1,1.0,0.255,0.2142,0.144,-0.0958,675000.0,566000.0,381000.0,10646000.0,-0.0437,0.0,10646000.0,0.0,6736000.0,8404000.0,2242000.0,0.0,2097000.0,596000.0,0.0,0.0,1501000.0,0.0,1501000.0,0.18,0.18,8439515.0,0.4,1.0,0.227,0.197,0.141,0.0317,2418000.0,2097000.0,1501000.0,8.0,32.865,-0.03,4.023,1.5532,0.5029,0.1163,0.0,-0.4226,2.0,0.0497,0.6128,0.0,277364000.0,298208000.0,0.0,0.0,0.0,0.5714,0.0189,-0.0348,-0.844,0.022,0.005,0.197,0.036,0.9634,0.0,0.0,0.0,0.0,0.0,0.0,2.222,40.0,0.6327,0.0,304009500.0,67516500.0,297171500.0,0.04,1.261,0.0,-0.7663,0.0177,-0.1041,-3.4517,KFFB,8.2,8.67527777777778,69204023.0
2016-03-31,-0.1063,-0.6783,-0.6698,-0.6667,-0.6667,-0.8328,-0.0015,0.0082,0.484,0.0,0.0,0.0,-0.9269,0.0,0.1284,-0.6682,-0.0021,2498000.0,-0.1063,0.0,2498000.0,0.0,1801000.0,2209000.0,289000.0,0.0,259000.0,81000.0,0.0,0.0,178000.0,0.0,178000.0,0.02,0.02,8439515.0,0.1,1.0,0.129,0.1037,0.071,0.0372,323000.0,259000.0,178000.0,10729000.0,-0.0499,0.0,10729000.0,0.0,6620000.0,8232000.0,2497000.0,0.0,2331000.0,676000.0,0.0,0.0,1655000.0,0.0,1655000.0,0.2,0.2,8439515.0,0.4,1.0,0.244,0.2173,0.154,0.0224,2615000.0,2331000.0,1655000.0,7.992,33.124,0.011,4.0616,2.0815,0.5082,0.1166,0.0,1.2135,5.0,0.0493,0.721,0.0,279552000.0,296263000.0,0.0,0.0,0.0,-0.5694,0.022,-0.0492,-1.9219,0.025,0.006,0.217,0.036,1.1958,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,0.617,0.0,303330000.0,67466000.0,298278250.0,0.028,1.271,0.0,-0.8787,0.0165,-0.1621,-6.1232,KFFB,8.75,8.905428571428569,73845756.25
2015-12-31,-0.0195,-0.3072,-0.3022,-0.2857,-0.2857,-0.0495,0.0123,0.016,0.5304,0.0,0.0,0.0,-0.3561,0.0,0.1593,-0.2973,-0.0099,2769000.0,-0.0195,0.0,2769000.0,0.0,1696000.0,2126000.0,643000.0,0.0,600000.0,196000.0,0.0,0.0,404000.0,0.0,404000.0,0.05,0.05,8439515.0,0.1,1.0,0.244,0.2167,0.146,0.1665,676000.0,600000.0,404000.0,11026000.0,-0.0331,0.0,11026000.0,0.0,6415000.0,7947000.0,3079000.0,0.0,2877000.0,861000.0,0.0,0.0,2016000.0,0.0,2016000.0,0.24,0.24,8439515.0,0.4,1.0,0.287,0.2609,0.183,0.1287,3168000.0,2877000.0,2016000.0,8.009,34.638,0.055,5.3045,1.7157,0.6623,0.1459,0.0,1.854,2.0,0.0473,0.6125,0.0,292331000.0,322618000.0,0.0,0.0,0.0,-0.3845,0.0155,-0.104,-3.7895,0.03,0.007,0.261,0.037,1.5154,0.0,0.0,0.0,0.0,0.0,0.0,1.667,33.0,0.5818,0.0,302579000.0,67365250.0,298388500.0,0.168,1.306,0.0,-0.5355,0.0145,-0.1484,-5.622,KFFB,9.34,9.632571428571424,78825070.1
