,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.2156,0.0376,0.1851,-0.1818,-0.1818,0.544,0.2732,0.2963,-0.3015,0.0,0.0,0.1538,-3.7013,0.0,0.1835,0.0376,0.446,12973000.0,0.2156,0.0,12973000.0,0.0,6598000.0,9742000.0,3231000.0,0.0,3231000.0,452000.0,0.0,0.0,2779000.0,0.0,2779000.0,0.45,0.45,6122717.0,0.15,1.0,0.313,0.2491,0.214,-0.1924,4056000.0,3231000.0,2779000.0,47171000.0,0.1448,0.0,47171000.0,0.0,24975000.0,36932000.0,10239000.0,0.0,10239000.0,3706000.0,0.0,0.0,6533000.0,0.0,6533000.0,1.26,1.26,6122717.0,0.66,1.0,0.266,0.2171,0.138,-0.0153,12536000.0,10239000.0,6533000.0,23.156,226.642,-0.408,4.8317,6.4362,0.2087,0.0209,0.0,0.7323,0.333,0.0198,0.5086,0.0,1387662000.0,1377838000.0,0.0,0.0,0.0,-2.2265,0.0042,-0.3493,-5.4921,0.06,0.005,0.217,0.037,1.8827,0.0,0.0,0.0,0.0,0.0,0.0,0.524,18.0,0.5295,0.0,1263072000.0,108498250.0,1282647750.0,-0.118,7.704,0.0,-1.0585,0.0047,-0.276,-5.6683,MPB,34.900002,35.23857151428571,213682835.545434
2018-03-31,0.1825,-0.5466,-0.4965,-0.6383,-0.6383,-0.0977,0.2966,0.3303,0.4151,0.0,0.0,-1.0,-0.9764,0.0,0.2046,-0.5466,0.4459,12400000.0,0.1825,0.0,12400000.0,0.0,6829000.0,11183000.0,1217000.0,0.0,1217000.0,213000.0,0.0,0.0,1004000.0,0.0,1004000.0,0.17,0.17,6121043.0,0.0,1.0,0.152,0.0981,0.081,0.0088,1888000.0,1217000.0,1004000.0,44870000.0,0.1198,0.0,44870000.0,0.0,23952000.0,34748000.0,10122000.0,0.0,10122000.0,4023000.0,0.0,0.0,6099000.0,0.0,6099000.0,1.36,1.36,6121043.0,0.64,1.0,0.267,0.2256,0.136,0.0602,11970000.0,10122000.0,6099000.0,22.729,222.766,0.018,4.841,9.6675,0.213,0.0213,0.0,2.8715,0.0,0.0199,0.5507,0.0,1363563000.0,1334020000.0,0.0,0.0,0.0,-0.9622,0.0047,-0.2237,-4.1341,0.066,0.005,0.226,0.037,1.8992,0.0,0.0,0.0,0.0,0.0,0.0,0.471,23.0,0.5338,0.0,1198774250.0,91963500.0,1206705000.0,0.441,7.33,0.0,-0.7669,0.0041,-0.198,-4.8068,MPB,31.950001,31.850294029411764,195567329.971043
2017-12-31,0.0253,-0.0158,-0.7587,-0.78,-0.78,0.1538,0.1334,0.0721,2.0627,0.0,0.0,0.7273,-0.9462,0.0,0.0399,-0.0158,0.002,10718000.0,0.0253,0.0,10718000.0,0.0,5765000.0,8047000.0,2671000.0,0.0,2671000.0,2170000.0,0.0,0.0,501000.0,0.0,501000.0,0.11,0.11,4240754.0,0.38,1.0,0.288,0.2492,0.047,0.0095,3087000.0,2671000.0,501000.0,42956000.0,0.1043,0.0,42956000.0,0.0,22792000.0,31367000.0,11589000.0,0.0,11589000.0,4500000.0,0.0,0.0,7089000.0,0.0,7089000.0,1.67,1.67,4240754.0,0.77,1.0,0.306,0.2698,0.165,0.168,13158000.0,11589000.0,7089000.0,17.851,274.952,0.024,15.1626,5.5448,0.8494,0.0549,0.0,4.8363,3.455,0.0037,0.5379,0.0,1166002000.0,1206789000.0,0.0,0.0,0.0,-0.9579,0.0071,-0.2166,-5.5793,0.094,0.006,0.27,0.038,1.678,0.0,0.0,0.0,0.0,0.0,0.0,0.461,11.0,0.5306,0.0,1129355000.0,75264250.0,1127135250.0,1.702,10.129,0.0,-0.3933,0.0034,-0.1089,-2.9815,MPB,33.099998,32.5209093030303,140368948.918492
2017-09-30,0.1551,0.2855,0.1831,0.1778,0.1778,4.1549,0.1062,0.0287,0.9398,0.0,0.0,0.0833,1.2011,0.0,0.0909,0.2855,0.0019,11080000.0,0.1551,0.0,11080000.0,0.0,5783000.0,7960000.0,3120000.0,0.0,3120000.0,871000.0,0.0,0.0,2249000.0,0.0,2249000.0,0.53,0.53,4238423.0,0.13,1.0,0.316,0.2816,0.203,0.1412,3505000.0,3120000.0,2249000.0,42692000.0,0.1418,0.0,42692000.0,0.0,22571000.0,31060000.0,11632000.0,0.0,11632000.0,2968000.0,0.0,0.0,8664000.0,0.0,8664000.0,2.05,2.05,4238423.0,0.61,1.0,0.31,0.2725,0.203,0.211,13228000.0,11632000.0,8664000.0,18.259,271.09,0.369,9.6333,13.2559,0.5276,0.0354,0.0,2.205,0.245,0.0038,0.5219,0.0,1148995000.0,1133641000.0,0.0,0.0,0.0,-0.6844,0.0029,-0.3063,-8.8156,0.117,0.008,0.272,0.039,1.3356,0.0,0.0,0.0,0.0,0.0,0.0,0.298,12.0,0.5287,0.0,1078448750.0,73955250.0,1092696500.0,2.126,10.073,0.0,-0.2214,0.0021,-0.06,-1.6053,MPB,29.4,28.46057142857143,124609636.19999999
2017-06-30,0.1191,0.1908,0.1597,0.1458,0.1458,-0.8864,0.0977,0.0141,0.1263,0.0,0.0,0.0833,-0.9192,0.0,0.0936,0.1908,0.0015,10672000.0,0.1191,0.0,10672000.0,0.0,5575000.0,7558000.0,3114000.0,0.0,3114000.0,769000.0,0.0,0.0,2345000.0,0.0,2345000.0,0.55,0.55,4234280.0,0.13,1.0,0.327,0.2918,0.22,0.0866,3490000.0,3114000.0,2345000.0,41204000.0,0.1194,0.0,41204000.0,0.0,22089000.0,30265000.0,10939000.0,0.0,10939000.0,2623000.0,0.0,0.0,8316000.0,0.0,8316000.0,1.97,1.97,4234280.0,0.6,1.0,0.306,0.2655,0.202,0.1979,12600000.0,10939000.0,8316000.0,17.863,261.549,0.218,10.0026,6.8911,0.56,0.0381,0.0,0.562,0.236,0.004,0.5224,0.0,1107472000.0,1120647000.0,0.0,0.0,0.0,-0.2989,0.0017,-0.0369,-1.0479,0.113,0.008,0.265,0.039,0.9109,0.0,0.0,0.0,0.0,0.0,0.0,0.305,9.0,0.5361,0.0,1048910250.0,73378750.0,1065025000.0,1.926,9.731,0.0,0.0767,0.0018,0.0141,0.3498,MPB,27.0,26.803055555555556,114325560.0
2017-03-31,0.1267,0.1544,0.1047,0.093,0.093,-0.5554,0.1166,0.0139,-0.5606,0.0,0.0,-0.4091,-0.3422,0.0,0.1044,0.1544,0.0016,10486000.0,0.1267,0.0,10486000.0,0.0,5669000.0,7802000.0,2684000.0,0.0,2684000.0,690000.0,0.0,0.0,1994000.0,0.0,1994000.0,0.47,0.47,4233297.0,0.13,1.0,0.293,0.256,0.19,0.4412,3076000.0,2684000.0,1994000.0,40068000.0,0.0962,0.0,40068000.0,0.0,21612000.0,29628000.0,10440000.0,0.0,10440000.0,2447000.0,0.0,0.0,7993000.0,0.0,7993000.0,1.9,1.9,4233297.0,0.59,1.0,0.303,0.2606,0.199,0.4659,12160000.0,10440000.0,7993000.0,17.085,252.406,1.093,4.9465,7.8206,0.2895,0.0195,0.0,1.6023,0.277,0.0041,0.5406,0.0,1068510000.0,1056343000.0,0.0,0.0,0.0,0.4479,0.0018,0.1365,3.6505,0.109,0.008,0.261,0.039,2.234,0.0,0.0,0.0,0.0,0.0,0.0,0.311,9.0,0.5394,0.0,1019755500.0,73088250.0,1040277000.0,4.409,9.465,0.0,0.0454,0.0016,0.0202,0.4709,MPB,27.25,27.431389055555556,115357343.25
2016-12-31,0.1673,0.3252,0.4744,0.5152,0.5152,-0.2117,0.1084,0.0042,-0.7353,0.0,0.0,0.8333,-0.2309,0.0,0.079,0.3252,0.0015,10454000.0,0.1673,0.0,10454000.0,0.0,5544000.0,7740000.0,2714000.0,0.0,2714000.0,638000.0,0.0,0.0,2076000.0,0.0,2076000.0,0.5,0.5,4232166.0,0.22,1.0,0.302,0.2596,0.199,0.1813,3157000.0,2714000.0,2076000.0,38899000.0,0.1136,0.0,38899000.0,0.0,21076000.0,28818000.0,10081000.0,0.0,10081000.0,2277000.0,0.0,0.0,7804000.0,0.0,7804000.0,1.85,1.85,4232166.0,0.68,1.0,0.305,0.2592,0.201,0.5417,11865000.0,10081000.0,7804000.0,16.65,242.935,0.448,4.9608,10.8628,0.2979,0.0203,0.0,1.0116,0.44,0.0043,0.5303,0.0,1028142000.0,1003164000.0,0.0,0.0,0.0,-0.0976,0.0018,-0.0196,-0.4628,0.107,0.008,0.259,0.038,2.7996,0.0,0.0,0.0,0.0,0.0,0.0,0.368,8.0,0.5418,0.0,1002757750.0,72812000.0,1012266000.0,4.979,9.191,0.0,-0.0355,0.0014,-0.0199,-0.4344,MPB,23.83,22.55205897058824,100852515.77999999
2016-09-30,0.0647,-0.0053,0.0549,0.0465,0.0465,-0.8392,0.1392,-0.0073,-0.6312,0.0,0.0,0.0,-0.8765,0.0,0.1109,-0.0053,0.0016,9592000.0,0.0647,0.0,9592000.0,0.0,5301000.0,7165000.0,2427000.0,0.0,2427000.0,526000.0,0.0,0.0,1901000.0,0.0,1901000.0,0.45,0.45,4230311.0,0.12,1.0,0.3,0.253,0.198,0.0741,2877000.0,2427000.0,1901000.0,37391000.0,0.1302,0.0,37391000.0,0.0,20670000.0,27976000.0,9415000.0,0.0,9415000.0,2060000.0,0.0,0.0,7355000.0,219000.0,7136000.0,1.69,1.69,4230311.0,0.58,1.0,0.299,0.2518,0.191,0.5788,11193000.0,9415000.0,7355000.0,17.749,245.421,0.168,4.9758,10.3465,0.2803,0.0202,0.0,0.506,0.267,0.0043,0.5526,0.0,1038207000.0,1015487000.0,0.0,0.0,0.0,-0.2609,0.0018,-0.0262,-0.5578,0.098,0.007,0.252,0.038,3.1407,0.0,0.0,0.0,0.0,0.0,0.0,0.343,8.0,0.5528,0.0,999159000.0,72712250.0,987025750.0,5.116,8.839,0.0,-0.0344,0.0011,-0.0206,-0.4331,MPB,19.49,18.61861125,82448761.39
2016-06-30,0.0277,-0.0083,0.0359,0.0435,0.0435,3.2301,0.1263,0.0136,-0.4337,0.0,0.0,0.2,4.4448,0.0,0.0608,-0.0083,0.0013,9536000.0,0.0277,0.0,9536000.0,0.0,5098000.0,6921000.0,2615000.0,0.0,2615000.0,593000.0,0.0,0.0,2022000.0,0.0,2022000.0,0.48,0.48,4227981.0,0.12,1.0,0.32,0.2742,0.212,1.199,3050000.0,2615000.0,2022000.0,36808000.0,0.1887,0.0,36808000.0,0.0,20141000.0,27380000.0,9428000.0,0.0,9428000.0,2080000.0,0.0,0.0,7348000.0,311000.0,7037000.0,1.67,1.67,4227981.0,0.58,1.0,0.303,0.2561,0.191,0.725,11166000.0,9428000.0,7348000.0,17.615,238.5,2.704,8.8938,9.9213,0.5049,0.0371,0.0,5.7364,0.25,0.0045,0.5346,0.0,1008372000.0,1004028000.0,0.0,0.0,0.0,-0.0142,0.0009,-0.0173,-0.3793,0.097,0.007,0.256,0.039,3.8981,0.0,0.0,0.0,0.0,0.0,0.0,0.347,11.0,0.5472,0.0,981081250.0,72821000.0,955170250.0,6.312,8.706,0.0,-0.0272,0.001,-0.0202,-0.4287,MPB,15.91,15.830277722222226,67267177.71
2016-03-31,0.2107,1.2206,1.0605,0.8696,0.8696,3.0218,0.0734,-0.0266,-0.1654,0.0,0.0,1.2,4.0452,0.0,0.1669,1.2206,0.0012,9307000.0,0.2107,0.0,9307000.0,0.0,5133000.0,6982000.0,2325000.0,0.0,2325000.0,520000.0,0.0,0.0,1805000.0,0.0,1805000.0,0.43,0.43,4226717.0,0.22,1.0,0.299,0.2498,0.194,0.7557,2781000.0,2325000.0,1805000.0,36551000.0,0.2632,0.0,36551000.0,0.0,19849000.0,27101000.0,9450000.0,0.0,9450000.0,2080000.0,0.0,0.0,7370000.0,403000.0,6967000.0,1.65,1.65,4226717.0,0.56,1.0,0.305,0.2585,0.191,0.4747,11164000.0,9450000.0,7370000.0,16.85,226.263,1.664,11.2752,3.7036,0.6691,0.0496,0.0,3.9817,0.512,0.0047,0.5515,0.0,956349000.0,988352000.0,0.0,0.0,0.0,-0.0214,0.0009,-0.0165,-0.3377,0.096,0.008,0.259,0.039,2.666,0.0,0.0,0.0,0.0,0.0,0.0,0.339,13.0,0.543,0.0,966084500.0,72548750.0,926784750.0,4.105,8.648,0.0,-0.0658,0.0007,-0.0334,-0.713,MPB,14.85,14.980857142857143,62766747.449999996
