,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.6481,1.6361,1.4575,1.4615,1.4615,1.9597,-0.0221,-0.0255,-0.0894,-0.0288,0.0,0.0,1.9173,0.0,0.0824,1.6361,0.002,16203000.0,-0.017,9772000.0,6431000.0,0.0,5187000.0,5536000.0,895000.0,309000.0,586000.0,129000.0,0.0,0.0,457000.0,0.0,457000.0,0.18,0.18,2522312.0,0.05,0.4062,0.059,0.0588,0.028,0.0847,964000.0,895000.0,457000.0,64958000.0,-0.026,38341000.0,26617000.0,0.0,20559000.0,22796000.0,3821000.0,1269000.0,2552000.0,1512000.0,0.0,0.0,1040000.0,0.0,1040000.0,0.41,0.41,2522312.0,0.2,0.3692,0.065,0.0233,0.016,0.045,4239000.0,3821000.0,1040000.0,18.395,58.002,0.422,6.0032,2.2146,0.3241,0.1037,3.0927,2.8556,0.278,0.0,0.3065,0.0,146299000.0,156901000.0,13343000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.007,0.059,0.44,-7.1875,0.0,71.3685,0.0,5.0686,0.0,0.0,0.488,13.0,0.3091,0.0,156536000.0,46966000.0,147531500.0,2.047,25.753,1.1812,-0.0181,0.0,-0.0008,-0.1154,NSEC,16.18,15.909714285714283,40811008.16
2018-03-31,0.2566,3.3827,2.4905,2.4615,2.4615,1.0045,-0.0193,-0.0289,-0.0894,-0.0177,0.0,0.0,1.0226,0.0,0.0064,3.3827,0.002,15876000.0,-0.0247,9427000.0,6449000.0,0.0,4866000.0,5515000.0,934000.0,302000.0,632000.0,161000.0,0.0,0.0,471000.0,0.0,471000.0,0.19,0.19,2522312.0,0.05,0.5102,0.065,0.151,0.03,0.0593,1034000.0,934000.0,471000.0,65238000.0,-0.0242,41150000.0,24088000.0,0.0,20164000.0,22569000.0,1519000.0,1286000.0,233000.0,649000.0,0.0,0.0,-416000.0,0.0,-416000.0,-0.16,-0.16,2522312.0,0.2,0.3469,0.03,0.0029,-0.006,0.0344,1987000.0,1519000.0,-416000.0,18.525,57.913,0.533,6.2003,2.6341,0.3284,0.1068,7.2604,1.4559,0.263,0.0,0.3266,0.0,146074000.0,155630000.0,12871000.0,0.0,0.0,-0.0113,0.0,-0.0007,-0.0887,-0.009,-0.003,0.023,0.44,-1.9252,0.0,66.8333,0.0,5.1018,0.0,0.0,-1.25,33.0,0.3067,0.0,156868000.0,47246000.0,148357250.0,1.164,25.864,0.1477,-0.0259,0.0,-0.0009,-0.1167,NSEC,16.030001000000002,15.766764794117648,40432663.88231201
2017-12-31,0.3926,17.4511,7.4327,7.5,7.5,1.2944,-0.0144,-0.0108,-0.0868,-0.1235,0.0,0.1111,1.2902,0.0,-0.0024,17.4511,0.002,16248000.0,-0.0334,7958000.0,8290000.0,0.0,5306000.0,5836000.0,2454000.0,338000.0,2116000.0,1447000.0,0.0,0.0,669000.0,0.0,669000.0,0.26,0.26,2522312.0,0.05,0.3275,0.159,-0.0278,0.041,0.1076,2578000.0,2454000.0,669000.0,65640000.0,-0.0187,42869000.0,22771000.0,0.0,20133000.0,22578000.0,193000.0,1307000.0,-1114000.0,89000.0,0.0,0.0,-1203000.0,0.0,-1203000.0,-0.48,-0.48,2522312.0,0.2,0.3087,0.011,-0.0321,-0.018,-0.0306,707000.0,193000.0,-1203000.0,18.881,58.057,0.382,6.5951,3.8734,0.3531,0.1099,-1.4438,-3.2118,0.192,0.0,0.3127,0.0,146438000.0,155433000.0,12866000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025,-0.008,0.003,0.44,0.9949,0.0,73.7873,0.0,5.0035,0.0,0.0,-0.417,249.0,0.3043,0.0,157322500.0,47570500.0,149074250.0,0.894,26.024,-1.6319,0.03,0.0,-0.0009,-0.1347,NSEC,16.35,14.944545484848486,41239801.2
2017-09-30,-0.2259,-1.2824,-1.5989,-1.5946,-1.5946,-0.4223,-0.0185,-0.0632,-0.0365,0.0232,0.0,0.1111,-0.4223,0.0,0.0673,-1.2824,0.002,16631000.0,-0.0285,11184000.0,5447000.0,0.0,5200000.0,5909000.0,-462000.0,320000.0,-782000.0,-225000.0,0.0,0.0,-557000.0,0.0,-557000.0,-0.22,-0.22,2522312.0,0.05,0.2367,-0.02,-0.0854,-0.033,-0.0704,-337000.0,-462000.0,-557000.0,66201000.0,0.0045,45767000.0,20434000.0,0.0,20146000.0,22562000.0,-2128000.0,1304000.0,-3432000.0,-1456000.0,0.0,0.0,-1976000.0,0.0,-1976000.0,-0.78,-0.78,2522312.0,0.195,0.3302,-0.026,-0.0004,-0.03,-0.0108,-1690000.0,-2128000.0,-1976000.0,18.68,59.991,0.709,6.607,3.1799,0.35,0.1112,-4.316,1.1191,-0.227,0.0,0.2907,0.0,151315000.0,158180000.0,13231000.0,0.0,0.0,0.0385,0.0,-0.0026,-0.3613,-0.041,-0.013,-0.032,0.442,1.3456,0.0,74.0957,0.0,4.9642,0.0,0.0,-0.25,-19.0,0.2972,0.0,158048500.0,47677250.0,149609500.0,-0.803,26.246,-0.0227,0.0897,0.0,-0.0009,-0.1425,NSEC,12.6,13.111428571428572,31781131.2
2017-06-30,-0.4988,-1.6928,-1.7708,-1.75,-1.75,-1.594,-0.0159,-0.0357,-0.0741,0.0156,0.0,0.1111,-1.6127,0.0,-0.0751,-1.6928,0.002,16483000.0,-0.0099,12581000.0,3902000.0,0.0,4792000.0,5309000.0,-1407000.0,326000.0,-1733000.0,-734000.0,0.0,0.0,-999000.0,0.0,-999000.0,-0.39,-0.39,2517339.0,0.05,0.3153,-0.078,-0.0241,-0.061,0.0409,-1288000.0,-1407000.0,-999000.0,66689000.0,0.0274,44665000.0,22024000.0,0.0,19818000.0,22054000.0,-30000.0,1323000.0,-1353000.0,-864000.0,0.0,0.0,-489000.0,0.0,-489000.0,-0.19,-0.19,2517339.0,0.19,0.3875,0.006,0.051,-0.007,0.035,384000.0,-30000.0,-489000.0,18.876,59.429,-0.461,6.6058,3.2268,0.3463,0.1116,-1.2136,-2.1234,-0.128,0.0,0.297,0.0,149602000.0,158229000.0,13434000.0,0.0,0.0,-0.0089,0.0,-0.0004,-0.0411,-0.01,-0.003,0.0,0.444,1.2968,0.0,70.8991,0.0,5.1018,0.0,0.0,-1.0,-1479.0,0.3023,0.0,159980000.0,48447500.0,150322000.0,-0.285,26.492,2.5624,-0.0013,0.0,0.0,-0.0082,NSEC,14.25,14.66,35872080.75
2017-03-31,-0.2941,-1.2382,-1.3358,-1.3514,-1.3514,2.283,0.0022,0.0249,-0.0741,-0.0178,0.0,0.1111,2.0726,0.0,-0.0376,-1.2382,0.002,16278000.0,-0.0024,11146000.0,5132000.0,0.0,4835000.0,5524000.0,-392000.0,323000.0,-715000.0,-399000.0,0.0,0.0,-316000.0,0.0,-316000.0,-0.13,-0.13,2517339.0,0.05,0.3542,-0.015,0.0079,-0.019,-0.1974,-246000.0,-392000.0,-316000.0,66854000.0,0.0388,40946000.0,25908000.0,0.0,20207000.0,22500000.0,3408000.0,1330000.0,2078000.0,272000.0,0.0,0.0,1806000.0,0.0,1806000.0,0.72,0.72,2517339.0,0.185,0.4193,0.056,0.0814,0.027,0.0158,3772000.0,3408000.0,1806000.0,19.077,59.166,0.264,6.8032,2.9269,0.3564,0.1153,0.397,31.8077,-0.385,0.0,0.3164,0.0,148942000.0,157448000.0,13104000.0,0.0,0.0,0.003,0.0,-0.0006,-0.2083,0.037,0.012,0.051,0.443,0.3748,0.0,74.8246,0.0,5.0165,0.0,0.0,0.257,15.0,0.3049,0.0,161903000.0,48862500.0,150926750.0,0.929,26.557,4.0281,-0.0819,0.0,-0.0014,-0.3102,NSEC,16.040001,16.656944361111112,40378120.077339
2016-12-31,-0.2107,-0.928,-1.0904,-1.087,-1.087,-1653.0,0.005,0.0685,-0.0463,0.0584,0.0,0.125,-206.375,0.0,0.0133,-0.928,0.002,16809000.0,0.0623,10856000.0,5953000.0,0.0,5319000.0,5820000.0,133000.0,335000.0,-202000.0,-98000.0,0.0,0.0,-104000.0,0.0,-104000.0,-0.04,-0.04,2517339.0,0.045,0.4111,0.011,0.0956,-0.006,0.1809,181000.0,133000.0,-104000.0,66893000.0,0.0444,38847000.0,28046000.0,0.0,20396000.0,22600000.0,5446000.0,1352000.0,4094000.0,1031000.0,0.0,0.0,3063000.0,0.0,3063000.0,1.22,1.22,2517339.0,0.18,0.4496,0.086,0.1087,0.046,0.0661,5749000.0,5446000.0,3063000.0,19.088,59.022,-1.318,6.8588,2.1948,0.344,0.112,4.826,3.3301,-1.125,0.0,0.2846,0.0,148579000.0,158337000.0,13334500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.02,0.081,0.443,1.0317,0.0,72.4329,0.0,4.9031,0.0,0.0,0.148,10.0,0.3084,0.0,163143000.0,48548250.0,150844250.0,0.419,26.573,5.1481,-0.022,0.0,-0.0015,-0.3072,NSEC,17.75,17.70500032352941,44682767.25
2016-09-30,-0.1154,-0.4094,-0.4245,-0.4219,-0.4219,-0.1818,0.0312,0.1156,-0.0602,-0.0526,0.0,0.125,-0.1772,0.0,0.0329,-0.4094,0.002,17119000.0,0.0616,10082000.0,7037000.0,0.0,4872000.0,5401000.0,1636000.0,339000.0,1297000.0,367000.0,0.0,0.0,930000.0,0.0,930000.0,0.37,0.37,2517339.0,0.045,0.4677,0.101,0.122,0.054,0.1138,1737000.0,1636000.0,930000.0,65907000.0,0.0147,36272000.0,29635000.0,0.0,20326000.0,22474000.0,7161000.0,1391000.0,5770000.0,1453000.0,0.0,0.0,4317000.0,0.0,4317000.0,1.72,1.72,2517339.0,0.175,0.4707,0.113,0.1278,0.066,0.0774,7480000.0,7161000.0,4317000.0,19.941,61.241,1.23,7.1497,1.6172,0.3653,0.1182,6.0991,1.4522,0.122,0.0,0.3112,0.0,154165000.0,165906000.0,13442000.0,0.0,0.0,0.0069,0.0,0.0008,0.1884,0.09,0.029,0.109,0.437,1.0278,0.0,74.9534,0.0,4.7783,0.0,0.0,0.102,8.0,0.3107,0.0,163317500.0,47756000.0,150659750.0,1.73,26.181,5.9165,-0.0231,0.0,-0.0018,-0.4132,NSEC,17.85,19.34138872222222,44934501.150000006
2016-06-30,0.1692,1.001,1.0803,1.08,1.08,10.4756,0.0377,0.1249,-0.0223,-0.0368,0.0,0.125,13.037,0.0,0.0107,1.001,0.002,16648000.0,0.0344,8862000.0,7786000.0,0.0,5181000.0,5755000.0,2031000.0,333000.0,1698000.0,402000.0,0.0,0.0,1296000.0,0.0,1296000.0,0.52,0.52,2512425.0,0.045,0.4455,0.126,0.1009,0.078,-0.038,2100000.0,2031000.0,1296000.0,64913000.0,0.0091,34360000.0,30553000.0,0.0,20171000.0,22258000.0,8295000.0,1402000.0,6893000.0,1890000.0,0.0,0.0,5003000.0,0.0,5003000.0,1.99,1.99,2512425.0,0.17,0.4572,0.132,0.1131,0.077,0.0507,8583000.0,8295000.0,5003000.0,19.574,60.508,0.754,7.1481,1.657,0.384,0.1208,4.771,-0.5558,0.087,0.0,0.3079,0.0,152021000.0,165921000.0,13585000.0,0.0,0.0,0.1855,0.0,-0.0059,-1.1412,0.108,0.033,0.128,0.434,0.7908,0.0,74.9861,0.0,4.9475,0.0,0.0,0.085,7.0,0.3126,0.0,161147750.0,46434250.0,149493250.0,1.999,25.837,5.1369,-0.047,0.0,-0.0025,-0.5279,NSEC,18.120001000000002,16.847499888888883,45525143.512425005
2016-03-31,-0.0615,-0.2184,-0.2806,-0.2885,-0.2885,-1.1783,0.0109,0.0556,-0.0584,0.0334,0.0,0.125,-1.2165,0.0,0.0078,-0.2184,0.002,16317000.0,0.0193,9047000.0,7270000.0,0.0,5024000.0,5624000.0,1646000.0,345000.0,1301000.0,360000.0,0.0,0.0,941000.0,0.0,941000.0,0.37,0.37,2512425.0,0.045,0.4766,0.106,0.1168,0.058,-0.001,1731000.0,1646000.0,941000.0,64359000.0,-0.0157,34933000.0,29426000.0,0.0,20116000.0,22147000.0,7279000.0,1417000.0,5862000.0,1532000.0,0.0,0.0,4330000.0,0.0,4330000.0,1.72,1.72,2512425.0,0.165,0.4669,0.118,0.1208,0.067,0.1053,7584000.0,7279000.0,4330000.0,18.614,59.151,-0.247,7.1473,2.6918,0.4001,0.1215,4.9412,-0.0017,0.122,0.0,0.3317,0.0,148612000.0,162408000.0,13008500.0,0.0,0.0,7.0,0.0,-0.0009,-0.2188,0.096,0.029,0.113,0.435,1.4648,0.0,73.832,0.0,5.1564,0.0,0.0,0.096,7.0,0.3135,0.0,158789250.0,45047250.0,148111250.0,1.299,25.616,5.5596,-0.0193,0.0,-0.0021,-0.4448,NSEC,15.03,15.268285628571428,37761747.75
