,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-03-31,-0.4249,-0.5297,-0.4468,-0.4643,-0.4444,-0.2166,0.0039,-0.0036,-0.3157,0.0,0.0,0.4286,-0.2101,0.0,-0.0222,-0.5297,0.0,27932000.0,-0.4249,0.0,27932000.0,0.0,8131000.0,9760000.0,18172000.0,0.0,18172000.0,4747000.0,0.0,0.0,13425000.0,0.0,13425000.0,0.3,0.3,56245065.0,0.25,1.0,0.658,0.6506,0.481,0.5461,18367000.0,18172000.0,13425000.0,103654000.0,-0.2369,0.0,103654000.0,0.0,32923000.0,38953000.0,64701000.0,0.0,59532000.0,27250000.0,0.0,0.0,32282000.0,0.0,32282000.0,0.73,0.72,56245065.0,1.225,1.0,0.582,0.5743,0.311,0.3927,60315000.0,59532000.0,32282000.0,9.861,73.645,0.271,9.9345,0.418,1.0075,0.1349,0.0,1.1441,0.833,0.0,0.2911,0.0,4142185000.0,4677443000.0,0.0,0.0,0.0,-0.007,0.0538,-0.0038,-0.5487,0.058,0.008,0.574,0.025,1.27,0.0,0.0,0.0,0.0,0.0,0.0,1.678,23.0,0.3176,0.0,4687648250.0,556948250.0,4130467000.0,0.724,1.843,0.0,-0.007,0.0484,-0.0028,-0.3691,ORIT,15.35,15.817647000000003,863361747.75
2017-12-31,0.0282,0.1017,-0.651,-0.6538,-0.6538,0.3994,0.0275,0.0168,-0.3156,0.0,0.0,-0.0741,0.394,0.0,-0.0875,0.1017,0.0,28186000.0,0.0282,0.0,28186000.0,0.0,8826000.0,10168000.0,18018000.0,0.0,18018000.0,14048000.0,0.0,0.0,3970000.0,0.0,3970000.0,0.09,0.09,56245065.0,0.625,1.0,0.646,0.6393,0.141,0.5532,18210000.0,18018000.0,3970000.0,124287000.0,0.0751,0.0,124287000.0,0.0,33108000.0,39115000.0,85172000.0,0.0,80003000.0,36880000.0,0.0,0.0,43123000.0,0.0,43123000.0,0.99,0.96,56245065.0,1.15,1.0,0.65,0.6437,0.347,0.3602,80801000.0,80003000.0,43123000.0,9.735,73.293,0.277,9.9903,0.6929,1.0262,0.1363,0.0,3.9529,6.944,0.0,0.3131,0.0,4122391000.0,4645325000.0,0.0,0.0,0.0,-0.0064,0.066,-0.0035,-0.5208,0.077,0.01,0.644,0.03,1.0493,0.0,0.0,0.0,0.0,0.0,0.0,1.162,18.0,0.2664,0.0,4746194250.0,557457000.0,4126466250.0,0.796,2.21,0.0,-0.0106,0.0347,-0.0039,-0.6003,ORIT,16.4,16.681818303030298,922419065.9999999
2017-09-30,0.0764,0.1727,0.1305,0.08,0.125,0.2537,0.0856,0.0495,-0.1727,0.0,0.0,0.0,0.2548,0.0,-0.0911,0.1727,0.0,28587000.0,0.0764,0.0,28587000.0,0.0,7991000.0,9484000.0,19103000.0,0.0,19103000.0,7107000.0,0.0,0.0,11996000.0,0.0,11996000.0,0.27,0.27,56245065.0,0.175,1.0,0.675,0.6682,0.42,0.5908,19299000.0,19103000.0,11996000.0,123513000.0,-0.1238,0.0,123513000.0,0.0,33954000.0,40005000.0,83508000.0,0.0,78339000.0,27810000.0,0.0,0.0,50529000.0,0.0,50529000.0,1.16,1.13,56245065.0,1.2,1.0,0.641,0.6343,0.409,0.3268,79167000.0,78339000.0,50529000.0,10.07,73.244,0.3,10.1282,0.553,1.0058,0.1383,0.0,1.4078,0.648,0.0,0.2795,0.0,4119608000.0,4658164000.0,0.0,0.0,0.0,0.0,0.0258,0.0,0.0,0.091,0.012,0.634,0.03,0.8068,0.0,0.0,0.0,0.0,0.0,0.0,1.034,20.0,0.2749,0.0,4785061500.0,555186750.0,4098910750.0,0.718,2.196,0.0,-0.01,0.0448,-0.0033,-0.4915,ORIT,16.799999,16.121428400000003,944917035.754935
2017-06-30,-0.4309,-0.7591,-0.7387,-0.7308,-0.76,-1.5649,0.1276,0.0449,-0.1712,0.0,0.0,0.0,-1.5757,0.0,-0.1879,-0.5667,0.0,18949000.0,-0.4309,0.0,18949000.0,0.0,7975000.0,9541000.0,9408000.0,0.0,4239000.0,1348000.0,0.0,0.0,2891000.0,0.0,2891000.0,0.07,0.06,56245065.0,0.175,1.0,0.234,0.2237,0.153,-0.3707,4439000.0,4239000.0,2891000.0,121455000.0,-0.1597,0.0,121455000.0,0.0,34755000.0,40760000.0,80695000.0,0.0,75526000.0,26382000.0,0.0,0.0,49144000.0,0.0,49144000.0,1.14,1.1,56245065.0,1.2,1.0,0.629,0.6218,0.405,0.3041,76390000.0,75526000.0,49144000.0,9.943,73.565,-0.125,11.8331,0.597,1.1901,0.1609,0.0,-2.4012,2.5,0.0,0.4209,0.0,4137684000.0,4769661000.0,0.0,0.0,0.0,0.0118,0.0486,-0.0043,-0.41,0.09,0.012,0.622,0.03,0.76,0.0,0.0,0.0,0.0,0.0,0.0,1.053,23.0,0.2862,0.0,4735003750.0,548503000.0,4017669250.0,0.657,2.159,0.0,-0.0112,0.0541,-0.0034,-0.485,ORIT,17.049999,16.891666722222222,958978302.004935
2017-03-31,0.7136,1.1481,0.9825,0.931,0.9286,3.2423,0.1451,-0.1688,0.04,0.0,0.0,0.0,3.3318,0.0,-0.0747,1.1481,0.2667,48565000.0,0.7136,0.0,48565000.0,0.0,8316000.0,9922000.0,38643000.0,0.0,38643000.0,14377000.0,0.0,0.0,24266000.0,0.0,24266000.0,0.56,0.54,56245065.0,0.175,1.0,0.8,0.7957,0.5,0.3976,38853000.0,38643000.0,24266000.0,135829000.0,-0.0731,0.0,135829000.0,0.0,36600000.0,42831000.0,92998000.0,0.0,88883000.0,31567000.0,0.0,0.0,57316000.0,0.0,57316000.0,1.33,1.29,56245065.0,1.2,1.0,0.661,0.6544,0.422,0.4134,89784000.0,88883000.0,57316000.0,9.897,73.361,0.343,14.5171,0.5524,1.4668,0.1979,0.0,0.808,0.313,0.0,0.1712,0.0,4126182000.0,4911627000.0,0.0,0.0,0.0,-0.0151,0.0164,-0.0061,-1.4143,0.106,0.015,0.654,0.035,0.9872,0.0,0.0,0.0,0.0,0.0,0.0,0.902,19.0,0.2695,0.0,4656539750.0,542497250.0,3900582750.0,0.998,2.415,0.0,-0.0075,0.0593,-0.0031,-0.4717,ORIT,17.0,16.97083336111111,956166105.0
2016-12-31,-0.4806,-0.3673,-0.3054,-0.3333,-0.3158,4.2231,0.1421,-0.1853,0.0088,0.0,0.0,0.0,5.2179,0.0,-0.1464,-0.5883,0.275,27412000.0,-0.4806,0.0,27412000.0,0.0,9672000.0,11058000.0,16354000.0,0.0,16354000.0,4978000.0,0.0,0.0,11376000.0,0.0,11376000.0,0.26,0.26,56245065.0,0.675,1.0,0.605,0.5966,0.415,0.4081,16576000.0,16354000.0,11376000.0,115605000.0,-0.2133,0.0,115605000.0,0.0,37271000.0,43261000.0,72344000.0,0.0,68229000.0,22939000.0,0.0,0.0,45290000.0,0.0,45290000.0,1.06,1.03,56245065.0,1.2,1.0,0.598,0.5902,0.392,0.3573,69146000.0,68229000.0,45290000.0,9.574,71.334,0.199,14.597,0.5757,1.5247,0.2046,0.0,0.9858,2.596,0.0,0.3528,0.0,4012169000.0,4800794000.0,0.0,0.0,0.0,-0.0025,0.1123,-0.001,-0.1261,0.085,0.012,0.59,0.031,0.9184,0.0,0.0,0.0,0.0,0.0,0.0,1.132,25.0,0.3224,0.0,4522985500.0,535509750.0,3769880750.0,0.734,2.055,0.0,-0.007,0.0894,-0.0025,-0.3184,ORIT,18.75,17.892647088235293,1054594968.75
2016-09-30,-0.1187,-0.1602,-0.1589,-0.1935,-0.2,0.043,0.1332,-0.1928,-0.0922,0.0,0.0,0.0,0.0614,0.0,-0.0262,-0.1602,0.2801,26558000.0,-0.1187,0.0,26558000.0,0.0,8792000.0,10268000.0,16290000.0,0.0,16290000.0,5679000.0,0.0,0.0,10611000.0,0.0,10611000.0,0.25,0.24,56245065.0,0.175,1.0,0.622,0.6134,0.4,0.5068,16522000.0,16290000.0,10611000.0,140969000.0,0.1649,0.0,140969000.0,0.0,38930000.0,45259000.0,95710000.0,0.0,77722000.0,27431000.0,0.0,0.0,50291000.0,0.0,50291000.0,1.19,1.15,56245065.0,1.2,1.0,0.558,0.5513,0.357,0.2264,78640000.0,77722000.0,50291000.0,9.595,67.466,0.239,12.242,0.4491,1.2759,0.1815,0.0,1.2695,0.7,0.0,0.331,0.0,3794642000.0,4457933000.0,0.0,0.0,0.0,-0.0009,0.0669,-0.0005,-0.0517,0.095,0.014,0.551,0.039,0.6468,0.0,0.0,0.0,0.0,0.0,0.0,1.008,21.0,0.2762,0.0,4402023250.0,530482750.0,3645086250.0,0.567,2.506,0.0,-0.0188,0.0832,-0.0043,-0.6667,ORIT,15.72,15.883055472222225,884172421.8000001
2016-06-30,-0.0565,-0.2875,-0.2971,-0.3158,-0.3243,-0.0392,0.0943,-0.1912,-0.0169,0.0,0.0,0.0,-0.0164,0.0,0.1163,-0.1209,0.2782,33294000.0,-0.0565,0.0,33294000.0,0.0,9820000.0,11583000.0,21711000.0,0.0,17596000.0,6533000.0,0.0,0.0,11063000.0,0.0,11063000.0,0.26,0.25,56245065.0,0.175,1.0,0.536,0.5285,0.332,0.3664,17833000.0,17596000.0,11063000.0,144545000.0,0.2393,0.0,144545000.0,0.0,39167000.0,45728000.0,98817000.0,0.0,80829000.0,28534000.0,0.0,0.0,52295000.0,0.0,52295000.0,1.25,1.21,56245065.0,1.2,1.0,0.565,0.5592,0.362,0.2154,81739000.0,80829000.0,52295000.0,9.516,65.238,0.217,14.2775,0.2946,1.5004,0.2189,0.0,1.1107,0.673,0.0,0.2949,0.0,3669338000.0,4455805000.0,0.0,0.0,0.0,-0.0072,0.072,-0.0026,-0.3713,0.099,0.015,0.559,0.041,0.6114,0.0,0.0,0.0,0.0,0.0,0.0,0.96,20.0,0.271,0.0,4311874250.0,526140000.0,3533588750.0,0.554,2.57,0.0,-0.0261,0.0865,-0.0058,-0.9176,ORIT,15.99,16.318333444444445,899358589.35
2016-03-31,-0.0142,0.0468,0.1171,0.1154,0.0769,-0.6671,0.0897,0.0372,-0.0129,0.0,0.0,0.0,-0.6771,0.0,0.0222,-0.0001,0.006,28341000.0,-0.0142,0.0,28341000.0,0.0,8987000.0,10352000.0,17989000.0,0.0,17989000.0,5749000.0,0.0,0.0,12240000.0,0.0,12240000.0,0.29,0.28,44402197.0,0.175,1.0,0.643,0.6347,0.432,0.1573,18215000.0,17989000.0,12240000.0,146537000.0,0.3762,0.0,146537000.0,0.0,38144000.0,44735000.0,101802000.0,0.0,87929000.0,30959000.0,0.0,0.0,56970000.0,0.0,56970000.0,1.37,1.33,44402197.0,1.2,1.0,0.606,0.6,0.389,0.2139,88825000.0,87929000.0,56970000.0,11.907,81.153,0.1,17.6822,0.2498,1.485,0.2179,0.0,0.3776,0.603,0.0,0.3171,0.0,3603374000.0,4377410000.0,0.0,0.0,0.0,-0.0355,0.1086,-0.0058,-0.7257,0.109,0.016,0.6,0.042,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.876,17.0,0.2603,0.0,4236611250.0,521757500.0,3454520500.0,0.706,3.3,0.0,-0.0349,0.0917,-0.0077,-1.2634,ORIT,16.969998999999998,16.755142628571427,753505238.6878029
2015-12-31,0.966,0.6637,0.6302,0.625,0.5833,-0.8428,0.0806,0.0374,-0.0985,0.0,0.0,0.5882,-0.8669,0.0,0.2591,1.5566,-0.0159,52776000.0,0.966,0.0,52776000.0,0.0,11331000.0,13056000.0,39720000.0,0.0,25847000.0,9470000.0,0.0,0.0,16377000.0,0.0,16377000.0,0.39,0.38,44112185.0,0.675,1.0,0.494,0.4897,0.31,0.0341,26070000.0,25847000.0,16377000.0,146946000.0,0.4253,0.0,146946000.0,0.0,37949000.0,45143000.0,101803000.0,0.0,87124000.0,31437000.0,0.0,0.0,55687000.0,0.0,55687000.0,1.34,1.31,44112185.0,1.2,1.0,0.599,0.5929,0.379,0.2769,88023000.0,87124000.0,55687000.0,11.751,79.638,0.041,18.4487,0.2235,1.57,0.2317,0.0,0.1311,1.731,0.0,0.2147,0.0,3512991000.0,4316945000.0,0.0,0.0,0.0,-0.1621,0.0847,-0.0066,-1.5605,0.108,0.016,0.593,0.043,0.7495,0.0,0.0,0.0,0.0,0.0,0.0,0.896,16.0,0.2583,0.0,4164588500.0,516262000.0,3380337500.0,0.922,3.331,0.0,-0.025,0.0847,-0.0071,-1.1624,ORIT,16.5,16.516285771428574,727851052.5
