,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.5262,0.4203,0.6726,0.6667,0.6667,-0.0286,-0.0503,0.0497,-0.0066,0.0497,0.3833,0.4641,0.0132,-0.5318,1.625,0.142,0.6918,0.0016,4131000000.0,0.1465,2527000000.0,1604000000.0,21000000.0,402000000.0,435000000.0,1169000000.0,97000000.0,1150000000.0,302000000.0,0.0,0.0,848000000.0,0.0,848000000.0,1.1,1.1,765770223.0,817700000.0,0.77,0.3883,0.531,0.3019,0.205,0.123,2194000000.0,1247000000.0,848000000.0,14649000000.0,0.2067,9838000000.0,4811000000.0,99000000.0,1509000000.0,2182000000.0,2629000000.0,372000000.0,2538000000.0,295000000.0,0.0,0.0,2243000000.0,0.0,2243000000.0,2.92,2.91,765770223.0,3.08,0.3284,0.468,0.1986,0.153,0.067,6849000000.0,2910000000.0,2243000000.0,27.333,57.546,0.663,13.4662,1.7786,0.4927,0.234,12.8557,1.36,2.0708,0.7,0.0,0.0973,0.0051,2912000000.0,44067000000.0,-12146000000.0,44939000000.0,5698500000.0,4618500000.0,1133500000.0,-0.7107,0.108,0.053,0.0475,0.199,7.0,0.344,2.3433,134.8474,164.8218,33.5624,2.5707,3.1718,12.9237,1.055,25.0,0.103,0.0068,43815750000.0,20723500000.0,42586000000.0,1.281,19.13,7.8226,0.0673,-0.8134,OXY,83.68,84.27942877142856,64079652260.64001
2018-03-31,1.6439,3.1449,5.0513,5.1333,5.1333,,0.998,0.0081,-0.0181,0.0496,0.224,0.0517,0.0132,0.7364,0.3636,0.1287,3.3943,0.0011,3825000000.0,0.2844,2392000000.0,1433000000.0,15000000.0,307000000.0,352000000.0,1081000000.0,97000000.0,1047000000.0,339000000.0,0.0,0.0,708000000.0,0.0,708000000.0,0.92,0.92,765148694.0,,0.77,0.3746,0.54,0.2991,0.185,-0.0178,2065000000.0,1144000000.0,708000000.0,14121000000.0,0.2727,9863000000.0,4258000000.0,86000000.0,1459000000.0,2107000000.0,2151000000.0,361000000.0,2180000000.0,278000000.0,0.0,0.0,1902000000.0,0.0,1902000000.0,2.48,2.47,765148694.0,3.07,0.3015,0.462,0.1799,0.135,0.1103,6522000000.0,2541000000.0,1902000000.0,27.082,55.947,-0.089,13.4732,2.0989,0.4975,0.2408,11.7938,1.258,1.4251,0.837,0.0,0.0803,0.0039,1824000000.0,42808000000.0,-13192000000.0,44441000000.0,5673500000.0,4565000000.0,1031000000.0,-1.0674,0.092,0.045,0.0394,0.18,7.0,0.336,2.8123,130.7652,161.4209,27.3214,2.4889,3.0933,13.6964,1.238,23.0,0.1033,0.0061,43380250000.0,20750000000.0,42064750000.0,2.036,18.455,7.0388,0.0573,-0.7087,OXY,64.959999,66.08323488235295,49704058397.0913
2017-12-31,1.8642,1.2892,2.8272,2.8571,2.8286,,0.553,-0.0251,-0.0443,0.0009,0.0568,0.4388,0.0132,1.6691,2.2353,0.1089,1.1294,0.0014,3588000000.0,0.2696,2491000000.0,1097000000.0,55000000.0,448000000.0,1024000000.0,73000000.0,87000000.0,66000000.0,-431000000.0,0.0,0.0,497000000.0,0.0,497000000.0,0.65,0.64,765245347.0,,0.77,0.3057,0.343,0.0426,0.139,0.1012,1229000000.0,153000000.0,497000000.0,13274000000.0,0.2766,9907000000.0,3367000000.0,82000000.0,1424000000.0,2051000000.0,1316000000.0,345000000.0,1328000000.0,17000000.0,0.0,0.0,1311000000.0,0.0,1311000000.0,1.71,1.7,765245347.0,3.06,0.2537,0.428,0.126,0.099,0.1144,5675000000.0,1673000000.0,1311000000.0,26.883,54.918,0.474,12.8429,2.1849,0.4777,0.2339,1.7586,1.118,2.8592,1.185,0.0,0.1249,0.0153,870000000.0,42026000000.0,-13184000000.0,42782000000.0,5072000000.0,4167000000.0,1056000000.0,-0.7445,0.063,0.031,0.0246,0.126,6.0,0.316,3.8108,121.2084,143.3163,34.2617,2.6171,3.1855,12.5701,1.789,38.0,0.1073,0.0062,43255250000.0,20839250000.0,41979000000.0,1.985,17.346,4.8493,0.0409,-0.696,OXY,73.660004,69.97969712121213,56367975321.00139
2017-09-30,1.3507,2.803,1.7884,1.7813,1.7813,,0.6462,-0.0045,-0.0738,0.1792,-0.0098,0.0863,0.0132,2.2963,-0.1111,0.1139,2.186,0.0008,3105000000.0,0.1361,2428000000.0,677000000.0,8000000.0,352000000.0,371000000.0,306000000.0,91000000.0,275000000.0,85000000.0,0.0,0.0,190000000.0,0.0,190000000.0,0.25,0.25,764573083.0,,0.77,0.218,0.438,0.1179,0.061,0.0573,1361000000.0,366000000.0,190000000.0,12512000000.0,0.2013,9859000000.0,2653000000.0,44000000.0,1380000000.0,1974000000.0,679000000.0,334000000.0,657000000.0,115000000.0,0.0,4000000.0,542000000.0,0.0,542000000.0,0.71,0.71,764573083.0,3.05,0.212,0.397,0.0792,0.043,0.0912,4967000000.0,991000000.0,542000000.0,27.033,54.204,0.233,12.8516,2.3621,0.4754,0.2371,4.022,1.107,5.6316,3.08,0.0,0.1134,0.0026,683000000.0,41443000000.0,-13729000000.0,43101000000.0,4578500000.0,3563000000.0,967000000.0,-0.8336,0.026,0.013,0.0126,0.079,6.0,0.296,8.0055,108.9282,132.9076,29.3762,2.7328,3.5116,12.939,4.296,57.0,0.1103,0.0035,43643000000.0,21070500000.0,42249750000.0,1.492,16.365,2.9671,0.0166,-0.737,OXY,64.209999,61.110857514285726,49093236894.85691
2017-06-30,5.1824,6.9728,4.6475,4.6667,4.6667,,0.6377,-0.0097,-0.0904,0.1792,0.1556,0.0155,0.0133,1.0588,-0.7037,0.0414,4.5436,0.0011,3603000000.0,0.4085,2552000000.0,1051000000.0,8000000.0,352000000.0,360000000.0,691000000.0,86000000.0,792000000.0,285000000.0,0.0,0.0,507000000.0,0.0,507000000.0,0.66,0.66,764581720.0,,0.76,0.2917,0.518,0.2437,0.141,0.3011,1867000000.0,878000000.0,507000000.0,12140000000.0,0.1109,9876000000.0,2264000000.0,45000000.0,1344000000.0,2149000000.0,115000000.0,311000000.0,111000000.0,0.0,0.0,7000000.0,111000000.0,0.0,111000000.0,0.14,0.14,764581720.0,3.04,0.1865,0.366,0.0348,0.009,0.0838,4449000000.0,422000000.0,111000000.0,27.514,54.908,1.419,12.8489,2.9009,0.467,0.234,10.2093,1.263,3.6469,1.152,0.0,0.0977,0.0022,1684000000.0,41982000000.0,-12870000000.0,43197000000.0,4460000000.0,3475500000.0,913000000.0,-0.4132,0.005,0.003,0.0021,0.035,6.0,0.287,35.3063,115.0021,143.7751,27.6606,2.722,3.493,13.2968,21.714,128.0,0.1107,0.0037,43141500000.0,21477250000.0,42296500000.0,1.33,15.878,1.3569,0.0033,-0.7405,OXY,59.869999,60.46694433333333,45775506811.81828
2017-03-31,4.0621,5.2462,0.5,0.5,0.5,,-0.2671,0.0106,-0.1144,0.291,0.3587,0.008,0.0133,-0.5636,0.2222,0.0,1.459,0.0006,2978000000.0,0.3056,2436000000.0,542000000.0,11000000.0,272000000.0,296000000.0,246000000.0,81000000.0,195000000.0,78000000.0,0.0,0.0,117000000.0,0.0,117000000.0,0.15,0.15,764291301.0,,0.76,0.182,0.409,0.0927,0.039,-0.0866,1218000000.0,276000000.0,117000000.0,11095000000.0,-0.0664,9712000000.0,1383000000.0,64000000.0,1330000000.0,2154000000.0,-771000000.0,313000000.0,-916000000.0,-381000000.0,0.0,10000000.0,-535000000.0,0.0,-535000000.0,-0.7,-0.7,764291301.0,3.03,0.1247,0.316,-0.0543,-0.048,0.0414,3505000000.0,-603000000.0,-535000000.0,27.58,55.561,-0.338,12.8511,1.9548,0.466,0.2313,3.4074,1.202,4.3162,5.067,0.0,0.0913,0.0037,1386000000.0,42465000000.0,-13148000000.0,43941000000.0,4428500000.0,3436000000.0,1001000000.0,-1.5109,-0.024,-0.013,-0.0139,-0.054,5.0,0.262,-5.9794,133.9265,167.8441,33.0622,2.5054,3.229,11.0839,-4.329,-93.0,0.1199,0.0058,42769250000.0,21993250000.0,42399750000.0,0.601,14.517,-1.9265,-0.016,-0.8565,OXY,63.360001000000004,64.75944466666664,48425497595.651306
2016-12-31,1.3497,0.9161,0.9475,0.9483,0.9483,,-0.0518,-0.0069,-0.1177,0.1823,0.2633,-0.1217,0.0133,3.4727,0.3077,0.2625,0.9157,0.0006,2826000000.0,-0.006,2443000000.0,383000000.0,17000000.0,404000000.0,947000000.0,-564000000.0,76000000.0,-605000000.0,-333000000.0,0.0,4000000.0,-272000000.0,0.0,-272000000.0,-0.35,-0.35,764188495.0,,0.76,0.1355,0.184,-0.1872,-0.096,0.0481,521000000.0,-529000000.0,-272000000.0,10398000000.0,-0.1812,9734000000.0,664000000.0,62000000.0,1330000000.0,2217000000.0,-1553000000.0,292000000.0,-1236000000.0,-662000000.0,0.0,-428000000.0,-574000000.0,0.0,-574000000.0,-0.75,-0.75,764188495.0,3.02,0.0639,0.32,-0.0908,-0.055,0.0531,3324000000.0,-944000000.0,-574000000.0,28.13,56.411,0.178,12.8489,2.9221,0.4568,0.2278,-6.9605,1.325,-3.364,-2.171,0.0,0.143,0.006,2066000000.0,43109000000.0,-13184000000.0,44333000000.0,4418000000.0,3497500000.0,926000000.0,-0.8514,-0.025,-0.014,-0.0281,-0.091,3.0,0.246,-5.8937,137.814,173.1275,30.3991,2.3536,2.973,11.2289,-4.027,-63.0,0.1279,0.006,41690000000.0,22670750000.0,42288000000.0,0.722,13.607,-3.2329,-0.0167,-0.8368,OXY,71.230003,70.28323538235294,54433148791.41548
2016-09-30,-0.5436,0.9325,0.9076,0.9064,0.9064,,-0.3627,-0.1689,-0.2538,0.0001,-0.0013,-0.1738,0.0133,1.3103,0.8,0.0822,0.9158,0.0,2733000000.0,-0.158,2445000000.0,288000000.0,9000000.0,316000000.0,546000000.0,-258000000.0,68000000.0,-271000000.0,-30000000.0,0.0,3000000.0,-241000000.0,0.0,-241000000.0,-0.32,-0.32,763926260.0,,0.76,0.1054,0.308,-0.0743,-0.088,0.0198,843000000.0,-203000000.0,-241000000.0,10415000000.0,-0.3559,9971000000.0,444000000.0,58000000.0,1246000000.0,8121000000.0,-7677000000.0,277000000.0,-6999000000.0,-1519000000.0,0.0,-759000000.0,-5480000000.0,0.0,-5480000000.0,-7.17,-7.17,763926260.0,3.01,0.0426,-0.214,-0.6454,-0.526,0.0347,-2228000000.0,-6722000000.0,-5480000000.0,29.186,54.495,0.071,10.9081,4.1627,0.3737,0.2002,-2.9853,1.531,-2.6971,-2.375,0.0,0.1156,0.0033,3023000000.0,41630000000.0,-10623000000.0,41095000000.0,4604000000.0,3559500000.0,1024500000.0,-0.9169,-0.234,-0.129,-0.1465,-0.645,4.0,0.246,-0.6265,118.8747,161.2448,32.4873,2.2622,2.926,10.1659,-0.42,-9.0,0.1196,0.0056,40726250000.0,23384000000.0,42363000000.0,0.473,13.634,-24.2671,-0.1639,-0.8948,OXY,72.91999799999999,74.59444447222221,55705501351.34747
2016-06-30,-0.7904,-1.2894,-1.7898,-1.7826,-1.7826,,0.4025,-0.2202,-0.3023,0.0001,-0.1877,-0.1911,0.0,1.7402,1.7,-0.0259,-1.4295,-0.0057,2558000000.0,-0.2721,2388000000.0,170000000.0,27000000.0,338000000.0,365000000.0,-195000000.0,88000000.0,-235000000.0,-96000000.0,0.0,3000000.0,-139000000.0,0.0,-139000000.0,-0.18,-0.18,763741497.0,,0.75,0.0665,0.361,-0.0575,-0.054,0.206,923000000.0,-147000000.0,-139000000.0,10928000000.0,-0.3879,10141000000.0,787000000.0,54000000.0,1222000000.0,11269000000.0,-10482000000.0,257000000.0,-9782000000.0,-1934000000.0,0.0,-759000000.0,-7848000000.0,0.0,-7848000000.0,-10.27,-10.27,763741497.0,3.0,0.072,-0.453,-0.8716,-0.718,0.0122,-4954000000.0,-9525000000.0,-7848000000.0,30.247,55.51,0.69,10.9081,4.9113,0.3606,0.1965,-1.6705,1.703,-8.1223,-4.167,0.0,0.1321,0.0106,3705000000.0,42395000000.0,-10322000000.0,41708000000.0,4616000000.0,3635500000.0,1013000000.0,-0.5332,-0.31,-0.176,-0.1963,-0.872,4.0,0.246,-0.4846,104.4098,138.211,30.2608,2.3674,3.0059,10.7878,-0.292,-7.0,0.1118,0.0049,42121500000.0,25280500000.0,44477750000.0,0.174,14.309,-37.0623,-0.2259,-0.965,OXY,75.559998,75.58388858333335,57708305985.837
2016-03-31,-1.4392,0.686,1.3578,1.3571,1.3571,,0.2282,-0.213,-0.2976,0.1124,-0.095,-0.12,0.0417,0.895,0.125,-0.1254,-1.2333,-0.0087,2281000000.0,-0.2632,2458000000.0,-177000000.0,9000000.0,272000000.0,359000000.0,-536000000.0,60000000.0,-125000000.0,-203000000.0,0.0,-438000000.0,78000000.0,0.0,78000000.0,0.1,0.1,763845316.0,,0.75,-0.0776,0.455,-0.0285,0.034,-0.0723,1037000000.0,-65000000.0,78000000.0,11884000000.0,-0.4071,10456000000.0,1428000000.0,37000000.0,1231000000.0,11261000000.0,-9833000000.0,177000000.0,-9047000000.0,-1514000000.0,0.0,-758000000.0,-7533000000.0,0.0,-7533000000.0,-9.86,-9.86,763845316.0,3.0,0.1202,-0.358,-0.7464,-0.634,-0.0931,-4253000000.0,-8870000000.0,-7533000000.0,31.144,55.009,-0.216,9.9601,4.1579,0.3198,0.1811,-1.0833,1.207,8.8333,7.5,0.0,0.1192,0.0039,1411000000.0,42018000000.0,-9992000000.0,39624000000.0,3952000000.0,3334000000.0,1065000000.0,-1.2395,-0.271,-0.159,-0.1807,-0.746,3.0,0.25,-0.4618,86.0287,115.3294,30.6214,3.0071,3.5645,11.1587,-0.304,-6.0,0.1036,0.0031,44128500000.0,27830750000.0,47471250000.0,-1.448,15.558,-50.113,-0.2289,-1.3179,OXY,68.43,69.14375914285714,52269934973.880005
