,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.084,0.381,0.6216,0.55,0.6316,2.5761,0.0361,0.024,0.1076,0.0,0.0,0.0174,2.9486,0.0,-0.018,0.381,0.0103,389600000.0,0.084,0.0,389600000.0,0.0,196400000.0,248600000.0,141000000.0,0.0,141000000.0,30800000.0,0.0,0.0,110200000.0,3500000.0,106700000.0,0.31,0.31,347877635.0,0.175,1.0,0.385,0.3619,0.274,0.2564,149900000.0,141000000.0,110200000.0,1509500000.0,0.1271,0.0,1509500000.0,0.0,774400000.0,969000000.0,540500000.0,0.0,540500000.0,125300000.0,0.0,0.0,415200000.0,14100000.0,401100000.0,1.19,1.17,347877635.0,0.693,1.0,0.383,0.3581,0.266,0.4117,578200000.0,540500000.0,415200000.0,16.961,120.734,0.287,15.8901,2.0576,0.9369,0.124,0.0,1.1228,0.565,0.0577,0.5041,0.0,42000700000.0,46812700000.0,0.0,0.0,0.0,-0.1661,0.0126,-0.0511,-2.236,0.069,0.009,0.358,0.034,1.6614,0.0,0.0,0.0,0.0,0.0,0.0,0.582,19.0,0.513,0.0,46008675000.0,5827925000.0,44281650000.0,1.786,4.339,0.0,-0.0675,0.0142,-0.0298,-1.1936,PBCT,18.09,18.699999914285723,6293106417.15
2018-03-31,0.1578,0.3356,0.5513,0.4091,0.3636,-0.1257,0.0962,0.0273,0.1669,0.0,0.0,0.0118,-0.1577,0.0,0.1016,0.3356,0.0953,380800000.0,0.1578,0.0,380800000.0,0.0,200500000.0,243500000.0,137300000.0,0.0,137300000.0,29400000.0,0.0,0.0,107900000.0,3500000.0,104400000.0,0.31,0.3,347111753.0,0.172,1.0,0.384,0.3606,0.274,0.3716,146400000.0,137300000.0,107900000.0,1479300000.0,0.1421,0.0,1479300000.0,0.0,778000000.0,977700000.0,501600000.0,0.0,501600000.0,127300000.0,0.0,0.0,374300000.0,14100000.0,360200000.0,1.08,1.05,347111753.0,0.69,1.0,0.365,0.3391,0.243,0.3696,540500000.0,501600000.0,374300000.0,16.84,119.689,0.408,13.7385,2.5136,0.8158,0.1081,0.0,1.4789,0.555,0.0579,0.5265,0.0,41545600000.0,45441900000.0,0.0,0.0,0.0,-0.0835,0.0168,-0.0339,-1.4176,0.062,0.008,0.339,0.034,1.6105,0.0,0.0,0.0,0.0,0.0,0.0,0.639,21.0,0.5259,0.0,45534400000.0,5778750000.0,43893825000.0,1.575,4.262,0.0,-0.0574,0.0141,-0.0225,-0.856,PBCT,18.66,19.432352852941175,6477105310.9800005
2017-12-31,0.1513,0.2479,0.386,0.2917,0.25,3.0996,0.0946,0.0179,-0.016,0.0,0.0,0.0118,4.5528,0.0,0.1309,0.2479,0.112,372200000.0,0.1513,0.0,372200000.0,0.0,190100000.0,239800000.0,132400000.0,0.0,132400000.0,26100000.0,0.0,0.0,106300000.0,3600000.0,102700000.0,0.31,0.3,346251605.0,0.172,1.0,0.382,0.3557,0.276,0.5371,142200000.0,132400000.0,106300000.0,1427400000.0,0.1166,0.0,1427400000.0,0.0,755100000.0,960300000.0,467100000.0,0.0,467100000.0,129900000.0,0.0,0.0,337200000.0,14100000.0,323100000.0,0.98,0.97,346251605.0,0.688,1.0,0.355,0.3272,0.226,0.4014,506200000.0,467100000.0,337200000.0,16.808,120.991,0.577,14.456,2.549,0.86,0.1126,0.0,1.964,0.555,0.0576,0.5107,0.0,41893400000.0,46016200000.0,0.0,0.0,0.0,-0.0089,0.0167,-0.0048,-0.1837,0.058,0.008,0.327,0.033,1.8632,0.0,0.0,0.0,0.0,0.0,0.0,0.702,23.0,0.529,0.0,44525850000.0,5616125000.0,42926100000.0,1.655,4.122,0.0,-0.0482,0.0146,-0.0203,-0.7417,PBCT,18.700001,18.6706063030303,6474905359.751605
2017-09-30,0.1196,0.2211,0.1845,0.0833,0.0833,0.3387,0.0812,0.0665,-0.0802,0.0,0.0,0.0118,0.3738,0.0,0.0927,0.2211,0.1081,366900000.0,0.1196,0.0,366900000.0,0.0,187400000.0,237100000.0,129800000.0,0.0,129800000.0,39000000.0,0.0,0.0,90800000.0,3500000.0,87300000.0,0.26,0.26,344569567.0,0.172,1.0,0.381,0.3538,0.238,0.4909,139700000.0,129800000.0,90800000.0,1378500000.0,0.0791,0.0,1378500000.0,0.0,737500000.0,937700000.0,440800000.0,0.0,440800000.0,134000000.0,0.0,0.0,306800000.0,12300000.0,294500000.0,0.92,0.91,344569567.0,0.685,1.0,0.348,0.3198,0.214,0.297,479400000.0,440800000.0,306800000.0,16.676,120.238,0.523,14.6565,2.0797,0.8789,0.1148,0.0,2.1821,0.662,0.0584,0.5108,0.0,41430300000.0,45763900000.0,0.0,0.0,0.0,-0.0546,0.0109,-0.0283,-1.0505,0.054,0.007,0.32,0.033,1.5273,0.0,0.0,0.0,0.0,0.0,0.0,0.745,24.0,0.535,0.0,43756925000.0,5446625000.0,41965200000.0,1.188,4.001,0.0,-0.0898,0.0134,-0.0293,-1.0466,PBCT,18.139999,16.95571425714286,6250491600.810432
2017-06-30,0.1395,-0.0039,-0.0394,-0.1304,-0.1739,0.1922,0.0716,0.066,-0.1122,0.0,0.0,0.0118,0.8603,0.0,0.2107,-0.0039,0.1077,359400000.0,0.1395,0.0,359400000.0,0.0,200000000.0,257300000.0,102100000.0,0.0,102100000.0,32800000.0,0.0,0.0,69300000.0,3500000.0,65800000.0,0.2,0.19,344346175.0,0.172,1.0,0.312,0.2841,0.183,0.0704,112200000.0,102100000.0,69300000.0,1339300000.0,0.0584,0.0,1339300000.0,0.0,721600000.0,922000000.0,417300000.0,0.0,417300000.0,127600000.0,0.0,0.0,289700000.0,8800000.0,280900000.0,0.9,0.89,344346175.0,0.683,1.0,0.34,0.3116,0.21,0.2691,455200000.0,417300000.0,289700000.0,16.563,117.896,0.073,14.4938,1.9521,0.8751,0.116,0.0,0.5091,0.86,0.0564,0.5565,0.0,40596900000.0,44915600000.0,0.0,0.0,0.0,-0.2448,0.012,-0.0228,-0.8119,0.054,0.007,0.312,0.033,1.4297,0.0,0.0,0.0,0.0,0.0,0.0,0.759,23.0,0.5388,0.0,43163925000.0,5225675000.0,41138675000.0,1.047,3.889,0.0,-0.1026,0.0137,-0.0308,-1.0871,PBCT,17.66,17.168888888888883,6081153450.5
2017-03-31,0.0545,0.0867,0.07,0.0476,0.0476,0.5224,0.0246,0.0621,-0.1428,0.0,0.0,0.0119,0.4933,0.0,0.0769,0.0867,0.0209,328900000.0,0.0545,0.0,328900000.0,0.0,182000000.0,226100000.0,102800000.0,0.0,102800000.0,32000000.0,0.0,0.0,70800000.0,3500000.0,67300000.0,0.22,0.22,316916353.0,0.17,1.0,0.341,0.3126,0.205,0.5108,112100000.0,102800000.0,70800000.0,1295300000.0,0.0315,0.0,1295300000.0,0.0,686800000.0,877600000.0,417700000.0,0.0,417700000.0,128800000.0,0.0,0.0,288900000.0,5300000.0,283600000.0,0.93,0.93,316916353.0,0.68,1.0,0.351,0.3225,0.219,0.2692,454700000.0,417700000.0,288900000.0,16.392,120.201,0.53,12.8958,2.4391,0.7867,0.1016,0.0,2.6241,0.773,0.0531,0.5534,0.0,38093800000.0,41407700000.0,0.0,0.0,0.0,-0.0487,0.0195,-0.0261,-0.9247,0.057,0.007,0.322,0.032,1.397,0.0,0.0,0.0,0.0,0.0,0.0,0.731,25.0,0.5302,0.0,42681900000.0,5007225000.0,40420375000.0,1.1,4.087,0.0,-0.1199,0.0139,-0.0367,-1.2838,PBCT,18.200001,18.80583355555556,5767877941.516353
2016-12-31,0.0028,0.0066,0.0466,0.0435,0.0435,-0.6189,0.0427,0.0827,-0.0475,0.0,0.0,0.0119,-0.6218,0.0,0.0072,0.0066,0.0037,323300000.0,0.0028,0.0,323300000.0,0.0,168100000.0,217200000.0,106100000.0,0.0,106100000.0,30200000.0,0.0,0.0,75900000.0,1800000.0,74100000.0,0.24,0.24,311390747.0,0.17,1.0,0.357,0.3282,0.229,0.1114,115400000.0,106100000.0,75900000.0,1278300000.0,0.0217,0.0,1278300000.0,0.0,673800000.0,868800000.0,409500000.0,0.0,409500000.0,128500000.0,0.0,0.0,281000000.0,1800000.0,279200000.0,0.92,0.92,311390747.0,0.677,1.0,0.349,0.3203,0.218,0.2294,446400000.0,409500000.0,281000000.0,16.513,123.535,0.116,16.3361,1.9721,0.9893,0.1253,0.0,0.664,0.708,0.0527,0.52,0.0,38467700000.0,42940500000.0,0.0,0.0,0.0,-0.2683,0.0118,-0.0408,-1.4194,0.057,0.007,0.32,0.032,1.202,0.0,0.0,0.0,0.0,0.0,0.0,0.736,26.0,0.5271,0.0,42679700000.0,4906275000.0,40178925000.0,0.942,4.105,0.0,-0.1263,0.0119,-0.0332,-1.1491,PBCT,19.360001,18.99323547058824,6028525173.310747
2016-09-30,0.038,0.0473,0.0775,0.0435,0.0435,0.923,0.0858,0.0246,0.3584,0.0,0.0,0.0119,1.4551,0.0,0.0245,0.0473,0.0031,327700000.0,0.038,0.0,327700000.0,0.0,171500000.0,221400000.0,106300000.0,0.0,106300000.0,32600000.0,0.0,0.0,73700000.0,0.0,73700000.0,0.24,0.24,310959282.0,0.17,1.0,0.352,0.3244,0.225,0.4001,115500000.0,106300000.0,73700000.0,1277400000.0,0.0354,0.0,1277400000.0,0.0,672600000.0,868600000.0,408800000.0,0.0,408800000.0,132900000.0,0.0,0.0,275900000.0,0.0,275900000.0,0.91,0.91,310959282.0,0.675,1.0,0.349,0.32,0.216,0.2759,446300000.0,408800000.0,275900000.0,15.636,124.202,0.422,17.6563,2.3164,1.1292,0.1349,0.0,1.9308,0.708,0.0509,0.5233,0.0,38621800000.0,43391900000.0,0.0,0.0,0.0,-0.0787,0.0116,-0.0342,-1.2174,0.057,0.007,0.32,0.032,1.506,0.0,0.0,0.0,0.0,0.0,0.0,0.742,24.0,0.5265,0.0,42315575000.0,4803700000.0,39763150000.0,1.133,4.108,0.0,-0.1519,0.0121,-0.0494,-1.6827,PBCT,15.82,15.826666750000003,4919375841.24
2016-06-30,0.0317,0.0916,0.1102,0.15,0.15,-0.7827,0.0798,0.0249,0.224,0.0,0.0,0.0119,-0.8855,0.0,0.011,0.0916,0.0057,315400000.0,0.0317,0.0,315400000.0,0.0,165200000.0,212900000.0,102500000.0,0.0,102500000.0,34000000.0,0.0,0.0,68500000.0,0.0,68500000.0,0.23,0.23,310860988.0,0.17,1.0,0.354,0.325,0.217,0.0431,111700000.0,102500000.0,68500000.0,1265400000.0,0.0388,0.0,1265400000.0,0.0,668500000.0,861400000.0,404000000.0,0.0,404000000.0,133400000.0,0.0,0.0,270600000.0,0.0,270600000.0,0.9,0.9,310860988.0,0.673,1.0,0.349,0.3193,0.214,0.2171,442100000.0,404000000.0,270600000.0,15.537,122.479,0.044,18.0833,2.2769,1.1639,0.14,0.0,0.4102,0.739,0.0517,0.5238,0.0,38073900000.0,42987500000.0,0.0,0.0,0.0,-0.516,0.0127,-0.046,-1.5761,0.057,0.007,0.319,0.032,1.2831,0.0,0.0,0.0,0.0,0.0,0.0,0.748,22.0,0.5283,0.0,41190050000.0,4770825000.0,38959550000.0,0.884,4.071,0.0,-0.2088,0.0125,-0.0573,-1.9029,PBCT,14.66,15.368888888888888,4557222084.08
2016-03-31,0.015,0.0546,0.0625,0.05,0.05,29.2927,0.0785,0.0161,0.1392,0.0,0.0,0.0182,6.799,0.0,-0.0018,0.0546,0.0072,311900000.0,0.015,0.0,311900000.0,0.0,169000000.0,217300000.0,94600000.0,0.0,94600000.0,31700000.0,0.0,0.0,62900000.0,0.0,62900000.0,0.21,0.21,310440469.0,0.168,1.0,0.333,0.3033,0.202,0.3607,103800000.0,94600000.0,62900000.0,1255700000.0,0.0193,0.0,1255700000.0,0.0,666700000.0,860300000.0,395400000.0,0.0,395400000.0,131600000.0,0.0,0.0,263800000.0,0.0,263800000.0,0.87,0.87,310440469.0,0.671,1.0,0.346,0.3149,0.21,0.3025,434200000.0,395400000.0,263800000.0,15.434,119.781,0.362,15.3579,1.7836,0.9951,0.1214,0.0,1.8442,0.8,0.0529,0.5418,0.0,37184900000.0,41398900000.0,0.0,0.0,0.0,-0.0302,0.0115,-0.0112,-0.3804,0.056,0.007,0.315,0.033,1.6998,0.0,0.0,0.0,0.0,0.0,0.0,0.771,24.0,0.5309,0.0,40224900000.0,4734825000.0,38217850000.0,1.224,4.045,0.0,-0.1528,0.0125,-0.0546,-1.7655,PBCT,15.93,15.335428542857143,4945316671.17
