,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.0393,-0.2062,-0.1463,-0.1412,-0.1205,-0.0336,0.1386,-0.0174,-0.0357,-0.0097,0.02,0.0247,0.0391,0.2991,0.0,-0.007,-0.0922,-0.0168,16503000000.0,0.0264,9029000000.0,7474000000.0,0.0,4797000000.0,4797000000.0,2677000000.0,136000000.0,2290000000.0,399000000.0,-1000000.0,0.0,1891000000.0,0.0,1891000000.0,0.73,0.73,2514599476.0,2645600000.0,0.717,0.4529,0.192,0.147,0.115,0.1995,3176000000.0,2426000000.0,1890000000.0,66832000000.0,0.0273,34268000000.0,32564000000.0,0.0,18853000000.0,18853000000.0,13711000000.0,506000000.0,13215000000.0,3465000000.0,111000000.0,0.0,9750000000.0,0.0,9750000000.0,3.75,3.67,2514599476.0,2.787,0.4873,0.248,0.2053,0.146,0.1668,16555000000.0,13721000000.0,9861000000.0,21.03,19.579,1.309,12.4417,1.0216,0.5916,0.2644,17.8382,0.826,2.2205,0.982,0.5839,0.2907,0.0,-4917000000.0,49233000000.0,-42107000000.0,49713000000.0,4640000000.0,9988000000.0,4681000000.0,-0.216,0.0088,6.1196,-0.055,-1.2093,0.179,0.079,0.0967,0.205,5.0,0.543,1.5248,56.4933,25.5924,25.8764,14.4034,6.6912,14.2773,0.743,16.0,0.2821,0.0,52224000000.0,54491250000.0,123043500000.0,4.434,26.578,27.1166,0.6217,-0.25,0.0059,-0.0556,-1.3116,PG,78.059998,75.37085654285711,196289630067.36102
2018-03-31,0.0218,-0.0121,-0.0044,0.0104,0.0215,-0.0543,0.103,0.0532,0.0301,0.1606,0.1815,0.0953,0.0314,0.0911,0.0,0.0528,-0.019,-0.0221,16281000000.0,0.0433,8343000000.0,7938000000.0,0.0,4642000000.0,4642000000.0,3296000000.0,133000000.0,3224000000.0,713000000.0,29000000.0,0.0,2511000000.0,0.0,2511000000.0,0.97,0.95,2645600000.0,2669600000.0,0.69,0.4876,0.25,0.2062,0.154,0.1501,4073000000.0,3357000000.0,2540000000.0,66408000000.0,0.0204,33538000000.0,32870000000.0,0.0,18887000000.0,18887000000.0,13983000000.0,486000000.0,13865000000.0,3791000000.0,99000000.0,0.0,10074000000.0,0.0,10074000000.0,3.87,3.77,2645600000.0,2.76,0.495,0.258,0.2161,0.152,0.1565,17155000000.0,14351000000.0,10173000000.0,20.769,20.436,0.923,13.3425,2.0132,0.6424,0.2838,25.2406,0.91,1.3353,0.711,0.5653,0.2851,0.0,-2751000000.0,54065000000.0,-41463000000.0,53327000000.0,4753500000.0,8896000000.0,4980500000.0,-0.2714,0.0057,4.8527,-0.0559,-1.2709,0.182,0.082,0.0961,0.216,6.0,0.537,1.4251,53.4023,28.3006,28.6194,13.9703,7.4649,13.3336,0.713,16.0,0.2844,0.0,51629000000.0,55215000000.0,123567500000.0,3.928,25.101,29.5288,0.5543,-0.2761,0.0061,-0.0597,-1.4137,PG,79.279999,79.5705883235294,209743165354.40002
2017-12-31,0.0199,-0.5296,-0.6832,-0.6811,-0.6771,-0.0509,0.228,0.0821,0.0441,0.2805,0.0958,0.0719,0.0314,0.2931,0.0,0.009,0.033,-0.0248,17395000000.0,0.032,8667000000.0,8728000000.0,0.0,4725000000.0,4725000000.0,4003000000.0,122000000.0,3967000000.0,1472000000.0,66000000.0,0.0,2495000000.0,0.0,2495000000.0,0.96,0.93,2669600000.0,2690600000.0,0.69,0.5018,0.274,0.2351,0.143,0.1676,4765000000.0,4089000000.0,2561000000.0,65732000000.0,0.0077,33031000000.0,32701000000.0,0.0,18654000000.0,18654000000.0,14047000000.0,449000000.0,13943000000.0,3858000000.0,104000000.0,0.0,10085000000.0,0.0,10085000000.0,3.86,3.75,2669600000.0,2.739,0.4975,0.261,0.2189,0.153,0.155,17145000000.0,14392000000.0,10189000000.0,20.498,21.275,1.092,14.1343,2.7839,0.6896,0.2979,33.5164,0.943,1.4766,0.719,0.5515,0.2716,0.0,-1893000000.0,56796000000.0,-40709000000.0,53990000000.0,4955500000.0,9020000000.0,4959000000.0,-0.2085,0.0042,3.9822,-0.0442,-1.1361,0.183,0.083,0.0972,0.219,6.0,0.539,1.3925,54.0848,28.7749,28.4917,13.2645,7.2874,13.2551,0.71,18.0,0.2838,0.0,49740000000.0,55115500000.0,121998000000.0,3.816,24.622,32.0535,0.5443,-0.2745,0.0061,-0.0586,-1.4003,PG,91.879997,90.34666645454546,245282839991.2
2017-09-30,0.001,0.038,0.0512,0.101,0.1042,-0.0555,0.2003,-0.048,-0.0137,0.0992,0.0486,0.0048,0.0314,0.0675,0.0,0.0095,-0.0095,-0.0469,16653000000.0,0.0082,8229000000.0,8424000000.0,0.0,4689000000.0,4689000000.0,3735000000.0,115000000.0,3734000000.0,881000000.0,17000000.0,0.0,2853000000.0,0.0,2853000000.0,1.09,1.06,2690600000.0,2705500000.0,0.69,0.5059,0.273,0.2311,0.171,0.1501,4541000000.0,3849000000.0,2870000000.0,65193000000.0,-0.0015,32662000000.0,32531000000.0,0.0,18612000000.0,18612000000.0,13919000000.0,449000000.0,18546000000.0,3081000000.0,59000000.0,-5335000000.0,15465000000.0,0.0,15465000000.0,5.91,5.7,2690600000.0,2.719,0.499,0.334,0.2914,0.237,0.1461,21779000000.0,18995000000.0,15524000000.0,20.596,19.847,0.929,12.7161,1.8672,0.6174,0.2785,33.4696,0.914,1.2727,0.633,0.5653,0.2816,0.0,-2628000000.0,53400000000.0,-39340000000.0,51866000000.0,4827500000.0,9241000000.0,5011000000.0,-0.3118,0.005,4.0095,-0.068,-1.6358,0.282,0.129,0.0965,0.291,6.0,0.545,0.8638,52.9531,27.6691,28.1226,13.5045,7.0548,13.01,0.46,14.0,0.2855,0.0,47221250000.0,54871250000.0,119595250000.0,3.541,24.23,42.3051,0.8847,-0.2868,0.006,-0.0588,-1.3764,PG,90.980003,92.5808574285714,244790796071.8
2017-06-30,0.0078,0.0997,0.1353,0.1972,0.2029,-0.0453,-0.109,-0.0529,0.0012,0.0325,0.0505,-0.0195,0.0314,-0.1103,0.0,-0.0742,0.1787,-0.0392,16079000000.0,-0.0014,8299000000.0,7780000000.0,0.0,4831000000.0,4831000000.0,2949000000.0,116000000.0,2940000000.0,725000000.0,-13000000.0,0.0,2215000000.0,0.0,2215000000.0,0.85,0.83,2557614388.0,2737600000.0,0.69,0.4839,0.235,0.1901,0.138,0.1576,3776000000.0,3056000000.0,2202000000.0,65058000000.0,-0.0037,32535000000.0,32523000000.0,0.0,18568000000.0,18568000000.0,13955000000.0,465000000.0,18389000000.0,3063000000.0,85000000.0,-5217000000.0,15326000000.0,0.0,15326000000.0,5.8,5.59,2557614388.0,2.698,0.4999,0.333,0.2898,0.236,0.144,21674000000.0,18854000000.0,15411000000.0,21.809,20.144,0.991,12.3521,2.1774,0.5664,0.2624,26.3448,0.877,1.665,0.812,0.5721,0.3005,0.0,-3716000000.0,51520000000.0,-38134000000.0,47333000000.0,4483500000.0,9478500000.0,4670000000.0,-0.3129,0.0096,4.3578,-0.0718,-1.6028,0.275,0.127,0.0984,0.29,6.0,0.537,0.8321,54.0392,25.7741,25.9424,14.5105,6.8637,13.931,0.465,13.0,0.2854,0.0,46643250000.0,55755250000.0,121143250000.0,3.663,25.437,40.5462,0.9474,-0.2653,0.0054,-0.052,-1.2,PG,87.150002,87.84249991666665,222896099029.42877
2017-03-31,-0.0091,-0.1022,-0.0829,-0.04,-0.0412,-0.0207,-0.0726,-0.0739,-0.045,-0.0732,-0.0508,-0.041,0.009,-0.0964,0.0,-0.025,0.0127,-0.0457,15605000000.0,-0.0095,7836000000.0,7769000000.0,0.0,4409000000.0,4409000000.0,3360000000.0,96000000.0,3302000000.0,780000000.0,34000000.0,0.0,2522000000.0,0.0,2522000000.0,0.96,0.93,2705500000.0,2822900000.0,0.669,0.4979,0.26,0.2178,0.162,0.1435,4063000000.0,3398000000.0,2556000000.0,65081000000.0,-0.0102,32618000000.0,32463000000.0,0.0,18955000000.0,18955000000.0,13508000000.0,499000000.0,18078000000.0,3016000000.0,105000000.0,-5167000000.0,15062000000.0,0.0,15062000000.0,5.67,5.46,2705500000.0,2.678,0.4988,0.331,0.2854,0.231,0.1488,21516000000.0,18577000000.0,15167000000.0,20.162,18.575,0.828,11.2415,2.1501,0.5576,0.2575,35.3958,0.89,1.2054,0.697,0.5744,0.2825,0.0,-3197000000.0,50256000000.0,-37658000000.0,45771000000.0,4474500000.0,7935500000.0,4855500000.0,-0.2635,0.006,3.9594,-0.0513,-1.2045,0.268,0.123,0.0954,0.285,6.0,0.53,0.8766,45.2934,24.4414,26.6623,14.5449,8.2012,13.4036,0.472,14.0,0.2913,0.0,47556250000.0,56306500000.0,122825750000.0,3.579,24.055,37.2285,0.9401,-0.2667,0.0049,-0.0541,-1.198,PG,89.849998,90.58694436111112,243089169589.0
2016-12-31,0.0122,1.0466,1.4563,1.5948,1.5714,-0.0174,-0.3304,-0.0938,-0.0973,-0.0653,0.0017,-0.066,0.009,-0.4049,0.0,0.0176,0.0057,-0.0443,16856000000.0,-0.0035,8298000000.0,8558000000.0,0.0,4683000000.0,4683000000.0,3875000000.0,122000000.0,8570000000.0,695000000.0,21000000.0,-5335000000.0,7875000000.0,0.0,7875000000.0,3.01,2.88,2737600000.0,2835000000.0,0.669,0.5077,0.558,0.5157,0.467,0.1338,9399000000.0,8692000000.0,7896000000.0,65231000000.0,-0.0253,32697000000.0,32534000000.0,0.0,19068000000.0,19068000000.0,13466000000.0,549000000.0,18415000000.0,3125000000.0,104000000.0,-5613000000.0,15290000000.0,0.0,15290000000.0,5.71,5.5,2737600000.0,2.671,0.4988,0.338,0.2907,0.234,0.1521,22023000000.0,18964000000.0,15394000000.0,19.632,18.041,0.824,10.7638,2.2103,0.5483,0.2518,71.2459,0.885,0.381,0.222,0.578,0.2778,0.0,-3319000000.0,49390000000.0,-37717000000.0,43915000000.0,4725000000.0,8008500000.0,4956000000.0,-0.2483,0.0036,1.7037,-0.0442,-1.0537,0.265,0.122,0.096,0.291,6.0,0.521,0.8791,46.4426,26.4611,26.7857,13.8055,8.1452,13.162,0.468,13.0,0.2923,0.0,49054250000.0,57632750000.0,125180000000.0,3.624,23.828,34.5428,0.9891,-0.2619,0.0046,-0.054,-1.1507,PG,84.08000200000001,83.6694120294118,230177413475.2
2016-09-30,0.0049,0.0249,0.0434,0.0645,0.0549,-0.0081,-0.145,-0.0017,-0.0488,0.0209,-0.0023,-0.0458,0.009,-0.2212,0.0,0.0082,0.0008,-0.0156,16518000000.0,-0.0005,8102000000.0,8416000000.0,0.0,4645000000.0,4645000000.0,3771000000.0,131000000.0,3577000000.0,863000000.0,43000000.0,118000000.0,2714000000.0,0.0,2714000000.0,0.99,0.96,2822900000.0,2864600000.0,0.669,0.5095,0.269,0.2245,0.164,0.1417,4436000000.0,3708000000.0,2757000000.0,65290000000.0,-0.0469,32859000000.0,32431000000.0,0.0,18987000000.0,18987000000.0,13444000000.0,570000000.0,13949000000.0,3328000000.0,105000000.0,-601000000.0,10621000000.0,0.0,10621000000.0,3.86,3.74,2822900000.0,2.665,0.4967,0.269,0.2224,0.163,0.1755,17594000000.0,14519000000.0,10726000000.0,20.883,21.31,0.829,11.0259,3.3037,0.528,0.2412,28.3053,1.085,1.1146,0.676,0.5338,0.2812,0.0,2770000000.0,60156000000.0,-34921000000.0,49554000000.0,4718500000.0,8391000000.0,5119000000.0,-0.2261,0.0027,3.4229,-0.0414,-0.9396,0.178,0.083,0.0904,0.222,6.0,0.509,1.405,50.4482,26.3478,27.9466,13.837,7.781,12.7544,0.69,18.0,0.2908,0.0,50715750000.0,59772250000.0,128207500000.0,4.058,23.129,25.4719,0.481,-0.2323,0.0048,-0.0531,-1.1272,PG,89.75,87.77666691666667,253355275000.0
2016-06-30,0.0005,1.2447,2.7447,3.1765,2.8333,-0.0092,0.0379,-0.0182,-0.0627,0.0083,-0.0427,-0.0528,0.009,0.0494,0.0,0.0701,2.0813,-0.0189,16102000000.0,-0.0272,8382000000.0,7720000000.0,0.0,5218000000.0,5218000000.0,2502000000.0,150000000.0,2629000000.0,678000000.0,7000000.0,50000000.0,1951000000.0,0.0,1951000000.0,0.71,0.69,2661851865.0,2867500000.0,0.669,0.4794,0.225,0.1726,0.121,0.1769,3618000000.0,2779000000.0,1958000000.0,65299000000.0,-0.077,32909000000.0,32390000000.0,0.0,18949000000.0,18949000000.0,13441000000.0,579000000.0,13850000000.0,3342000000.0,96000000.0,-577000000.0,10508000000.0,0.0,10508000000.0,3.8,3.69,2661851865.0,2.658,0.496,0.268,0.221,0.161,0.1856,17507000000.0,14429000000.0,10604000000.0,21.783,21.887,1.07,11.495,2.6681,0.5277,0.2407,18.5267,1.098,2.1215,0.942,0.5418,0.3241,0.0,3012000000.0,58259000000.0,-35371000000.0,50985000000.0,4470500000.0,8731500000.0,4847500000.0,-0.3119,0.0074,4.7678,-0.0802,-1.5387,0.173,0.082,0.0887,0.221,7.0,0.509,1.4689,52.1237,24.4436,26.3609,14.6066,7.4786,13.4707,0.699,17.0,0.2902,0.0,51115500000.0,60773000000.0,128263000000.0,4.554,24.531,24.9206,0.4692,-0.2147,0.0051,-0.0508,-1.0767,PG,84.66999799999999,82.19250022222222,225378992085.84625
2016-03-31,-0.0204,0.3197,0.2773,0.2987,0.2933,-0.0089,-0.0771,-0.0262,-0.0398,0.0116,-0.08,-0.1588,0.0295,-0.093,0.0,-0.0916,0.0969,-0.0165,15755000000.0,-0.0694,7915000000.0,7840000000.0,0.0,4522000000.0,4522000000.0,3318000000.0,146000000.0,3639000000.0,889000000.0,33000000.0,-446000000.0,2750000000.0,0.0,2750000000.0,1.0,0.97,2835000000.0,2882500000.0,0.663,0.4976,0.29,0.2402,0.175,0.1573,4570000000.0,3785000000.0,2783000000.0,65750000000.0,-0.0286,33364000000.0,32386000000.0,0.0,18607000000.0,20635000000.0,11751000000.0,577000000.0,12311000000.0,3233000000.0,106000000.0,-669000000.0,9078000000.0,0.0,9078000000.0,3.26,3.18,2835000000.0,2.652,0.4926,0.242,0.196,0.138,0.1823,15935000000.0,12888000000.0,9184000000.0,21.112,20.529,0.874,11.575,2.7848,0.5483,0.2574,25.9247,1.094,1.192,0.663,0.5436,0.287,0.0,2960000000.0,58200000000.0,-33338000000.0,51763000000.0,4790500000.0,7540000000.0,5425000000.0,-0.2441,0.0048,4.1567,-0.0508,-1.0191,0.146,0.07,0.0765,0.196,8.0,0.51,1.6836,43.2726,25.4862,27.5179,13.7251,8.7202,12.1198,0.813,19.0,0.283,0.0,51764750000.0,62039750000.0,128852750000.0,4.228,23.192,22.3362,0.4099,-0.2157,0.0049,-0.0501,-1.082,PG,82.309998,82.13114234285713,233348844329.99997
