,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.3253,-1.2639,-1.6148,-1.7143,-1.7143,0.0036,0.2665,-0.0435,0.1072,-0.192,0.1089,0.0,0.0,1.7772,0.0,-0.1129,-1.2639,0.0064,9557937.0,-0.2315,3718329.0,5839608.0,0.0,1593251.0,6402805.0,-563197.0,420896.0,-984093.0,-209000.0,0.0,0.0,-775093.0,0.0,-775093.0,-0.05,-0.05,16775981.0,16982183.0,0.04,0.611,0.424,-0.0589,-0.081,0.4324,4056312.0,-563197.0,-775093.0,46366653.0,0.0636,15105012.0,31261641.0,0.0,7330712.0,26980849.0,4280792.0,1678636.0,2602156.0,-12517000.0,0.0,0.0,15119156.0,0.0,15119156.0,0.88,0.88,16775981.0,0.16,0.6742,0.5,0.0923,0.326,0.2499,23160483.0,4280792.0,15119156.0,7.704,11.715,0.246,2.4082,0.0284,0.3126,0.2056,-1.3381,1.283,-8.1254,-0.8,0.0,0.1667,0.0,1620248.0,196536328.0,-59948786.0,230726735.0,6170742.5,2477627.0,0.0,-0.3437,0.0227,9.8422,-0.2265,-0.4686,0.12,0.075,0.0141,0.092,7.0,0.23,1.8582,9.1585,51.0855,0.0,7.514,18.7141,0.0,0.182,85.0,0.1581,0.0,243778382.0,126398512.0,201715049.0,0.691,2.764,2.5502,0.0793,-0.5875,0.0209,-0.356,-0.8742,PHX,19.1,20.045714314285718,320421237.1
2018-03-31,-0.2652,-0.675,-0.6916,-0.7143,-0.7143,0.0056,0.4407,-0.002,0.1247,-0.0114,0.2572,0.0,-0.5,54.8608,0.0,0.0271,-0.675,0.0073,11421258.0,-0.1821,3715391.0,7705867.0,0.0,1766190.0,6223740.0,1482127.0,435951.0,1046176.0,-24000.0,0.0,0.0,1070176.0,0.0,1070176.0,0.06,0.06,16766010.0,16971877.0,0.04,0.6747,0.501,0.1298,0.094,0.578,5723205.0,1482127.0,1070176.0,49245902.0,0.2004,15168149.0,34077753.0,0.0,7533465.0,27099845.0,6977908.0,1563901.0,5414007.0,-11741000.0,0.0,0.0,17155007.0,0.0,17155007.0,1.0,1.0,16766010.0,0.16,0.692,0.527,0.1417,0.348,0.0434,25952440.0,6977908.0,17155007.0,7.782,11.886,0.394,2.5945,0.0101,0.3334,0.2183,3.3998,1.923,7.6262,0.667,0.0,0.1546,0.0,3731783.0,199279007.0,-61032916.0,238565259.0,5812838.5,3040252.0,0.0,-0.1911,0.0189,7.5712,-0.1366,-0.3677,0.139,0.084,0.0224,0.142,8.0,0.241,1.5605,5.8248,47.9922,0.0,8.4719,16.198,0.0,0.16,53.0,0.153,0.0,248438007.0,123086396.0,203949994.0,0.128,2.937,4.4619,0.088,-0.9201,0.0199,-0.5002,-1.2981,PHX,19.299999,18.877941147058817,323583976.23399
2017-12-31,1.3139,1.4935,7.1584,7.2308,7.2308,0.0061,0.9542,0.0396,0.1529,0.1429,0.3309,0.0,0.0,0.4669,0.0,0.0248,1.4935,0.0049,12490526.0,0.7751,4115699.0,8374827.0,0.0,1888143.0,6868309.0,1506518.0,431579.0,1074939.0,-12710000.0,0.0,0.0,13784939.0,0.0,13784939.0,0.81,0.81,16685032.0,16948287.0,0.04,0.6705,0.543,0.1206,1.104,0.1772,6782342.0,1506518.0,13784939.0,51788932.0,0.4946,14929807.0,36859125.0,0.0,7486903.0,26803513.0,10055612.0,1414348.0,8641264.0,-10914000.0,0.0,0.0,19555264.0,0.0,19555264.0,1.15,1.15,16685032.0,0.2,0.7117,0.558,0.1942,0.378,-0.0839,28894721.0,10055612.0,19555264.0,7.742,12.245,0.133,3.0207,0.0341,0.3901,0.2467,3.4907,2.736,0.5222,0.049,0.0,0.1512,0.0,5521227.0,204300640.0,-66415652.0,250951125.0,6441285.5,2260121.0,0.0,-0.6925,0.0242,7.3473,-0.3991,-0.9449,0.164,0.096,0.0313,0.194,7.0,0.254,1.2413,7.4921,51.8424,0.0,8.0402,22.9142,0.0,0.174,39.0,0.1446,0.0,247864965.0,119261644.0,204051514.0,-0.26,3.104,7.1097,0.0973,-1.179,0.0188,-0.5526,-1.5191,PHX,20.549999,20.96212127272727,342877390.914968
2017-09-30,0.4331,0.5161,0.4096,0.5,0.5,0.0051,2.086,0.0451,0.0081,0.1735,0.4347,0.0,0.0,-1.9315,0.0,0.0384,0.5161,0.0051,12896932.0,0.2696,3555593.0,9341339.0,0.0,2083128.0,7485995.0,1855344.0,390210.0,1465134.0,426000.0,0.0,0.0,1039134.0,0.0,1039134.0,0.06,0.06,16671016.0,16923705.0,0.04,0.7243,0.512,0.1439,0.081,-0.1054,6598624.0,1855344.0,1039134.0,46335049.0,0.1862,14231368.0,32103681.0,0.0,7441242.0,26607610.0,5496071.0,1275138.0,4220933.0,689000.0,0.0,0.0,3531933.0,0.0,3531933.0,0.21,0.21,16671016.0,0.2,0.6929,0.516,0.1186,0.076,-0.109,23893619.0,5496071.0,3531933.0,7.001,12.401,-0.082,3.1325,0.0335,0.4475,0.2526,4.7547,2.823,6.1945,0.667,0.0,0.1615,0.0,6451356.0,206744219.0,-80047305.0,254870409.0,6436357.0,2099426.5,0.0,-1.2112,0.0183,7.8295,-0.6045,-1.6436,0.031,0.017,0.017,0.119,7.0,0.229,5.8773,14.5514,59.7539,0.0,7.199,22.0703,0.0,0.952,81.0,0.1606,0.0,243071583.0,114839018.0,202107028.0,-0.303,2.779,4.3102,0.0174,-1.2433,0.0206,-0.557,-1.4028,PHX,23.799999,22.1185714,396770164.128984
2017-06-30,0.4081,2.5246,2.6024,2.4,2.4,0.0061,-0.268,0.0136,0.0059,0.0163,0.3288,0.0,0.0,-1.8881,0.0,0.1439,2.5246,0.0052,12437186.0,0.2609,3781466.0,8655720.0,0.0,1796004.0,6521801.0,2133919.0,306161.0,1827758.0,567000.0,0.0,0.0,1260758.0,0.0,1260758.0,0.07,0.07,16668814.0,16921922.0,0.04,0.696,0.551,0.1716,0.101,-0.4276,6848269.0,2133919.0,1260758.0,43596102.0,0.0415,14315697.0,29280405.0,0.0,7364185.0,24415896.0,4864509.0,1195520.0,3668989.0,439000.0,0.0,0.0,3229989.0,0.0,3229989.0,0.19,0.19,16668814.0,0.2,0.6716,0.552,0.1116,0.074,-0.0512,24043325.0,4864509.0,3229989.0,6.958,12.327,-0.319,2.9996,0.0336,0.4311,0.2433,6.9699,1.558,3.9442,0.571,0.0,0.1444,0.0,3097252.0,205476108.0,-80842622.0,249365233.0,5128040.0,2645784.5,0.0,-2.0694,0.0183,7.2192,-0.8274,-2.1828,0.028,0.016,0.0152,0.112,7.0,0.218,5.0796,31.7464,48.9947,0.0,8.5015,16.4776,0.0,1.053,88.0,0.1689,0.0,238698811.0,114460088.0,199877055.0,-0.134,2.615,4.0689,0.0162,-1.136,0.0215,-0.4275,-0.9718,PHX,23.1,21.090277694444442,385049603.40000004
2017-03-31,1.5111,1.3907,1.4666,1.4773,1.4773,0.007,0.6582,-0.0444,-0.0106,-0.1927,0.2172,0.0,1.0,-0.945,0.0,0.0413,1.3907,0.004,13964288.0,0.8391,3477049.0,10487239.0,0.0,1719628.0,5927408.0,4559831.0,286398.0,4273433.0,803000.0,0.0,0.0,3470433.0,0.0,3470433.0,0.21,0.21,16644755.0,16878184.0,0.08,0.751,0.621,0.3265,0.249,0.0085,8665486.0,4559831.0,3470433.0,41023006.0,-0.0622,14251160.0,26771846.0,0.0,7138315.0,25440934.0,1330912.0,1220476.0,110436.0,-1072000.0,0.0,0.0,1182436.0,0.0,1182436.0,0.07,0.07,16644755.0,0.2,0.6526,0.53,0.0324,0.029,0.2212,21754860.0,1330912.0,1182436.0,6.919,11.997,0.007,2.6435,0.0331,0.382,0.2203,15.9213,1.008,1.6323,0.381,0.0,0.1231,0.0,55983.0,199685087.0,-77598670.0,236273094.0,4691047.0,3370969.0,0.0,-0.9791,0.0149,5.014,-0.3972,-1.351,0.01,0.006,0.0043,0.032,7.0,0.206,15.415,47.1086,45.8268,0.0,8.745,12.1695,0.0,2.857,273.0,0.174,0.0,237944573.0,114139710.0,199187166.0,0.545,2.465,1.0905,0.0061,-0.5022,0.0226,-0.2231,-0.4481,PHX,19.200001,19.404166666666665,319579312.644755
2016-12-31,-0.5221,0.3648,0.2003,0.2353,0.2353,0.0039,-0.6439,-0.1261,-0.097,-0.2263,-0.0026,0.0,0.0,-0.8334,-1.0,-0.0364,0.3648,0.0024,7036643.0,-0.3861,3417260.0,3619383.0,0.0,1842482.0,6672406.0,-3053023.0,292369.0,-3345392.0,-1107000.0,0.0,0.0,-2238392.0,0.0,-2238392.0,-0.13,-0.13,16604149.0,16846065.0,0.04,0.5144,0.253,-0.4339,-0.318,0.2145,1781240.0,-3053023.0,-2238392.0,34651570.0,-0.3183,14190604.0,20460966.0,0.0,7070131.0,35360698.0,-14899732.0,1276426.0,-16176158.0,-6450000.0,0.0,0.0,-9726158.0,0.0,-9726158.0,-0.58,-0.58,16604149.0,0.16,0.5905,0.215,-0.43,-0.281,0.3205,7464444.0,-14899732.0,-9726158.0,6.715,11.836,0.091,2.656,0.0292,0.3955,0.2244,-10.4424,0.764,-1.6457,-0.308,0.0,0.2618,0.0,-1976901.0,196522699.0,-78647318.0,231777596.0,5533856.5,2927138.0,0.0,-0.5903,0.0407,24.4858,-0.309,-0.4498,-0.085,-0.048,-0.0496,-0.43,3.0,0.172,-1.6429,36.4162,58.216,0.0,6.2617,11.838,0.0,-0.276,-29.0,0.204,0.0,243944492.0,114333433.0,201504755.0,0.669,2.087,-11.673,-0.0517,-0.3051,0.0271,-0.1407,-0.218,PHX,23.549999,24.07499994117647,391027692.345851
2016-09-30,-0.2225,3.481,1.8305,1.8,1.8,0.0049,-0.797,-0.1717,-0.0952,-0.3154,-0.3304,0.0,0.0,0.3622,1.0,0.0208,3.481,0.0024,10157985.0,-0.215,3639922.0,6518063.0,0.0,2006071.0,5294281.0,1223782.0,310592.0,913190.0,176000.0,0.0,0.0,737190.0,0.0,737190.0,0.04,0.04,16585626.0,16838497.0,0.04,0.6417,0.664,0.1205,0.073,0.1436,6748330.0,1223782.0,737190.0,39060783.0,-0.4449,14661721.0,24399062.0,0.0,7139728.0,41052327.0,-16653265.0,1344619.0,-17997884.0,-7711000.0,0.0,0.0,-10286884.0,0.0,-10286884.0,-0.61,-0.61,16585626.0,0.16,0.6246,0.201,-0.4263,-0.263,0.4775,7834300.0,-16653265.0,-10286884.0,6.945,11.927,0.088,2.683,0.0284,0.3863,0.2249,3.9402,1.4,2.8295,1.0,0.0,0.1975,0.0,1787560.0,197824326.0,-76371154.0,237379320.0,6591410.0,2190184.5,0.0,-0.3005,0.0215,6.5244,-0.0617,-0.1134,-0.088,-0.049,-0.054,-0.426,3.0,0.187,-2.2008,21.9745,49.406,0.0,5.926,17.8345,0.0,-0.262,-20.0,0.1828,0.0,254636682.0,117251136.0,208592793.0,1.125,2.355,-12.3851,-0.0532,-0.1761,0.0284,-0.1021,-0.1628,PHX,17.530001000000002,17.284166666666664,290746040.36562604
2016-06-30,-0.1596,-11.2888,-0.0794,-0.25,-0.25,0.0053,-0.2993,-0.1735,-0.1086,-0.2489,-0.5342,0.0,0.0,-0.2132,-1.0,0.0029,-11.2888,0.0041,9864090.0,-0.1604,3716929.0,6147161.0,0.0,1570134.0,7546839.0,-1399678.0,331117.0,-1730795.0,-944000.0,0.0,0.0,-786795.0,0.0,-786795.0,-0.05,-0.05,16582416.0,16819002.0,0.04,0.6232,0.462,-0.1419,-0.08,0.607,4559804.0,-1399678.0,-786795.0,41858790.0,-0.5094,15578312.0,26280478.0,-20578.0,7098771.0,44650779.0,-18370301.0,1389454.0,-19759755.0,-7848000.0,0.0,0.0,-11911755.0,0.0,-11911755.0,-0.71,-0.71,16582416.0,0.16,0.6278,0.161,-0.4389,-0.285,0.4363,6733786.0,-18370301.0,-11911755.0,6.917,12.225,0.361,2.967,0.0305,0.4289,0.2427,-4.2271,1.399,-8.6336,-0.8,0.0,0.1592,0.0,2018426.0,202716551.0,-80931657.0,246348281.0,6929931.5,3723948.5,0.0,-0.1185,0.0219,10.6788,-0.0816,-0.1351,-0.099,-0.054,-0.0582,-0.439,3.0,0.191,-2.5882,13.0774,38.4027,0.0,6.0403,11.2404,0.0,-0.225,-18.0,0.1696,-0.0005,269878005.0,120204350.0,218843030.0,1.101,2.524,-13.2212,-0.0603,-0.4076,0.0267,-0.3002,-0.5005,PHX,16.67,16.284444277777776,276428874.72
2016-03-31,-0.5783,-12.26,-11.5625,-12.0,-12.0,0.0021,-0.726,-0.1698,-0.1072,-0.2423,-0.561,0.0,0.0,-0.7144,-1.0,-0.1074,-12.26,0.0039,7592852.0,-0.4827,3416493.0,4176359.0,0.0,1651444.0,15847172.0,-11670813.0,342348.0,-12013161.0,-4575000.0,0.0,0.0,-7438161.0,0.0,-7438161.0,-0.44,-0.44,16579116.0,16761328.0,0.04,0.55,-0.741,-1.5371,-0.98,0.2829,-5624930.0,-11670813.0,-7438161.0,43743588.0,-0.5242,16295565.0,27448023.0,-667.0,7094212.0,44532545.0,-17084522.0,1441384.0,-18525906.0,-6672000.0,0.0,0.0,-11853906.0,0.0,-11853906.0,-0.7,-0.7,16579116.0,0.16,0.6275,0.178,-0.3906,-0.271,0.4546,7789543.0,-17084522.0,-11853906.0,6.993,12.604,0.13,3.2873,0.0294,0.4701,0.2608,-34.0905,2.58,-0.4593,-0.091,0.0,0.2175,0.0,4260438.0,208955443.0,-86053957.0,260272770.0,6935296.5,3270936.5,0.0,-0.3713,0.0289,-9.6025,-0.1671,-0.2098,-0.096,-0.052,-0.0519,-0.391,3.0,0.191,-2.8456,12.0765,35.3083,0.0,6.3074,13.3734,0.0,-0.229,-20.0,0.1622,0.0,283562853.0,123566605.0,229480278.0,1.2,2.638,-11.8529,-0.0575,-0.4104,0.0268,-0.3165,-0.5566,PHX,17.309998999999998,16.361142742857144,286984481.38088393
