,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.0917,0.3839,0.9818,1.0,1.0,0.0032,-2.303,0.0337,0.5394,-0.0424,0.2274,0.0034,0.1111,-0.1136,0.0,-0.1173,0.4105,0.0026,1059103000.0,0.0365,885853000.0,173250000.0,0.0,78253000.0,78745000.0,94505000.0,32415000.0,71702000.0,16359000.0,0.0,0.0,55343000.0,0.0,55343000.0,0.5,0.5,110645000.0,111574000.0,0.1,0.1636,0.145,0.0983,0.052,-0.0423,153089000.0,104117000.0,55343000.0,4334017000.0,0.1488,3629371000.0,704646000.0,0.0,299464000.0,302561000.0,402085000.0,123529000.0,297766000.0,-21800000.0,0.0,0.0,319566000.0,0.0,319566000.0,2.89,2.87,110645000.0,0.38,0.1626,0.141,0.0972,0.074,0.058,609933000.0,421295000.0,319566000.0,7.574,31.643,-0.405,26.7764,1.6379,3.5354,0.5855,3.212,1.111,-0.05,0.2,0.308,0.0739,0.0,173077000.0,3501177000.0,-2494842000.0,4728881000.0,588443500.0,532310500.0,832303000.0,15.2195,0.419,0.065,0.0611,0.097,6.0,0.881,1.3634,51.3023,54.6171,70.2137,7.3652,8.1419,5.2073,0.131,14.0,0.0691,0.0,4750649000.0,762992250.0,4919675750.0,2.271,39.17,3.4105,0.1933,-0.4233,SLGN,26.83,27.276857114285708,2968605350.0
2018-03-31,0.3565,0.624,0.968,0.9524,0.9524,-0.083,0.3605,0.3568,0.6783,0.3505,0.7445,0.0427,0.1111,0.2253,0.0,0.1178,0.705,0.0024,1012280000.0,0.2569,852246000.0,160034000.0,0.0,76747000.0,77450000.0,82584000.0,30481000.0,61701000.0,15980000.0,0.0,0.0,45721000.0,0.0,45721000.0,0.41,0.41,110492000.0,111558000.0,0.1,0.1581,0.139,0.0911,0.045,-0.1376,141113000.0,92182000.0,45721000.0,4296728000.0,0.1851,3606638000.0,690090000.0,0.0,309865000.0,315508000.0,374582000.0,124696000.0,267715000.0,-24434000.0,0.0,0.0,292149000.0,0.0,292149000.0,2.64,2.62,110492000.0,0.37,0.1606,0.134,0.0913,0.068,0.0595,577832000.0,392411000.0,292149000.0,7.465,30.369,-1.261,26.5482,1.5797,3.5565,0.5923,3.0242,1.075,-1.9711,0.244,0.3224,0.0758,0.0,109241000.0,3355569000.0,-2559159000.0,4655094000.0,455126000.0,471497500.0,728070000.0,0.5459,0.424,0.06,0.0574,0.091,6.0,0.881,1.508,46.9516,49.1498,63.1409,9.4407,9.1129,5.9015,0.14,14.0,0.0721,0.0,4813925000.0,689241500.0,4878399500.0,2.315,38.887,3.1469,0.1812,-0.4193,SLGN,27.85,28.24529420588236,3077202200.0
2017-12-31,0.4435,0.6549,5.1664,5.2857,5.55,-0.0846,-0.0293,0.475,0.7843,0.6312,0.5775,0.1962,0.0588,-0.0596,0.0,0.3491,0.6549,-0.0854,995704000.0,0.2355,836901000.0,158803000.0,0.0,71032000.0,72373000.0,86430000.0,30050000.0,56380000.0,-89740000.0,0.0,0.0,146120000.0,0.0,146120000.0,1.32,1.31,110372916.0,111427000.0,0.09,0.1595,0.131,0.0868,0.147,0.3454,130758000.0,86430000.0,146120000.0,4089854000.0,0.132,3428738000.0,661116000.0,0.0,298300000.0,304126000.0,356990000.0,117309000.0,239681000.0,-29978000.0,0.0,0.0,269659000.0,0.0,269659000.0,2.44,2.42,110372916.0,0.36,0.1616,0.13,0.0873,0.066,0.0527,531052000.0,356990000.0,269659000.0,6.941,27.696,3.116,23.0789,0.485,3.3252,0.5483,2.8762,1.348,2.6979,0.068,0.342,0.0713,0.0,333645000.0,3056907000.0,-2587462000.0,4592388000.0,371417000.0,582213500.0,662126500.0,-0.1275,0.445,0.059,0.0596,0.087,7.0,0.898,1.4454,58.8687,40.5742,64.3717,11.0115,7.0247,6.1768,0.148,17.0,0.0729,0.0,4548524750.0,605625250.0,4552779250.0,1.951,37.055,3.0432,0.1479,-0.4475,SLGN,29.389999,28.852121181818177,3243859890.867084
2017-09-30,0.1683,0.132,0.0374,0.1379,0.1404,-0.0849,-0.1107,0.434,-0.0922,0.7082,0.3621,0.1039,0.0588,-0.1779,0.0,0.42,0.132,-0.0869,1266930000.0,0.1117,1054371000.0,212559000.0,0.0,73432000.0,73993000.0,138566000.0,30583000.0,107983000.0,35601000.0,0.0,0.0,72382000.0,0.0,72382000.0,0.66,0.65,110391000.0,111326000.0,0.09,0.1678,0.146,0.1094,0.057,0.0722,184973000.0,138566000.0,72382000.0,3900042000.0,0.0724,3300796000.0,599246000.0,0.0,283398000.0,293014000.0,306232000.0,104416000.0,218373000.0,71137000.0,0.0,0.0,147236000.0,0.0,147236000.0,1.33,1.31,110391000.0,0.355,0.1537,0.124,0.0828,0.038,0.0608,485301000.0,322789000.0,147236000.0,5.645,31.149,0.829,28.1379,1.8044,4.985,0.6186,4.5308,1.265,1.8562,0.136,0.3152,0.058,0.0,349002000.0,3438587000.0,-2729647000.0,5026233000.0,608956500.0,402288500.0,671237500.0,-0.3191,0.277,0.035,0.0462,0.083,5.0,0.933,2.728,45.6502,65.728,65.9224,6.4045,9.6946,5.8102,0.267,19.0,0.0727,0.0,4160168250.0,531462750.0,4178764500.0,2.148,35.329,3.0914,0.0808,-0.4096,SLGN,29.43,29.63371417142857,3248807130.0
2017-06-30,0.2426,0.1121,-0.1618,-0.1071,-0.0741,-0.0838,1.1794,0.3771,-0.1364,0.5988,0.3383,0.0302,0.0588,0.3459,0.0,0.6114,-0.0096,-0.088,1021814000.0,0.1683,863120000.0,158694000.0,0.0,88654000.0,91692000.0,67002000.0,33582000.0,41651000.0,13725000.0,0.0,0.0,27926000.0,0.0,27926000.0,0.25,0.25,110358000.0,111215000.0,0.09,0.1553,0.118,0.0736,0.027,-0.0394,120988000.0,75233000.0,27926000.0,3772755000.0,0.0195,3204129000.0,568626000.0,0.0,261677000.0,278553000.0,290073000.0,91151000.0,215479000.0,70855000.0,0.0,0.0,144624000.0,0.0,144624000.0,1.25,1.23,110358000.0,0.35,0.1507,0.122,0.0813,0.038,0.0681,459996000.0,306630000.0,144624000.0,4.92,29.989,-0.365,28.0339,1.2875,5.6975,0.6321,2.2403,1.227,0.076,0.36,0.3238,0.0868,0.0,290153000.0,3309511000.0,-2782207000.0,4981985000.0,461586500.0,410655500.0,818713000.0,-19.9783,0.257,0.038,0.044,0.081,5.0,0.993,2.893,44.0638,51.1171,80.3852,8.1735,9.1872,4.6082,0.28,17.0,0.0694,0.0,3768568750.0,563600500.0,3798871750.0,2.328,34.187,3.364,0.083,-0.3859,SLGN,31.780001000000002,31.506388972222226,3507177350.3580003
2017-03-31,0.036,-0.0119,-0.1257,-0.0455,-0.0455,0.0017,0.0656,0.0785,-0.1949,0.1947,-0.0214,-0.0533,0.0588,0.155,0.0,0.2402,-0.1568,-0.0883,805407000.0,0.016,687427000.0,117980000.0,0.0,68659000.0,69544000.0,48436000.0,23095000.0,33667000.0,10435000.0,0.0,0.0,23232000.0,0.0,23232000.0,0.21,0.21,110231000.0,121658000.0,0.09,0.1465,0.117,0.0705,0.029,-0.2233,94334000.0,56762000.0,23232000.0,3625583000.0,-0.0306,3087944000.0,537639000.0,0.0,228041000.0,246917000.0,290722000.0,74452000.0,224596000.0,74583000.0,0.0,0.0,150013000.0,0.0,150013000.0,1.28,1.25,110231000.0,0.345,0.1483,0.122,0.0825,0.041,0.065,443460000.0,299048000.0,150013000.0,4.448,25.992,-1.631,19.7042,3.1808,4.4297,0.5951,2.4578,1.321,-6.0662,0.429,0.215,0.0852,0.0,350507000.0,2865095000.0,-1716181000.0,3593493000.0,335300500.0,358733000.0,732912500.0,0.276,0.25,0.043,0.0652,0.082,6.0,1.047,2.6961,39.2916,33.3902,71.7655,10.8129,10.1066,4.9468,0.27,16.0,0.0629,0.0,3395003750.0,600200250.0,3463772500.0,2.138,32.891,4.0167,0.0989,-0.4174,SLGN,29.68,30.003749972222224,3271656080.0
2016-12-31,-0.0275,-0.0058,-0.1074,-0.0455,-0.1111,-0.0352,0.0596,-0.0136,-0.2649,0.0317,0.0255,-0.0401,0.0625,0.2299,0.0,-0.0753,-0.0058,-0.0009,805891000.0,-0.0286,695878000.0,110013000.0,0.0,52653000.0,57785000.0,52228000.0,17156000.0,35072000.0,11376000.0,0.0,0.0,23696000.0,0.0,23696000.0,0.21,0.2,120679304.0,121719000.0,0.085,0.1365,0.105,0.0648,0.029,0.4538,85006000.0,52228000.0,23696000.0,3612914000.0,-0.0401,3079378000.0,533536000.0,0.0,214745000.0,233806000.0,299730000.0,67813000.0,231917000.0,78566000.0,0.0,0.0,153351000.0,0.0,153351000.0,1.28,1.27,120679304.0,0.34,0.1477,0.123,0.083,0.042,0.0561,442788000.0,299730000.0,153351000.0,3.89,19.588,3.031,12.9399,0.2046,3.3267,0.4958,3.0443,1.116,17.1388,0.405,0.2494,0.0653,0.0,100353000.0,2363894000.0,-1717797000.0,3038962000.0,284619000.0,490984500.0,615550500.0,-0.0994,0.238,0.045,0.0755,0.083,5.0,1.063,2.5729,50.998,29.1155,60.9152,12.6939,7.3585,5.8694,0.266,16.0,0.0594,0.0,3344903500.0,644626250.0,3397387250.0,1.679,29.938,4.4199,0.122,-0.4864,SLGN,25.59,25.254706117647057,3088183389.36
2016-09-30,-0.0171,0.004,-0.0078,0.0,-0.0172,-0.0453,0.7073,0.0028,0.1891,-0.0524,-0.1732,0.0996,0.0625,2.1564,0.0,-0.0444,0.004,0.0005,1139643000.0,-0.0531,957704000.0,181939000.0,0.0,51711000.0,59532000.0,122407000.0,17318000.0,105089000.0,35319000.0,0.0,0.0,69770000.0,0.0,69770000.0,0.58,0.57,120891000.0,121650000.0,0.085,0.1596,0.14,0.1074,0.061,0.0976,159668000.0,122407000.0,69770000.0,3636639000.0,-0.0541,3099990000.0,536649000.0,0.0,219027000.0,236610000.0,300039000.0,67218000.0,232821000.0,76617000.0,0.0,0.0,156204000.0,0.0,156204000.0,1.3,1.285,120891000.0,0.335,0.1476,0.122,0.0825,0.043,0.0369,442721000.0,300039000.0,156204000.0,6.218,22.346,0.92,15.0417,0.7739,2.4192,0.5193,7.0682,1.343,2.1654,0.147,0.2285,0.0454,0.0,331957000.0,2701386000.0,-1451507000.0,3459835000.0,569598500.0,329840000.0,609183500.0,-0.2635,0.227,0.046,0.0648,0.083,5.0,1.067,2.3795,31.7966,51.75,64.0435,6.3846,11.0255,5.9697,0.258,16.0,0.0602,0.0,3339460250.0,687068500.0,3408209500.0,1.111,30.082,4.4637,0.1039,-0.6387,SLGN,25.295,24.485694527777774,3057937845.0
2016-06-30,-0.0445,-0.1359,-0.2114,-0.2,-0.2286,-0.0498,-2.5307,0.0146,0.1817,-0.018,-0.1107,0.0706,0.0625,-0.4782,0.0,0.0112,-0.1359,0.0005,874642000.0,-0.0433,746935000.0,127707000.0,0.0,55018000.0,60056000.0,67651000.0,16883000.0,50768000.0,17453000.0,0.0,0.0,33315000.0,0.0,33315000.0,0.28,0.27,121009000.0,121392000.0,0.085,0.146,0.119,0.0773,0.038,-0.0704,104452000.0,67651000.0,33315000.0,3700521000.0,-0.0437,3160705000.0,539816000.0,0.0,221429000.0,240261000.0,299555000.0,67059000.0,232496000.0,75746000.0,0.0,0.0,156750000.0,0.0,156750000.0,1.3,1.295,121009000.0,0.33,0.1459,0.119,0.0809,0.042,0.0157,441724000.0,299555000.0,156750000.0,5.697,22.737,-0.509,15.9913,0.9955,2.8069,0.5445,4.007,1.268,-0.355,0.304,0.2259,0.0629,0.0,289133000.0,2751381000.0,-1497350000.0,3487725000.0,419377000.0,370445500.0,779937000.0,4.2053,0.239,0.046,0.064,0.081,4.0,1.087,1.9719,36.0859,38.9421,79.5528,8.8239,9.9894,4.7446,0.254,16.0,0.0598,0.0,3353069000.0,657126250.0,3405795250.0,0.482,30.581,4.467,0.1078,-0.8115,SLGN,25.73,25.309166750000003,3113561570.0
2016-03-31,-0.0684,-0.1434,-0.2021,-0.1698,-0.1698,-0.05,-0.0495,0.0163,0.2783,-0.0414,-0.1146,0.107,0.0625,-0.1053,0.0,0.0167,-0.1434,-0.0374,792738000.0,-0.0292,678861000.0,113877000.0,0.0,55360000.0,56431000.0,57446000.0,16455000.0,40991000.0,14419000.0,0.0,0.0,26572000.0,0.0,26572000.0,0.22,0.22,120902000.0,121456000.0,0.085,0.1437,0.118,0.0725,0.034,-0.2684,93664000.0,57446000.0,26572000.0,3740108000.0,-0.0342,3194342000.0,545766000.0,0.0,220818000.0,235571000.0,310195000.0,66938000.0,243257000.0,77578000.0,0.0,0.0,165679000.0,0.0,165679000.0,1.37,1.375,120902000.0,0.325,0.1459,0.121,0.0829,0.044,0.0209,451929000.0,310195000.0,165679000.0,5.525,21.307,-1.76,15.0371,0.551,2.7214,0.5372,3.4911,1.292,-5.676,0.386,0.2389,0.0698,0.0,272403000.0,2576050000.0,-1509678000.0,3393092000.0,360869000.0,328443000.0,716574500.0,0.4109,0.263,0.049,0.0684,0.083,5.0,1.102,1.9837,31.9296,33.0767,73.483,10.3642,11.3874,5.2194,0.237,15.0,0.059,0.0,3352403500.0,630531250.0,3393030750.0,0.647,30.935,4.6341,0.1162,-0.7621,SLGN,26.584999,25.86014294285715,3214179549.098
