,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.0608,-0.1224,0.0576,0.0538,0.0604,0.0064,0.3043,0.0449,0.0614,0.114,0.1159,0.1762,0.0862,1.9155,0.0,0.0856,0.0154,0.0016,3643600000.0,0.1086,2356500000.0,1287100000.0,0.0,801800000.0,819200000.0,467900000.0,69000000.0,294600000.0,1000000.0,-200000.0,0.0,293600000.0,0.0,293600000.0,1.96,1.93,149748000.0,152494000.0,0.63,0.3532,0.135,0.0998,0.081,0.0237,491300000.0,363600000.0,293400000.0,13565000000.0,0.1356,8611700000.0,4953300000.0,0.0,3135900000.0,2947400000.0,2005900000.0,247500000.0,1243100000.0,223200000.0,-700000.0,0.0,1019900000.0,0.0,1019900000.0,6.79,6.67,149748000.0,2.52,0.3652,0.146,0.1099,0.075,0.0503,1985300000.0,1490600000.0,1019200000.0,54.661,50.987,0.576,32.7991,2.5763,0.6,0.2434,5.2696,0.944,0.6744,0.321,0.6216,0.2201,0.0,-316300000.0,7635200000.0,-6669200000.0,6522100000.0,2039650000.0,2190750000.0,2261100000.0,-0.5641,0.0,9.2119,-0.0307,-0.8747,0.124,0.052,0.0772,0.11,3.0,0.689,1.1337,61.5778,57.8888,65.7673,6.6507,6.1919,5.9993,0.371,16.0,0.2312,0.0,6479075000.0,8235625000.0,19683425000.0,4.56,90.586,6.0226,0.6796,-0.4095,0.0058,-0.0349,-0.9571,SWK,132.809998,141.39257114285715,19888031580.504
2018-03-31,0.0935,-0.3987,-0.5667,-0.572,-0.5731,0.0401,-0.1124,0.0547,0.2274,-0.1561,0.1494,0.189,0.0862,-0.203,0.0,0.1419,-0.4207,0.0094,3209300000.0,0.1236,2043600000.0,1165700000.0,0.0,778800000.0,808500000.0,357200000.0,63200000.0,252300000.0,81700000.0,-500000.0,0.0,170600000.0,0.0,170600000.0,1.13,1.11,150612000.0,153905000.0,0.63,0.3632,0.137,0.0983,0.053,-0.142,439100000.0,315500000.0,170100000.0,13208100000.0,0.1395,8328600000.0,4879500000.0,0.0,3072700000.0,2880700000.0,1998800000.0,234500000.0,1306800000.0,302900000.0,-500000.0,0.0,1003900000.0,0.0,1003900000.0,6.69,6.56,150612000.0,2.47,0.3694,0.153,0.1167,0.076,0.0474,2024100000.0,1541300000.0,1003400000.0,56.033,48.855,-3.026,27.9201,2.693,0.4983,0.2136,4.9921,1.056,-2.0481,0.558,0.6262,0.2427,0.0,267700000.0,7358100000.0,-6163500000.0,6347400000.0,1857050000.0,2050750000.0,2163500000.0,0.3042,0.0,8.6529,-0.0331,-0.86,0.124,0.052,0.0789,0.117,5.0,0.679,1.1058,60.0416,54.885,64.9495,7.1124,6.4406,6.105,0.369,17.0,0.2326,0.0,6672250000.0,8114275000.0,19466600000.0,4.157,87.696,6.5727,0.4926,-0.436,0.006,-0.0366,-1.0025,SWK,153.199997,157.06647085294117,23073757948.163998
2017-12-30,0.1596,0.2083,0.1018,0.0809,0.0765,0.0364,0.1384,0.2215,0.2813,-0.0043,0.2502,0.3656,0.0862,0.1076,0.0,0.1752,0.9165,0.0177,3413500000.0,0.1688,2165100000.0,1248400000.0,0.0,796900000.0,537200000.0,711200000.0,58100000.0,342200000.0,60700000.0,0.0,0.0,281500000.0,0.0,281500000.0,1.87,1.83,153351694.0,152622000.0,0.63,0.3657,0.153,0.1173,0.082,0.2304,523000000.0,400300000.0,281500000.0,12747200000.0,0.1175,7969200000.0,4778000000.0,0.0,2965700000.0,2779700000.0,1998300000.0,222600000.0,1526500000.0,300500000.0,0.0,0.0,1226000000.0,0.0,1226000000.0,8.19,8.04,153351694.0,2.42,0.3748,0.173,0.1372,0.096,0.0766,2209800000.0,1749100000.0,1226000000.0,54.138,44.435,5.127,24.8514,4.1571,0.459,0.1996,6.8898,1.038,3.3776,0.337,0.6432,0.2335,0.0,167500000.0,6814200000.0,-6233700000.0,5596200000.0,1465750000.0,1830700000.0,1748200000.0,-0.173,0.0231,6.0679,-0.0482,-1.3407,0.159,0.064,0.083,0.137,6.0,0.664,1.1571,57.8688,46.6358,57.7943,8.6967,6.963,7.2916,0.295,17.0,0.2327,0.0,6856700000.0,7707350000.0,19211325000.0,6.366,83.124,7.8576,0.6419,-0.3119,0.0062,-0.0347,-0.9603,SWK,169.690002,166.89353002941178,26022249261.563385
2017-09-30,0.155,0.0884,0.1016,0.0702,0.0714,0.0312,0.4467,0.2578,0.2903,0.1242,0.1616,0.3064,0.0862,0.5771,0.0,0.178,0.0931,0.0294,3298600000.0,0.1446,2046500000.0,1252100000.0,0.0,758400000.0,782500000.0,469600000.0,57200000.0,354000000.0,79800000.0,0.0,0.0,274200000.0,0.0,274200000.0,1.83,1.8,149689000.0,152226000.0,0.63,0.3796,0.161,0.1247,0.083,0.0806,531900000.0,411200000.0,274200000.0,12362000000.0,0.0909,7754000000.0,4608000000.0,0.0,2857100000.0,2689900000.0,1918100000.0,213800000.0,1467700000.0,266700000.0,700000.0,0.0,1201000000.0,0.0,1201000000.0,8.06,7.92,149689000.0,2.37,0.3728,0.172,0.136,0.097,0.0507,2122300000.0,1681500000.0,1201700000.0,53.549,50.32,1.776,29.419,3.2287,0.5494,0.2227,7.1888,1.256,1.3016,0.344,0.6191,0.2299,0.0,1026500000.0,7532400000.0,-6725700000.0,7450600000.0,1870000000.0,1916400000.0,1983850000.0,-0.255,0.0,7.3706,-0.0276,-0.7539,0.166,0.065,0.0755,0.136,6.0,0.674,0.8575,61.7565,59.3413,66.3567,6.6107,6.4506,6.2313,0.294,16.0,0.2311,0.0,7090025000.0,7223550000.0,18345625000.0,4.186,82.585,7.8648,0.4442,-0.3915,0.0066,-0.0326,-0.9147,SWK,150.970001,144.2122855142857,22598548479.689
2017-07-01,0.0748,0.0112,0.0225,-0.0053,-0.0109,0.0049,-0.6942,0.2269,0.2879,0.0568,0.2272,0.2306,0.0545,-0.9291,0.0,0.1196,0.0199,0.0302,3286700000.0,0.1208,2073400000.0,1213300000.0,0.0,738600000.0,752500000.0,460800000.0,56000000.0,358300000.0,80700000.0,0.0,0.0,277600000.0,0.0,277600000.0,1.86,1.82,149514000.0,151526000.0,0.58,0.3692,0.161,0.1261,0.084,0.009,530100000.0,414300000.0,277600000.0,11945400000.0,0.059,7505400000.0,4440000000.0,0.0,2742500000.0,2561900000.0,1878100000.0,206800000.0,1441300000.0,265600000.0,800000.0,0.0,1175700000.0,0.0,1175700000.0,7.94,7.8,149514000.0,2.32,0.3717,0.173,0.138,0.098,0.0443,2071300000.0,1648100000.0,1176500000.0,51.5,48.772,0.198,29.4895,3.6084,0.5726,0.2283,7.3982,1.251,0.5468,0.312,0.6224,0.2247,0.0,972200000.0,7292100000.0,-6766800000.0,7294800000.0,1749450000.0,1916000000.0,1883300000.0,-0.805,0.0,7.2998,-0.0372,-1.0553,0.175,0.068,0.0758,0.138,6.0,0.689,0.7822,63.9531,58.9083,63.4947,6.8281,6.2346,6.3428,0.292,16.0,0.2296,0.0,6768600000.0,6728250000.0,17332500000.0,3.54,79.895,7.9695,0.4484,-0.4244,0.0068,-0.0327,-0.9223,SWK,140.729996,138.96057257142854,21041104621.944
2017-04-01,0.0904,0.7363,1.0787,1.0308,1.0313,-0.0307,-2.3738,0.1957,0.1747,0.1572,0.0849,0.1731,0.0545,-1.3975,0.0,0.0993,0.804,0.0229,2856300000.0,0.0689,1790300000.0,1066000000.0,0.0,682000000.0,449400000.0,616600000.0,51300000.0,473400000.0,79700000.0,0.0,0.0,393700000.0,0.0,393700000.0,2.64,2.6,149208000.0,147975000.0,0.58,0.3732,0.219,0.1837,0.138,-0.1326,626200000.0,524700000.0,393700000.0,11591100000.0,0.0336,7235500000.0,4355600000.0,0.0,2663600000.0,2486500000.0,1869100000.0,198500000.0,1445000000.0,275400000.0,800000.0,0.0,1169600000.0,0.0,1169600000.0,7.95,7.82,149208000.0,2.29,0.3758,0.177,0.1418,0.101,0.0791,2052900000.0,1643500000.0,1170400000.0,45.651,44.868,-2.539,33.3963,2.5334,0.7316,0.267,10.2281,1.037,-0.7978,0.22,0.6413,0.2388,0.0,153900000.0,6694600000.0,-7475700000.0,7085200000.0,1660400000.0,1795550000.0,1830850000.0,0.206,0.0,7.3539,-0.0227,-0.6374,0.187,0.071,0.0767,0.142,6.0,0.705,1.0809,60.7373,54.4142,62.2456,6.9809,6.4555,6.331,0.288,14.0,0.2298,0.0,6455425000.0,6254125000.0,16439625000.0,6.148,77.684,8.2796,0.6912,-0.2743,0.007,-0.0299,-0.8471,SWK,132.869995,128.98828717142857,19825266213.96
2016-12-31,0.0615,-0.0513,-0.0377,-0.0442,-0.0341,-0.0592,0.0085,0.0335,0.0886,0.0073,-0.0218,-0.0317,0.0545,0.0187,0.0,0.1017,-0.072,0.0064,2920400000.0,0.0264,1843800000.0,1076600000.0,0.0,678100000.0,705500000.0,371100000.0,49300000.0,282000000.0,26500000.0,700000.0,0.0,255500000.0,0.0,255500000.0,1.73,1.7,150688664.0,147263000.0,0.58,0.3686,0.149,0.1134,0.087,0.2431,434100000.0,331300000.0,256200000.0,11406900000.0,0.021,7139700000.0,4267200000.0,0.0,2602000000.0,2672900000.0,1594300000.0,194500000.0,1226500000.0,261200000.0,0.0,0.0,965300000.0,0.0,965300000.0,6.61,6.51,150688664.0,2.26,0.3741,0.16,0.1246,0.085,0.0998,1829000000.0,1421000000.0,965300000.0,42.253,44.074,4.711,25.3994,7.5109,0.6011,0.2448,6.7201,1.706,3.2689,0.335,0.5752,0.2322,0.0,1981000000.0,6641400000.0,-4472800000.0,6529500000.0,1317300000.0,1586750000.0,1502200000.0,-0.15,0.0278,6.2096,-0.0429,-1.2189,0.162,0.062,0.0852,0.125,8.0,0.728,1.5386,52.4898,41.6872,47.2933,8.6593,7.1888,7.5935,0.342,15.0,0.2281,0.0,6225100000.0,5968400000.0,15675950000.0,7.553,75.698,7.3059,0.2812,-0.2336,0.0071,-0.0304,-0.8505,SWK,114.690002,119.23382294117648,17282483175.53733
2016-10-01,0.0556,0.0807,0.0883,0.0892,0.1053,-0.0807,0.0322,-0.0095,0.0738,-0.0899,0.0232,-0.0786,0.0545,-0.0111,0.0,0.0759,0.0615,-0.0034,2882000000.0,0.0186,1797900000.0,1084100000.0,0.0,643800000.0,654500000.0,429600000.0,50200000.0,327600000.0,78700000.0,100000.0,0.0,248900000.0,0.0,248900000.0,1.71,1.68,145410000.0,147619000.0,0.58,0.3762,0.167,0.1311,0.086,0.0585,480900000.0,377800000.0,249000000.0,11331900000.0,0.002,7127100000.0,4204800000.0,0.0,2539400000.0,2581700000.0,1623100000.0,189800000.0,1249100000.0,273800000.0,-700000.0,1700000.0,975300000.0,0.0,975300000.0,6.69,6.56,145410000.0,2.23,0.3711,0.163,0.127,0.086,0.0993,1849700000.0,1438900000.0,974600000.0,41.5,42.166,1.159,26.9397,2.8939,0.6492,0.2492,7.5259,1.231,0.9912,0.339,0.61,0.2234,0.0,799100000.0,6131400000.0,-5377400000.0,6164900000.0,1710550000.0,1730050000.0,1793650000.0,-0.3166,0.0,7.2707,-0.0271,-0.7575,0.167,0.063,0.0853,0.127,8.0,0.729,1.5156,56.084,55.7297,55.4108,6.6247,6.55,6.3178,0.333,15.0,0.2241,0.0,6101150000.0,5829550000.0,15549175000.0,7.738,77.931,7.5811,0.4279,-0.2388,0.006,-0.0312,-0.8593,SWK,122.980003,122.16657145714284,17882522236.23
2016-07-02,0.0678,0.1643,0.195,0.2222,0.2349,-0.0556,0.588,-0.0161,0.0235,-0.0215,-0.0455,-0.0821,0.0577,0.6918,0.0,0.0447,0.1082,-0.0197,2932400000.0,0.0228,1803500000.0,1128900000.0,0.0,659700000.0,677100000.0,451800000.0,47700000.0,362000000.0,90500000.0,0.0,0.0,271500000.0,0.0,271500000.0,1.87,1.84,145135000.0,150781000.0,0.55,0.385,0.174,0.1397,0.093,0.1424,511700000.0,409700000.0,271500000.0,11279400000.0,-0.0069,7131700000.0,4147700000.0,0.0,2494000000.0,2549500000.0,1598200000.0,184800000.0,1225900000.0,270800000.0,-800000.0,7100000.0,955100000.0,0.0,955100000.0,6.55,6.4,145135000.0,2.2,0.3677,0.162,0.1251,0.085,0.0999,1822300000.0,1410700000.0,954300000.0,39.987,42.362,2.878,28.7457,3.915,0.7189,0.265,8.5891,1.157,1.8284,0.294,0.6094,0.225,0.0,583300000.0,6148200000.0,-5597500000.0,6042100000.0,1608450000.0,1751800000.0,1764100000.0,-0.1585,0.0,7.0428,-0.0268,-0.7716,0.167,0.061,0.0848,0.125,8.0,0.724,1.5396,56.2738,50.8374,54.6429,7.0126,6.4387,6.3939,0.336,15.0,0.2211,0.0,6239925000.0,5730675000.0,15586725000.0,7.766,77.717,7.6337,0.4669,-0.2335,0.006,-0.0304,-0.8343,SWK,112.32,112.49485751428574,16301563199.999998
2016-04-02,0.0041,0.1534,0.167,0.215,0.2308,-0.0396,0.5286,-0.0211,0.0531,-0.0349,-0.0124,-0.0328,0.0577,0.3509,0.0,0.0109,0.0494,-0.0414,2672100000.0,0.016,1694500000.0,977600000.0,0.0,620400000.0,635800000.0,341800000.0,47300000.0,254900000.0,65500000.0,-800000.0,0.0,189400000.0,0.0,189400000.0,1.3,1.28,145870000.0,152663000.0,0.55,0.3659,0.151,0.1131,0.071,-0.0591,402300000.0,302200000.0,188600000.0,11213900000.0,-0.0121,7137900000.0,4076000000.0,0.0,2465800000.0,2521900000.0,1554100000.0,183300000.0,1169600000.0,258800000.0,-800000.0,15600000.0,910800000.0,0.0,910800000.0,6.21,6.05,145870000.0,2.17,0.3635,0.157,0.1206,0.081,0.0853,1764500000.0,1352900000.0,910000000.0,38.861,40.492,-1.083,29.5208,2.4145,0.7597,0.2759,6.389,1.087,-0.4916,0.423,0.6216,0.2322,0.0,320200000.0,5906500000.0,-5875400000.0,6163900000.0,1602800000.0,1668550000.0,1713600000.0,0.6971,0.0,9.8285,-0.0243,-0.6484,0.159,0.058,0.0809,0.121,8.0,0.716,1.4127,54.106,51.8439,54.8449,6.9964,6.7207,6.5441,0.349,15.0,0.2199,0.0,6401125000.0,5725850000.0,15651225000.0,6.556,76.876,7.3808,0.5108,-0.2568,0.0061,-0.0295,-0.8027,SWK,106.639999,98.69794120588236,15555576654.130001
