,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.1762,0.1683,0.418,0.4184,0.4227,-7.1314,0.2017,0.1132,0.3821,0.0,0.0,0.0,-7.5252,0.0,0.1469,0.1683,0.0022,221991000.0,0.1762,0.0,221991000.0,0.0,108793000.0,132131000.0,89860000.0,0.0,89860000.0,18424000.0,0.0,0.0,71436000.0,2437000.0,68999000.0,1.39,1.38,49673923.0,0.0,1.0,0.441,0.4048,0.311,-0.7883,97834000.0,89860000.0,71436000.0,871625000.0,0.2404,0.0,871625000.0,0.0,406086000.0,507059000.0,364566000.0,0.0,364566000.0,117759000.0,0.0,0.0,246807000.0,9750000.0,237057000.0,4.77,4.72,49673923.0,0.0,1.0,0.455,0.4183,0.272,-0.2756,396305000.0,364566000.0,246807000.0,47.178,557.241,-3.523,98.9622,68.9254,2.0976,0.1769,0.0,-2.525,0.0,0.0037,0.4901,0.0,27680329000.0,29172376000.0,0.0,0.0,0.0,0.0044,0.0235,-0.0035,-0.0967,0.106,0.009,0.418,0.034,-0.9572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.4659,0.0,26198031500.0,2244510750.0,25426925000.0,-4.835,17.547,0.0,0.0585,0.0278,-0.0152,-0.4185,TCBI,91.5,98.18000028571429,4545163954.5
2018-03-31,0.2728,0.3964,0.7332,0.7284,0.725,-0.9671,0.1718,0.1058,0.5864,0.0,0.0,0.0,-0.9945,0.0,0.1657,0.3964,0.0027,218247000.0,0.2728,0.0,218247000.0,0.0,102611000.0,126960000.0,91287000.0,0.0,91287000.0,19342000.0,0.0,0.0,71945000.0,2438000.0,69507000.0,1.4,1.38,49650549.0,0.0,1.0,0.456,0.4183,0.318,0.004,99527000.0,91287000.0,71945000.0,838362000.0,0.2532,0.0,838362000.0,0.0,392152000.0,486742000.0,351620000.0,0.0,351620000.0,125154000.0,0.0,0.0,226466000.0,9750000.0,216716000.0,4.36,4.31,49650549.0,0.0,1.0,0.455,0.4194,0.258,-0.0458,381515000.0,351620000.0,226466000.0,45.789,490.501,0.018,65.0636,48.8649,1.421,0.1321,0.0,0.0766,0.0,0.0039,0.4702,0.0,24353664000.0,25157936000.0,0.0,0.0,0.0,-0.8341,0.0274,-0.0203,-0.539,0.099,0.009,0.419,0.035,-0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.4678,0.0,24992345750.0,2183766500.0,24261375750.0,-0.773,16.885,0.0,0.5814,0.0279,-0.0168,-0.472,TCBI,89.900002,92.3867649705882,4463584454.401098
2017-12-31,0.2594,0.273,-0.0793,-0.1327,-0.134,0.9687,0.1557,0.0163,0.4217,0.0,0.0,0.0,0.9581,0.0,0.1265,0.273,0.0785,228023000.0,0.2594,0.0,228023000.0,0.0,100725000.0,133138000.0,94885000.0,0.0,94885000.0,50143000.0,0.0,0.0,44742000.0,2437000.0,42305000.0,0.85,0.84,49626545.0,0.0,1.0,0.452,0.4161,0.186,-0.0551,103132000.0,94885000.0,44742000.0,791584000.0,0.2694,0.0,791584000.0,0.0,377564000.0,465876000.0,325708000.0,0.0,325708000.0,128645000.0,0.0,0.0,197063000.0,9750000.0,187313000.0,3.78,3.73,49626545.0,0.0,1.0,0.447,0.4115,0.237,0.1515,353579000.0,325708000.0,197063000.0,44.386,503.184,-0.253,71.7328,57.9446,1.6161,0.142,0.0,-0.2212,0.0,0.0042,0.4417,0.0,24971278000.0,25655539000.0,0.0,0.0,0.0,0.343,0.0307,-0.0141,-0.3891,0.088,0.008,0.411,0.034,0.7056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.477,0.0,23687960000.0,2128019750.0,23365307500.0,2.416,15.951,0.0,-0.0928,0.0278,-0.0155,-0.4401,TCBI,88.900002,87.80303027272726,4411799949.75309
2017-09-30,0.2596,0.3282,0.3961,0.2841,0.2874,0.8648,0.0983,0.1588,0.3879,0.0,0.0,0.0,0.8515,0.0,0.1954,0.3282,0.0793,203364000.0,0.2596,0.0,203364000.0,0.0,93957000.0,114830000.0,88534000.0,0.0,88534000.0,29850000.0,0.0,0.0,58684000.0,2438000.0,56246000.0,1.13,1.12,49600286.0,0.0,1.0,0.471,0.4353,0.277,-0.2631,95812000.0,88534000.0,58684000.0,744619000.0,0.2793,0.0,744619000.0,0.0,366251000.0,439261000.0,305358000.0,0.0,305358000.0,104651000.0,0.0,0.0,200707000.0,9750000.0,190957000.0,3.9,3.86,49600286.0,0.0,1.0,0.444,0.4101,0.256,-0.2247,330617000.0,305358000.0,200707000.0,43.515,490.001,-1.079,60.0444,49.9222,1.3798,0.1221,0.0,-0.865,0.0,0.004,0.462,0.0,24304211000.0,24806275000.0,0.0,0.0,0.0,0.0999,0.0298,-0.0239,-0.668,0.092,0.008,0.41,0.033,-0.8252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.4919,0.0,22608765000.0,2079728750.0,22520679750.0,-3.373,15.012,0.0,0.0616,0.0292,-0.013,-0.3843,TCBI,85.800003,76.65571428571425,4255704687.600858
2017-06-30,0.2176,0.2662,0.3352,0.2405,0.2436,1.3915,0.0967,0.1547,0.4172,0.0,0.0,0.0,1.3679,0.0,0.22,0.2662,0.0797,188728000.0,0.2176,0.0,188728000.0,0.0,94859000.0,111814000.0,76914000.0,0.0,76914000.0,25819000.0,0.0,0.0,51095000.0,2437000.0,48658000.0,0.98,0.97,49564933.0,0.0,1.0,0.44,0.4075,0.258,0.1421,83044000.0,76914000.0,51095000.0,702710000.0,0.2542,0.0,702710000.0,0.0,350895000.0,419230000.0,283480000.0,0.0,283480000.0,98732000.0,0.0,0.0,184748000.0,9750000.0,174998000.0,3.65,3.61,49564933.0,0.0,1.0,0.437,0.4034,0.249,-0.6746,307194000.0,283480000.0,184748000.0,42.38,464.793,0.541,71.7615,45.2868,1.6933,0.1538,0.0,0.584,0.0,0.0036,0.5026,0.0,23037413000.0,24349633000.0,0.0,0.0,0.0,-0.0562,0.0233,-0.0085,-0.2605,0.089,0.008,0.403,0.032,-2.6791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.4993,0.0,21599360500.0,1971583500.0,21974527250.0,-9.564,14.178,0.0,0.0111,0.0247,-0.0074,-0.2194,TCBI,77.400002,75.8263889722222,3836325913.329866
2017-03-31,0.36,0.6652,0.7675,0.6531,0.6327,29.4962,0.0324,0.1536,-0.0299,0.0,0.0,0.0,34.8054,0.0,0.2119,0.6652,0.0792,171469000.0,0.36,0.0,171469000.0,0.0,88023000.0,106094000.0,65375000.0,0.0,65375000.0,22833000.0,0.0,0.0,42542000.0,2438000.0,40104000.0,0.81,0.8,49518387.0,0.0,1.0,0.418,0.3813,0.234,0.9282,71591000.0,65375000.0,42542000.0,668983000.0,0.2256,0.0,668983000.0,0.0,333787000.0,401671000.0,267312000.0,0.0,267312000.0,94779000.0,0.0,0.0,172533000.0,9750000.0,162783000.0,3.46,3.42,49518387.0,0.0,1.0,0.434,0.3996,0.243,-0.8577,290250000.0,267312000.0,172533000.0,41.408,420.045,3.214,41.1236,58.482,0.9931,0.0976,0.0,4.0333,0.0,0.0031,0.5133,0.0,20799953000.0,19940393000.0,0.0,0.0,0.0,-0.0161,0.0266,-0.0151,-0.4178,0.087,0.008,0.4,0.031,-3.5006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.4989,0.0,20729312250.0,1867629000.0,21464847500.0,-11.587,13.51,0.0,0.0069,0.0236,-0.0059,-0.1706,TCBI,83.449997,86.10972219444446,4132309246.5948386
2016-12-31,0.2978,0.4206,0.4219,0.3803,0.3857,-12.0699,0.1478,0.2332,0.2292,0.0,0.0,0.0,-11.3917,0.0,0.2307,0.4206,0.0037,181058000.0,0.2978,0.0,181058000.0,0.0,89412000.0,106523000.0,74535000.0,0.0,74535000.0,26149000.0,0.0,0.0,48386000.0,2437000.0,45949000.0,0.98,0.97,46013269.0,0.0,1.0,0.443,0.4117,0.254,-1.6555,80170000.0,74535000.0,48386000.0,623594000.0,0.1317,0.0,623594000.0,0.0,318397000.0,382397000.0,241197000.0,0.0,241197000.0,86078000.0,0.0,0.0,155119000.0,9750000.0,145369000.0,3.14,3.11,46013269.0,0.0,1.0,0.422,0.3868,0.233,-1.1682,263011000.0,241197000.0,155119000.0,43.673,470.497,-6.514,54.4196,61.1639,1.2461,0.1154,0.0,-6.5092,0.0,0.0022,0.4938,0.0,21649086000.0,21338759000.0,0.0,0.0,0.0,0.0022,0.0371,-0.0036,-0.1154,0.082,0.007,0.387,0.029,-4.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.5106,0.0,20639742000.0,1766790500.0,21301352250.0,-15.832,13.552,0.0,0.003,0.0185,-0.0035,-0.0998,TCBI,78.400002,75.5117648235294,3607440381.626538
2016-09-30,0.1559,0.1494,0.1618,0.1579,0.16,-20.434,0.1902,0.0821,0.2239,0.0,0.0,0.0,-21.6747,0.0,0.1367,0.1494,0.003,161455000.0,0.1559,0.0,161455000.0,0.0,78601000.0,94799000.0,66656000.0,0.0,66656000.0,23931000.0,0.0,0.0,42725000.0,2438000.0,40287000.0,0.88,0.87,45956858.0,0.0,1.0,0.448,0.4128,0.25,-2.2314,72389000.0,66656000.0,42725000.0,582044000.0,0.0703,0.0,582044000.0,0.0,301636000.0,362916000.0,219128000.0,0.0,219128000.0,77642000.0,0.0,0.0,141486000.0,9750000.0,131736000.0,2.87,2.84,45956858.0,0.0,1.0,0.412,0.3765,0.226,-0.7781,239572000.0,219128000.0,141486000.0,37.552,482.655,-7.839,46.6912,77.4296,1.2434,0.0966,0.0,-8.9338,0.0,0.0016,0.4868,0.0,22181296000.0,20768657000.0,0.0,0.0,0.0,0.001,0.0104,-0.0022,-0.0628,0.079,0.006,0.376,0.028,-3.4166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.5182,0.0,20101229000.0,1670284500.0,20603024000.0,-9.855,12.665,0.0,0.0063,0.0129,-0.0049,-0.1385,TCBI,54.919998,52.05305558333335,2523950549.446284
2016-06-30,0.1028,0.0247,0.0266,0.0128,0.0263,-2.9309,0.1832,0.0807,0.3151,0.0,0.0,0.0,-3.1003,0.0,0.1236,0.0247,0.0028,155001000.0,0.1028,0.0,155001000.0,0.0,77751000.0,94255000.0,60746000.0,0.0,60746000.0,21866000.0,0.0,0.0,38880000.0,2437000.0,36443000.0,0.79,0.78,45904763.0,0.0,1.0,0.426,0.3919,0.235,-0.4703,66100000.0,60746000.0,38880000.0,560267000.0,0.0498,0.0,560267000.0,0.0,292181000.0,349805000.0,210462000.0,0.0,210462000.0,74587000.0,0.0,0.0,135875000.0,9750000.0,126125000.0,2.75,2.72,45904763.0,0.0,1.0,0.409,0.3756,0.225,-0.1342,229114000.0,210462000.0,135875000.0,36.701,458.617,-1.588,54.6722,58.6644,1.4897,0.1191,0.0,-1.9918,0.0,0.0013,0.5016,0.0,21052703000.0,20869440000.0,0.0,0.0,0.0,0.0042,0.0182,-0.002,-0.0573,0.077,0.006,0.376,0.028,-0.5681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.5215,0.0,19403362250.0,1636351750.0,19715425750.0,-1.638,12.205,0.0,0.0498,0.0145,-0.0064,-0.1911,TCBI,46.759997999999996,47.48138897222223,2146506626.070474
2016-03-31,-0.0396,-0.283,-0.3042,-0.3099,-0.3,-0.8515,0.1665,0.0822,0.3765,0.0,0.0,0.0,-0.8764,0.0,0.1198,-0.283,0.0027,126080000.0,-0.0396,0.0,126080000.0,0.0,72633000.0,86820000.0,39260000.0,0.0,39260000.0,14132000.0,0.0,0.0,25128000.0,2438000.0,22690000.0,0.49,0.49,45885829.0,0.0,1.0,0.352,0.3114,0.18,0.0353,44352000.0,39260000.0,25128000.0,545822000.0,0.0597,0.0,545822000.0,0.0,283628000.0,336826000.0,208996000.0,0.0,208996000.0,74064000.0,0.0,0.0,134932000.0,9750000.0,125182000.0,2.74,2.7,45885829.0,0.0,1.0,0.415,0.3829,0.229,0.0593,226523000.0,208996000.0,134932000.0,35.895,439.935,0.097,45.7448,58.9222,1.2744,0.1039,0.0,0.2338,0.0,0.0012,0.5761,0.0,20186769000.0,19582112000.0,0.0,0.0,0.0,-0.162,0.0028,-0.0068,-0.1687,0.078,0.007,0.383,0.029,0.3078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5196,0.0,18752768000.0,1603800250.0,18899511750.0,0.706,11.895,0.0,-0.1594,0.0167,-0.0113,-0.3505,TCBI,38.380001,36.01342865714285,1761098162.905829
