,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.0925,0.118,0.3148,0.3475,0.3583,-0.1587,0.0133,0.1358,0.0355,0.0728,0.0,0.0667,-0.1708,0.0,0.0,0.1174,-0.0293,1084776000.0,0.0541,568377000.0,516399000.0,0.0,0.0,267124000.0,249275000.0,22411000.0,226896000.0,42471000.0,0.0,-32000.0,184425000.0,0.0,184425000.0,1.59,1.63,113557007.0,0.16,0.476,0.23,0.2298,0.17,0.2096,249307000.0,249307000.0,184425000.0,4258126000.0,0.0598,2251950000.0,2006176000.0,0.0,0.0,1042779000.0,963397000.0,86710000.0,876566000.0,-662139000.0,0.0,121000.0,1538705000.0,0.0,1538705000.0,13.01,13.31,113557007.0,0.46,0.4711,0.226,0.2262,0.361,0.2996,963276000.0,963276000.0,1538705000.0,49.064,197.585,2.002,13.1136,0.7241,0.2673,0.0651,11.1243,1.2695,0.101,0.0193,0.0,0.0,22437110000.0,23844020000.0,393852000.0,0.0,0.0,-0.0289,0.27,0.067,0.226,0.184,0.8491,0.0,34.9454,0.0,10.8115,0.0,0.0,0.035,11.0,0.0,0.0,24067747250.0,5697754000.0,23132409000.0,11.233,37.498,11.1092,-0.0237,TMK,81.410004,84.68314277142856,9244676394.098028
2018-03-31,0.0746,0.1224,0.3,0.3423,0.3451,-0.1701,0.0496,0.2662,0.025,0.0704,0.0,-0.4828,-0.1891,0.0,0.0,0.1037,-0.0312,1070436000.0,0.0458,569889000.0,500547000.0,0.0,0.0,266083000.0,234464000.0,21622000.0,212731000.0,39131000.0,0.0,111000.0,173600000.0,0.0,173600000.0,1.49,1.52,114081876.0,0.15,0.4676,0.219,0.2189,0.162,0.346,234353000.0,234353000.0,173600000.0,4202428000.0,0.0557,2239988000.0,1962440000.0,0.0,0.0,1025236000.0,937204000.0,85455000.0,851506000.0,-643047000.0,0.0,243000.0,1494553000.0,0.0,1494553000.0,12.6,12.88,114081876.0,0.45,0.467,0.223,0.223,0.356,0.3147,936961000.0,936961000.0,1494553000.0,51.019,199.337,3.247,13.1166,0.7768,0.2571,0.0645,10.8386,2.2027,0.101,0.019,0.0,0.0,22740752000.0,24148508000.0,383342500.0,0.0,0.0,-0.0313,0.268,0.065,0.223,0.182,0.9037,0.0,34.4273,0.0,10.9626,0.0,0.0,0.036,12.0,0.0,0.0,23975933250.0,5568205750.0,23057218750.0,11.592,36.837,10.9644,-0.0209,TMK,84.16999799999999,85.11470547058823,9602271274.756247
2017-12-31,0.1361,0.1494,6.5848,6.7838,6.7544,-0.1958,0.0951,0.4024,0.0448,0.019,0.0,0.0714,-0.1831,0.0,0.0,0.2118,-0.027,1056899000.0,0.0836,562465000.0,494434000.0,0.0,0.0,256356000.0,238078000.0,21707000.0,216341000.0,-811005000.0,0.0,30000.0,1027346000.0,0.0,1027346000.0,8.64,8.84,115446832.0,0.15,0.4678,0.225,0.2252,0.972,0.3183,238048000.0,238048000.0,1027346000.0,4155573000.0,0.0562,2227875000.0,1927698000.0,0.0,0.0,1012518000.0,915180000.0,84532000.0,826879000.0,-627615000.0,0.0,3769000.0,1454494000.0,0.0,1454494000.0,12.22,12.5,115446832.0,0.59,0.4639,0.219,0.2193,0.35,0.339,911411000.0,911411000.0,1454494000.0,53.977,199.515,2.914,12.6488,1.027,0.2343,0.0622,10.9664,0.3341,0.017,0.0188,0.0,0.0,23033394000.0,24375099000.0,388114500.0,0.0,0.0,-0.0199,0.274,0.064,0.219,0.182,0.9825,0.0,34.4111,0.0,10.7071,0.0,0.0,0.048,13.0,0.0,0.0,23699666500.0,5299337250.0,22783377000.0,12.203,35.996,10.7818,-0.0142,TMK,90.709999,88.32303018181817,10472182015.273167
2017-09-30,0.0812,0.0421,0.0096,0.032,0.0394,-0.0551,0.0415,0.0461,0.0281,0.077,0.0,0.0,-0.061,0.0,0.0,0.089,-0.0288,1046015000.0,0.0568,551219000.0,494796000.0,0.0,0.0,253216000.0,241580000.0,20970000.0,220598000.0,67264000.0,0.0,12000.0,153334000.0,0.0,153334000.0,1.29,1.32,116320319.0,0.0,0.473,0.231,0.2309,0.147,0.3264,241568000.0,241568000.0,153334000.0,4074019000.0,0.0465,2205548000.0,1868471000.0,0.0,0.0,994902000.0,873569000.0,83310000.0,797156000.0,234560000.0,0.0,-6897000.0,562596000.0,0.0,562596000.0,4.69,4.79,116320319.0,0.58,0.4586,0.216,0.2161,0.138,0.3643,880466000.0,880466000.0,562596000.0,44.426,193.879,2.935,12.378,0.7605,0.2786,0.0626,11.5197,2.2616,0.0,0.0192,0.0,0.0,22552016000.0,23903362000.0,375183500.0,0.0,0.0,-0.0155,0.115,0.025,0.216,0.183,2.6887,0.0,34.8589,0.0,10.8587,0.0,0.0,0.124,12.0,0.0,0.0,23184885000.0,4883197250.0,22273652500.0,12.759,35.024,10.5686,-0.0188,TMK,80.089996,77.62542834285715,9316093883.428724
2017-06-30,0.0266,0.0063,0.0133,0.0442,0.0435,0.0534,0.0465,0.0685,0.0128,0.0595,0.0,0.0714,0.0492,0.0,0.0,0.0028,-0.0304,1029078000.0,0.0375,556415000.0,472663000.0,0.0,0.0,249581000.0,223082000.0,21156000.0,201836000.0,61563000.0,0.0,90000.0,140273000.0,0.0,140273000.0,1.18,1.2,116982255.0,0.15,0.4593,0.217,0.2167,0.136,0.2665,222992000.0,222992000.0,140273000.0,4017777000.0,0.0434,2186481000.0,1831296000.0,0.0,0.0,977465000.0,853831000.0,82721000.0,787978000.0,226847000.0,0.0,-16868000.0,561131000.0,0.0,561131000.0,4.65,4.74,116982255.0,0.58,0.4558,0.217,0.2167,0.14,0.3749,870699000.0,870699000.0,561131000.0,43.198,189.228,2.344,12.293,0.8348,0.2846,0.0637,10.5404,1.984,0.127,0.0196,0.0,0.0,22136349000.0,23476764000.0,369357000.0,0.0,0.0,-0.0147,0.115,0.025,0.217,0.182,2.7317,0.0,34.5241,0.0,10.8778,0.0,0.0,0.125,12.0,0.0,0.0,22941788500.0,4862871750.0,22044508500.0,12.877,34.345,10.5257,-0.0173,TMK,76.5,75.85249966666667,8949142507.5
2017-03-31,0.0291,0.0172,0.0767,0.099,0.1078,0.3522,0.0711,0.1125,0.122,0.0591,0.0,0.0545,0.356,0.0,0.0,-0.0111,-0.0289,1023581000.0,0.047,557776000.0,465805000.0,0.0,0.0,253365000.0,212440000.0,20699000.0,188104000.0,54563000.0,0.0,3637000.0,133541000.0,0.0,133541000.0,1.11,1.13,117761153.0,0.29,0.4551,0.204,0.204,0.13,0.4463,208803000.0,208803000.0,133541000.0,3980583000.0,0.045,2161551000.0,1819032000.0,0.0,0.0,965829000.0,853203000.0,84675000.0,784621000.0,225334000.0,0.0,-16093000.0,559287000.0,0.0,559287000.0,4.6,4.69,117761153.0,0.57,0.457,0.218,0.2184,0.141,0.3752,869296000.0,869296000.0,559287000.0,40.292,183.808,3.879,12.3964,0.5244,0.3077,0.0661,10.0876,3.4503,0.261,0.02,0.0,0.0,21645385000.0,23043441000.0,359979000.0,0.0,0.0,-0.0086,0.116,0.026,0.218,0.183,2.7155,0.0,33.9552,0.0,11.0578,0.0,0.0,0.124,12.0,0.0,0.0,22698275000.0,4818957250.0,21793533500.0,12.682,33.802,10.2663,-0.0166,TMK,77.040001,77.32666561111111,9072319344.881153
2016-12-31,0.0243,-0.0092,0.0187,0.0374,0.0556,0.0939,0.0797,0.1704,0.1327,0.1158,0.0,0.0,0.0727,0.0,0.0,0.0065,-0.0379,975345000.0,0.0444,540138000.0,435207000.0,0.0,0.0,238740000.0,196467000.0,20485000.0,186618000.0,51170000.0,0.0,-10636000.0,135448000.0,0.0,135448000.0,1.11,1.14,118655742.0,0.14,0.4462,0.212,0.2123,0.139,0.4222,207103000.0,207103000.0,135448000.0,3934629000.0,0.0448,2128748000.0,1805881000.0,0.0,0.0,950301000.0,855580000.0,83345000.0,782424000.0,232645000.0,0.0,-10189000.0,549779000.0,0.0,549779000.0,4.49,4.58,118655742.0,0.555,0.459,0.22,0.22,0.14,0.3491,865769000.0,865769000.0,549779000.0,38.488,176.936,3.47,11.7789,0.6419,0.306,0.0652,10.11,3.1509,0.126,0.0206,0.0,0.0,20994496000.0,22315973000.0,364503000.0,0.0,0.0,-0.0352,0.116,0.026,0.22,0.184,2.5441,0.0,35.6643,0.0,10.7945,0.0,0.0,0.124,12.0,0.0,0.0,22304361750.0,4730686250.0,21427044750.0,11.576,33.16,10.3878,-0.018,TMK,73.760002,72.21970499999999,8752047767.231483
2016-09-30,0.0261,0.0088,0.0446,0.087,0.0855,0.3308,0.0973,0.2405,0.0284,-0.4657,0.0,-1.0,0.4035,0.0,0.0,0.0164,-0.0427,989773000.0,0.045,532152000.0,457621000.0,0.0,0.0,235779000.0,221842000.0,20381000.0,211420000.0,59551000.0,0.0,-9959000.0,151869000.0,0.0,151869000.0,1.25,1.27,119768489.0,0.0,0.4623,0.234,0.2342,0.153,0.3673,231801000.0,231801000.0,151869000.0,3893144000.0,0.1243,2097575000.0,1795569000.0,0.0,0.0,941256000.0,854313000.0,82082000.0,785610000.0,238323000.0,0.0,-13379000.0,547287000.0,0.0,547287000.0,4.46,4.52,119768489.0,0.415,0.4612,0.223,0.2229,0.141,0.3456,867692000.0,867692000.0,547287000.0,42.468,180.644,3.036,11.6929,0.8759,0.2753,0.0634,11.3734,2.4165,0.0,0.02,0.0,0.0,21635440000.0,22930976000.0,518719000.0,0.0,0.0,-0.0093,0.119,0.026,0.223,0.185,2.4888,0.0,33.8719,0.0,7.5053,0.0,0.0,0.093,10.0,0.0,0.0,21871393750.0,4602859000.0,21031326250.0,11.235,32.506,10.571,-0.0121,TMK,63.889998999999996,63.7713891111111,7652008642.44151
2016-06-30,0.0409,0.0531,0.089,0.13,0.1386,0.515,0.0776,0.184,0.0288,-0.4285,0.0,0.037,0.5694,0.0,0.0,0.0307,-0.0433,991884000.0,0.0434,531485000.0,460399000.0,0.0,0.0,237945000.0,222454000.0,23110000.0,198479000.0,60050000.0,0.0,865000.0,138429000.0,0.0,138429000.0,1.13,1.15,120650716.0,0.14,0.4642,0.223,0.2234,0.14,0.2635,221589000.0,221589000.0,138429000.0,3850525000.0,0.1033,2066579000.0,1783946000.0,0.0,0.0,933220000.0,850726000.0,80947000.0,784727000.0,243923000.0,0.0,-14948000.0,540804000.0,0.0,540804000.0,4.36,4.42,120650716.0,0.55,0.4633,0.225,0.2248,0.14,0.3223,865674000.0,865674000.0,540804000.0,40.429,175.154,2.166,11.769,0.4118,0.2911,0.0658,9.5884,1.9085,0.124,0.0205,0.0,0.0,21132449000.0,22502710000.0,493173000.0,0.0,0.0,-0.0108,0.123,0.026,0.225,0.187,2.35,0.0,34.0007,0.0,7.8077,0.0,0.0,0.126,10.0,0.0,0.0,21383629250.0,4402088750.0,20541878500.0,10.287,31.915,10.6943,-0.0234,TMK,61.82,60.0980555,7458627263.12
2016-03-31,0.0366,0.0043,0.0196,0.0632,0.0625,0.2181,-0.0036,-0.0574,0.0397,-0.3822,0.0,1.037,0.231,0.0,0.0,0.006,-0.046,977627000.0,0.0462,524973000.0,452654000.0,0.0,0.0,237837000.0,214817000.0,19369000.0,185907000.0,61874000.0,0.0,9541000.0,124033000.0,0.0,124033000.0,1.01,1.02,121264589.0,0.275,0.463,0.21,0.21,0.127,0.3446,205276000.0,205276000.0,124033000.0,3809252000.0,0.079,2043410000.0,1765842000.0,0.0,0.0,921733000.0,844109000.0,76951000.0,777554000.0,248069000.0,0.0,-10396000.0,529485000.0,0.0,529485000.0,4.23,4.28,121264589.0,0.545,0.4636,0.224,0.2243,0.139,0.3009,854505000.0,854505000.0,529485000.0,36.216,166.408,2.778,10.7296,0.1052,0.2963,0.0631,10.5982,2.7472,0.272,0.0214,0.0,0.0,20179430000.0,21467788000.0,457808500.0,0.0,0.0,-0.0114,0.124,0.026,0.224,0.189,2.2306,0.0,33.5034,0.0,8.3206,0.0,0.0,0.129,9.0,0.0,0.0,20982111250.0,4259163250.0,20153596000.0,9.453,31.413,11.1045,-0.0294,TMK,54.16,53.13199994285714,6567690140.24
