,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.0426,0.032,0.2586,0.2598,0.2598,0.0077,0.0041,0.0476,-0.2179,0.0,0.0,0.0,-0.0087,0.0,0.0838,0.032,0.0045,44304000.0,0.0426,0.0,44304000.0,0.0,20944000.0,24095000.0,20209000.0,0.0,20209000.0,4804000.0,0.0,0.0,15405000.0,0.0,15405000.0,0.16,0.16,96429393.0,0.066,1.0,0.479,0.4561,0.348,0.4457,21213000.0,20209000.0,15405000.0,174717000.0,0.0558,0.0,174717000.0,0.0,81286000.0,95312000.0,79405000.0,0.0,79405000.0,29234000.0,0.0,0.0,50171000.0,0.0,50171000.0,0.521,0.52,96429393.0,0.262,1.0,0.477,0.4545,0.287,0.3334,83269000.0,79405000.0,50171000.0,4.882,51.235,0.205,1.8947,6.0834,0.3881,0.037,0.0,1.3652,0.412,0.0,0.4727,0.0,4940559000.0,4536648000.0,0.0,0.0,0.0,-0.0611,0.0011,-0.029,-1.2799,0.109,0.01,0.454,0.036,1.2458,0.0,0.0,0.0,0.0,0.0,0.0,0.503,6.0,0.4652,0.0,4513949250.0,461537000.0,4912601500.0,0.604,1.812,0.0,-0.0681,0.0008,-0.0243,-1.1009,TRST,8.9,8.885999999999997,858221597.7
2018-03-31,0.0522,0.116,0.3527,0.3509,0.3421,0.0576,0.0092,0.0481,-0.0771,0.0,0.0,0.0,0.0265,0.0,0.0228,0.116,0.0051,43694000.0,0.0522,0.0,43694000.0,0.0,20473000.0,24155000.0,19539000.0,0.0,19539000.0,4731000.0,0.0,0.0,14808000.0,0.0,14808000.0,0.154,0.153,96354600.0,0.066,1.0,0.469,0.4472,0.339,0.2504,20481000.0,19539000.0,14808000.0,172908000.0,0.0563,0.0,172908000.0,0.0,79666000.0,94130000.0,78778000.0,0.0,78778000.0,31772000.0,0.0,0.0,47006000.0,0.0,47006000.0,0.488,0.487,96354600.0,0.262,1.0,0.478,0.4556,0.272,0.3379,82590000.0,78778000.0,47006000.0,4.796,51.181,0.114,2.1162,6.4052,0.4413,0.0413,0.0,0.8082,0.429,0.0,0.4686,0.0,4931564000.0,4518304000.0,0.0,0.0,0.0,-0.0856,0.0006,-0.0235,-1.0881,0.103,0.01,0.456,0.035,1.3263,0.0,0.0,0.0,0.0,0.0,0.0,0.537,6.0,0.4607,0.0,4491527250.0,455674750.0,4907582250.0,0.606,1.794,0.0,-0.0629,0.0008,-0.0227,-1.0283,TRST,8.45,8.735294117647058,814196369.9999999
2017-12-31,0.0592,0.1287,-0.3182,-0.3274,-0.3214,0.0256,0.0081,0.0549,0.1604,0.0,0.0,0.0,-0.0304,0.0,0.0079,0.1287,0.0042,43236000.0,0.0592,0.0,43236000.0,0.0,19785000.0,23536000.0,19700000.0,0.0,19700000.0,12338000.0,0.0,0.0,7362000.0,0.0,7362000.0,0.076,0.076,96107596.0,0.066,1.0,0.478,0.4556,0.17,0.3035,20659000.0,19700000.0,7362000.0,170741000.0,0.0532,0.0,170741000.0,0.0,79209000.0,93994000.0,76747000.0,0.0,76747000.0,33602000.0,0.0,0.0,43145000.0,0.0,43145000.0,0.449,0.448,96107596.0,0.262,1.0,0.472,0.4495,0.253,0.3405,80563000.0,76747000.0,43145000.0,4.769,51.068,0.137,2.5283,6.3756,0.5302,0.0495,0.0,1.93,0.868,0.0,0.4576,0.0,4908008000.0,4538259000.0,0.0,0.0,0.0,-0.0766,0.0008,-0.0252,-1.1345,0.096,0.009,0.449,0.035,1.4298,0.0,0.0,0.0,0.0,0.0,0.0,0.584,6.0,0.4639,0.0,4468075750.0,449825500.0,4896377000.0,0.605,1.777,0.0,-0.0575,0.0009,-0.0208,-0.9303,TRST,9.2,9.17424242424242,884189883.1999999
2017-09-30,0.0698,0.1341,0.1524,0.1491,0.1491,0.1113,0.0119,0.0388,0.2082,0.0,0.0,0.0,0.0415,0.0,0.0921,0.1341,0.0053,43483000.0,0.0698,0.0,43483000.0,0.0,20084000.0,23526000.0,19957000.0,0.0,19957000.0,7361000.0,0.0,0.0,12596000.0,0.0,12596000.0,0.131,0.131,96101978.0,0.066,1.0,0.481,0.459,0.29,0.332,20916000.0,19957000.0,12596000.0,168324000.0,0.0475,0.0,168324000.0,0.0,79054000.0,93823000.0,74501000.0,0.0,74501000.0,27920000.0,0.0,0.0,46581000.0,0.0,46581000.0,0.485,0.484,96101978.0,0.262,1.0,0.465,0.4426,0.277,0.3478,78325000.0,74501000.0,46581000.0,4.734,50.678,0.15,2.2529,6.4952,0.4759,0.0445,0.0,1.2142,0.504,0.0,0.4619,0.0,4870275000.0,4462586000.0,0.0,0.0,0.0,-0.056,0.0008,-0.0197,-0.8926,0.105,0.01,0.443,0.034,1.3168,0.0,0.0,0.0,0.0,0.0,0.0,0.54,5.0,0.4697,0.0,4426245500.0,443420000.0,4886576500.0,0.609,1.752,0.0,-0.0454,0.001,-0.0165,-0.7283,TRST,8.9,8.030000000000001,855307604.2
2017-06-30,0.0442,0.1709,0.1697,0.1545,0.1651,0.8705,0.0185,0.0342,0.2261,0.0,0.0,0.0,0.8479,0.0,0.0287,0.1709,0.0053,42495000.0,0.0442,0.0,42495000.0,0.0,19324000.0,22913000.0,19582000.0,0.0,19582000.0,7342000.0,0.0,0.0,12240000.0,0.0,12240000.0,0.127,0.127,95997082.0,0.066,1.0,0.483,0.4608,0.288,0.4688,20534000.0,19582000.0,12240000.0,165487000.0,0.0365,0.0,165487000.0,0.0,77361000.0,93346000.0,72141000.0,0.0,72141000.0,27226000.0,0.0,0.0,44915000.0,0.0,44915000.0,0.468,0.467,95997082.0,0.262,1.0,0.459,0.4359,0.271,0.3503,76006000.0,72141000.0,44915000.0,4.66,51.257,0.208,2.4336,7.3663,0.5222,0.0475,0.0,1.7051,0.52,0.0,0.4547,0.0,4920482000.0,4446960000.0,0.0,0.0,0.0,-0.0456,0.0009,-0.0224,-0.9989,0.102,0.009,0.436,0.034,1.3315,0.0,0.0,0.0,0.0,0.0,0.0,0.56,4.0,0.4675,0.0,4392505250.0,438590000.0,4872220000.0,0.604,1.724,0.0,-0.0306,0.0012,-0.011,-0.473,TRST,7.75,7.6625000000000005,743977385.5
2017-03-31,0.0394,0.0601,0.0517,0.0459,0.0459,-0.298,0.0259,0.0316,0.3033,0.0,0.0,0.0,-0.3049,0.0,0.0518,0.0601,0.0052,41527000.0,0.0394,0.0,41527000.0,0.0,20016000.0,24019000.0,17508000.0,0.0,17508000.0,6561000.0,0.0,0.0,10947000.0,0.0,10947000.0,0.114,0.114,95862943.0,0.066,1.0,0.444,0.4216,0.264,0.2567,18454000.0,17508000.0,10947000.0,163690000.0,0.0341,0.0,163690000.0,0.0,76822000.0,94407000.0,69283000.0,0.0,69283000.0,26144000.0,0.0,0.0,43139000.0,0.0,43139000.0,0.451,0.449,95862943.0,0.262,1.0,0.447,0.4233,0.264,0.2983,73206000.0,69283000.0,43139000.0,4.576,50.976,0.111,2.3048,7.1267,0.5036,0.0452,0.0,1.0337,0.579,0.0,0.482,0.0,4886743000.0,4424498000.0,0.0,0.0,0.0,-0.0579,0.001,-0.0158,-0.6924,0.099,0.009,0.423,0.034,1.1612,0.0,0.0,0.0,0.0,0.0,0.0,0.581,4.0,0.4693,0.0,4346530000.0,434314750.0,4849827750.0,0.509,1.708,0.0,-0.0251,0.0013,-0.0077,-0.3199,TRST,7.85,8.124166666666666,752524102.55
2016-12-31,0.0362,0.0718,0.0607,0.0561,0.0467,0.2081,0.0283,0.0419,0.0951,0.0,0.0,0.0,0.3207,0.0,0.109,0.0718,0.0047,40819000.0,0.0362,0.0,40819000.0,0.0,19630000.0,23365000.0,17454000.0,0.0,17454000.0,6656000.0,0.0,0.0,10798000.0,0.0,10798000.0,0.113,0.112,95705176.0,0.066,1.0,0.451,0.4276,0.265,0.3315,18421000.0,17454000.0,10798000.0,162117000.0,0.0305,0.0,162117000.0,0.0,75837000.0,93827000.0,68290000.0,0.0,68290000.0,25689000.0,0.0,0.0,42601000.0,0.0,42601000.0,0.446,0.445,95705176.0,0.262,1.0,0.446,0.4212,0.263,0.3301,72328000.0,68290000.0,42601000.0,4.521,50.873,0.141,2.188,7.3901,0.484,0.043,0.0,1.2831,0.584,0.0,0.4809,0.0,4868806000.0,4370938000.0,0.0,0.0,0.0,-0.0233,0.0014,-0.0079,-0.334,0.099,0.009,0.421,0.034,1.2886,0.0,0.0,0.0,0.0,0.0,0.0,0.587,5.0,0.4678,0.0,4283558500.0,430396000.0,4818957500.0,0.559,1.694,0.0,-0.0252,0.0014,-0.0085,-0.342,TRST,8.75,8.447058823529412,837420290.0
2016-09-30,0.026,0.0895,0.0296,0.0179,0.027,-0.2247,0.0184,0.0517,-0.0282,0.0,0.0,0.0,-0.1943,0.0,0.0396,0.0895,0.0047,40646000.0,0.026,0.0,40646000.0,0.0,18391000.0,23049000.0,17597000.0,0.0,17597000.0,6667000.0,0.0,0.0,10930000.0,0.0,10930000.0,0.114,0.114,95599646.0,0.066,1.0,0.458,0.4329,0.269,0.3411,18597000.0,17597000.0,10930000.0,160690000.0,0.0212,0.0,160690000.0,0.0,73907000.0,93570000.0,67120000.0,0.0,67120000.0,25137000.0,0.0,0.0,41983000.0,0.0,41983000.0,0.44,0.439,95599646.0,0.262,1.0,0.444,0.4177,0.261,0.3126,71276000.0,67120000.0,41983000.0,4.557,50.344,0.145,1.8745,6.9501,0.4114,0.0372,0.0,1.2591,0.579,0.0,0.4525,0.0,4812849000.0,4327625000.0,0.0,0.0,0.0,0.0073,0.0014,0.0025,0.101,0.099,0.009,0.418,0.034,1.2507,0.0,0.0,0.0,0.0,0.0,0.0,0.595,2.0,0.4599,0.0,4242839500.0,425552000.0,4785504000.0,0.525,1.681,0.0,-0.0434,0.0014,-0.0142,-0.5486,TRST,7.09,7.076388888888889,677801490.14
2016-06-30,0.0349,-0.0273,-0.0245,-0.0265,-0.0354,-0.2005,0.0189,0.0642,0.1159,0.0,0.0,0.0,-0.2021,0.0,0.0396,-0.0273,0.0046,40698000.0,0.0349,0.0,40698000.0,0.0,18785000.0,23974000.0,16724000.0,0.0,16724000.0,6260000.0,0.0,0.0,10464000.0,0.0,10464000.0,0.11,0.109,95495515.0,0.066,1.0,0.436,0.4109,0.257,0.2649,17734000.0,16724000.0,10464000.0,159659000.0,0.0158,0.0,159659000.0,0.0,73206000.0,93985000.0,65674000.0,0.0,65674000.0,24005000.0,0.0,0.0,41669000.0,0.0,41669000.0,0.438,0.436,95495515.0,0.262,1.0,0.438,0.4113,0.261,0.3355,69968000.0,65674000.0,41669000.0,4.506,50.588,0.113,1.9953,7.9417,0.4428,0.0394,0.0,1.0663,0.6,0.0,0.4616,0.0,4830913000.0,4263059000.0,0.0,0.0,0.0,-0.0339,0.0014,-0.0093,-0.3743,0.099,0.009,0.411,0.034,1.3558,0.0,0.0,0.0,0.0,0.0,0.0,0.598,0.0,0.4585,0.0,4213970750.0,419723000.0,4763746000.0,0.561,1.672,0.0,-0.0518,0.0014,-0.0183,-0.6812,TRST,6.41,6.394444444444445,612126251.15
2016-03-31,0.0248,-0.036,-0.0286,-0.0354,-0.0354,-0.0424,0.0048,0.0517,-0.1295,0.0,0.0,0.0,-0.0049,0.0,0.0536,-0.036,0.0043,39954000.0,0.0248,0.0,39954000.0,0.0,19031000.0,23439000.0,16515000.0,0.0,16515000.0,6106000.0,0.0,0.0,10409000.0,0.0,10409000.0,0.109,0.109,95368575.0,0.066,1.0,0.44,0.4134,0.261,0.3839,17576000.0,16515000.0,10409000.0,158286000.0,0.0125,0.0,158286000.0,0.0,72490000.0,92142000.0,66144000.0,0.0,66144000.0,24212000.0,0.0,0.0,41932000.0,0.0,41932000.0,0.441,0.44,95368575.0,0.262,1.0,0.446,0.4179,0.265,0.3557,70586000.0,66144000.0,41932000.0,4.436,49.946,0.161,1.7776,7.9709,0.4008,0.0356,0.0,1.5486,0.606,0.0,0.4763,0.0,4763262000.0,4172612000.0,0.0,0.0,0.0,-0.0485,0.0014,-0.0195,-0.7361,0.102,0.009,0.418,0.033,1.4141,0.0,0.0,0.0,0.0,0.0,0.0,0.594,1.0,0.458,0.0,4206581500.0,412771500.0,4741352000.0,0.59,1.66,0.0,-0.0505,0.0013,-0.0189,-0.674,TRST,6.06,5.839428571428572,577933564.5
