,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.0732,0.0699,0.2936,0.3333,0.25,0.0007,0.622,0.0047,0.0064,0.0,0.0184,-0.0711,0.0455,0.6897,0.0,0.0772,0.0302,-0.0088,60888000.0,0.0598,37182000.0,23706000.0,0.0,21759000.0,21759000.0,1947000.0,0.0,2128000.0,502000.0,-103000.0,0.0,1626000.0,0.0,1626000.0,0.16,0.15,10214000.0,10505000.0,0.23,0.3893,0.052,0.0349,0.027,0.0867,3150000.0,2128000.0,1523000.0,287590000.0,-0.0005,173884000.0,113706000.0,0.0,90129000.0,90129000.0,23577000.0,8000.0,24183000.0,6553000.0,-10000.0,0.0,17630000.0,0.0,17630000.0,1.73,1.71,10214000.0,0.89,0.3954,0.099,0.0841,0.061,0.0887,28391000.0,24191000.0,17620000.0,19.149,19.945,0.517,0.0,2.3495,0.0,0.0,0.0,8.08,3.4705,1.438,0.1779,0.3574,0.0,116104000.0,203718000.0,86730000.0,163322000.0,37537000.0,5420500.0,58694000.0,-0.0649,0.089,0.069,0.0767,0.084,7.0,1.125,1.5206,7.4602,48.0748,71.7461,7.6615,53.056,4.8998,0.514,14.0,0.3134,0.0,171692500.0,198267750.0,255606750.0,2.498,28.156,3023.875,0.1206,-0.0484,WEYS,36.400002,35.128000171428575,371789620.42800003
2018-03-31,0.0554,0.0896,0.3473,0.381,0.381,-0.0147,-0.5153,0.0205,0.0364,0.0,0.063,-0.0734,0.0476,-0.5108,0.0,0.0592,0.0312,-0.0251,69526000.0,0.0059,42901000.0,26625000.0,0.0,23058000.0,23058000.0,3567000.0,0.0,3928000.0,941000.0,-171000.0,0.0,2987000.0,0.0,2987000.0,0.29,0.29,10173000.0,10361000.0,0.22,0.383,0.072,0.0565,0.043,0.1185,4982000.0,3928000.0,2816000.0,284155000.0,-0.0104,172065000.0,112090000.0,0.0,88570000.0,88570000.0,23520000.0,8000.0,24044000.0,6783000.0,139000.0,0.0,17261000.0,0.0,17261000.0,1.69,1.68,10173000.0,0.88,0.3945,0.1,0.0846,0.061,0.0822,28313000.0,24052000.0,17400000.0,19.909,20.983,0.81,0.0,2.957,0.0,0.0,0.0,8.636,2.8011,0.759,0.1712,0.3316,0.0,124389000.0,213460000.0,92493000.0,167088000.0,49266500.0,5053500.0,53110500.0,-0.0149,0.087,0.068,0.0739,0.085,7.0,1.113,1.4278,6.7604,65.2159,65.6218,5.7677,56.2293,5.3503,0.521,13.0,0.3117,0.0,174664250.0,198389000.0,255320000.0,2.296,27.932,3006.5,0.1113,-0.0522,WEYS,33.599998,31.61588223529412,341812779.654
2017-12-31,0.0181,0.2128,-0.0125,0.0128,0.0128,-0.036,-0.1044,-0.0202,0.0097,-1.0,-0.0251,-0.1377,0.0476,-0.0582,0.0,-0.0353,0.167,-0.0246,80270000.0,-0.0223,46363000.0,33907000.0,0.0,23646000.0,23646000.0,10261000.0,8000.0,10171000.0,2088000.0,278000.0,0.0,8083000.0,0.0,8083000.0,0.79,0.79,10192905.0,10218000.0,0.22,0.4224,0.14,0.1268,0.101,0.2109,11248000.0,10179000.0,8361000.0,283749000.0,-0.0444,173056000.0,110693000.0,0.0,87281000.0,87281000.0,23412000.0,15000.0,23714000.0,7223000.0,208000.0,0.0,16491000.0,0.0,16491000.0,1.61,1.6,10192905.0,0.87,0.3901,0.099,0.0836,0.058,0.1126,28034000.0,23729000.0,16699000.0,19.478,21.46,1.661,0.0,2.3009,0.0,0.0,1272.375,5.785,2.1156,0.278,0.1677,0.2946,0.0,120419000.0,218742000.0,88410000.0,170125000.0,50088500.0,10423500.0,65084000.0,-0.0101,0.083,0.065,0.0728,0.084,9.0,1.117,2.0324,11.4549,63.6112,77.5282,5.665,27.222,4.3597,0.54,13.0,0.3076,0.0,176019000.0,197866750.0,254028000.0,3.133,27.838,1581.9333,0.1084,-0.0471,WEYS,29.719998999999998,28.11727284848485,302933126.40709496
2017-09-30,0.005,0.0563,0.0726,0.1136,0.0909,-0.0304,-2.3575,-0.0742,0.0415,-0.7908,-0.0241,-0.1818,0.0476,-0.8428,0.0,0.0045,0.0062,-0.0288,76906000.0,-0.0274,47438000.0,29468000.0,0.0,21666000.0,21666000.0,7802000.0,0.0,7956000.0,3022000.0,-14000.0,0.0,4934000.0,0.0,4934000.0,0.49,0.48,10160000.0,10368000.0,0.22,0.3832,0.117,0.1035,0.064,-0.0642,9011000.0,7956000.0,4920000.0,285576000.0,-0.0551,175487000.0,110089000.0,0.0,88145000.0,88145000.0,21944000.0,215000.0,21728000.0,5135000.0,327000.0,0.0,16593000.0,0.0,16593000.0,1.6,1.59,10160000.0,0.86,0.3855,0.092,0.0768,0.058,0.1156,26240000.0,21943000.0,16920000.0,19.332,20.684,-0.486,0.4697,0.6598,0.0243,0.0188,0.0,6.179,-0.8717,0.449,0.1734,0.2817,0.0,113832000.0,210147000.0,84743000.0,186235000.0,56966500.0,5323500.0,64100000.0,0.1474,0.084,0.065,0.0646,0.077,9.0,1.118,2.1416,6.3919,71.921,73.7372,5.0131,53.6444,4.4552,0.537,13.0,0.3087,0.0,179921250.0,198629500.0,255380000.0,3.249,28.108,102.0605,0.1135,-0.0711,WEYS,28.379998999999998,27.904857,288340789.84
2017-06-30,-0.009,0.0816,0.257,0.3333,0.3333,-0.0355,-0.7761,-0.0642,0.0336,-1.0,-0.0534,-0.2056,0.0476,-0.7596,0.0,-0.0031,-0.068,-0.0229,57453000.0,0.0103,35363000.0,22090000.0,0.0,20200000.0,20200000.0,1890000.0,0.0,1989000.0,732000.0,46000.0,0.0,1257000.0,0.0,1257000.0,0.12,0.12,10305000.0,10498000.0,0.22,0.3845,0.053,0.0346,0.022,0.0544,3072000.0,1989000.0,1303000.0,287739000.0,-0.0848,177796000.0,109943000.0,0.0,88047000.0,88047000.0,21896000.0,276000.0,21243000.0,4984000.0,442000.0,0.0,16259000.0,0.0,16259000.0,1.55,1.55,10305000.0,0.85,0.3821,0.089,0.0748,0.057,0.1226,25728000.0,21519000.0,16701000.0,19.027,19.658,0.303,0.0,1.1503,0.0,0.0,0.0,8.191,2.7677,1.833,0.1787,0.3516,0.0,111522000.0,202571000.0,83178000.0,175209000.0,38244000.0,4735000.0,68735500.0,-0.1023,0.082,0.062,0.0678,0.075,9.0,1.105,2.3714,6.2956,47.1823,77.199,7.5238,60.7685,4.1862,0.548,12.0,0.306,0.0,182297000.0,198072500.0,260474250.0,3.422,27.922,77.9674,0.1127,-0.0853,WEYS,27.879998999999998,27.605555416666665,287303389.695
2017-03-31,-0.07,-0.1474,-0.1749,-0.16,-0.16,-0.0345,0.2761,-0.0948,0.0355,-1.0,-0.1921,-0.2638,0.05,0.3366,0.0,-0.0502,-0.1778,-0.0208,69120000.0,-0.124,43892000.0,25228000.0,0.0,21769000.0,21769000.0,3459000.0,7000.0,3598000.0,1381000.0,-102000.0,0.0,2217000.0,0.0,2217000.0,0.21,0.21,10435000.0,10516000.0,0.21,0.365,0.068,0.0522,0.032,0.2438,4703000.0,3605000.0,2115000.0,287153000.0,-0.1067,177009000.0,110144000.0,0.0,88110000.0,88110000.0,22034000.0,370000.0,20999000.0,4997000.0,474000.0,0.0,16002000.0,0.0,16002000.0,1.52,1.52,10435000.0,0.84,0.3836,0.089,0.0744,0.056,0.1572,25506000.0,21369000.0,16476000.0,19.209,19.961,1.615,0.0,2.0578,0.0,0.0,515.0,9.237,7.7871,1.0,0.1747,0.3149,0.0,117889000.0,208292000.0,86919000.0,172507000.0,53440500.0,4798000.0,65009500.0,-0.0241,0.081,0.06,0.0671,0.074,7.0,1.085,3.1632,6.1572,60.7102,70.0808,5.3733,59.8485,4.4171,0.553,13.0,0.3068,0.0,185070500.0,197589000.0,264707500.0,4.325,27.518,57.7541,0.1058,-0.1083,WEYS,28.08,27.419166694444442,293014800.0
2016-12-31,-0.0708,-0.2631,0.1671,0.2,0.2,-0.0246,-0.1253,-0.1029,0.0498,-0.8398,-0.0608,-0.2808,0.05,-0.1361,0.0,0.1018,-0.3532,-0.032,82097000.0,-0.0607,48794000.0,33303000.0,0.0,24510000.0,24510000.0,8793000.0,208000.0,8185000.0,0.0,397000.0,0.0,8185000.0,0.0,8185000.0,0.78,0.78,10449803.0,10600000.0,0.21,0.4057,0.115,0.1022,0.1,0.2189,9454000.0,8393000.0,8582000.0,296933000.0,-0.0739,184890000.0,112043000.0,0.0,89261000.0,89261000.0,22782000.0,436000.0,21556000.0,5084000.0,521000.0,0.0,16472000.0,0.0,16472000.0,1.57,1.56,10449803.0,0.83,0.3773,0.088,0.0741,0.055,0.1377,26049000.0,21992000.0,16993000.0,19.291,21.45,1.72,0.4084,1.312,0.0212,0.0159,40.351,5.036,2.3328,0.269,0.1644,0.2985,0.0,116953000.0,224150000.0,85967000.0,185734000.0,52367500.0,12640500.0,83541000.0,-0.0587,0.084,0.061,0.0652,0.074,6.0,1.094,2.8462,14.6795,62.3541,85.921,5.6702,23.4906,3.5543,0.529,15.0,0.3006,0.0,191893500.0,196898250.0,271316250.0,3.913,28.415,50.4404,0.1093,-0.1278,WEYS,31.299999,29.505882470588237,327078823.450197
2016-09-30,-0.1008,-0.1614,-0.1676,-0.1373,-0.1373,-0.0163,0.9308,-0.095,0.0346,-0.4566,-0.1406,-0.2383,0.05,0.8592,0.0,-0.0812,-0.1513,-0.0308,79069000.0,-0.1333,49747000.0,29322000.0,0.0,21568000.0,21568000.0,7754000.0,61000.0,7471000.0,2871000.0,101000.0,0.0,4600000.0,0.0,4600000.0,0.44,0.44,10461000.0,10693000.0,0.21,0.3708,0.107,0.0953,0.058,-0.0339,8499000.0,7532000.0,4701000.0,302240000.0,-0.0799,187661000.0,114579000.0,0.0,86996000.0,86996000.0,27583000.0,312000.0,24676000.0,9376000.0,210000.0,0.0,15300000.0,0.0,15300000.0,1.43,1.43,10461000.0,0.82,0.3791,0.096,0.0827,0.051,0.1447,28988000.0,24988000.0,15510000.0,18.562,21.867,-0.256,2.1805,1.4186,0.1175,0.0831,123.4754,3.664,-0.2785,0.477,0.167,0.2728,0.0,109198000.0,228754000.0,76302000.0,195738000.0,62380000.0,6838000.0,81537000.0,1.0906,0.078,0.055,0.0742,0.083,6.0,1.083,3.243,6.8184,69.6355,85.149,4.8451,44.2001,3.7068,0.573,11.0,0.2878,0.0,195628250.0,196097250.0,279005500.0,4.18,28.892,80.0897,0.1068,-0.1188,WEYS,26.870001000000002,26.121388888888887,281087080.461
2016-06-30,-0.0873,-0.4208,-0.5098,-0.5263,-0.5263,-0.0021,2.5079,-0.051,0.0304,-0.1591,-0.0984,-0.1087,0.05,2.2102,0.0,-0.0393,-0.3914,-0.0236,56867000.0,-0.1105,34576000.0,22291000.0,0.0,20263000.0,20263000.0,2028000.0,94000.0,1745000.0,745000.0,78000.0,0.0,1000000.0,0.0,1000000.0,0.09,0.09,10546000.0,10884000.0,0.21,0.392,0.05,0.0323,0.018,0.2284,2850000.0,1839000.0,1078000.0,314398000.0,-0.0317,196531000.0,117867000.0,0.0,88902000.0,88902000.0,28965000.0,318000.0,26120000.0,9894000.0,-40000.0,0.0,16226000.0,0.0,16226000.0,1.5,1.5,10546000.0,0.81,0.3749,0.097,0.0841,0.052,0.0871,30545000.0,26438000.0,16186000.0,18.409,20.646,1.232,1.4452,1.4511,0.0785,0.0578,19.5638,4.507,15.54,2.333,0.174,0.3563,0.0,110007000.0,217734000.0,78409000.0,186303000.0,41437500.0,5851000.0,81286500.0,-0.1642,0.083,0.057,0.0814,0.084,6.0,1.098,1.9954,5.2324,45.6172,88.9438,7.5873,53.7341,3.8678,0.54,11.0,0.2828,0.0,200855500.0,195963500.0,286213750.0,2.596,29.812,83.1384,0.1131,-0.1544,WEYS,27.780001000000002,27.44333341666667,292967890.546
2016-03-31,-0.056,-0.2722,-0.2604,-0.2647,-0.2424,-0.0035,7.4451,0.0475,0.0408,2.7206,0.0605,0.2246,0.0526,10.7694,0.0,-0.0014,-0.2729,-0.0105,78900000.0,0.0109,51773000.0,27127000.0,0.0,22920000.0,22920000.0,4207000.0,73000.0,4155000.0,1468000.0,-55000.0,0.0,2687000.0,0.0,2687000.0,0.25,0.25,10657000.0,10892000.0,0.2,0.3438,0.066,0.0536,0.034,0.1598,5246000.0,4228000.0,2632000.0,321465000.0,-0.0066,201466000.0,119999000.0,0.0,89730000.0,89730000.0,30269000.0,236000.0,27538000.0,10272000.0,-73000.0,0.0,17266000.0,0.0,17266000.0,1.6,1.6,10657000.0,0.8,0.3733,0.1,0.0864,0.054,0.0114,31986000.0,27774000.0,17193000.0,18.55,21.86,1.183,2.3115,1.5311,0.1246,0.0884,57.9178,3.805,5.035,0.8,0.1645,0.2905,0.0,116324000.0,232957000.0,83182000.0,199799000.0,57433500.0,5775500.0,68018000.0,-0.0683,0.088,0.06,0.0803,0.086,3.0,1.109,0.3783,5.3955,67.1253,85.0264,5.5972,55.6601,4.7262,0.5,11.0,0.2791,0.0,203128000.0,195671250.0,289752500.0,0.343,30.165,117.6864,0.1164,-0.4401,WEYS,26.620001000000002,25.94114277142856,283689350.657
